time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-9.3,-16.0,-1.0,0.0,215.0,9.4,1020.7
2021-01-02,-6.9,-12.7,-1.0,0.0,179.0,14.0,1013.8
2021-01-03,-7.9,-12.7,-1.0,0.0,185.0,14.0,1009.1
2021-01-04,0.2,-9.9,5.0,0.0,256.0,18.0,1013.5
2021-01-05,-4.8,-12.1,4.4,0.8,99.0,11.2,1015.5
2021-01-06,1.7,1.1,2.8,4.1,68.0,11.2,1021.9
2021-01-07,0.2,-6.0,1.7,0.0,143.0,10.8,1027.5
2021-01-08,0.8,0.6,1.1,0.0,134.0,5.8,1029.4
2021-01-09,0.6,-0.5,2.2,0.3,12.0,4.7,1030.6
2021-01-10,0.3,-3.8,1.1,0.0,241.0,14.8,1027.6
2021-01-11,-1.9,-7.7,3.9,0.0,250.0,11.5,1017.8
2021-01-12,-2.3,-7.7,7.2,0.0,185.0,11.5,1014.6
2021-01-13,1.4,-2.1,6.7,2.8,192.0,12.2,1004.0
2021-01-14,3.4,0.0,7.2,0.8,313.0,45.4,1003.9
2021-01-15,-0.7,-3.8,0.0,0.0,342.0,41.0,1014.6
2021-01-16,-3.1,-4.3,1.1,0.0,321.0,15.8,1014.5
2021-01-17,-0.2,-6.0,3.3,0.0,326.0,21.2,1012.6
2021-01-18,-3.4,-6.6,0.0,0.5,323.0,7.9,1016.2
2021-01-19,-5.3,-14.3,1.1,0.8,282.0,24.1,1024.4
2021-01-20,-2.7,-8.2,9.4,0.0,246.0,27.7,1008.5
2021-01-21,-0.4,-13.2,2.2,0.0,317.0,24.5,1015.8
2021-01-22,-8.4,-15.5,0.6,0.0,233.0,11.5,1023.8
2021-01-23,-5.2,-8.8,-2.1,3.3,178.0,16.9,1017.5
2021-01-24,-9.0,-17.1,-3.2,0.0,51.0,11.2,1021.4
2021-01-25,-8.7,-11.0,-7.1,0.0,66.0,18.7,1020.8
2021-01-26,-11.6,-13.8,-10.5,0.0,37.0,16.9,1026.0
2021-01-27,-12.4,-15.5,-6.0,0.0,79.0,15.5,1032.0
2021-01-28,-8.6,-9.9,-3.8,0.0,148.0,17.6,1027.2
2021-01-29,-5.3,-9.9,-1.0,0.0,115.0,16.6,1017.2
2021-01-30,-2.9,-3.2,-2.1,0.0,46.0,15.5,1013.8
2021-01-31,-3.2,-4.3,-2.1,0.0,334.0,14.0,1027.8
2021-02-01,-4.8,-6.0,-3.2,0.0,183.0,14.0,1028.8
2021-02-02,-4.5,-6.6,-2.7,0.0,163.0,19.4,1021.2
2021-02-03,-2.2,-6.0,0.0,0.0,208.0,24.1,1008.0
2021-02-04,-8.1,-14.3,-6.0,0.0,315.0,29.5,1011.7
2021-02-05,-12.8,-18.8,-7.1,0.0,318.0,22.0,1013.9
2021-02-06,-17.9,-23.2,-16.0,0.0,333.0,21.2,1025.5
2021-02-07,-21.8,-26.0,-18.8,1.0,11.0,4.7,1028.7
2021-02-08,-22.5,-28.8,-15.5,0.0,254.0,7.6,1029.4
2021-02-09,-17.6,-24.9,-12.7,0.0,269.0,15.5,1030.2
2021-02-10,-17.2,-22.1,-13.2,0.0,321.0,13.7,1034.0
