time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,21.1,18.0,25.0,,20.0,7.4,1017.3
2021-01-02,21.4,16.7,25.0,0.0,359.0,8.2,1018.5
2021-01-03,19.5,17.0,22.0,0.0,302.0,7.2,1017.4
2021-01-04,20.0,14.4,24.0,0.0,6.0,8.9,1016.8
2021-01-05,19.8,15.0,24.0,0.0,6.0,7.6,1018.4
2021-01-06,19.8,14.0,24.0,0.0,6.0,6.2,1019.5
2021-01-07,20.2,16.8,24.0,0.0,29.0,12.6,1018.8
2021-01-08,18.8,15.0,24.0,0.0,57.0,14.6,1019.3
2021-01-09,18.5,13.8,24.0,0.0,48.0,11.4,1019.1
2021-01-10,18.1,12.9,23.0,0.0,24.0,9.2,1018.9
2021-01-11,19.2,13.0,23.7,0.0,340.0,7.3,1019.2
2021-01-12,19.5,13.5,24.0,0.0,333.0,7.5,1019.9
2021-01-13,19.3,15.9,23.0,0.0,272.0,9.3,1018.8
2021-01-14,18.6,14.7,23.0,0.0,256.0,10.3,1017.0
2021-01-15,18.2,14.7,22.0,0.0,256.0,7.4,1015.7
2021-01-16,17.4,12.0,24.0,0.0,266.0,4.2,1014.3
2021-01-17,19.5,13.8,27.0,0.0,156.0,4.9,1013.3
2021-01-18,21.8,17.0,28.0,0.0,256.0,6.2,1014.9
2021-01-19,20.4,16.0,24.5,0.0,308.0,6.7,1016.8
2021-01-20,20.6,16.4,26.0,0.0,251.0,5.7,1017.1
2021-01-21,19.5,15.0,24.1,0.0,272.0,14.1,1017.9
2021-01-22,19.7,18.0,22.0,0.0,305.0,24.2,1019.3
2021-01-23,19.9,16.5,23.3,0.0,356.0,13.0,1019.3
2021-01-24,19.9,17.0,23.0,0.0,11.0,11.3,1019.6
2021-01-25,20.3,17.7,23.0,0.0,323.0,9.6,1019.4
2021-01-26,20.5,17.0,25.0,0.0,277.0,8.6,1018.9
2021-01-27,20.8,16.0,24.0,0.0,281.0,11.7,1018.0
2021-01-28,20.2,16.0,25.0,0.0,1.0,6.6,1018.1
2021-01-29,21.7,15.5,29.0,0.0,158.0,7.7,1017.5
2021-01-30,22.7,17.1,29.6,0.0,124.0,9.6,1016.2
2021-01-31,21.3,18.8,24.4,0.0,303.0,12.5,1017.7
2021-02-01,20.1,17.0,23.0,0.0,297.0,12.9,1019.7
2021-02-02,20.0,16.0,23.2,0.0,273.0,8.6,1019.6
2021-02-03,20.1,16.0,24.0,0.0,329.0,7.4,1017.5
2021-02-04,20.8,17.0,26.0,0.0,313.0,6.8,1017.0
2021-02-05,21.8,15.0,30.0,0.0,128.0,8.5,1016.7
2021-02-06,23.1,18.5,29.0,0.0,105.0,15.3,1015.2
2021-02-07,22.3,18.0,27.0,0.0,116.0,13.1,1015.9
2021-02-08,21.9,19.2,25.0,0.0,2.0,13.3,1019.2
2021-02-09,21.6,19.5,24.0,0.0,320.0,14.2,1019.6
2021-02-10,22.3,19.5,25.0,0.0,329.0,9.7,1016.5
2021-02-11,22.3,18.0,26.0,0.0,300.0,9.7,1014.2
2021-02-12,21.3,17.0,27.0,0.0,258.0,7.7,1013.5
2021-02-13,20.8,17.0,25.0,0.0,297.0,8.6,1014.6
2021-02-14,21.5,18.0,26.0,0.0,282.0,8.0,1015.5
2021-02-15,20.5,15.9,26.0,0.0,299.0,7.0,1014.3
2021-02-16,20.3,16.0,26.0,0.0,283.0,7.5,1012.8
2021-02-17,24.0,16.0,33.0,0.0,125.0,6.4,1012.6
2021-02-18,26.0,21.3,33.0,0.0,136.0,9.8,1013.9
2021-02-19,23.5,21.4,26.5,0.0,342.0,11.6,1017.2
2021-02-20,23.1,21.0,26.0,0.0,341.0,13.0,1017.3
2021-02-21,23.4,22.0,27.0,0.0,3.0,15.1,1017.1
2021-02-22,24.1,22.0,28.0,0.0,350.0,12.9,1017.6
2021-02-23,23.7,21.0,27.0,0.0,333.0,11.5,1016.5
2021-02-24,23.7,20.1,27.0,0.0,321.0,8.9,1013.3
2021-02-25,24.7,22.0,32.0,0.0,5.0,10.0,1011.5
2021-02-26,21.9,19.9,23.2,0.0,317.0,22.3,1014.1
2021-02-27,20.8,18.7,23.0,0.0,316.0,17.1,1015.4
2021-02-28,21.3,19.0,24.2,0.0,329.0,13.1,1015.0
2021-03-01,21.4,15.0,28.0,0.0,53.0,7.9,1014.6
2021-03-02,26.0,20.1,34.5,0.0,57.0,9.8,1014.9
2021-03-03,26.6,21.9,34.0,0.0,4.0,6.3,1014.1
2021-03-04,25.4,19.9,32.0,0.0,7.0,6.6,1013.7
2021-03-05,28.2,21.0,39.0,0.0,324.0,9.4,1013.3
