time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-9.8,-15.0,-7.6,,160.0,8.4,1037.6
2021-01-02,-13.1,-17.0,-9.7,,137.0,10.5,1039.1
2021-01-03,-11.7,-14.0,-8.0,,137.0,11.1,1039.6
2021-01-04,-15.9,-19.1,-10.9,,110.0,8.3,1042.4
2021-01-05,-19.7,-24.0,-13.0,,138.0,6.0,1044.5
2021-01-06,-20.1,-24.0,-12.9,,138.0,6.9,1043.4
2021-01-07,-17.1,-24.0,-10.8,,141.0,7.1,1041.5
2021-01-08,-11.9,-16.1,-9.0,,157.0,10.1,1035.1
2021-01-09,-7.3,-10.0,-5.0,,179.0,16.4,1027.1
2021-01-10,-4.8,-8.0,-3.0,,191.0,15.5,1016.3
2021-01-11,-3.9,-4.0,-2.0,,264.0,9.5,1011.9
2021-01-12,-17.2,-23.0,-4.0,,335.0,10.5,1019.2
2021-01-13,-19.9,-24.0,-14.5,,131.0,6.6,1032.2
2021-01-14,-12.9,-21.5,-9.0,,130.0,23.9,1028.4
2021-01-15,-6.2,-10.8,-4.0,,136.0,23.7,1012.6
2021-01-16,-6.2,-10.0,-1.9,,215.0,16.4,1009.6
2021-01-17,-8.3,-11.0,-5.5,,237.0,14.0,1014.7
2021-01-18,-11.9,-15.0,-9.5,,71.0,11.9,1013.3
2021-01-19,-10.4,-12.0,-9.0,,138.0,11.6,1010.0
2021-01-20,-16.4,-22.0,-12.4,,248.0,11.7,1017.3
2021-01-21,-18.9,-24.0,-15.4,,258.0,4.7,1021.5
2021-01-22,-17.3,-23.0,-13.0,,202.0,8.9,1022.6
2021-01-23,-15.7,-26.0,-11.0,,124.0,7.7,1027.8
2021-01-24,-3.8,-11.9,-1.8,,202.0,14.0,1031.6
2021-01-25,-7.6,-10.0,-2.7,,163.0,8.3,1035.3
2021-01-26,-9.3,-13.0,-5.1,,142.0,7.4,1035.3
2021-01-27,-11.7,-12.6,-5.9,,137.0,3.4,1035.4
2021-01-28,-11.3,-17.0,-4.5,,147.0,8.6,1028.2
2021-01-29,-6.6,-14.0,-3.0,,134.0,14.1,1019.1
2021-01-30,-8.2,-13.0,-3.0,,160.0,8.4,1014.7
2021-01-31,-12.0,-19.0,-3.6,,71.0,6.3,1018.6
2021-02-01,-7.8,-15.0,-4.0,,155.0,7.1,1022.8
2021-02-02,-1.5,-6.2,2.0,,180.0,13.7,1026.4
2021-02-03,0.6,-1.0,2.2,,180.0,12.5,1020.5
2021-02-04,1.1,-1.0,2.2,,186.0,8.6,1017.1
2021-02-05,2.4,1.0,5.1,,157.0,11.6,1011.0
2021-02-06,-4.3,-11.0,2.0,,221.0,31.6,997.9
2021-02-07,-11.3,-14.2,-6.7,,247.0,29.1,1005.4
2021-02-08,-18.0,-22.0,-15.0,,260.0,32.1,1010.1
2021-02-09,-22.2,-25.0,-18.5,,276.0,17.9,1022.4
2021-02-10,-15.2,-24.6,-10.0,,136.0,11.3,1023.9
2021-02-11,-4.6,-9.0,-1.0,,140.0,7.0,1020.7
2021-02-12,-0.2,-5.0,2.0,,149.0,6.6,1021.0
2021-02-13,0.2,-7.0,4.2,,138.0,11.9,1018.7
2021-02-14,-2.1,-4.0,0.6,,218.0,16.1,1019.7
2021-02-15,-8.3,-11.0,-4.0,,271.0,11.3,1019.4
2021-02-16,-15.5,-18.0,-11.0,,301.0,10.1,1022.4
2021-02-17,-13.8,-17.4,-12.0,,71.0,17.9,1020.9
2021-02-18,-15.8,-19.3,-12.0,,36.0,24.0,1008.6
2021-02-19,-20.8,-29.0,-13.0,,201.0,8.1,1020.8
