time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,5.1,1.2,6.8,1.3,24.0,15.7,1011.2
2021-01-02,5.7,5.0,6.9,6.9,6.0,21.8,1015.7
2021-01-03,5.2,3.0,6.2,15.1,61.0,26.0,1014.9
2021-01-04,5.7,4.0,6.9,13.1,50.0,37.9,1015.7
2021-01-05,5.4,4.0,6.3,16.6,43.0,37.7,1017.3
2021-01-06,5.2,4.0,6.2,13.9,56.0,21.3,1017.8
2021-01-07,4.8,2.0,6.2,1.3,23.0,12.7,1018.5
2021-01-08,5.1,2.0,6.7,6.3,212.0,12.3,1017.1
2021-01-09,5.6,3.0,7.5,1.8,103.0,14.5,1024.2
2021-01-10,6.1,3.0,8.6,0.3,0.0,15.6,1026.7
2021-01-11,8.8,8.0,10.5,0.2,275.0,32.1,1022.3
2021-01-12,10.4,10.0,11.0,2.1,285.0,39.5,1017.6
2021-01-13,10.4,10.0,11.1,2.0,280.0,34.9,1022.0
2021-01-14,10.0,8.0,11.2,2.5,292.0,40.0,1019.1
2021-01-15,5.9,4.0,7.5,0.0,67.0,18.2,1028.8
2021-01-16,8.3,6.0,10.0,6.5,246.0,33.4,1021.5
2021-01-17,8.3,7.0,9.2,0.0,316.0,27.1,1026.3
2021-01-18,8.8,7.0,10.5,3.2,236.0,26.8,1022.9
2021-01-19,10.5,10.0,11.3,4.5,218.0,41.9,1008.1
2021-01-20,10.2,8.3,11.0,6.1,198.0,51.7,988.9
2021-01-21,7.7,5.0,9.6,13.9,274.0,31.8,988.2
2021-01-22,7.6,6.0,8.6,1.1,281.0,24.8,994.2
2021-01-23,5.6,3.0,8.3,7.8,330.0,18.1,996.4
2021-01-24,6.2,5.0,7.8,10.0,266.0,38.3,997.7
2021-01-25,5.7,4.3,7.7,0.5,332.0,24.7,1011.8
2021-01-26,7.6,6.0,10.8,7.5,210.0,35.9,1016.1
2021-01-27,10.3,10.0,11.2,5.8,257.0,24.9,1013.0
2021-01-28,11.2,11.0,11.8,11.4,245.0,40.0,1006.1
2021-01-29,10.2,9.0,11.1,2.2,259.0,44.0,1003.9
2021-01-30,10.1,8.4,11.3,19.7,161.0,35.1,992.0
2021-01-31,8.2,6.9,10.4,3.9,116.0,27.8,994.8
2021-02-01,8.6,7.0,10.4,2.2,85.0,16.4,996.3
2021-02-02,11.1,9.9,12.0,2.7,226.0,39.0,997.2
2021-02-03,9.4,8.0,10.4,7.9,256.0,24.4,999.1
2021-02-04,9.4,8.6,10.4,2.7,187.0,27.9,1007.3
2021-02-05,9.4,8.0,10.0,1.2,243.0,19.9,1008.5
2021-02-06,7.4,5.0,8.5,0.7,324.0,6.1,1006.1
2021-02-07,5.0,3.0,7.2,1.0,26.0,35.4,1003.3
2021-02-08,2.7,0.0,4.2,1.9,39.0,32.8,1001.1
2021-02-09,2.4,0.0,4.3,1.3,83.0,42.9,1001.5
2021-02-10,3.0,2.0,4.5,0.1,76.0,42.7,1012.3
2021-02-11,1.5,0.0,3.8,0.0,113.0,39.6,1021.7
2021-02-12,2.8,2.0,3.8,0.0,97.0,44.1,1024.1
