time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.4,-1.0,2.0,,121.0,15.2,1007.4
2021-01-02,-0.5,-5.0,1.0,,122.0,13.1,1015.7
2021-01-03,-1.1,-4.0,0.5,,141.0,15.2,1031.0
2021-01-04,-2.4,-5.0,0.0,,154.0,11.2,1030.0
2021-01-05,-0.7,-5.0,1.0,,153.0,12.1,1031.2
2021-01-06,0.6,-1.0,1.1,,145.0,15.5,1022.3
2021-01-07,1.2,0.0,2.0,,137.0,23.3,1013.4
2021-01-08,0.9,0.0,2.0,,141.0,18.2,1016.1
2021-01-09,3.6,0.5,6.0,,191.0,30.2,1008.9
2021-01-10,0.6,-1.5,2.2,,254.0,23.6,1006.1
2021-01-11,-1.1,-2.7,0.6,,164.0,13.7,997.8
2021-01-12,0.8,-3.0,2.5,,7.0,32.6,996.0
2021-01-13,-1.4,-3.2,0.2,,86.0,23.9,1013.9
2021-01-14,-3.4,-8.0,-1.0,,149.0,12.9,1025.7
2021-01-15,-1.3,-3.0,0.5,,144.0,16.9,1028.5
2021-01-16,-2.6,-4.0,-1.0,,137.0,14.4,1018.2
2021-01-17,3.9,0.0,6.0,,148.0,22.8,1008.2
2021-01-18,4.5,3.2,5.0,,141.0,17.7,1002.9
2021-01-19,2.9,1.0,4.2,,125.0,22.9,996.9
2021-01-20,2.2,0.7,5.0,,101.0,18.4,989.7
2021-01-21,4.3,3.0,6.0,,84.0,13.0,970.7
2021-01-22,2.6,-1.2,5.0,,192.0,9.3,965.5
2021-01-23,3.4,0.0,5.0,,187.0,16.6,980.6
2021-01-24,3.2,1.0,4.0,,185.0,15.9,993.4
2021-01-25,0.9,0.0,3.0,,153.0,18.6,1000.5
2021-01-26,0.5,-3.0,2.0,,200.0,11.4,1007.5
2021-01-27,-0.7,-2.0,1.0,,155.0,14.4,1007.5
2021-01-28,0.5,-1.0,2.0,,184.0,23.2,1001.8
2021-01-29,0.9,0.0,2.0,,201.0,24.0,998.7
2021-01-30,1.0,-1.0,2.0,,238.0,14.7,999.7
2021-01-31,-0.7,-4.0,1.0,,198.0,9.8,997.0
2021-02-01,-0.4,-3.0,1.0,,192.0,18.1,997.3
2021-02-02,-2.4,-4.0,-1.0,,120.0,11.9,1004.5
2021-02-03,-4.3,-6.0,-2.0,,122.0,15.6,1010.7
2021-02-04,-5.4,-10.0,-3.9,,77.0,20.1,1025.2
2021-02-05,-3.4,-5.0,-1.2,,108.0,17.6,1029.9
2021-02-06,-3.3,-7.7,-0.2,,122.0,13.2,1032.4
2021-02-07,-3.9,-8.0,-2.0,,84.0,19.0,1030.3
2021-02-08,-4.4,-9.0,-1.9,,118.0,15.0,1028.0
2021-02-09,-4.5,-9.0,-2.0,,152.0,14.2,1024.4
2021-02-10,-3.2,-4.9,-0.9,,95.0,20.0,1023.5
2021-02-11,-4.2,-5.3,-2.3,,133.0,20.3,1035.8
2021-02-12,-3.1,-7.3,-0.5,,158.0,16.8,1041.7
2021-02-13,-1.1,-2.7,1.0,,146.0,19.8,1040.1
2021-02-14,-0.8,-3.0,2.0,,125.0,22.1,1030.9
2021-02-15,2.9,1.0,4.0,,128.0,19.3,1017.2
2021-02-16,3.8,2.0,6.0,,122.0,15.5,1008.7
2021-02-17,4.9,4.0,6.0,,126.0,22.7,1005.2
2021-02-18,5.7,4.0,9.0,,129.0,21.9,1002.1
2021-02-19,7.0,5.7,8.0,,157.0,17.2,998.2
2021-02-20,7.0,5.7,8.5,,177.0,12.0,998.6
2021-02-21,9.4,8.0,11.4,,191.0,21.5,1000.4
2021-02-22,6.5,4.5,8.7,,165.0,11.7,1010.1
2021-02-23,7.6,4.0,11.0,,180.0,19.5,1011.2
2021-02-24,8.3,6.7,10.0,,199.0,25.8,1002.9
2021-02-25,7.3,5.0,9.0,,219.0,27.3,1003.8
2021-02-26,5.9,5.2,6.7,,244.0,20.5,1020.8
2021-02-27,7.5,6.6,8.2,,217.0,31.3,1029.0
2021-02-28,7.0,5.5,8.0,,229.0,36.5,1031.3
2021-03-01,6.7,6.0,8.0,,226.0,41.0,1026.6
2021-03-02,5.8,5.0,7.0,,229.0,19.0,1030.2
2021-03-03,3.9,-0.7,6.0,,286.0,23.4,1027.0
2021-03-04,1.0,0.0,2.5,,338.0,17.1,1025.4
2021-03-05,2.2,-1.2,4.6,,226.0,23.7,1024.5
2021-03-06,3.7,1.0,5.1,,279.0,29.9,1018.5
2021-03-07,1.5,0.0,5.0,,11.0,19.1,1021.4
2021-03-08,1.7,-1.0,4.0,,182.0,26.8,1019.9
2021-03-09,4.1,1.0,6.5,,187.0,18.1,1016.2
2021-03-10,4.6,2.0,7.0,,132.0,29.6,998.6
2021-03-11,6.4,4.7,8.0,,131.0,31.8,971.0
2021-03-12,5.6,4.2,8.0,,195.0,20.6,976.1
2021-03-13,5.3,2.0,8.0,,184.0,13.1,982.5
