time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-9.2,-11.0,-5.7,,,5.4,1031.7
2021-01-02,-11.4,-14.0,-9.0,,,5.4,1034.8
2021-01-03,-13.1,-20.0,-8.0,,,6.2,1035.8
2021-01-04,-14.6,-16.8,-10.5,,,4.7,1035.0
2021-01-05,-12.9,-17.2,-5.6,,,5.1,1029.1
2021-01-06,-13.2,-20.0,-7.5,,,5.9,1030.2
2021-01-07,-12.3,-16.4,-8.8,,50.0,5.1,1032.9
2021-01-08,-9.7,-13.0,-4.9,,,2.7,1035.8
2021-01-09,-11.0,-13.4,-5.2,,,5.0,1038.0
2021-01-10,-8.7,-14.6,-1.5,,195.0,6.6,1031.9
2021-01-11,-2.5,-9.0,7.2,,,7.8,1021.1
2021-01-12,3.4,-4.3,10.9,,,6.8,1017.8
2021-01-13,-5.3,-7.0,0.0,,42.0,8.0,1026.3
2021-01-14,-7.7,-13.0,-5.1,,33.0,8.9,1030.4
2021-01-15,-9.2,-10.5,-5.4,,,5.1,1028.2
2021-01-16,-3.6,-11.3,3.9,,,8.6,1018.9
2021-01-17,2.4,-9.0,10.2,,,6.5,1016.5
2021-01-18,-0.2,-5.4,6.0,,,7.1,1010.8
2021-01-19,6.0,-0.7,11.0,,,6.3,1013.1
2021-01-20,5.1,2.2,7.0,,189.0,9.8,1020.4
2021-01-21,2.4,-1.8,6.9,,,2.6,1010.3
2021-01-22,-1.6,-6.0,3.7,,236.0,16.0,1016.1
2021-01-23,-6.6,-8.9,-6.0,,58.0,12.3,1032.1
2021-01-24,-3.4,-6.7,-0.7,,,11.1,1034.1
2021-01-25,-6.8,-7.9,-5.5,,,4.4,1030.6
2021-01-26,-6.6,-12.0,-2.9,,,5.2,1031.7
2021-01-27,-7.0,-10.2,-1.8,,,1.8,1033.8
2021-01-28,-6.5,-9.9,-1.1,,56.0,6.8,1030.3
2021-01-29,-6.2,-9.9,-0.9,,,5.1,1028.0
