time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-2.6,-4.0,-1.0,,182.0,10.6,1017.0
2021-01-02,-3.4,-5.0,-3.0,,171.0,6.0,1017.8
2021-01-03,-6.1,-8.0,-4.0,,176.0,6.0,1025.0
2021-01-04,0.0,-6.0,3.4,1.0,208.0,8.8,1010.3
2021-01-05,-0.1,-1.0,2.0,,196.0,11.1,1014.0
2021-01-06,-2.7,-5.0,0.0,,159.0,18.9,1021.7
2021-01-07,-7.7,-9.7,-4.9,,149.0,29.0,1019.9
2021-01-08,-8.0,-9.5,-7.0,,155.0,20.0,1019.3
2021-01-09,-8.2,-9.9,-6.9,,152.0,22.2,1018.4
2021-01-10,-8.4,-11.5,-7.0,,157.0,24.6,1010.9
2021-01-11,-11.7,-13.0,-10.0,,149.0,19.8,1015.3
2021-01-12,-12.3,-16.0,-9.0,,153.0,21.7,1020.6
2021-01-13,-15.7,-17.0,-13.7,,157.0,21.3,1024.6
2021-01-14,-11.4,-15.0,-8.0,,206.0,7.6,1021.0
2021-01-15,-0.3,-8.0,3.0,,290.0,20.8,1016.6
2021-01-16,0.1,-1.0,2.0,,220.0,8.0,1015.1
2021-01-17,-2.3,-6.0,0.0,,146.0,3.0,1009.2
2021-01-18,-1.3,-3.0,1.0,,151.0,8.9,1004.5
2021-01-19,-7.9,-11.7,-4.0,,182.0,7.5,1012.3
2021-01-20,-15.1,-18.0,-12.0,,175.0,7.5,1018.2
2021-01-21,-15.0,-17.0,-13.0,,206.0,10.1,1017.8
2021-01-22,-13.6,-16.0,-11.7,,152.0,16.0,1011.7
2021-01-23,-15.0,-17.0,-12.5,,186.0,13.5,1006.4
2021-01-24,-13.8,-16.0,-12.7,,177.0,7.7,1002.2
2021-01-25,-12.7,-16.2,-11.7,,164.0,10.8,1005.0
2021-01-26,-13.0,-17.0,-9.0,,190.0,7.3,1011.6
2021-01-27,-10.8,-15.0,-5.5,,149.0,8.7,1014.2
2021-01-28,-7.2,-9.0,-6.0,,137.0,11.6,1013.9
2021-01-29,-11.0,-13.0,-8.9,,161.0,14.2,1009.1
2021-01-30,-10.7,-11.0,-10.0,,167.0,7.0,1003.7
2021-01-31,-7.7,-10.0,-6.0,,116.0,3.4,996.4
2021-02-01,-8.7,-13.2,-5.0,,170.0,7.0,999.6
2021-02-02,-11.3,-16.0,-7.2,,186.0,5.0,1012.7
2021-02-03,-13.2,-19.0,-4.0,,156.0,4.8,1021.6
2021-02-04,-2.1,-7.0,-1.0,,17.0,21.8,1012.5
2021-02-05,-2.9,-5.0,-1.0,0.9,50.0,12.0,1018.9
2021-02-06,-4.0,-6.0,-2.7,,33.0,14.8,1031.3
2021-02-07,-4.2,-7.0,-2.9,,23.0,19.2,1027.4
2021-02-08,-7.1,-15.0,-3.0,,64.0,16.5,1023.1
2021-02-09,-11.0,-15.0,-8.0,,189.0,6.2,1021.8
2021-02-10,-6.8,-8.6,-5.0,,162.0,8.6,1021.1
2021-02-11,-8.6,-11.1,-6.0,,165.0,7.2,1023.1
2021-02-12,-3.8,-6.9,-1.0,,221.0,21.8,1015.6
2021-02-13,-8.3,-12.4,-2.4,,199.0,12.4,1022.8
2021-02-14,-8.0,-13.0,-4.7,,152.0,6.4,1024.7
2021-02-15,-1.8,-10.0,1.5,,57.0,15.0,1018.4
2021-02-16,-10.1,-13.0,-6.7,,175.0,11.7,1023.3
2021-02-17,-15.8,-19.0,-13.2,,205.0,9.5,1018.9
2021-02-18,-12.2,-20.0,-5.0,,157.0,10.7,1017.5
2021-02-19,-14.6,-16.7,-12.7,,135.0,20.0,1019.0
2021-02-20,-12.8,-13.8,-11.9,,145.0,19.5,1019.2
2021-02-21,-12.8,-14.0,-11.4,,158.0,29.4,1022.0
2021-02-22,-13.2,-15.0,-10.7,,160.0,35.2,1022.2
2021-02-23,-9.6,-12.0,-6.5,,148.0,20.2,1016.0
2021-02-24,-6.4,-9.0,-2.0,,155.0,25.2,1002.9
2021-02-25,1.6,-2.4,5.2,,180.0,19.2,989.3
2021-02-26,2.0,0.5,4.0,,289.0,22.2,999.2
2021-02-27,0.0,-1.0,1.0,,167.0,9.2,1008.8
2021-02-28,4.0,-2.0,7.2,,225.0,18.2,999.9
2021-03-01,1.4,-2.0,4.0,,293.0,29.4,994.8
2021-03-02,-0.9,-2.0,1.0,,346.0,11.8,1006.3
2021-03-03,-2.5,-4.0,-1.0,,344.0,16.3,1004.6
2021-03-04,-3.9,-6.0,-3.0,0.6,310.0,23.4,1000.2
2021-03-05,-5.0,-7.0,-3.4,,182.0,10.1,1014.9
2021-03-06,-2.1,-4.0,-1.0,,349.0,16.1,992.4
2021-03-07,-2.9,-5.0,-1.9,,334.0,26.4,1008.7
2021-03-08,-10.7,-15.0,-5.0,,168.0,8.1,1016.1
2021-03-09,-13.6,-19.0,-8.0,,169.0,12.8,1023.4
2021-03-10,-11.2,-14.0,-9.0,,153.0,18.2,1014.8
2021-03-11,-8.2,-12.0,-4.0,,157.0,20.9,995.8
2021-03-12,-4.1,-6.0,-2.5,,171.0,18.4,984.9
2021-03-13,-4.7,-6.2,-3.0,,157.0,12.4,986.7
2021-03-14,-2.9,-5.0,-1.0,,130.0,4.5,991.8
2021-03-15,-2.6,-5.0,0.0,,68.0,4.5,1002.2
2021-03-16,-5.2,-9.0,-2.5,,25.0,12.6,1015.9
2021-03-17,-5.1,-7.5,-3.0,,325.0,29.2,1019.4
2021-03-18,-6.5,-13.0,-3.0,,90.0,10.3,1026.1
2021-03-19,-3.6,-10.4,3.4,,174.0,16.3,1007.6
2021-03-20,0.5,-2.0,3.0,,266.0,11.2,988.0
2021-03-21,-2.6,-4.0,0.0,,302.0,24.4,990.9
2021-03-22,-2.3,-6.0,1.0,,199.0,12.8,996.4
2021-03-23,2.2,0.0,5.0,,245.0,24.1,986.2
2021-03-24,2.7,-1.0,7.5,,190.0,16.2,982.4
2021-03-25,1.2,-3.0,4.0,,284.0,17.8,991.5
2021-03-26,-1.2,-5.7,2.0,,156.0,12.8,1007.1
2021-03-27,2.7,0.5,5.0,,156.0,15.0,1002.9
2021-03-28,,,,,,,
2021-03-29,2.5,-1.0,4.0,,169.0,15.3,999.9
2021-03-30,1.7,0.0,3.0,,276.0,10.1,992.9
2021-03-31,2.0,0.5,3.0,4.8,314.0,24.9,1001.0
2021-04-01,1.6,-2.0,4.0,,304.0,12.0,1004.4
