time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,12.0,9.4,15.0,32.0,0.0,17.7,1022.6
2021-01-02,13.7,14.0,18.0,4.1,340.0,19.0,1022.9
2021-01-03,15.3,10.0,18.0,0.8,31.0,20.5,1025.0
2021-01-04,16.4,14.3,18.2,14.1,62.0,27.9,1023.3
2021-01-05,15.6,13.0,18.0,35.4,16.0,30.7,1018.1
2021-01-06,14.4,12.9,17.0,0.0,3.0,21.0,1019.2
2021-01-07,11.0,8.0,13.3,16.1,336.0,24.9,1019.1
2021-01-08,10.2,8.0,12.0,7.9,320.0,25.1,1018.7
2021-01-09,10.2,8.7,12.0,3.7,317.0,29.1,1019.5
2021-01-10,11.3,10.0,14.0,0.9,355.0,18.1,1022.8
2021-01-11,13.0,10.0,16.0,5.2,353.0,11.6,1021.7
2021-01-12,12.0,11.0,13.0,9.3,325.0,22.8,1017.8
2021-01-13,13.2,9.0,16.0,0.0,350.0,10.5,1019.8
2021-01-14,15.1,8.0,19.0,0.0,27.0,12.7,1020.6
2021-01-15,18.5,16.5,21.0,0.0,81.0,17.9,1017.4
2021-01-16,17.3,14.8,21.0,1.2,7.0,17.4,1017.3
2021-01-17,13.5,11.8,16.0,0.0,351.0,25.6,1021.8
2021-01-18,12.8,10.0,16.0,0.1,337.0,16.9,1022.7
2021-01-19,14.3,12.2,18.0,0.0,4.0,17.6,1024.9
2021-01-20,16.7,14.0,19.0,0.0,75.0,19.7,1025.2
2021-01-21,19.4,16.8,23.0,0.5,125.0,23.9,1021.5
2021-01-22,19.2,18.6,20.0,33.5,136.0,19.3,1015.7
2021-01-23,19.6,17.3,22.0,20.0,214.0,19.0,1009.4
2021-01-24,18.8,16.9,21.0,5.1,333.0,20.6,1015.0
2021-01-25,18.4,16.1,22.0,8.7,69.0,16.6,1018.2
2021-01-26,18.2,16.6,21.0,6.9,218.0,17.4,1015.8
2021-01-27,17.0,15.4,19.0,1.8,341.0,16.9,1015.1
2021-01-28,16.2,14.4,19.0,0.0,315.0,24.0,1015.3
2021-01-29,12.5,11.0,13.6,0.2,336.0,27.4,1021.4
2021-01-30,13.2,11.0,16.0,0.0,7.0,17.5,1026.3
2021-01-31,15.0,12.5,18.0,0.0,63.0,12.9,1027.5
2021-02-01,18.5,14.7,23.0,0.0,180.0,17.7,1022.5
2021-02-02,16.0,13.1,18.1,3.9,329.0,20.8,1019.9
2021-02-03,13.8,12.0,17.0,0.0,355.0,18.6,1024.5
2021-02-04,14.5,7.0,19.0,0.0,333.0,9.3,1024.7
2021-02-05,16.2,10.0,21.0,0.2,252.0,8.1,1022.0
2021-02-06,18.7,15.6,23.0,0.6,256.0,15.3,1017.8
2021-02-07,17.5,15.0,20.0,0.0,337.0,13.1,1018.6
2021-02-08,16.4,13.2,21.0,0.1,343.0,18.8,1020.8
2021-02-09,14.5,13.3,18.0,0.0,7.0,21.1,1023.6
2021-02-10,15.6,12.0,19.0,0.0,40.0,11.6,1022.6
2021-02-11,15.3,13.9,17.0,20.7,51.0,29.8,1019.2
2021-02-12,17.1,13.8,19.0,13.6,74.0,39.6,1016.0
2021-02-13,19.3,18.1,21.0,5.6,69.0,30.1,1016.3
2021-02-14,20.1,18.3,23.0,15.0,85.0,22.6,1010.6
2021-02-15,18.5,15.8,21.0,2.9,313.0,32.3,1010.2
2021-02-16,15.2,13.0,18.0,0.0,310.0,19.8,1016.4
2021-02-17,12.5,10.8,14.3,1.9,318.0,30.6,1017.9
2021-02-18,10.7,9.0,12.0,1.2,317.0,35.0,1020.0
2021-02-19,13.6,11.2,17.0,0.3,331.0,19.3,1021.1
2021-02-20,15.3,10.0,19.0,0.0,252.0,10.3,1020.7
2021-02-21,16.6,12.0,21.0,0.0,221.0,12.6,1020.4
2021-02-22,19.0,13.0,23.0,0.0,229.0,14.7,1018.0
2021-02-23,19.3,17.0,23.0,0.0,344.0,14.2,1017.7
2021-02-24,19.4,16.9,23.0,0.0,53.0,19.5,1018.1
2021-02-25,20.0,17.8,23.0,1.3,114.0,25.6,1016.5
2021-02-26,20.2,18.1,24.0,19.4,166.0,28.3,1008.6
2021-02-27,17.6,16.0,19.0,30.0,72.0,45.8,1014.0
2021-02-28,18.3,16.3,20.0,16.2,86.0,44.1,1017.6
2021-03-01,20.2,18.8,23.0,1.1,120.0,22.0,1016.7
2021-03-02,16.9,15.0,19.2,1.8,324.0,23.5,1016.2
2021-03-03,15.9,13.6,19.0,0.1,51.0,28.1,1023.2
