time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-12.0,-17.1,-10.5,0.0,80.0,6.8,991.2
2021-01-02,-15.2,-19.3,-11.6,0.0,59.0,4.0,979.9
2021-01-03,-14.7,-17.1,-11.0,1.3,27.0,8.6,983.4
2021-01-04,-11.5,-13.2,-7.1,0.0,32.0,12.6,985.5
2021-01-05,-7.5,-9.9,-4.3,0.0,33.0,11.9,975.6
2021-01-06,-6.9,-11.6,-4.3,0.0,355.0,9.7,978.1
2021-01-07,-3.9,-8.2,3.3,0.0,324.0,9.7,988.6
2021-01-08,-1.3,-3.8,2.8,0.0,343.0,6.5,994.1
2021-01-09,-1.6,-4.3,2.8,0.0,33.0,18.4,995.0
2021-01-10,0.0,-2.1,2.2,0.0,358.0,10.8,975.2
2021-01-11,-1.8,-4.9,2.2,0.0,339.0,10.8,977.3
2021-01-12,-3.6,-7.1,-1.6,0.5,5.0,4.7,978.8
2021-01-13,-4.5,-7.7,-2.1,0.0,351.0,3.6,998.2
2021-01-14,-3.9,-6.0,0.6,0.0,350.0,11.5,996.3
2021-01-15,-1.1,-5.5,0.6,0.0,128.0,8.6,991.2
2021-01-16,-3.3,-6.6,1.1,0.0,350.0,9.0,996.3
2021-01-17,0.0,-1.0,5.0,0.3,31.0,8.6,1000.5
2021-01-18,1.8,-0.5,3.9,11.2,324.0,14.8,989.8
2021-01-19,0.5,-4.3,1.1,1.8,176.0,15.1,1004.5
2021-01-20,-2.4,-5.5,-1.0,0.0,19.0,6.8,1018.4
2021-01-21,-2.9,-6.0,3.9,0.0,44.0,6.8,1022.1
2021-01-22,1.0,-2.7,3.3,0.0,349.0,7.2,1017.7
2021-01-23,-1.0,-1.6,1.1,0.0,352.0,7.9,1000.1
2021-01-24,0.3,-6.0,1.7,1.5,172.0,9.7,1010.0
2021-01-25,-3.7,-11.6,-2.1,0.0,24.0,7.6,1009.9
2021-01-26,-10.6,-16.6,-8.2,0.0,0.0,1.4,1019.2
2021-01-27,-13.4,-17.1,-9.3,0.0,33.0,5.4,1015.9
2021-01-28,-9.5,-9.9,-7.1,0.5,0.0,12.2,999.4
2021-01-29,-6.7,-9.9,-3.8,0.0,21.0,10.4,992.0
2021-01-30,-8.4,-14.3,-4.9,0.0,347.0,8.6,1007.2
2021-01-31,-10.6,-16.0,-9.9,0.0,14.0,9.0,1019.0
2021-02-01,-13.1,-14.9,-10.5,0.0,353.0,24.1,1015.0
2021-02-02,-13.2,-17.7,-10.5,3.0,20.0,7.2,1011.3
2021-02-03,-11.7,-12.7,-8.8,1.5,13.0,9.7,1013.7
2021-02-04,-10.1,-11.6,-7.7,0.0,353.0,10.1,1025.1
2021-02-05,-11.9,-16.0,-8.2,0.0,17.0,5.0,1027.0
2021-02-06,-11.0,-15.5,-8.2,0.0,9.0,5.0,1031.4
2021-02-07,-11.3,-18.2,-10.5,0.0,24.0,5.8,1029.9
2021-02-08,-15.3,-21.0,-11.6,0.0,42.0,4.7,1026.7
2021-02-09,-15.9,-18.2,-13.2,0.3,359.0,10.8,1027.6
2021-02-10,-12.9,-13.8,-6.6,0.8,7.0,14.8,1029.1
2021-02-11,-7.1,-7.1,-3.8,0.0,359.0,7.6,1024.1
2021-02-12,-5.4,-13.8,-3.2,0.0,20.0,6.1,1020.4
2021-02-13,-10.9,-17.1,-7.1,0.0,30.0,5.0,1011.3
2021-02-14,-10.6,-15.5,-6.6,0.0,9.0,9.4,1005.5
2021-02-15,-7.7,-9.9,-4.3,0.0,20.0,6.5,1005.7
2021-02-16,-5.9,-6.6,-3.2,5.3,14.0,7.6,1010.7
2021-02-17,-4.4,-6.0,-1.0,0.0,359.0,9.0,1004.5
2021-02-18,-2.7,-7.1,-1.0,4.1,10.0,7.2,993.3
2021-02-19,-7.6,-17.7,-5.5,0.0,21.0,15.8,995.2
2021-02-20,-15.4,-18.8,-10.5,0.0,3.0,15.5,989.2
2021-02-21,-11.4,-15.5,-6.6,0.3,61.0,9.0,988.1
2021-02-22,-9.3,-16.6,-7.1,0.0,357.0,6.1,1007.1
2021-02-23,-13.6,-18.2,-8.2,0.5,15.0,9.0,1021.2
2021-02-24,-8.6,-8.8,-3.8,3.3,7.0,12.6,1006.6
2021-02-25,-4.7,-10.5,-1.0,0.0,192.0,6.1,1008.6
2021-02-26,-4.2,-7.1,-3.2,2.3,7.0,5.4,1012.0
2021-02-27,-3.9,-4.3,-1.6,1.5,355.0,11.2,995.8
2021-02-28,-3.4,-11.0,-2.1,0.0,16.0,17.3,996.8
2021-03-01,-9.4,-13.8,-8.2,8.1,6.0,7.9,993.0
2021-03-02,-10.0,-14.9,-7.7,0.0,21.0,7.6,989.6
2021-03-03,-12.1,-16.6,-4.3,0.0,25.0,5.0,999.1
2021-03-04,-10.8,-17.1,-4.3,0.0,0.0,3.2,1006.7
2021-03-05,-6.6,-7.1,-2.1,0.0,9.0,10.1,998.5
2021-03-06,-5.7,-11.6,-1.6,0.0,302.0,4.7,1006.6
2021-03-07,-7.4,-15.5,-3.2,0.0,346.0,4.0,1022.4
2021-03-08,-8.2,-14.9,-2.1,0.0,17.0,3.2,1022.4
2021-03-09,-4.9,-8.8,-0.5,1.3,356.0,4.3,1019.1
2021-03-10,-1.9,-4.9,-1.0,1.3,334.0,15.8,1005.7
2021-03-11,-6.1,-11.6,-4.9,0.3,12.0,19.8,1011.7
2021-03-12,-11.2,-14.3,-5.5,0.0,16.0,15.5,1024.1
2021-03-13,-10.8,-19.3,-7.1,0.0,24.0,6.1,1021.7
2021-03-14,-12.2,-16.6,-4.9,0.0,,9.0,
2021-03-15,-7.7,-9.3,-5.5,7.6,40.0,9.7,1001.5
2021-03-16,-6.6,-12.1,-2.1,0.0,345.0,2.2,1007.5
2021-03-17,-9.6,-16.6,-4.9,0.0,356.0,5.4,1004.8
2021-03-18,-9.2,-11.0,-4.3,0.3,349.0,16.2,1003.0
2021-03-19,-10.3,-18.8,-6.0,0.0,5.0,4.3,1011.3
2021-03-20,-11.6,-15.5,-4.3,0.0,5.0,14.0,1006.9
2021-03-21,-8.1,-13.8,-2.7,0.0,344.0,7.6,1007.3
2021-03-22,-9.6,-16.6,-2.1,0.0,21.0,6.1,1013.8
2021-03-23,-4.1,-6.0,0.0,0.0,334.0,6.1,1014.9
2021-03-24,-3.1,-9.3,1.1,2.5,161.0,10.4,1016.4
2021-03-25,-1.7,-4.3,-0.5,3.6,320.0,6.5,1012.2
2021-03-26,-3.1,-8.2,0.0,0.0,315.0,5.0,1011.9
2021-03-27,-3.0,-4.9,1.1,0.0,338.0,10.4,1010.0
2021-03-28,-3.9,-9.3,1.1,0.0,58.0,7.6,1023.8
2021-03-29,-0.8,-3.8,2.8,0.5,139.0,20.5,1015.7
2021-03-30,1.4,-4.9,4.4,0.0,183.0,10.8,1007.0
2021-03-31,-2.1,-6.0,0.6,0.0,254.0,10.8,999.0
2021-04-01,-4.6,-7.7,-2.1,0.0,340.0,13.0,1004.7
2021-04-02,-6.1,-12.7,-0.5,0.0,353.0,4.7,1013.2
2021-04-03,-2.7,-3.8,3.3,0.0,340.0,9.7,1015.4
2021-04-04,2.4,0.0,5.6,0.0,169.0,28.1,1011.1
2021-04-05,-0.3,-7.1,0.0,0.0,1.0,18.4,1019.3
2021-04-06,-6.4,-11.6,-2.1,0.0,328.0,9.4,1018.4
2021-04-07,-5.9,-11.6,-0.5,0.8,27.0,9.0,1017.1
2021-04-08,-3.8,-12.7,-4.3,0.8,348.0,26.6,1004.3
2021-04-09,-10.8,-14.3,-6.6,0.0,357.0,24.5,1020.9
2021-04-10,-11.7,-15.5,-5.5,0.0,14.0,14.4,1024.6
2021-04-11,-6.9,-8.8,-4.3,0.0,358.0,14.4,1019.5
2021-04-12,-2.5,-4.3,5.0,0.0,214.0,18.7,1011.1
2021-04-13,3.1,0.6,6.7,0.5,103.0,9.7,1015.2
2021-04-14,3.4,1.1,5.0,0.3,53.0,19.4,1008.1
2021-04-15,4.3,-1.0,8.3,0.0,133.0,8.3,1024.7
2021-04-16,2.8,-2.1,10.6,0.0,2.0,3.6,1031.4
2021-04-17,4.8,-1.0,12.8,0.0,12.0,5.0,1030.5
2021-04-18,7.1,2.8,13.9,0.0,21.0,6.1,1025.2
2021-04-19,8.3,1.1,16.1,0.0,28.0,13.0,1022.2
2021-04-20,9.1,1.1,12.2,0.0,187.0,12.2,1027.8
2021-04-21,5.4,-1.0,13.9,0.0,0.0,9.0,1027.8
2021-04-22,7.3,-0.5,12.8,0.0,309.0,6.5,1020.3
2021-04-23,7.4,-0.6,15.6,0.0,13.0,7.2,1015.8
2021-04-24,7.6,0.0,12.2,0.0,311.0,6.5,1016.0
2021-04-25,6.7,0.0,13.3,0.0,336.0,5.8,1013.1
2021-04-26,6.2,-1.0,15.0,0.0,331.0,8.3,1004.1
2021-04-27,9.3,0.6,15.6,0.0,142.0,11.2,1002.8
2021-04-28,9.3,3.3,13.3,0.0,153.0,20.9,1005.7
