time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,19.4,17.0,22.7,49.6,185.0,3.4,1013.9
2021-01-03,19.1,17.5,21.5,20.3,169.0,3.6,1013.9
2021-01-04,19.4,16.7,23.3,30.5,162.0,2.7,1013.1
2021-01-05,18.8,17.2,24.0,4.9,167.0,2.8,1013.8
2021-01-06,19.1,16.9,22.8,15.4,201.0,2.9,1014.2
2021-01-07,19.2,17.0,23.0,36.6,202.0,3.4,1014.5
2021-01-08,18.6,16.4,21.6,42.8,188.0,4.3,1014.7
2021-01-09,18.5,16.6,20.9,45.3,202.0,3.5,1014.6
2021-01-10,19.0,15.9,23.1,44.6,203.0,3.5,1014.1
2021-01-11,19.2,17.3,22.8,45.6,198.0,3.8,1014.1
2021-01-12,19.3,16.8,22.5,33.0,191.0,4.1,1013.6
2021-01-13,19.9,16.3,24.5,32.4,191.0,4.0,1012.6
2021-01-14,19.8,16.8,24.0,16.5,189.0,4.2,1012.6
2021-01-15,19.8,17.5,23.5,33.4,184.0,4.0,1012.8
2021-01-16,19.7,16.3,24.2,15.3,180.0,3.4,1013.3
2021-01-17,19.8,17.3,23.5,12.1,177.0,3.5,1012.7
2021-01-18,19.7,15.9,24.2,23.4,205.0,3.5,1012.7
2021-01-19,20.2,15.9,24.9,10.4,208.0,4.9,1012.1
2021-01-20,20.0,15.9,24.9,6.6,188.0,5.6,1011.5
2021-01-21,19.7,17.2,23.1,38.1,185.0,4.2,1012.3
2021-01-22,19.6,16.4,22.7,28.3,200.0,3.5,1013.1
2021-01-23,19.1,17.9,20.6,35.4,209.0,3.0,1013.6
2021-01-24,19.3,16.1,24.1,38.1,192.0,4.2,1012.1
2021-01-25,19.2,16.2,22.8,21.4,193.0,4.3,1011.6
2021-01-26,19.5,16.5,22.5,21.2,180.0,4.1,1011.9
2021-01-27,19.7,16.9,23.7,35.1,189.0,3.9,1012.4
2021-01-28,20.5,17.2,27.0,28.7,190.0,3.9,1012.8
2021-01-29,23.2,17.7,27.0,18.2,217.0,4.9,1011.0
2021-01-30,24.0,17.9,29.0,28.3,206.0,4.0,1010.5
2021-01-31,23.5,15.7,28.5,2.4,160.0,4.3,1009.6
2021-02-01,22.8,18.8,27.0,46.1,240.0,5.0,1011.8
2021-02-02,22.8,18.2,28.0,29.9,255.0,3.3,1011.9
2021-02-03,25.9,18.1,30.0,43.4,241.0,4.2,1011.8
2021-02-04,21.1,17.6,26.0,27.4,212.0,4.6,1012.3
2021-02-05,24.0,18.1,27.0,25.5,176.0,3.5,1013.3
2021-02-06,20.0,17.9,23.4,26.5,217.0,3.1,1013.2
2021-02-07,20.3,17.8,23.0,18.4,175.0,3.6,1012.5
2021-02-08,23.0,18.4,28.0,31.0,186.0,5.4,1013.4
2021-02-09,23.8,17.4,26.0,21.6,190.0,3.5,1014.1
2021-02-10,21.8,17.8,25.2,8.4,135.0,3.3,1013.2
2021-02-11,20.9,16.9,26.0,1.4,148.0,3.1,1011.7
2021-02-12,19.9,17.3,22.7,13.5,167.0,3.3,1012.0
2021-02-13,20.0,17.0,24.0,27.3,215.0,3.1,1013.0
2021-02-14,20.5,17.3,24.0,25.7,185.0,3.3,1014.5
2021-02-15,20.2,17.3,25.7,9.2,176.0,3.1,1014.8
2021-02-16,21.4,17.5,28.0,10.9,113.0,3.7,1015.2
2021-02-17,22.4,16.9,26.0,3.8,161.0,5.0,1014.8
2021-02-18,20.6,17.2,24.0,16.9,143.0,3.3,1015.3
2021-02-19,19.8,17.7,22.0,19.2,159.0,2.6,1015.7
2021-02-20,19.3,17.0,23.5,8.6,145.0,3.3,1015.3
2021-02-21,19.6,17.1,24.1,6.6,136.0,3.4,1014.5
2021-02-22,21.2,17.4,23.0,11.3,163.0,2.7,1013.8
2021-02-23,21.2,18.1,26.0,25.7,210.0,3.9,1012.7
2021-02-24,21.2,15.7,26.7,16.1,236.0,4.8,1011.0
2021-02-25,24.7,17.2,29.0,16.3,236.0,3.8,1011.1
2021-02-26,22.2,17.8,24.1,24.0,178.0,5.3,1011.3
2021-02-27,21.0,17.4,22.9,21.4,136.0,2.1,1011.5
2021-02-28,22.0,17.6,27.0,34.7,175.0,4.4,1011.1
2021-03-01,18.5,18.0,22.2,13.4,195.0,2.8,1011.2
2021-03-02,17.8,17.0,23.2,2.7,134.0,4.1,1012.6
2021-03-03,17.8,17.0,24.1,14.5,249.0,2.5,1013.7
2021-03-04,20.0,18.3,25.4,6.7,80.0,3.0,1014.1
2021-03-05,18.8,16.8,24.7,5.5,150.0,3.3,1012.8
2021-03-06,20.0,16.9,23.8,42.1,206.0,3.0,1012.4
2021-03-07,20.0,16.4,25.0,58.2,200.0,4.0,1012.9
2021-03-08,21.2,18.0,21.0,49.0,214.0,4.3,1014.8
2021-03-09,22.8,16.2,27.0,28.0,181.0,3.0,1014.7
2021-03-10,18.5,17.2,22.7,24.1,196.0,2.5,1014.6
2021-03-11,18.2,17.1,21.4,4.4,154.0,4.8,1015.7
2021-03-12,19.5,16.9,23.0,2.3,122.0,3.2,1015.9
2021-03-13,17.4,16.0,24.1,2.3,153.0,3.0,1015.0
2021-03-14,18.3,16.0,25.1,0.8,142.0,3.8,1014.1
2021-03-15,20.4,16.9,24.6,4.1,121.0,3.2,1014.2
2021-03-16,19.2,16.8,21.3,20.2,145.0,3.4,1013.7
2021-03-17,21.0,16.8,27.0,43.6,167.0,4.6,1013.9
2021-03-18,19.0,16.5,21.5,38.2,177.0,3.0,1014.7
2021-03-19,19.8,16.4,22.8,8.8,144.0,2.6,1014.5
2021-03-20,20.2,16.7,25.0,2.9,148.0,3.6,1014.3
2021-03-21,19.8,17.0,24.0,5.8,189.0,3.2,1013.2
2021-03-22,21.2,17.9,21.0,3.7,163.0,3.6,1014.7
2021-03-23,20.2,16.0,27.0,3.0,138.0,3.5,1014.2
2021-03-24,22.8,17.5,26.0,19.8,208.0,2.8,1013.9
2021-03-25,23.6,16.8,28.0,26.6,192.0,3.3,1013.8
2021-03-26,21.2,16.5,22.1,34.4,176.0,4.5,1013.5
2021-03-27,20.0,17.5,23.0,43.7,202.0,3.0,1012.8
2021-03-28,22.8,17.7,27.0,42.9,207.0,2.6,1011.7
