time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.7,23.3,,3.0,,,
2021-01-02,29.3,23.0,32.7,1.0,318.0,3.8,1011.1
2021-01-03,26.9,23.2,32.6,1.6,342.0,7.6,1007.8
2021-01-04,25.8,24.0,33.5,14.0,357.0,10.1,1007.9
2021-01-05,23.6,22.5,27.4,26.8,5.0,5.3,1010.1
2021-01-06,24.3,22.3,28.9,29.0,343.0,4.8,1012.1
2021-01-07,26.8,21.5,30.5,43.7,332.0,5.7,1012.7
2021-01-08,29.6,21.5,33.5,0.0,349.0,8.5,1011.0
2021-01-09,30.9,23.3,33.5,0.0,339.0,10.2,1009.4
2021-01-10,30.7,23.0,34.0,0.2,346.0,9.6,1009.6
2021-01-11,29.9,22.5,34.0,0.6,353.0,11.7,1009.2
2021-01-12,30.7,23.0,33.5,3.5,354.0,9.9,1009.7
2021-01-13,26.3,24.0,33.8,15.1,55.0,4.3,1010.5
2021-01-14,28.1,23.5,32.0,11.5,182.0,4.7,1009.1
2021-01-15,25.6,24.0,32.0,3.8,344.0,6.5,1007.3
2021-01-16,25.7,23.5,28.5,19.8,350.0,12.2,1006.4
2021-01-17,24.7,19.9,28.5,11.7,17.0,15.1,1008.3
2021-01-18,24.6,21.3,28.3,24.1,148.0,11.6,1012.3
2021-01-19,27.4,19.5,30.5,0.0,144.0,8.6,1011.5
2021-01-20,26.0,21.1,32.2,0.3,132.0,6.8,1010.6
2021-01-21,30.2,24.5,33.8,3.7,99.0,8.5,1010.9
2021-01-22,25.0,22.4,28.1,2.8,74.0,5.1,1012.6
2021-01-23,26.9,21.5,33.0,58.9,347.0,4.7,1012.8
2021-01-24,25.1,22.8,29.7,12.9,352.0,5.9,1011.1
2021-01-25,28.0,22.5,30.6,1.0,350.0,9.9,1009.4
2021-01-26,25.6,23.0,31.0,1.0,352.0,11.1,1008.4
2021-01-27,26.1,22.5,29.5,42.9,1.0,10.2,1009.5
2021-01-28,24.8,22.4,29.4,9.1,358.0,9.8,1008.4
2021-01-29,24.8,22.3,29.1,6.5,353.0,12.0,1008.3
2021-01-30,25.7,22.3,30.9,1.1,347.0,12.1,1009.2
2021-01-31,26.4,23.0,31.2,1.5,346.0,12.8,1009.9
2021-02-01,26.2,23.3,31.2,3.2,357.0,11.7,1009.1
