time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.9,24.0,30.0,,,7.8,
2021-01-02,26.7,25.0,28.3,13.7,,,
2021-01-03,25.8,24.4,28.3,0.8,54.0,15.8,1008.9
2021-01-04,27.8,25.6,28.9,1.5,67.0,18.3,1008.5
2021-01-05,27.3,24.4,28.3,6.4,73.0,16.8,1008.6
2021-01-06,26.3,24.4,28.9,45.0,75.0,10.3,1007.9
2021-01-07,26.7,25.6,28.9,21.3,91.0,9.6,1008.0
2021-01-08,25.9,25.0,28.9,3.0,12.0,7.2,1008.3
2021-01-09,26.2,24.0,29.0,24.0,56.0,8.4,1007.9
2021-01-10,26.5,25.0,28.9,8.4,69.0,9.8,1008.2
2021-01-11,27.2,25.6,28.9,22.1,77.0,10.8,1007.9
2021-01-12,26.0,24.4,28.3,1.0,83.0,6.5,1008.0
2021-01-13,26.1,25.0,28.3,0.0,91.0,5.0,1008.7
2021-01-14,27.2,25.6,28.9,0.0,55.0,9.1,1008.4
2021-01-15,27.3,25.6,28.3,4.1,62.0,12.0,1007.1
2021-01-16,26.9,25.6,28.3,7.6,69.0,13.9,1006.4
2021-01-17,26.2,23.3,27.2,36.6,88.0,12.6,1007.5
2021-01-18,25.0,23.9,27.2,1.8,130.0,8.8,1008.7
2021-01-19,25.7,24.4,28.3,0.0,65.0,9.5,1009.7
2021-01-20,27.9,25.6,28.9,4.1,79.0,14.8,1010.0
2021-01-21,27.0,24.4,28.3,3.0,66.0,11.9,1009.9
2021-01-22,26.8,25.6,28.9,8.1,68.0,11.6,1009.5
2021-01-23,27.0,25.6,28.3,0.8,63.0,11.6,1009.4
2021-01-24,27.7,25.6,28.9,0.0,71.0,12.4,1009.7
2021-01-25,27.7,25.0,28.3,0.0,54.0,13.9,1008.8
2021-01-26,27.5,26.1,28.3,0.0,54.0,15.7,1007.7
2021-01-27,27.2,24.4,28.3,4.6,57.0,14.2,1008.0
2021-01-28,27.0,24.4,28.3,13.5,47.0,9.5,1008.0
2021-01-29,26.3,24.4,28.3,0.0,37.0,14.3,1008.2
2021-01-30,27.5,25.6,28.9,0.0,44.0,17.2,1008.9
2021-01-31,27.8,25.6,28.9,1.5,55.0,15.7,1009.3
2021-02-01,27.4,25.6,28.9,6.9,64.0,15.0,1009.7
2021-02-02,27.2,24.4,28.3,3.3,58.0,7.8,1010.0
2021-02-03,27.5,25.6,28.9,0.0,57.0,12.2,1009.9
2021-02-04,27.8,25.0,28.9,2.0,56.0,14.6,1009.2
2021-02-05,28.1,24.4,28.3,24.9,53.0,17.0,1008.9
2021-02-06,25.5,25.0,28.3,10.9,62.0,11.4,1008.5
2021-02-07,26.3,23.9,27.8,24.6,80.0,19.7,1007.9
2021-02-08,26.6,25.0,28.3,7.9,80.0,18.2,1008.7
2021-02-09,26.6,24.4,28.3,0.0,54.0,14.3,1009.3
2021-02-10,27.3,25.0,28.3,0.0,65.0,13.8,1009.6
2021-02-11,27.6,25.0,28.9,0.0,73.0,12.9,1009.2
2021-02-12,27.2,25.6,28.9,17.8,63.0,10.3,1009.3
2021-02-13,26.5,25.0,28.3,2.0,56.0,7.3,1009.9
2021-02-14,26.5,24.4,28.3,0.0,349.0,5.3,1009.5
2021-02-15,25.9,23.9,27.8,20.8,18.0,8.1,1009.0
2021-02-16,24.9,24.4,24.4,92.5,346.0,9.3,1007.5
2021-02-17,26.8,24.4,26.1,17.3,92.0,18.4,1005.1
2021-02-18,27.2,26.1,26.7,2.5,144.0,14.8,1004.8
2021-02-19,27.7,25.6,28.3,22.1,121.0,17.5,1006.0
2021-02-20,27.2,25.6,27.8,8.6,133.0,14.8,1007.2
2021-02-21,26.8,23.9,27.2,17.0,182.0,10.1,1009.4
2021-02-22,26.0,25.0,28.9,0.0,50.0,8.2,1010.0
2021-02-23,27.1,25.0,28.3,0.8,45.0,11.3,1009.1
2021-02-24,26.8,25.6,28.9,4.6,47.0,8.0,1008.0
2021-02-25,26.9,25.6,28.9,6.1,73.0,11.9,1007.7
