time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-31.1,-35.5,-29.4,0.0,245.0,12.5,1009.0
2021-01-02,-34.8,-36.8,-32.8,0.0,292.0,14.4,1005.4
2021-01-03,-37.5,-39.7,-35.2,0.0,324.0,7.5,1009.5
2021-01-04,-35.7,-39.7,-31.7,0.0,37.0,7.8,1015.2
2021-01-05,-33.5,-39.7,-31.7,0.0,5.0,8.6,1023.2
2021-01-06,-25.8,-31.4,-20.2,0.0,118.0,21.9,1025.9
2021-01-07,-16.1,-20.2,-7.7,1.2,142.0,31.4,1006.9
2021-01-08,-20.6,-25.8,-15.4,0.0,288.0,32.6,1013.2
2021-01-09,-26.0,-28.8,-23.1,0.0,346.0,6.0,1013.8
2021-01-10,-26.1,-28.9,-23.3,0.0,353.0,11.4,1009.3
2021-01-11,-21.6,-25.6,-17.6,0.0,112.0,10.0,1007.6
2021-01-12,-16.1,-17.7,-14.4,0.2,121.0,28.5,1000.9
2021-01-13,-17.3,-23.3,-11.2,0.0,251.0,26.6,994.6
2021-01-14,-23.4,-26.3,-20.5,0.0,297.0,34.8,1010.8
2021-01-15,-24.8,-28.3,-21.2,0.0,299.0,36.7,1014.8
2021-01-16,-22.3,-24.2,-20.3,0.2,319.0,34.9,1016.6
2021-01-17,-24.8,-26.8,-22.8,0.0,311.0,23.0,1018.8
2021-01-18,-27.1,-29.0,-25.2,0.0,323.0,33.5,1022.5
2021-01-19,-31.0,-33.3,-28.7,0.0,324.0,25.5,1013.1
2021-01-20,-26.9,-32.0,-21.8,0.0,326.0,34.4,1007.1
2021-01-21,-23.2,-25.6,-20.8,0.8,22.0,23.3,1017.6
2021-01-22,-28.1,-30.5,-25.6,0.4,318.0,30.5,1016.4
2021-01-23,-30.1,-33.9,-26.2,0.0,165.0,12.3,1026.5
2021-01-24,-25.8,-29.4,-22.1,0.0,354.0,16.6,1038.0
2021-01-25,-21.7,-23.3,-20.1,0.4,333.0,37.3,1032.1
2021-01-26,-18.4,-19.9,-16.9,0.0,40.0,10.0,1029.0
2021-01-27,-21.8,-27.2,-16.4,0.0,126.0,7.0,1032.7
2021-01-28,-25.1,-28.0,-22.1,0.0,104.0,10.5,1033.1
2021-01-29,-21.2,-23.7,-18.8,0.0,152.0,23.0,1025.0
2021-01-30,-18.9,-26.2,-18.0,0.2,268.0,12.1,1023.4
2021-01-31,-28.3,-30.2,-26.4,0.0,316.0,16.2,1031.3
2021-02-01,-29.1,-30.8,-27.3,0.0,329.0,17.8,1033.5
2021-02-02,-30.6,-33.1,-28.0,0.0,334.0,17.8,1030.9
2021-02-03,-33.6,-35.0,-32.1,0.0,341.0,19.3,1027.3
2021-02-04,-34.0,-35.5,-32.5,0.0,325.0,22.5,1020.0
2021-02-05,-37.3,-40.2,-34.4,0.0,318.0,44.2,1016.1
2021-02-06,-36.4,-40.0,-32.8,0.0,316.0,50.3,1018.3
2021-02-07,-21.5,-32.4,-10.6,0.0,338.0,49.0,1012.8
2021-02-08,-16.9,-25.9,-7.8,2.0,24.0,25.5,1014.1
2021-02-09,-26.7,-31.9,-21.5,0.0,329.0,13.9,1030.5
2021-02-10,-28.2,-31.5,-18.2,0.0,333.0,30.2,1036.5
2021-02-11,-22.9,-26.0,-19.7,0.0,332.0,30.1,1032.8
2021-02-12,-28.6,-31.5,-25.6,0.0,311.0,22.6,1033.1
2021-02-13,-27.2,-31.2,-23.1,0.0,292.0,25.3,1030.6
2021-02-14,-24.1,-25.5,-22.6,0.0,213.0,15.4,1021.7
2021-02-15,-26.5,-29.4,-23.5,0.0,254.0,12.8,1015.5
2021-02-16,-27.4,-32.8,-23.3,0.0,311.0,14.9,1011.9
2021-02-17,-32.9,-34.5,-32.5,0.0,284.0,19.1,1017.0
2021-02-18,-31.9,-34.4,-29.4,0.0,221.0,9.8,1014.2
2021-02-19,-27.0,-31.2,-22.8,0.0,65.0,12.9,1005.4
2021-02-20,-21.2,-23.8,-18.5,0.0,36.0,18.8,990.4
2021-02-21,-24.3,-27.5,-19.2,0.0,329.0,26.4,990.6
2021-02-22,-28.0,-29.4,-26.6,1.0,319.0,47.2,989.9
2021-02-23,-31.9,-33.7,-30.1,0.0,301.0,36.7,1006.1
2021-02-24,-33.2,-34.5,-31.8,0.0,261.0,22.2,1013.5
2021-02-25,-33.8,-39.8,-27.8,0.0,296.0,43.3,1001.6
2021-02-26,-38.1,-40.2,-36.0,0.0,302.0,31.5,1005.1
2021-02-27,-36.2,-39.4,-33.0,0.0,293.0,40.1,1005.9
2021-02-28,-31.3,-33.0,-25.4,0.0,297.0,35.3,1006.1
2021-03-01,-29.8,-35.9,-23.7,0.0,312.0,27.6,1007.5
