time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.2,15.0,37.0,,50.0,7.2,1012.0
2021-01-02,26.8,19.0,36.0,,37.0,8.3,1011.4
2021-01-03,26.8,17.2,36.0,,23.0,6.2,1011.1
2021-01-04,27.1,19.5,36.0,,43.0,10.3,1011.5
2021-01-05,28.0,22.0,35.0,,41.0,15.2,1011.9
2021-01-06,27.2,19.0,35.0,,48.0,14.0,1012.7
2021-01-07,28.6,21.0,37.0,,51.0,14.3,1012.8
2021-01-08,27.6,14.7,38.0,,54.0,8.8,1011.9
2021-01-09,28.0,15.9,37.5,,71.0,7.4,1011.1
2021-01-10,27.7,16.0,38.0,,27.0,9.4,1010.3
2021-01-11,26.8,21.0,33.0,,35.0,17.6,1012.0
2021-01-12,26.2,19.5,35.0,,32.0,12.1,1013.1
2021-01-13,26.7,20.4,35.0,,38.0,13.6,1013.9
2021-01-14,26.3,18.5,34.2,,45.0,13.7,1013.6
2021-01-15,25.3,16.0,33.4,,46.0,16.6,1013.1
2021-01-16,24.8,20.0,36.5,,49.0,17.3,1012.4
2021-01-17,24.1,15.0,32.2,,45.0,14.8,1013.3
2021-01-18,24.8,17.5,33.0,,42.0,14.0,1013.6
2021-01-19,25.7,17.0,35.0,,45.0,12.5,1013.7
2021-01-20,26.2,14.5,36.0,,50.0,11.7,1013.2
2021-01-21,27.4,20.0,34.2,,60.0,15.8,1013.3
2021-01-22,25.7,20.0,32.2,,55.0,15.8,1014.7
2021-01-23,25.2,20.0,32.0,,57.0,15.0,1014.4
2021-01-24,25.0,16.0,34.0,,55.0,13.1,1013.3
2021-01-25,26.1,18.0,35.0,,62.0,13.9,1012.7
2021-01-26,26.3,19.0,35.0,,54.0,13.5,1013.1
2021-01-27,26.8,19.0,35.0,,50.0,14.5,1012.7
2021-01-28,27.1,20.0,35.3,,49.0,12.6,1012.5
2021-01-29,27.2,17.0,35.4,,51.0,10.6,1012.7
2021-01-30,27.8,13.1,36.0,,51.0,13.5,1013.3
2021-01-31,26.1,18.0,34.0,,48.0,14.0,1013.3
2021-02-01,25.2,14.0,34.0,,57.0,12.8,1013.2
2021-02-02,26.4,13.4,35.0,,54.0,11.5,1013.3
2021-02-03,26.3,13.1,37.0,,50.0,7.6,1013.1
2021-02-04,26.3,13.6,37.2,,45.0,7.1,1011.9
2021-02-05,27.0,16.3,37.6,,60.0,6.2,1011.6
2021-02-06,28.6,17.9,36.5,,11.0,10.0,1012.1
2021-02-07,26.0,23.0,28.0,,33.0,18.4,1013.0
2021-02-08,26.5,21.0,34.0,,39.0,14.2,1012.5
2021-02-09,27.1,19.0,35.0,,43.0,11.6,1012.3
2021-02-10,24.4,17.4,37.0,,50.0,11.8,1012.3
2021-02-11,28.9,21.0,38.0,,46.0,12.1,1012.5
2021-02-12,29.9,19.0,39.0,,49.0,10.4,1011.8
2021-02-13,33.3,18.0,40.0,,58.0,7.2,1010.0
2021-02-14,29.1,17.0,39.0,,54.0,6.4,1008.4
2021-02-15,30.1,19.5,39.0,,35.0,7.1,1008.6
2021-02-16,31.1,23.0,39.0,,21.0,6.7,1008.5
2021-02-17,29.6,24.2,35.5,,260.0,9.6,1010.4
2021-02-18,29.8,23.5,35.0,,17.0,8.0,1012.8
2021-02-19,27.5,23.0,36.0,,67.0,7.5,1013.9
2021-02-20,29.8,24.0,36.0,,68.0,10.0,1015.1
2021-02-21,30.6,22.0,36.5,,70.0,10.4,1013.9
2021-02-22,28.9,21.0,36.5,,65.0,14.4,1012.7
2021-02-23,28.5,21.0,36.0,,61.0,14.9,1013.3
2021-02-24,28.4,21.0,36.0,,54.0,13.2,1013.1
2021-02-25,27.8,21.8,35.0,,49.0,16.9,1013.2
2021-02-26,26.6,21.0,34.0,,44.0,16.1,1012.8
2021-02-27,26.0,20.0,34.3,,31.0,12.2,1011.0
2021-02-28,28.1,21.5,37.0,,34.0,8.2,1009.5
2021-03-01,30.1,21.0,38.0,,46.0,10.5,1009.2
