time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.1,23.0,30.6,,130.0,10.4,1009.6
2021-01-02,26.3,23.8,29.9,,121.0,11.2,1010.0
2021-01-03,26.1,23.8,28.8,,129.0,10.3,1009.4
2021-01-04,25.5,23.2,31.0,,120.0,7.7,1009.5
2021-01-05,26.0,22.6,32.0,,118.0,8.5,1010.2
2021-01-06,27.9,23.4,32.2,,123.0,9.4,1009.0
2021-01-07,27.3,23.0,31.6,,119.0,8.2,1007.9
2021-01-08,26.2,23.9,30.4,,124.0,9.1,1007.7
2021-01-09,25.6,23.0,29.6,,133.0,8.3,1008.0
2021-01-10,24.9,23.6,30.0,,123.0,7.7,1009.3
2021-01-11,26.6,23.2,31.4,,127.0,12.2,1009.6
2021-01-12,26.1,23.8,31.2,,135.0,11.6,1009.8
2021-01-13,25.2,23.7,30.0,,125.0,9.2,1009.9
2021-01-14,26.7,23.0,31.4,,133.0,10.5,1009.7
2021-01-15,25.4,23.6,31.0,,131.0,8.2,1008.7
2021-01-16,25.1,23.2,31.6,,115.0,6.5,1008.8
2021-01-17,26.6,23.2,31.6,,122.0,8.5,1009.1
2021-01-18,26.3,23.2,30.0,,124.0,12.0,1009.8
2021-01-19,26.2,23.4,30.8,,120.0,9.9,1009.6
2021-01-20,26.2,22.0,30.2,,116.0,9.3,1010.6
2021-01-21,26.9,22.6,31.4,,109.0,8.6,1010.3
2021-01-22,26.6,22.6,30.8,,92.0,7.3,1010.1
2021-01-23,26.3,23.0,30.8,,104.0,8.2,1009.9
2021-01-24,26.1,23.2,29.4,,111.0,8.9,1010.3
2021-01-25,26.3,23.0,30.4,,110.0,9.9,1010.0
2021-01-26,27.4,23.0,30.6,,115.0,9.7,1009.1
2021-01-27,26.1,24.0,31.8,,101.0,8.0,1009.6
2021-01-28,26.5,23.2,31.3,,126.0,8.2,1010.4
2021-01-29,26.4,23.0,31.4,,120.0,8.1,1010.6
