time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,7.2,5.3,8.5,10.1,353.0,11.1,1005.3
2021-01-02,5.7,2.7,9.7,0.0,347.0,13.2,1006.2
2021-01-03,5.4,1.4,9.7,0.0,347.0,14.1,1010.0
2021-01-04,4.9,0.5,11.3,0.0,355.0,14.3,1009.6
2021-01-05,3.8,0.6,10.1,0.0,347.0,13.5,1010.6
2021-01-06,3.6,-0.5,10.6,0.7,355.0,15.9,1014.3
2021-01-07,4.7,2.7,7.6,0.0,17.0,14.8,1014.3
2021-01-08,4.2,1.2,7.4,5.7,2.0,17.7,1013.3
2021-01-09,6.3,2.5,8.2,14.4,48.0,34.9,1007.1
2021-01-10,6.7,4.9,8.1,7.4,22.0,16.9,1010.8
2021-01-11,4.9,2.3,8.6,0.0,358.0,17.0,1019.7
2021-01-12,4.2,1.8,9.1,0.0,2.0,21.3,1024.8
2021-01-13,6.6,3.3,11.3,0.0,356.0,20.7,1026.0
2021-01-14,6.7,4.6,10.5,0.0,351.0,22.5,1023.4
2021-01-15,6.8,4.1,12.9,0.0,1.0,17.2,1021.0
2021-01-16,6.8,2.9,13.5,0.0,1.0,14.0,1024.5
2021-01-17,8.7,4.7,15.4,0.0,11.0,12.0,1023.0
2021-01-18,9.2,6.3,12.8,0.4,354.0,9.7,1026.9
2021-01-19,8.6,3.7,14.5,0.0,334.0,13.7,1024.5
2021-01-20,10.1,7.8,14.0,0.0,311.0,14.0,1014.6
2021-01-21,11.3,6.4,15.3,0.5,275.0,16.3,1010.3
2021-01-22,12.8,8.9,16.7,4.5,274.0,28.6,1003.4
2021-01-23,11.8,7.1,16.3,0.0,266.0,19.6,1008.0
2021-01-24,13.1,9.3,17.2,0.0,306.0,18.6,1005.3
2021-01-25,11.9,9.5,14.9,0.0,265.0,18.4,1009.5
2021-01-26,10.4,8.0,13.3,0.0,253.0,11.7,1021.3
2021-01-27,10.1,5.8,16.9,0.0,25.0,11.2,1020.5
2021-01-28,11.9,7.5,18.5,0.0,14.0,6.3,1019.6
2021-01-29,14.7,9.2,21.3,0.0,277.0,13.5,1015.4
2021-01-30,13.9,9.2,20.0,0.0,308.0,15.5,1006.7
2021-01-31,14.3,11.1,18.7,0.3,313.0,24.3,1003.4
2021-02-01,16.4,12.3,20.9,0.0,310.0,17.0,1004.4
2021-02-02,14.7,11.2,18.5,0.0,276.0,14.1,1013.3
2021-02-03,13.4,9.7,18.2,0.0,268.0,12.8,1012.4
2021-02-04,11.8,9.9,14.5,0.0,46.0,9.1,1013.4
2021-02-05,13.0,11.5,15.7,0.0,69.0,18.1,1010.7
