time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,27.1,23.6,31.4,0.8,205.0,5.0,1009.2
2021-01-03,26.4,23.7,30.4,2.1,192.0,5.2,1009.4
2021-01-04,25.9,22.8,30.1,3.1,201.0,5.3,1008.9
2021-01-05,26.2,22.3,31.2,0.3,220.0,4.6,1009.0
2021-01-06,26.2,21.7,31.3,0.2,195.0,5.3,1010.1
2021-01-07,26.4,23.5,30.9,4.2,208.0,5.0,1010.6
2021-01-08,24.5,22.8,27.5,26.8,159.0,3.9,1011.2
2021-01-09,25.5,22.4,29.7,20.0,318.0,2.5,1010.4
2021-01-10,25.7,23.0,29.7,18.1,323.0,2.4,1010.3
2021-01-11,26.1,23.2,30.1,12.3,206.0,4.9,1009.9
2021-01-12,26.8,23.4,31.0,2.0,229.0,4.4,1008.9
2021-01-13,27.0,23.2,31.3,3.0,214.0,5.2,1008.2
2021-01-14,27.0,23.5,31.0,1.8,203.0,5.8,1008.2
2021-01-15,27.1,23.8,31.3,0.5,167.0,5.0,1008.2
2021-01-16,26.9,23.5,31.4,1.4,218.0,5.4,1009.1
2021-01-17,26.6,22.9,31.1,0.3,191.0,5.1,1008.8
2021-01-18,27.0,22.9,32.1,1.1,182.0,5.4,1008.9
2021-01-19,27.5,23.2,32.3,0.0,228.0,4.8,1008.3
2021-01-20,27.3,22.9,32.5,0.0,68.0,3.9,1007.5
2021-01-21,27.3,23.1,32.9,0.0,122.0,4.9,1007.5
2021-01-22,27.6,22.6,32.9,0.0,228.0,5.9,1008.1
2021-01-23,27.7,23.8,32.2,1.1,212.0,5.3,1008.8
2021-01-24,27.0,24.2,30.9,1.1,214.0,5.0,1008.3
2021-01-25,27.7,24.2,32.2,0.3,176.0,4.9,1007.2
2021-01-26,28.2,23.8,33.8,0.1,227.0,4.7,1007.0
2021-01-27,28.0,23.6,33.3,0.1,192.0,3.9,1007.6
2021-01-28,27.8,24.2,32.9,0.6,187.0,5.4,1008.3
2021-01-29,33.3,23.7,34.0,0.1,219.0,5.0,1007.3
2021-01-30,27.9,23.5,34.0,0.0,181.0,5.2,1007.1
2021-01-31,28.8,23.9,35.1,0.0,185.0,4.6,1006.1
2021-02-01,29.0,24.3,35.3,0.6,173.0,5.2,1006.7
2021-02-02,26.6,23.9,31.1,13.6,236.0,4.5,1007.9
2021-02-03,26.4,23.1,30.7,16.6,178.0,4.6,1008.4
2021-02-04,27.5,23.9,31.7,7.3,214.0,4.7,1008.6
2021-02-05,28.0,24.5,34.0,5.5,198.0,4.5,1008.0
2021-02-06,26.7,23.7,30.8,12.7,199.0,4.5,1008.9
2021-02-07,28.1,24.7,32.7,4.5,215.0,4.9,1007.5
2021-02-08,27.6,24.7,31.7,4.7,205.0,5.9,1008.4
2021-02-09,26.5,23.1,31.6,18.7,201.0,5.2,1009.1
2021-02-10,26.1,23.0,30.6,14.3,173.0,5.4,1009.2
2021-02-11,26.3,23.1,31.0,2.3,184.0,5.1,1007.8
2021-02-12,27.1,23.4,31.4,1.1,219.0,5.4,1007.5
2021-02-13,26.2,23.6,29.6,14.2,219.0,4.5,1008.9
2021-02-14,25.8,23.0,29.6,20.5,141.0,3.8,1010.7
2021-02-15,26.3,23.1,31.4,8.1,197.0,3.9,1010.6
2021-02-16,25.8,22.6,30.0,6.1,163.0,3.9,1011.0
2021-02-17,25.3,22.2,29.0,5.9,136.0,4.2,1010.5
2021-02-18,26.4,22.6,30.8,2.7,106.0,5.1,1010.1
2021-02-19,26.4,22.9,30.9,1.4,205.0,5.5,1011.0
2021-02-20,26.4,22.6,31.0,1.6,187.0,4.2,1010.8
2021-02-21,26.6,23.0,30.5,0.5,207.0,5.4,1010.3
2021-02-22,27.2,23.5,32.3,0.3,177.0,5.3,1008.8
2021-02-23,27.6,24.1,32.6,0.3,205.0,6.3,1008.6
2021-02-24,28.0,24.1,32.9,2.5,189.0,4.8,1007.8
2021-02-25,28.2,24.9,32.8,0.8,187.0,4.3,1006.9
2021-02-26,27.6,23.6,32.7,8.9,152.0,4.5,1006.6
2021-02-27,26.4,23.2,31.1,14.8,191.0,6.4,1007.4
2021-02-28,26.7,23.4,33.0,19.5,168.0,4.5,1006.8
2021-03-01,27.0,23.2,31.4,9.0,176.0,5.8,1006.4
2021-03-02,27.6,23.4,31.7,0.1,224.0,6.4,1008.1
2021-03-03,28.8,23.2,32.9,0.0,199.0,5.1,1009.0
2021-03-04,27.6,24.2,32.2,0.0,212.0,5.8,1009.8
2021-03-05,27.8,23.6,32.6,0.1,172.0,5.6,1008.7
2021-03-06,27.4,24.2,31.9,1.2,162.0,4.9,1008.7
2021-03-07,26.6,23.9,30.5,23.4,178.0,6.1,1009.3
2021-03-08,25.4,22.7,29.1,18.9,217.0,5.4,1010.6
2021-03-09,27.0,23.0,35.0,0.9,206.0,5.0,1010.0
2021-03-10,26.3,23.1,31.6,10.5,220.0,6.0,1009.7
2021-03-11,25.0,23.1,32.0,9.9,227.0,4.4,1011.4
2021-03-12,25.0,22.3,28.4,2.9,191.0,4.1,1012.2
