time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,24.4,22.1,28.0,3.3,336.0,12.1,1009.4
2021-01-02,23.2,21.7,25.4,238.5,328.0,10.8,1009.5
2021-01-03,24.4,22.0,25.4,14.1,344.0,10.1,1009.8
2021-01-04,25.6,23.8,27.7,2.6,348.0,10.6,1010.0
2021-01-05,26.4,23.8,31.1,4.7,355.0,13.6,1009.4
2021-01-06,26.6,24.9,28.6,6.9,349.0,13.3,1009.1
2021-01-07,24.7,24.0,27.1,3.4,0.0,13.8,1008.6
2021-01-08,25.3,23.6,27.2,7.0,12.0,13.4,1008.6
2021-01-09,25.3,24.0,27.5,15.1,13.0,15.3,1009.2
2021-01-10,23.6,22.0,26.7,64.7,0.0,15.3,1009.6
2021-01-11,25.9,21.9,27.2,21.1,7.0,17.8,1010.1
2021-01-12,26.1,24.6,28.9,15.7,20.0,22.4,1010.5
2021-01-13,25.3,24.0,27.8,3.1,11.0,19.0,1010.9
2021-01-14,26.0,23.5,28.7,0.6,4.0,15.2,1011.4
2021-01-15,26.9,23.9,29.9,0.2,25.0,14.6,1010.1
2021-01-16,27.2,25.1,29.8,0.6,27.0,15.0,1009.6
2021-01-17,27.0,25.4,29.9,0.5,19.0,20.2,1010.6
2021-01-18,26.4,25.0,29.3,0.0,20.0,25.2,1011.6
2021-01-19,26.4,24.6,30.0,0.3,18.0,18.6,1011.3
2021-01-20,26.3,24.7,29.8,0.1,14.0,15.0,1011.3
2021-01-21,26.8,24.6,29.9,0.6,21.0,14.3,1010.9
2021-01-22,26.8,24.3,30.2,1.1,22.0,12.6,1010.6
2021-01-23,26.2,25.1,30.0,0.7,26.0,15.0,1010.8
2021-01-24,27.1,24.4,30.4,0.9,26.0,14.6,1010.8
2021-01-25,27.2,24.7,31.3,1.6,23.0,14.8,1010.5
2021-01-26,26.9,24.9,30.7,0.7,13.0,13.1,1010.2
2021-01-27,26.7,24.8,29.8,0.2,14.0,13.2,1010.2
2021-01-28,26.7,24.9,30.3,3.1,15.0,15.9,1011.2
2021-01-29,27.2,25.0,31.0,0.3,13.0,17.3,1011.4
2021-01-30,27.0,25.2,30.9,0.8,16.0,19.6,1011.6
2021-01-31,26.7,24.9,30.1,1.1,12.0,16.5,1011.8
2021-02-01,27.2,25.0,30.0,1.9,20.0,17.8,1012.1
2021-02-02,26.9,24.8,30.6,1.5,14.0,17.1,1012.2
2021-02-03,27.1,25.0,30.8,0.3,18.0,19.4,1012.2
2021-02-04,26.9,24.6,30.9,0.0,18.0,18.8,1012.4
2021-02-05,27.3,24.1,31.6,1.0,11.0,16.4,1011.8
2021-02-06,27.4,24.4,30.8,0.1,21.0,19.2,1010.7
2021-02-07,27.4,24.6,31.8,0.0,17.0,19.3,1010.6
2021-02-08,27.6,25.2,31.6,0.6,18.0,17.4,1010.6
2021-02-09,27.3,25.2,31.1,0.0,24.0,16.9,1009.6
2021-02-10,28.3,25.5,29.5,1.3,25.0,15.1,1009.6
2021-02-11,27.1,25.1,30.0,0.5,16.0,16.2,1009.8
2021-02-12,27.0,25.6,29.0,0.3,22.0,18.2,1010.8
2021-02-13,26.6,25.3,30.9,0.8,24.0,17.6,1011.9
2021-02-14,27.2,25.2,30.2,0.7,28.0,19.9,1012.5
2021-02-15,27.3,25.3,30.9,0.1,29.0,20.4,1011.5
2021-02-16,27.1,24.9,30.8,0.0,32.0,19.4,1011.2
2021-02-17,26.8,24.2,30.8,0.0,28.0,18.5,1011.9
2021-02-18,27.2,24.7,30.5,0.0,25.0,22.0,1012.7
2021-02-19,28.3,25.1,30.1,1.3,21.0,23.3,1012.5
2021-02-20,26.5,25.0,28.5,0.9,23.0,23.6,1011.7
2021-02-21,26.6,25.0,28.8,1.1,27.0,22.0,1011.4
2021-02-22,27.2,25.0,31.2,0.0,26.0,19.2,1011.7
2021-02-23,27.0,24.6,30.6,0.0,29.0,17.5,1010.8
2021-02-24,26.7,24.6,29.8,2.3,9.0,13.4,1010.2
2021-02-25,27.3,24.6,31.0,0.6,10.0,14.1,1009.0
2021-02-26,27.5,23.8,31.6,0.0,24.0,11.8,1008.5
2021-02-27,27.9,24.0,33.2,0.2,27.0,8.9,1008.8
2021-02-28,28.1,24.7,31.8,0.0,52.0,12.7,1009.9
2021-03-01,27.7,25.2,31.7,0.0,52.0,13.5,1012.0
2021-03-02,27.9,25.5,31.6,0.0,34.0,16.8,1011.6
2021-03-03,28.1,25.9,31.8,0.0,34.0,13.9,1011.7
2021-03-04,28.5,25.2,32.0,0.6,31.0,16.2,1012.1
2021-03-05,28.6,25.7,31.6,1.2,46.0,16.0,1011.8
2021-03-06,28.5,26.5,32.0,1.9,31.0,18.6,1011.9
2021-03-07,25.6,23.9,31.6,15.0,352.0,10.2,1012.7
2021-03-08,27.7,23.3,31.4,0.5,1.0,12.2,1012.2
2021-03-09,27.8,24.1,31.8,0.3,22.0,17.1,1012.1
2021-03-10,28.1,24.8,32.3,0.2,20.0,16.5,1011.8
2021-03-11,28.1,25.4,32.0,0.7,20.0,16.4,1011.7
2021-03-12,27.4,24.7,31.3,4.9,22.0,11.5,1012.5
2021-03-13,28.2,25.3,32.0,4.5,11.0,11.3,1012.2
2021-03-14,28.3,25.4,31.7,7.5,22.0,12.7,1010.8
2021-03-15,28.4,26.1,31.8,3.1,37.0,14.9,1010.2
2021-03-16,28.1,26.2,31.2,2.4,51.0,11.4,1010.1
2021-03-17,27.9,25.4,31.6,4.7,37.0,9.0,1009.8
2021-03-18,28.7,26.0,31.9,9.7,36.0,10.5,1009.5
2021-03-19,28.9,26.0,31.9,2.1,29.0,9.3,1008.9
2021-03-20,28.7,26.7,31.6,1.0,29.0,8.6,1008.1
2021-03-21,28.9,26.0,32.0,3.3,19.0,8.8,1008.3
2021-03-22,28.7,25.8,32.6,5.4,36.0,12.9,1009.9
2021-03-23,28.2,24.8,32.3,12.8,27.0,14.1,1010.0
2021-03-24,25.5,24.2,29.4,22.7,14.0,6.7,1009.4
2021-03-25,26.3,24.4,28.2,9.2,31.0,10.5,1009.3
2021-03-26,28.5,25.0,31.4,14.9,48.0,10.8,1009.0
2021-03-27,26.2,24.7,30.5,8.3,52.0,8.0,1009.3
2021-03-28,28.8,23.8,31.7,4.7,75.0,6.3,1008.3
2021-03-29,26.7,24.4,30.6,9.5,345.0,6.1,1008.8
2021-03-30,28.6,25.1,33.4,1.4,331.0,6.1,1007.7
2021-03-31,28.3,23.1,32.4,12.6,285.0,6.0,1007.5
2021-04-01,29.6,23.7,33.0,0.0,284.0,8.3,1007.2
2021-04-02,27.7,22.9,32.2,4.5,354.0,8.7,1007.9
2021-04-03,27.4,22.4,32.0,12.6,11.0,9.1,1008.5
2021-04-04,27.5,24.0,32.2,3.7,329.0,7.9,1009.1
2021-04-05,26.8,24.2,32.1,10.2,352.0,7.9,1010.1
2021-04-06,28.7,24.9,32.0,2.0,10.0,8.2,1010.4
2021-04-07,28.8,24.9,32.2,5.2,348.0,9.8,1010.9
2021-04-08,28.5,25.2,32.6,7.5,351.0,9.7,1009.9
