time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.8,23.1,32.0,,44.0,4.7,
2021-01-02,27.3,23.0,31.5,0.3,347.0,7.3,
2021-01-03,26.4,23.1,31.1,17.0,325.0,11.6,1007.4
2021-01-04,26.7,24.0,31.8,10.9,330.0,10.5,1008.2
2021-01-05,26.5,23.4,31.0,66.0,331.0,6.7,1007.9
2021-01-06,27.6,24.4,32.1,43.9,333.0,6.4,1006.5
2021-01-07,26.8,21.0,30.0,24.9,71.0,5.3,1006.9
2021-01-08,26.4,24.0,32.3,8.9,70.0,3.8,1007.1
2021-01-09,25.6,23.8,30.2,16.0,81.0,4.8,1008.4
2021-01-10,27.6,23.2,31.5,23.1,48.0,5.7,1008.7
2021-01-11,27.3,24.4,32.2,3.0,45.0,5.8,1008.5
2021-01-12,27.0,23.9,32.7,3.0,66.0,7.2,1007.9
2021-01-13,27.4,24.0,31.7,3.0,33.0,5.6,1007.9
2021-01-14,27.9,24.3,31.1,11.9,9.0,5.5,1006.6
2021-01-15,26.9,25.0,31.2,4.1,7.0,5.9,1006.1
2021-01-16,27.4,23.7,33.1,15.0,69.0,6.3,1007.9
2021-01-17,27.1,24.1,32.1,36.1,28.0,4.1,1009.7
2021-01-18,27.3,23.2,32.1,1.0,138.0,5.2,1010.2
2021-01-19,27.1,23.3,33.1,0.0,31.0,4.8,1010.6
2021-01-20,27.9,23.2,33.3,22.0,9.0,6.9,1009.2
2021-01-21,25.8,23.4,32.1,21.0,110.0,5.5,1007.9
2021-01-22,26.0,23.1,31.6,22.0,57.0,5.2,1007.5
2021-01-23,25.2,24.0,28.4,35.1,50.0,4.2,1007.4
2021-01-24,26.0,23.2,28.4,19.1,63.0,3.7,1006.7
2021-01-25,24.8,23.9,29.5,14.0,32.0,3.7,1004.0
2021-01-26,26.5,23.4,28.6,135.9,83.0,11.3,1000.9
2021-01-27,27.3,25.4,28.4,8.9,134.0,19.6,999.0
2021-01-28,27.1,25.9,30.0,4.1,142.0,15.2,999.3
2021-01-29,27.1,24.0,31.7,4.1,121.0,8.8,1000.4
2021-01-30,26.0,23.0,31.7,27.9,96.0,13.2,1002.6
2021-01-31,26.2,21.0,31.6,0.0,106.0,8.5,1003.2
2021-02-01,25.2,20.0,27.4,25.9,95.0,7.1,1002.8
2021-02-02,27.8,22.0,30.1,42.9,39.0,13.3,998.6
2021-02-03,27.8,24.5,30.8,15.0,307.0,18.2,1000.7
2021-02-04,26.1,23.0,30.9,1.0,326.0,10.7,1004.3
2021-02-05,26.2,22.0,31.1,3.0,66.0,5.2,1005.3
2021-02-06,26.7,20.2,31.8,0.0,159.0,7.4,1005.6
2021-02-07,25.9,22.0,31.0,1.3,28.0,6.8,1004.8
2021-02-08,26.1,20.0,31.1,0.2,125.0,7.1,1004.8
2021-02-09,26.2,20.5,32.0,1.4,310.0,7.1,1004.6
2021-02-10,28.9,20.5,32.0,2.0,339.0,7.2,1004.3
2021-02-11,26.5,22.0,31.0,2.4,182.0,8.7,1005.6
2021-02-12,26.7,23.0,31.0,15.1,83.0,4.3,1007.1
2021-02-13,24.5,23.6,29.0,8.4,79.0,5.0,1007.4
2021-02-14,27.3,21.4,32.5,3.0,63.0,5.4,1007.2
2021-02-15,27.7,23.7,32.5,0.0,61.0,5.2,1006.7
2021-02-16,27.3,23.9,33.1,12.2,109.0,5.7,1006.8
2021-02-17,27.4,24.0,32.5,13.6,354.0,7.0,1007.6
2021-02-18,27.2,23.0,32.5,0.0,117.0,6.1,1009.1
2021-02-19,26.6,22.9,31.0,3.0,55.0,5.9,1009.9
2021-02-20,27.4,23.0,31.0,10.6,74.0,6.7,1009.3
2021-02-21,26.2,23.0,31.0,0.0,101.0,6.1,1008.2
2021-02-22,27.2,23.0,31.6,2.0,92.0,10.0,1007.3
2021-02-23,26.1,23.0,31.4,3.0,107.0,12.2,1006.3
2021-02-24,27.1,21.4,30.7,0.0,105.0,10.3,1005.6
2021-02-25,26.6,24.0,31.6,0.0,115.0,12.9,1005.4
2021-02-26,26.1,21.6,31.7,1.6,98.0,10.7,1005.3
2021-02-27,26.1,21.0,31.6,3.3,111.0,10.4,1005.8
2021-02-28,25.7,22.0,31.6,0.3,121.0,9.5,1006.5
2021-03-01,26.0,20.1,32.0,3.0,64.0,5.9,1006.2
2021-03-02,26.3,21.1,32.1,3.7,75.0,7.1,1006.3
2021-03-03,26.8,21.8,30.0,0.0,48.0,5.2,1004.7
2021-03-04,26.1,24.5,30.0,7.1,345.0,14.6,1003.6
2021-03-05,26.2,20.5,29.8,67.1,322.0,13.0,1005.3
2021-03-06,27.2,26.0,31.2,29.0,345.0,24.0,1005.0
2021-03-07,26.2,23.5,29.8,23.1,327.0,7.7,1009.9
2021-03-08,25.9,23.4,29.8,2.0,102.0,10.1,1012.1
2021-03-09,25.9,21.5,30.2,0.0,110.0,11.9,1012.6
2021-03-10,25.1,23.0,29.8,2.6,118.0,12.2,1012.8
2021-03-11,25.5,20.3,30.9,0.1,121.0,10.5,1013.3
2021-03-12,24.7,21.0,30.0,1.0,86.0,8.8,1012.5
2021-03-13,26.1,21.2,30.3,22.1,124.0,11.9,1011.3
2021-03-14,24.7,23.0,29.0,5.1,92.0,6.0,1010.8
2021-03-15,25.4,23.0,30.0,14.0,353.0,4.8,1010.5
2021-03-16,25.1,20.6,30.1,37.1,6.0,4.0,1010.3
2021-03-17,26.6,21.5,31.5,19.1,75.0,6.6,1010.0
2021-03-18,25.9,17.0,30.1,0.0,103.0,4.4,1010.7
2021-03-19,26.1,23.6,30.2,30.0,108.0,12.9,1010.7
2021-03-20,26.0,23.0,29.0,2.6,113.0,11.0,1011.0
2021-03-21,25.7,21.6,30.0,0.3,122.0,8.5,1010.9
2021-03-22,24.5,21.0,29.5,0.0,106.0,6.4,1011.1
2021-03-23,24.6,20.5,29.3,5.1,114.0,4.5,1009.9
2021-03-24,25.1,21.6,30.3,18.0,114.0,9.0,1009.3
2021-03-25,24.4,20.7,30.2,0.0,114.0,8.4,1010.3
2021-03-26,25.3,19.7,31.1,0.0,106.0,8.9,1011.2
2021-03-27,26.5,21.0,31.1,2.2,103.0,9.0,1010.9
2021-03-28,25.9,23.0,31.5,1.4,82.0,7.4,1010.8
2021-03-29,25.9,21.3,31.9,2.1,97.0,8.2,1009.6
2021-03-30,26.4,22.0,31.4,1.6,96.0,8.5,1008.3
2021-03-31,25.9,21.5,30.0,18.5,114.0,6.5,1007.8
2021-04-01,26.3,23.1,30.5,3.8,103.0,9.8,1008.2
2021-04-02,26.2,24.0,30.8,0.0,55.0,4.3,1008.9
2021-04-03,26.8,22.8,30.5,4.4,96.0,5.7,1010.2
2021-04-04,26.8,24.8,31.0,7.4,112.0,14.2,1010.4
2021-04-05,26.1,22.2,29.5,4.3,114.0,14.2,1011.4
2021-04-06,25.2,22.6,30.3,0.0,100.0,12.4,1011.5
2021-04-07,24.8,21.0,30.3,1.4,103.0,8.0,1010.6
2021-04-08,27.1,20.0,30.3,1.4,82.0,7.1,1009.3
2021-04-09,26.9,24.0,30.0,2.6,144.0,8.1,1009.0
2021-04-10,27.9,21.9,32.4,9.5,40.0,5.4,1008.6
2021-04-11,26.0,21.1,30.7,12.6,349.0,7.8,1009.6
2021-04-12,25.3,23.7,29.8,9.9,90.0,4.3,1010.7
2021-04-13,25.8,21.5,30.8,4.9,41.0,4.5,1010.5
2021-04-14,26.1,21.5,31.6,1.1,99.0,7.6,1010.2
2021-04-15,26.1,22.0,31.4,1.5,114.0,7.7,1010.5
2021-04-16,26.2,20.4,32.4,1.9,88.0,6.0,1011.5
2021-04-17,26.6,21.8,31.3,2.5,110.0,7.0,1011.0
2021-04-18,26.5,24.0,31.0,2.1,118.0,10.0,1010.0
2021-04-19,26.1,20.5,31.5,4.1,55.0,4.7,1010.9
2021-04-20,26.4,22.5,31.6,5.1,47.0,4.9,1012.4
2021-04-21,26.0,23.6,30.0,3.0,108.0,7.7,1012.6
2021-04-22,26.4,22.1,32.6,0.3,72.0,5.5,1011.8
2021-04-23,27.1,21.5,32.1,0.3,79.0,6.4,1012.3
2021-04-24,26.6,22.9,31.2,0.5,83.0,8.5,1013.0
2021-04-25,25.4,24.0,29.9,6.1,115.0,9.2,1012.2
2021-04-26,24.8,23.0,27.0,24.2,141.0,8.5,1010.0
2021-04-27,24.2,21.4,29.1,2.0,136.0,7.0,1009.5
2021-04-28,22.9,21.0,27.9,0.3,105.0,10.0,1010.4
2021-04-29,23.1,19.5,28.1,0.0,92.0,10.4,1013.0
2021-04-30,23.6,19.0,29.0,1.0,114.0,11.6,1014.2
2021-05-01,25.6,22.7,29.7,2.1,124.0,15.2,1013.7
2021-05-02,25.2,23.0,28.0,7.9,111.0,11.8,1012.0
2021-05-03,24.9,23.0,29.3,3.9,106.0,9.4,1010.2
2021-05-04,25.6,21.5,29.8,16.0,86.0,6.5,1007.9
2021-05-05,25.4,20.5,30.4,0.9,31.0,4.9,1008.9
2021-05-06,25.1,20.3,31.0,3.0,112.0,5.1,1011.8
2021-05-07,26.7,19.4,30.0,0.0,121.0,11.1,1012.7
2021-05-08,26.3,23.7,29.3,0.3,117.0,15.3,1013.2
2021-05-09,25.4,21.9,28.6,2.0,118.0,17.0,1012.2
2021-05-10,24.8,23.9,28.3,23.1,114.0,13.7,1011.5
2021-05-11,25.6,21.9,30.3,4.1,118.0,9.8,1012.2
2021-05-12,25.2,22.3,29.0,3.0,116.0,8.5,1012.2
2021-05-13,25.3,22.4,28.7,27.9,112.0,10.9,1011.3
2021-05-14,25.5,23.9,29.0,19.3,37.0,5.4,1008.9
2021-05-15,25.8,21.6,29.5,54.1,278.0,5.3,1009.4
2021-05-16,25.7,23.0,30.0,0.0,142.0,4.4,1011.1
2021-05-17,25.9,21.5,30.9,2.8,110.0,8.6,1013.4
2021-05-18,25.4,22.0,29.0,1.6,123.0,14.1,1014.0
2021-05-19,24.3,22.0,26.0,13.1,132.0,17.1,1013.5
2021-05-20,23.7,21.5,27.7,29.0,129.0,10.1,1012.3
2021-05-21,23.3,21.0,28.0,0.5,146.0,9.1,1009.6
2021-05-22,21.3,17.6,27.4,0.8,126.0,6.8,1009.6
2021-05-23,21.6,15.6,28.3,0.0,117.0,6.2,1010.7
2021-05-24,21.7,17.9,27.2,0.5,119.0,7.4,1012.7
2021-05-25,19.9,15.0,26.7,0.6,105.0,8.3,1013.0
2021-05-26,20.7,14.0,26.9,0.0,120.0,7.1,1012.9
2021-05-27,19.6,15.8,27.6,0.0,102.0,7.0,1013.3
2021-05-28,22.5,12.5,27.4,0.0,115.0,5.7,1012.6
2021-05-29,20.6,17.2,27.5,0.0,170.0,6.3,1012.4
2021-05-30,21.3,16.0,27.0,0.2,103.0,5.2,1012.2
2021-05-31,22.4,19.0,25.2,1.5,115.0,4.0,1012.5
2021-06-01,20.5,18.0,25.9,0.0,118.0,8.9,1014.6
2021-06-02,20.3,16.0,27.0,0.0,106.0,9.2,1015.8
2021-06-03,21.3,16.2,26.0,0.0,111.0,8.7,1015.0
2021-06-04,22.3,14.7,28.5,0.2,83.0,6.1,1012.9
2021-06-05,23.7,16.4,29.5,0.9,85.0,5.0,1012.5
2021-06-06,23.8,19.3,28.4,0.0,65.0,7.2,1012.6
2021-06-07,21.4,19.0,25.9,2.0,102.0,8.3,1013.8
2021-06-08,21.2,18.7,26.5,0.0,103.0,7.4,1014.8
2021-06-09,21.3,17.5,27.5,0.0,106.0,9.4,1014.5
2021-06-10,22.1,16.4,27.7,0.0,112.0,7.2,1015.6
2021-06-11,21.9,18.0,27.9,0.0,110.0,7.5,1017.3
2021-06-12,22.6,17.0,28.1,0.1,107.0,9.8,1017.5
2021-06-13,22.7,19.0,28.4,1.0,92.0,7.0,1015.4
2021-06-14,23.9,17.4,29.1,0.0,95.0,6.2,1013.3
2021-06-15,25.4,19.5,29.2,4.1,83.0,5.1,1014.0
2021-06-16,25.7,21.1,30.2,0.8,105.0,8.0,1014.6
2021-06-17,25.7,22.1,30.8,0.0,103.0,6.6,1013.6
2021-06-18,24.1,21.4,29.6,14.0,52.0,5.1,1012.8
2021-06-19,24.2,20.0,29.7,1.9,120.0,4.8,1012.5
2021-06-20,24.1,18.4,29.4,1.0,71.0,4.5,1013.5
2021-06-21,23.9,20.0,28.7,0.6,126.0,4.3,1015.1
2021-06-22,23.8,21.0,27.0,1.6,106.0,5.4,1015.9
2021-06-23,21.9,20.0,27.2,0.3,94.0,9.1,1016.4
2021-06-24,22.2,17.0,26.8,1.0,108.0,15.0,1017.1
2021-06-25,22.7,19.6,27.5,0.0,108.0,14.9,1017.1
2021-06-26,23.0,17.7,26.7,2.0,108.0,11.9,1017.6
2021-06-27,22.5,19.0,28.3,2.0,68.0,7.8,1016.0
2021-06-28,24.4,17.7,29.3,0.8,85.0,6.3,1014.8
2021-06-29,24.5,20.8,29.0,5.9,132.0,8.3,1014.3
2021-06-30,22.7,21.4,27.8,0.0,128.0,15.3,1014.9
2021-07-01,20.5,18.1,26.8,4.1,116.0,14.2,1015.4
2021-07-02,22.4,14.2,27.1,0.0,102.0,13.4,1014.7
2021-07-03,23.1,16.9,26.7,2.0,104.0,15.4,1015.6
2021-07-04,22.9,20.0,27.3,0.0,112.0,17.5,1015.3
2021-07-05,24.3,21.5,28.0,3.0,108.0,17.5,1014.6
2021-07-06,24.3,21.1,27.3,0.3,111.0,11.9,1012.7
2021-07-07,23.5,19.0,30.0,0.5,89.0,5.1,1012.6
2021-07-08,23.5,19.9,27.5,0.0,105.0,8.2,1014.5
2021-07-09,23.1,21.6,27.7,0.5,114.0,12.4,1015.0
2021-07-10,22.5,18.0,27.0,0.0,108.0,7.4,1015.1
2021-07-11,23.9,16.9,30.5,0.0,55.0,5.6,1014.1
2021-07-12,24.4,19.2,27.8,2.6,112.0,5.6,1013.7
2021-07-13,23.2,22.5,25.2,9.9,128.0,10.0,1014.1
2021-07-14,22.3,21.0,24.8,4.9,126.0,16.4,1014.8
2021-07-15,23.2,21.0,25.0,1.9,119.0,14.8,1014.6
2021-07-16,25.2,23.0,27.4,0.2,110.0,12.3,1013.2
2021-07-17,25.8,23.0,31.0,1.9,57.0,4.4,1012.0
2021-07-18,25.1,21.0,30.1,0.5,70.0,4.9,1011.7
2021-07-19,23.2,20.5,29.9,1.9,85.0,4.2,1013.0
2021-07-20,23.8,19.0,29.3,2.9,80.0,3.8,1012.4
2021-07-21,23.9,18.8,30.6,2.0,49.0,3.6,1012.1
2021-07-22,24.5,18.4,28.6,0.0,114.0,5.6,1013.4
2021-07-23,25.3,21.0,30.0,3.9,90.0,6.2,1013.5
2021-07-24,25.3,19.9,31.0,0.0,57.0,3.8,1013.5
2021-07-25,24.9,20.6,30.5,0.3,74.0,5.0,1013.1
2021-07-26,23.9,21.0,27.6,0.0,110.0,7.5,1014.0
2021-07-27,23.6,22.7,25.0,3.4,113.0,10.2,1015.9
2021-07-28,23.2,18.5,26.0,0.0,113.0,12.8,1015.8
2021-07-29,24.1,15.4,28.0,0.5,97.0,9.6,1014.6
2021-07-30,21.4,19.0,28.6,2.5,119.0,5.5,1013.2
2021-07-31,21.4,17.0,27.0,2.2,145.0,9.0,1013.0
2021-08-01,19.8,15.0,25.3,0.0,116.0,9.8,1013.2
2021-08-02,20.4,14.8,25.5,0.0,95.0,7.5,1014.2
2021-08-03,19.4,15.6,25.9,0.5,95.0,9.1,1015.6
2021-08-04,20.3,14.0,26.1,0.0,104.0,9.5,1015.0
2021-08-05,21.8,13.9,29.0,0.0,91.0,5.6,1013.0
2021-08-06,21.4,16.0,26.0,9.3,92.0,5.0,1015.0
2021-08-07,22.1,20.7,29.9,4.3,119.0,10.8,1017.8
2021-08-08,22.8,18.0,26.6,0.0,102.0,8.3,1017.2
2021-08-09,22.2,19.1,25.8,1.2,101.0,8.1,1017.3
2021-08-10,21.7,20.0,25.6,0.1,112.0,15.5,1018.9
2021-08-11,22.0,18.3,25.5,1.0,108.0,14.1,1021.0
2021-08-12,21.8,20.5,26.2,2.0,116.0,20.6,1019.7
2021-08-13,21.7,17.8,26.9,0.1,88.0,11.8,1017.7
2021-08-14,22.6,16.8,26.7,2.0,111.0,13.2,1017.1
2021-08-15,22.4,20.2,26.8,0.0,121.0,19.6,1017.6
2021-08-16,22.4,19.0,26.0,0.0,112.0,16.7,1017.0
2021-08-17,22.9,18.5,27.0,0.4,102.0,10.3,1014.3
2021-08-18,24.8,18.6,29.7,0.0,110.0,10.0,1012.8
2021-08-19,23.7,22.0,26.0,14.0,124.0,15.2,1014.5
2021-08-20,23.1,22.0,25.2,17.9,114.0,12.1,1016.1
2021-08-21,22.7,19.0,28.2,14.0,98.0,10.4,1015.7
