time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-1.4,-3.7,0.9,,301.0,24.8,
2021-01-02,0.2,-2.7,3.0,20.8,64.0,35.1,1013.3
2021-01-03,1.0,0.0,2.0,2.4,9.0,36.6,1014.7
2021-01-04,1.8,0.0,3.5,0.2,46.0,38.3,1016.8
2021-01-05,2.4,1.1,3.7,1.0,60.0,55.4,1010.2
2021-01-06,3.1,1.6,4.6,5.9,20.0,45.0,1000.3
2021-01-07,1.5,0.3,2.7,5.7,343.0,39.3,999.5
2021-01-08,-1.8,-4.1,0.6,0.0,313.0,30.9,1002.6
2021-01-09,-0.6,-3.3,2.1,0.2,329.0,23.3,1005.7
2021-01-10,-0.6,-2.0,0.8,0.0,351.0,41.3,1009.3
2021-01-11,-0.1,-2.8,2.7,0.0,288.0,18.0,1021.7
2021-01-12,1.0,-2.4,4.5,0.1,248.0,15.5,1016.0
2021-01-13,-1.3,-3.6,1.0,0.0,285.0,13.9,1015.0
2021-01-14,2.4,0.9,4.0,0.4,153.0,22.8,1013.8
2021-01-15,1.3,-0.9,3.5,0.6,15.0,27.3,1015.8
2021-01-16,1.4,-1.7,4.5,1.4,81.0,28.1,1017.3
2021-01-17,5.3,2.9,7.7,33.1,201.0,53.8,990.7
2021-01-18,3.5,1.4,5.5,0.0,237.0,36.6,999.0
2021-01-19,-2.9,-7.4,1.6,0.0,296.0,28.7,1005.4
2021-01-20,-3.5,-8.1,1.1,0.0,297.0,19.5,1008.9
2021-01-21,-6.1,-9.9,-2.4,0.0,306.0,19.8,1006.6
2021-01-22,-1.0,-4.1,2.1,4.5,58.0,28.0,1004.0
2021-01-23,-3.2,-5.9,-0.6,0.1,303.0,16.1,1001.5
2021-01-24,-4.4,-7.3,-1.6,0.0,309.0,23.3,994.4
2021-01-25,-0.4,-1.6,0.9,1.0,306.0,30.7,1000.8
2021-01-26,1.3,-0.9,3.4,0.1,336.0,29.2,1010.2
2021-01-27,-0.1,-2.8,2.7,0.0,20.0,28.3,1013.8
2021-01-28,-1.5,-3.5,0.5,0.4,341.0,18.6,1012.3
2021-01-29,-2.7,-4.8,-0.7,0.0,22.0,38.5,1004.0
2021-01-30,-3.4,-5.5,-1.4,0.0,352.0,39.9,1010.5
2021-01-31,-2.4,-5.5,0.7,0.0,331.0,24.4,1019.3
2021-02-01,-0.2,-2.9,2.4,0.0,39.0,20.4,1026.8
2021-02-02,3.7,0.3,7.1,68.2,93.0,57.5,1012.2
2021-02-03,5.1,3.5,6.7,15.0,186.0,26.6,993.2
2021-02-04,2.5,0.9,4.2,5.8,242.0,17.3,1001.2
2021-02-05,1.9,0.2,3.6,1.0,256.0,17.7,1008.7
2021-02-06,3.4,0.8,6.1,13.0,217.0,40.0,1007.7
2021-02-07,-0.2,-2.2,1.8,8.0,283.0,26.5,1018.7
2021-02-08,-4.3,-8.4,-0.1,22.6,332.0,54.6,1003.4
2021-02-09,-6.1,-9.7,-2.5,0.0,293.0,32.7,1022.2
2021-02-10,-6.6,-9.2,-3.9,0.4,319.0,28.2,1017.2
2021-02-11,-7.5,-10.1,-5.0,0.0,287.0,31.3,1015.9
2021-02-12,-6.9,-12.7,-1.1,0.5,320.0,25.9,1016.5
2021-02-13,-4.1,-6.3,-1.8,0.0,310.0,22.2,1022.3
2021-02-14,-3.8,-6.3,-1.2,0.0,26.0,8.5,1024.8
2021-02-15,-3.0,-5.1,-0.9,0.0,306.0,12.2,1023.6
2021-02-16,2.8,-2.4,7.9,30.0,82.0,23.5,1013.9
