time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-8.1,-13.8,-2.4,0.8,77.0,10.6,1003.3
2021-01-02,-7.6,-10.9,-4.2,0.0,70.0,3.8,990.2
2021-01-03,-1.3,-4.8,2.3,0.0,239.0,26.7,993.3
2021-01-04,-3.3,-7.5,0.8,0.0,262.0,8.5,1002.2
2021-01-05,-3.2,-7.8,1.4,0.0,123.0,8.4,1004.8
2021-01-06,0.3,-4.1,4.7,0.0,210.0,17.9,1003.6
2021-01-07,-4.3,-8.7,0.1,0.0,71.0,5.0,1020.7
2021-01-08,-10.0,-16.4,-3.5,0.0,21.0,5.4,1023.5
2021-01-09,-4.6,-9.2,-0.1,0.0,234.0,8.3,1022.8
2021-01-10,-4.1,-10.3,2.1,0.0,213.0,4.1,1013.1
2021-01-11,1.8,-2.7,6.4,0.0,136.0,13.1,1004.4
2021-01-12,-3.2,-6.6,0.2,0.0,81.0,7.3,998.6
2021-01-13,-0.5,-3.0,1.9,0.0,271.0,21.0,1005.0
2021-01-14,-4.3,-8.9,0.2,0.0,204.0,12.4,1025.8
2021-01-15,-1.5,-8.5,5.4,0.0,231.0,23.8,1013.6
2021-01-16,0.7,-2.4,3.9,0.0,262.0,14.9,1018.2
2021-01-17,1.2,-2.7,5.0,0.0,263.0,15.7,1014.0
2021-01-18,0.3,-3.2,3.8,0.0,251.0,12.5,1026.9
2021-01-19,2.1,-3.6,7.8,0.2,238.0,27.5,1008.0
2021-01-20,-2.5,-5.7,0.8,0.0,264.0,19.7,1015.9
2021-01-21,-4.6,-8.1,-1.0,0.0,282.0,4.9,1023.7
2021-01-22,-6.7,-11.5,-2.0,0.2,320.0,7.1,1021.6
2021-01-23,-10.2,-14.3,-6.1,0.4,107.0,7.8,1018.8
2021-01-24,-12.7,-14.5,-10.8,0.2,148.0,5.4,1012.4
2021-01-25,-15.2,-17.2,-13.2,0.6,93.0,6.1,1018.6
2021-01-26,-17.3,-19.5,-15.1,0.7,7.0,6.3,1018.4
2021-01-27,-19.8,-22.5,-17.1,0.6,349.0,9.9,1024.7
2021-01-28,-20.4,-22.4,-18.4,0.4,68.0,5.2,1023.4
2021-01-29,-16.8,-24.7,-9.0,0.0,29.0,1.2,1014.2
2021-01-30,-13.6,-21.2,-5.9,0.0,314.0,3.4,1016.2
2021-01-31,-13.6,-18.8,-8.4,0.0,329.0,5.8,1018.2
2021-02-01,-13.7,-16.9,-10.5,3.3,348.0,8.0,1018.9
2021-02-02,-19.7,-22.5,-16.9,5.4,323.0,12.5,1024.1
2021-02-03,-20.2,-23.1,-17.2,0.2,47.0,4.2,1025.9
2021-02-04,-17.1,-21.5,-12.7,0.2,18.0,7.0,1023.3
2021-02-05,-20.4,-25.0,-15.8,4.0,96.0,5.2,1030.8
2021-02-06,-27.0,-30.4,-23.5,0.2,81.0,3.4,1036.1
2021-02-07,-30.8,-37.6,-24.1,0.4,16.0,2.7,1035.3
2021-02-08,-30.6,-33.6,-27.7,0.0,320.0,10.5,1044.7
2021-02-09,-32.7,-36.4,-28.9,0.0,297.0,8.9,1047.9
2021-02-10,-29.3,-34.1,-24.6,0.2,296.0,6.5,1047.9
2021-02-11,-27.9,-31.8,-24.0,0.0,307.0,7.8,1053.7
2021-02-12,-19.8,-25.0,-14.5,0.0,165.0,4.6,1038.8
2021-02-13,-25.0,-32.0,-18.0,0.0,15.0,8.1,1034.0
2021-02-14,-23.1,-28.6,-17.6,0.0,37.0,4.3,1023.0
2021-02-15,-17.6,-21.2,-13.9,0.9,270.0,3.2,1011.1
2021-02-16,-13.5,-15.9,-11.2,1.6,302.0,4.5,1015.7
2021-02-17,-14.0,-22.4,-5.5,0.0,62.0,3.3,1026.4
2021-02-18,-12.0,-16.0,-8.1,0.0,103.0,4.1,1016.3
2021-02-19,-4.5,-10.6,1.6,0.0,239.0,17.9,1003.3
2021-02-20,-1.9,-4.3,0.6,0.0,243.0,31.4,1001.0
2021-02-21,1.6,-1.0,4.3,0.0,240.0,36.8,991.5
2021-02-22,0.5,-3.1,4.1,0.0,254.0,21.5,1001.4
2021-02-23,-1.3,-5.0,2.5,0.0,254.0,13.9,1012.9
2021-02-24,-3.0,-8.0,2.0,0.0,253.0,18.7,1019.0
2021-02-25,-4.7,-12.9,3.5,0.6,274.0,18.7,998.0
2021-02-26,-15.5,-18.0,-12.9,1.7,338.0,7.2,1015.5
2021-02-27,-10.8,-19.1,-2.5,0.2,72.0,5.5,1016.0
2021-02-28,-1.1,-5.0,2.7,7.0,104.0,6.1,1005.9
2021-03-01,0.4,-4.3,5.1,0.0,271.0,14.3,1002.9
2021-03-02,-0.6,-3.9,2.6,0.0,236.0,28.0,1003.1
