time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,13.8,9.1,20.5,,,5.7,1017.4
2021-01-02,13.7,12.1,17.3,,129.0,14.1,1017.2
2021-01-03,18.2,12.4,20.8,,135.0,25.0,1016.7
2021-01-04,14.9,,18.5,,,,
2021-01-05,14.1,8.2,19.5,,21.0,3.2,1019.9
2021-01-06,15.1,12.0,22.2,,,8.8,1020.9
2021-01-07,17.5,13.3,22.9,,123.0,10.9,1019.9
2021-01-08,17.6,13.9,22.6,,151.0,15.6,1018.4
2021-01-09,21.3,15.8,27.6,,164.0,13.4,1018.4
2021-01-10,23.2,19.0,27.2,,157.0,18.2,1019.1
2021-01-11,21.9,17.6,25.9,,157.0,27.9,1017.1
2021-01-12,18.1,15.2,21.0,,212.0,24.2,1013.9
2021-01-13,14.4,11.3,16.2,,294.0,20.5,1016.9
2021-01-14,14.6,10.1,18.3,0.5,317.0,14.3,1017.5
2021-01-15,14.2,12.5,17.7,2.0,271.0,10.7,1015.6
2021-01-16,14.4,11.0,17.4,7.9,283.0,15.6,1013.3
2021-01-17,11.3,9.4,14.1,14.0,342.0,9.6,1018.4
2021-01-18,12.6,9.0,16.5,4.1,260.0,17.5,1019.6
2021-01-19,11.4,8.6,16.2,13.0,348.0,11.7,1025.0
2021-01-20,10.6,5.3,17.3,1.0,30.0,4.8,1030.4
2021-01-21,11.6,7.4,15.4,0.0,137.0,10.7,1030.3
2021-01-22,10.5,6.6,15.9,,140.0,13.3,1026.5
2021-01-23,11.6,6.6,16.0,,,,
2021-01-24,13.6,9.8,18.9,,161.0,16.7,1017.9
2021-01-25,15.6,11.2,21.3,,187.0,9.8,1017.5
2021-01-26,15.5,10.7,19.6,,186.0,17.0,1014.3
2021-01-27,12.2,10.4,14.5,7.1,319.0,19.2,1017.5
2021-01-28,11.7,9.5,,7.1,,,
2021-01-29,12.7,7.4,17.4,0.0,193.0,10.2,1021.6
2021-01-30,15.4,13.0,20.8,,210.0,13.0,1016.6
2021-01-31,16.9,12.5,27.2,,160.0,16.4,1011.7
2021-02-01,15.1,,,,,,
2021-02-02,13.7,9.6,19.4,,160.0,9.8,1014.4
2021-02-03,14.4,10.2,18.7,4.1,,6.5,1018.1
2021-02-04,12.5,8.2,18.7,0.0,355.0,6.4,1022.9
2021-02-05,15.7,7.3,21.6,,,4.3,1024.3
2021-02-06,15.3,10.6,22.0,,148.0,10.5,1022.0
2021-02-07,17.3,13.8,20.7,,144.0,26.8,1016.6
2021-02-08,17.6,11.7,21.0,,228.0,17.3,1014.6
2021-02-09,14.4,8.3,21.0,,159.0,12.1,1021.2
2021-02-10,14.2,12.1,22.5,,161.0,9.4,1021.0
2021-02-11,15.4,11.7,21.7,,190.0,16.3,1018.0
2021-02-12,14.1,10.2,18.1,,336.0,9.3,1021.3
2021-02-13,12.2,6.7,18.6,,152.0,7.6,1020.0
2021-02-14,14.4,9.9,18.9,,126.0,16.0,1017.5
2021-02-15,9.3,7.0,12.6,,351.0,20.0,1020.6
2021-02-16,9.4,6.1,12.8,,346.0,32.2,1023.0
2021-02-17,11.8,8.5,15.3,2.0,326.0,20.2,1025.3
2021-02-18,13.6,10.6,17.2,0.0,298.0,8.4,1024.4
2021-02-19,12.9,7.9,18.2,,16.0,6.8,1025.9
2021-02-20,13.1,8.4,19.1,,101.0,7.2,1026.7
2021-02-21,12.2,6.5,19.1,,59.0,8.9,1025.3
2021-02-22,13.1,7.5,19.9,,40.0,16.7,1027.1
2021-02-23,12.9,8.2,19.0,,24.0,13.5,1030.4
2021-02-24,12.6,8.1,19.4,,16.0,11.6,1029.9
2021-02-25,15.2,10.0,21.0,,30.0,17.5,1027.3
2021-02-26,14.4,8.8,20.8,,31.0,13.3,1023.9
2021-02-27,13.6,7.5,20.0,,4.0,6.7,1022.3
2021-02-28,12.6,7.1,19.2,,14.0,7.7,1023.5
2021-03-01,13.4,7.9,19.8,,28.0,8.9,1024.0
2021-03-02,14.9,9.4,19.6,,42.0,12.8,1025.6
2021-03-03,12.8,6.7,18.7,,45.0,15.1,1027.9
2021-03-04,12.8,5.3,19.6,,47.0,4.9,1025.8
2021-03-05,15.1,8.9,21.1,,135.0,16.7,1021.4
2021-03-06,14.9,10.2,26.7,,122.0,17.5,1018.9
2021-03-07,15.6,9.3,22.9,,19.0,12.9,1019.1
2021-03-08,19.1,11.1,26.0,,115.0,20.2,1012.2
2021-03-09,19.3,14.1,23.8,,289.0,13.4,1008.6
2021-03-10,16.4,12.6,20.8,,346.0,11.0,1013.9
2021-03-11,14.7,11.0,18.2,,347.0,16.7,1019.9
2021-03-12,12.6,7.0,17.7,,1.0,8.6,1023.7
2021-03-13,14.9,6.2,21.9,,57.0,8.0,1021.0
2021-03-14,15.1,11.4,20.6,,29.0,7.5,1017.4
2021-03-15,14.3,9.4,18.2,,,12.1,1015.9
2021-03-16,13.9,7.6,18.7,,290.0,14.5,1016.5
2021-03-17,14.5,11.5,18.0,0.0,296.0,15.7,1016.5
2021-03-18,12.7,5.9,19.1,0.0,290.0,5.8,1018.1
2021-03-19,18.7,12.4,23.7,,117.0,21.8,1012.6
2021-03-20,22.1,17.5,30.3,,101.0,18.2,1008.5
2021-03-21,20.8,14.2,30.4,,141.0,16.5,1004.4
2021-03-22,17.8,11.4,21.8,,10.0,17.4,1006.0
2021-03-23,13.6,10.9,15.8,,287.0,23.5,1011.6
2021-03-24,12.6,9.9,16.1,6.1,321.0,25.5,1017.5
2021-03-25,11.9,5.8,15.7,0.0,336.0,13.6,1020.5
2021-03-26,12.5,6.4,17.8,1.0,0.0,12.7,1026.6
2021-03-27,14.3,6.2,19.2,0.0,34.0,8.2,1030.1
2021-03-28,13.2,6.9,20.8,,33.0,12.3,1031.7
2021-03-29,13.9,,20.0,,,,
2021-03-30,15.6,8.4,19.7,,358.0,14.8,1024.7
2021-03-31,13.8,8.9,20.1,,7.0,14.4,1021.3
2021-04-01,13.1,7.6,18.8,,358.0,9.2,1021.5
2021-04-02,13.4,6.0,20.4,,238.0,6.8,1022.0
