time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,-2.5,-4.6,-0.7,0.0,188.0,13.9,1018.9
2021-01-03,-5.1,-9.0,-1.2,0.0,222.0,24.1,1023.9
2021-01-04,2.0,-3.1,4.1,1.0,219.0,32.6,1025.5
2021-01-05,2.1,0.7,4.0,0.4,241.0,22.7,1023.5
2021-01-06,-0.7,-2.5,1.0,0.0,238.0,29.8,1020.5
2021-01-07,-2.7,-7.5,0.0,0.0,230.0,31.4,1018.7
2021-01-08,-6.9,-8.5,-6.0,0.0,219.0,46.7,1018.0
2021-01-09,-9.7,-10.5,-8.8,0.0,197.0,44.3,1020.9
2021-01-10,-10.7,-12.1,-9.8,0.0,187.0,55.5,1015.1
2021-01-11,-10.6,-13.7,-7.0,0.0,208.0,47.6,1015.3
2021-01-12,-9.9,-13.0,-8.0,0.0,218.0,48.3,1019.3
2021-01-13,-11.0,-14.0,-6.0,0.0,219.0,57.4,1019.9
2021-01-14,-1.5,-7.9,2.0,1.3,270.0,31.1,1016.3
2021-01-15,1.0,-1.0,3.0,1.2,294.0,19.3,1012.3
2021-01-16,2.0,1.2,3.0,2.2,306.0,34.9,1010.6
2021-01-17,1.7,0.3,2.7,3.3,285.0,26.8,1005.0
2021-01-18,1.1,-1.0,2.6,0.2,323.0,31.1,1000.3
2021-01-19,-2.4,-4.0,0.0,0.0,73.0,30.0,1011.4
2021-01-20,-5.3,-7.0,-4.0,2.6,118.0,25.3,1018.1
2021-01-21,-5.8,-8.2,-5.0,1.6,117.0,30.8,1018.1
2021-01-22,-9.4,-10.0,-7.9,0.0,147.0,32.2,1015.8
2021-01-23,-9.1,-10.8,-6.2,0.5,139.0,46.5,1009.5
2021-01-24,-8.8,-11.1,-5.7,0.1,149.0,24.8,1003.4
2021-01-25,-3.7,-6.5,-1.9,6.6,122.0,31.2,1005.2
2021-01-26,-2.7,-4.0,-1.5,3.3,102.0,53.8,1013.5
2021-01-27,-3.9,-5.0,-3.0,0.0,94.0,44.8,1015.5
2021-01-28,-4.2,-6.7,-3.0,0.0,127.0,30.0,1015.5
2021-01-29,-6.2,-8.1,-5.0,0.4,135.0,29.7,1010.9
2021-01-30,-3.0,-6.0,-1.9,4.8,91.0,43.9,1003.5
2021-01-31,-2.8,-3.2,-1.7,1.1,71.0,35.4,995.3
2021-02-01,-4.5,-7.7,-1.0,0.9,171.0,20.7,998.6
2021-02-02,-3.0,-4.0,-2.2,0.4,30.0,30.7,1009.6
2021-02-03,-2.4,-3.8,-0.5,1.1,14.0,42.3,1017.2
2021-02-04,-1.5,-3.0,-0.9,0.7,45.0,36.7,1022.6
2021-02-05,-2.1,-3.0,-1.0,1.8,32.0,29.0,1027.1
2021-02-06,-2.6,-3.0,-1.9,0.0,18.0,44.2,1028.3
2021-02-07,-3.6,-4.5,-2.7,0.9,8.0,47.4,1023.1
2021-02-08,-4.4,-6.0,-3.2,2.1,12.0,42.1,1018.1
2021-02-09,-4.9,-6.2,-4.0,3.3,21.0,39.9,1017.5
2021-02-10,-5.4,-6.5,-4.0,2.5,3.0,35.4,1017.0
2021-02-11,-5.2,-8.1,-3.0,0.0,270.0,22.8,1020.8
2021-02-12,-8.2,-11.0,-5.0,0.0,224.0,21.8,1016.6
2021-02-13,-8.8,-11.4,-3.7,0.2,222.0,22.4,1020.1
2021-02-14,-5.1,-7.8,-3.0,0.0,262.0,22.3,1021.6
2021-02-15,-3.7,-7.0,-1.0,1.8,112.0,25.5,1017.0
2021-02-16,-8.4,-10.0,-6.4,0.0,227.0,22.6,1022.7
2021-02-17,-5.2,-10.5,1.0,1.3,242.0,35.4,1015.6
2021-02-18,-6.0,-10.5,-0.3,0.0,162.0,25.2,1019.0
2021-02-19,-10.2,-12.5,-8.0,0.0,222.0,25.1,1022.1
2021-02-20,-11.7,-13.4,-9.7,0.0,191.0,31.6,1024.1
2021-02-21,-15.5,-19.4,-12.1,0.0,162.0,55.2,1027.7
2021-02-22,-15.9,-19.7,-10.0,0.0,196.0,57.9,1023.2
