time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.9,23.1,32.0,6.1,,5.1,1008.4
2021-01-02,27.0,23.7,32.0,0.5,,5.5,1008.1
2021-01-03,26.1,23.4,30.0,26.4,329.0,3.2,1008.5
2021-01-04,26.2,23.3,31.1,0.8,147.0,5.2,1008.5
2021-01-05,26.6,22.8,32.0,14.7,117.0,6.3,1008.6
2021-01-06,26.6,24.0,32.0,0.0,23.0,5.4,1007.7
2021-01-07,26.6,23.3,32.0,19.1,52.0,5.2,1006.5
2021-01-08,27.4,24.0,31.0,18.5,357.0,5.1,1006.5
2021-01-09,25.2,24.0,30.1,7.1,25.0,3.5,1007.1
2021-01-10,26.8,24.0,32.8,53.3,174.0,7.0,1007.1
2021-01-11,25.6,23.7,28.1,23.6,355.0,3.2,1008.2
2021-01-12,27.1,23.4,31.0,87.1,37.0,5.1,1007.8
2021-01-13,26.2,25.0,31.0,0.0,23.0,4.3,1007.3
2021-01-14,25.9,23.7,30.0,36.8,189.0,7.2,1008.9
2021-01-15,25.7,24.0,28.1,0.3,271.0,4.5,1009.1
2021-01-16,26.3,23.4,28.0,4.3,298.0,5.8,1009.0
2021-01-17,26.3,23.6,31.3,4.3,40.0,6.7,1009.7
2021-01-18,25.4,23.8,29.0,7.9,353.0,5.0,1009.6
2021-01-19,25.3,24.4,27.0,38.6,314.0,5.1,1008.5
2021-01-20,24.9,24.0,27.0,50.3,235.0,5.2,1008.9
2021-01-21,25.8,23.5,29.7,172.7,341.0,5.4,1009.9
2021-01-22,26.2,23.7,30.0,2.5,297.0,6.1,1009.5
2021-01-23,26.5,24.0,30.5,1.3,104.0,6.3,1010.0
2021-01-24,26.6,24.0,30.3,0.0,9.0,2.8,1010.2
2021-01-25,27.2,24.0,31.0,0.0,15.0,4.9,1009.3
2021-01-26,26.7,23.6,31.0,21.8,351.0,5.9,1008.6
2021-01-27,26.1,23.8,30.7,43.9,354.0,7.0,1008.4
2021-01-28,25.2,23.1,29.0,88.9,16.0,3.0,1010.0
2021-01-29,26.9,23.7,30.4,26.7,0.0,7.1,1008.8
2021-01-30,26.2,24.8,28.3,22.9,13.0,5.9,1009.3
2021-01-31,27.1,24.0,31.0,9.4,7.0,4.6,1009.4
2021-02-01,25.5,23.8,30.0,11.7,37.0,7.1,1010.5
