time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-3.5,-10.6,5.6,0.0,286.0,12.1,1021.5
2021-01-02,-1.5,-8.9,7.8,0.0,234.0,11.1,1017.9
2021-01-03,1.5,-4.4,8.9,0.0,257.0,15.7,1012.7
2021-01-04,4.3,-1.7,10.6,0.0,276.0,13.7,1019.3
2021-01-05,1.3,-3.9,7.2,0.0,5.0,11.1,1013.4
2021-01-06,3.0,-2.2,8.3,0.0,334.0,25.1,1020.4
2021-01-07,-0.5,-3.9,1.7,0.0,344.0,7.2,1025.1
2021-01-08,1.2,0.0,3.9,0.0,120.0,7.8,1026.5
2021-01-09,0.8,-1.1,3.3,0.0,0.0,4.5,1028.6
2021-01-10,-0.3,-4.4,3.9,0.0,281.0,6.7,1030.2
2021-01-11,-0.9,-7.8,10.0,0.0,262.0,15.2,1025.6
2021-01-12,1.7,-6.1,13.3,0.0,261.0,16.6,1021.3
2021-01-13,7.5,-1.7,17.2,0.0,267.0,17.2,1009.9
2021-01-14,4.1,1.7,8.9,0.0,319.0,48.0,1014.4
2021-01-15,-0.1,-6.1,3.9,0.0,324.0,41.8,1017.7
2021-01-16,1.4,-7.8,10.0,0.0,313.0,22.1,1016.8
2021-01-17,1.4,-4.4,8.3,0.2,302.0,19.0,1017.1
2021-01-18,3.7,-2.8,8.9,0.0,306.0,19.3,1016.1
2021-01-19,-1.6,-7.8,7.2,0.0,280.0,17.1,1030.5
2021-01-20,0.9,-8.9,15.0,0.0,292.0,14.4,1018.1
2021-01-21,-0.3,-7.8,9.4,0.0,345.0,12.3,1017.5
2021-01-22,-2.1,-5.6,2.8,0.0,104.0,13.9,1022.0
2021-01-23,-4.3,-7.2,-1.1,0.0,112.0,14.8,1015.9
2021-01-24,-3.4,-6.1,-1.7,1.5,33.0,12.3,1017.3
2021-01-25,-5.0,-7.2,-3.3,5.2,28.0,17.9,1009.8
2021-01-26,-9.2,-12.8,-7.8,2.3,28.0,12.7,1019.9
2021-01-27,-12.4,-17.2,-8.9,0.3,59.0,6.6,1030.4
2021-01-28,-11.7,-17.2,-6.1,0.0,93.0,9.9,1029.3
2021-01-29,-6.6,-8.3,-3.9,0.0,10.0,5.3,1014.3
2021-01-30,-3.6,-7.8,0.6,0.0,344.0,18.5,1009.6
2021-01-31,-0.4,-6.7,5.0,0.2,292.0,14.7,1028.5
2021-02-01,-3.1,-10.0,3.9,0.0,35.0,7.2,1027.4
2021-02-02,-2.7,-5.0,3.3,0.0,44.0,8.1,1019.3
2021-02-03,0.6,-6.7,10.6,0.6,16.0,10.0,1008.4
2021-02-04,0.8,-3.3,6.1,0.3,317.0,22.2,1012.6
2021-02-05,1.0,-3.3,7.2,0.0,300.0,18.9,1011.8
2021-02-06,-8.2,-12.2,-3.9,0.5,82.0,20.0,1018.8
2021-02-07,-14.0,-16.1,-12.2,2.1,102.0,22.9,1017.7
2021-02-08,-12.9,-22.2,-4.4,0.3,71.0,8.5,1025.0
2021-02-09,-8.6,-14.0,25.1,0.0,94.0,7.9,1022.4
2021-02-10,-14.1,-17.2,-11.7,0.0,79.0,11.7,1030.3
2021-02-11,-17.4,-22.2,-12.8,0.0,44.0,7.4,1033.2
2021-02-12,-17.7,-20.0,-15.6,10.6,92.0,13.7,1034.8
2021-02-13,-18.1,-21.1,-16.1,7.3,61.0,9.2,1032.7
2021-02-14,-19.7,-21.7,-17.8,11.7,37.0,13.7,1036.8
2021-02-15,-24.2,-30.0,-20.0,0.9,61.0,6.1,1030.3
2021-02-16,-18.2,-27.8,-11.7,0.3,144.0,17.0,1018.8
2021-02-17,-13.7,-21.1,-8.3,0.0,340.0,5.7,1022.3
2021-02-18,-6.9,-10.6,-5.0,0.0,296.0,11.2,1030.9
2021-02-19,-10.2,-17.8,-1.1,0.0,293.0,6.1,1024.8
2021-02-20,-5.0,-13.3,3.3,0.0,55.0,14.0,1017.3
2021-02-21,0.9,-3.3,4.4,0.0,312.0,21.4,1015.8
2021-02-22,3.4,-3.9,10.6,0.0,265.0,20.5,1016.9
