time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,21.7,18.0,31.2,6.1,37.0,7.9,1018.8
2021-01-02,18.2,15.7,28.4,,41.0,18.3,1024.7
2021-01-03,17.8,15.5,22.1,5.1,118.0,8.7,1022.8
2021-01-04,18.2,15.0,21.9,5.1,5.0,8.2,1018.7
2021-01-05,18.7,17.0,22.5,7.1,5.0,8.5,1015.3
2021-01-06,22.3,17.5,29.6,15.0,164.0,9.2,1015.5
2021-01-07,21.8,15.1,30.1,0.0,39.0,9.3,1018.0
2021-01-08,23.3,16.4,31.3,,8.0,10.1,1016.8
2021-01-09,23.1,17.1,31.3,,348.0,10.3,1015.4
2021-01-10,23.6,17.2,31.7,,15.0,10.6,1014.3
2021-01-11,18.3,17.0,31.7,8.9,70.0,12.6,1018.3
2021-01-12,21.4,16.7,27.6,6.1,11.0,8.9,1019.7
2021-01-13,21.4,17.1,29.4,0.0,38.0,12.1,1019.8
2021-01-14,21.6,17.5,29.4,3.0,10.0,9.3,1017.2
2021-01-15,19.2,17.4,27.6,2.0,329.0,9.3,1014.1
2021-01-16,21.9,16.0,29.1,39.1,272.0,9.9,1012.3
2021-01-17,21.9,10.9,29.7,0.0,186.0,7.0,1013.7
2021-01-18,21.8,12.9,30.1,,33.0,6.3,1016.4
2021-01-19,22.9,16.5,30.9,,19.0,12.2,1016.9
2021-01-20,22.9,17.3,32.7,,35.0,8.4,1018.8
2021-01-21,23.5,16.8,33.3,,33.0,9.8,1020.9
2021-01-22,24.3,15.9,33.3,,25.0,10.0,1019.5
2021-01-23,24.8,16.9,33.5,,70.0,8.7,1016.2
2021-01-24,23.3,16.2,34.0,,157.0,10.1,1015.0
2021-01-25,22.1,16.4,34.0,,69.0,12.3,1018.1
2021-01-26,20.0,16.7,28.8,,61.0,9.5,1017.6
2021-01-27,19.1,16.0,25.6,,70.0,14.7,1013.3
2021-01-28,19.3,13.0,26.5,,123.0,13.5,1016.6
2021-01-29,20.2,14.7,29.9,,47.0,5.1,1017.3
2021-01-30,22.6,13.9,31.6,,345.0,5.8,1013.6
2021-01-31,21.1,14.1,31.6,,0.0,8.2,1011.0
2021-02-01,22.6,15.8,30.9,,342.0,8.8,
2021-02-02,16.3,13.6,30.9,,45.0,15.1,1023.3
2021-02-03,16.9,14.8,19.6,22.1,45.0,13.7,1020.6
2021-02-04,21.9,17.8,29.4,43.9,359.0,9.9,1019.6
2021-02-05,22.6,15.5,31.7,0.3,39.0,6.0,1020.3
2021-02-06,21.8,15.7,31.7,0.0,26.0,10.3,1019.6
2021-02-07,21.9,13.7,30.9,1.0,14.0,7.8,1016.3
2021-02-08,23.1,16.1,30.9,0.0,13.0,10.7,1016.2
2021-02-09,22.4,17.6,31.4,,38.0,11.2,1018.6
2021-02-10,20.4,16.0,31.4,0.3,12.0,6.5,1019.8
2021-02-11,23.8,16.0,30.0,,24.0,7.3,1017.6
2021-02-12,23.2,16.0,30.0,,18.0,7.5,1015.3
2021-02-13,25.3,14.5,31.8,0.0,347.0,5.9,1013.3
2021-02-14,23.6,16.9,32.8,,27.0,9.2,1012.6
2021-02-15,22.6,16.6,32.8,,183.0,12.2,1012.4
2021-02-16,19.1,10.0,31.5,,200.0,9.7,1015.9
2021-02-17,19.8,11.2,29.9,,17.0,9.4,1015.6
2021-02-18,21.9,11.1,33.1,,316.0,6.3,1015.4
2021-02-19,18.9,11.0,33.1,,341.0,11.4,1016.2
2021-02-20,20.8,8.0,31.0,,242.0,10.0,1015.9
2021-02-21,18.7,9.0,31.3,,230.0,9.2,1016.0
2021-02-22,19.3,12.5,31.3,,25.0,15.4,1020.5
2021-02-23,17.2,14.4,24.3,38.1,18.0,11.3,1021.9
2021-02-24,19.8,14.6,28.5,9.9,348.0,9.0,1018.6
2021-02-25,21.1,16.5,29.5,0.0,315.0,9.9,1015.5
2021-02-26,20.3,12.8,30.1,,176.0,8.0,1016.0
2021-02-27,20.3,13.7,30.1,,31.0,10.9,1019.4
2021-02-28,20.0,13.9,29.5,,37.0,10.4,1021.9
2021-03-01,18.9,11.9,28.5,,21.0,9.2,1023.3
2021-03-02,19.5,9.6,28.9,,7.0,6.6,1021.9
2021-03-03,20.7,10.2,31.0,,282.0,5.9,1019.8
2021-03-04,22.9,13.5,31.7,,308.0,9.8,1016.8
2021-03-05,21.2,12.3,32.1,,321.0,8.6,1017.1
2021-03-06,21.1,8.0,32.7,,300.0,10.8,1019.0
2021-03-07,20.4,7.4,32.7,,236.0,11.1,1018.5
2021-03-08,19.5,8.1,32.2,,320.0,12.7,1014.7
2021-03-09,20.4,9.6,32.2,,329.0,11.0,1013.4
2021-03-10,20.2,6.2,29.5,0.3,297.0,6.8,1015.3
2021-03-11,22.2,7.1,31.5,0.0,242.0,5.4,1017.4
2021-03-12,21.2,9.8,32.2,,15.0,11.2,1019.9
2021-03-13,21.5,12.8,32.2,,5.0,7.9,1021.8
2021-03-14,22.0,13.9,32.1,,33.0,7.6,1020.3
2021-03-15,18.3,10.6,32.1,,325.0,8.2,1017.8
2021-03-16,19.6,10.8,29.6,,320.0,8.0,1016.9
2021-03-17,17.7,13.8,29.6,0.8,24.0,10.7,1018.3
2021-03-18,18.9,11.9,29.0,2.0,312.0,9.8,1018.5
2021-03-19,20.4,12.0,31.4,0.0,313.0,8.2,1018.2
2021-03-20,17.6,13.9,31.4,,23.0,10.5,1018.8
2021-03-21,17.1,10.7,27.1,,198.0,6.6,1019.1
