time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.2,16.0,36.4,,43.0,7.3,1010.8
2021-01-02,28.1,19.0,37.0,,41.0,4.0,1010.0
2021-01-03,29.4,23.0,36.3,,70.0,4.2,1010.1
2021-01-04,29.3,22.6,37.5,,33.0,8.9,1009.9
2021-01-05,28.5,22.0,36.0,,38.0,13.9,1010.1
2021-01-06,27.7,18.0,37.0,,36.0,13.3,1011.2
2021-01-07,28.7,20.0,37.4,,54.0,13.6,1011.0
2021-01-08,27.2,18.0,36.6,,70.0,8.4,1010.6
2021-01-09,29.5,23.7,37.5,,62.0,7.0,1010.1
2021-01-10,30.1,24.0,37.6,,85.0,11.9,1009.2
2021-01-11,28.2,20.0,36.0,,69.0,8.5,1009.4
2021-01-12,27.2,19.5,36.5,,40.0,10.9,1011.2
2021-01-13,27.3,16.0,35.6,,42.0,9.1,1012.2
2021-01-14,28.0,18.0,35.2,,49.0,12.2,1011.8
2021-01-15,27.1,18.0,34.9,,40.0,11.2,1010.9
2021-01-16,25.6,18.4,33.9,,31.0,11.3,1010.6
2021-01-17,25.5,19.0,34.0,,32.0,13.4,1010.9
2021-01-18,26.2,19.0,35.9,,49.0,13.5,1011.6
2021-01-19,26.7,19.0,35.5,,51.0,12.8,1012.0
2021-01-20,28.8,22.5,35.0,,61.0,15.4,1011.9
2021-01-21,27.4,22.8,34.0,,59.0,15.8,1012.3
2021-01-22,26.0,20.6,33.5,,48.0,14.7,1013.0
2021-01-23,24.8,14.0,33.0,,49.0,11.4,1012.8
2021-01-24,24.1,15.0,34.0,,50.0,11.5,1011.8
2021-01-25,25.8,16.0,35.0,,50.0,11.3,1011.2
2021-01-26,28.1,19.0,35.3,,46.0,11.3,1011.1
2021-01-27,27.6,20.8,36.0,,50.0,12.6,1011.1
2021-01-28,28.0,21.0,36.6,,56.0,12.3,1010.9
2021-01-29,27.8,18.0,36.2,,61.0,11.7,1011.8
2021-01-30,27.2,16.6,35.6,,50.0,12.6,1012.2
2021-01-31,26.9,17.0,35.3,,47.0,10.3,1011.5
2021-02-01,26.9,18.0,34.4,,49.0,10.9,1012.0
2021-02-02,27.1,17.0,35.5,,49.0,11.2,1012.2
2021-02-03,27.7,20.0,36.6,,40.0,8.1,1012.3
2021-02-04,29.0,21.0,37.7,,73.0,9.1,1011.0
2021-02-05,29.2,22.0,38.0,,78.0,10.0,1011.3
2021-02-06,28.8,19.0,37.4,,74.0,5.9,1011.0
2021-02-07,29.3,21.0,36.5,,44.0,7.4,1010.3
2021-02-08,27.4,21.0,35.6,,33.0,11.8,1010.6
2021-02-09,28.2,21.0,36.5,,30.0,10.8,1010.9
2021-02-10,26.1,20.0,37.0,,51.0,11.3,1010.9
2021-02-11,29.0,19.0,37.0,,46.0,9.6,1011.0
2021-02-12,29.0,22.0,38.0,,55.0,10.4,1010.8
2021-02-13,32.7,17.0,38.0,,69.0,8.2,1009.1
2021-02-14,30.0,19.0,37.0,,118.0,8.2,1008.0
2021-02-15,31.2,25.0,38.6,,127.0,9.9,1008.0
2021-02-16,31.4,26.0,38.7,,151.0,8.6,1008.0
2021-02-17,30.4,23.0,36.9,,189.0,10.7,1009.5
2021-02-18,25.9,21.3,32.0,2.0,130.0,10.0,1012.7
2021-02-19,24.5,20.0,35.0,0.3,57.0,11.7,1013.8
2021-02-20,28.5,24.0,34.0,,74.0,14.2,1014.2
2021-02-21,29.4,24.0,35.1,0.0,65.0,14.0,1013.3
2021-02-22,28.6,21.0,35.5,,63.0,15.0,1012.1
2021-02-23,27.3,19.0,36.0,,55.0,13.0,1011.9
2021-02-24,28.1,20.0,36.5,,45.0,15.9,1012.0
2021-02-25,27.7,21.0,35.7,,42.0,13.8,1010.8
2021-02-26,27.9,21.0,35.6,,40.0,12.5,1010.8
2021-02-27,32.8,22.7,35.3,,52.0,12.0,1008.5
2021-02-28,28.7,19.0,37.1,,70.0,8.0,1007.7
2021-03-01,29.0,22.0,38.0,,60.0,9.6,1007.5
2021-03-02,35.3,26.7,38.0,,68.0,13.7,1007.9
2021-03-03,31.7,24.0,38.8,,62.0,10.8,1008.8
2021-03-04,30.0,24.0,38.3,,76.0,10.5,1006.9
2021-03-05,32.4,25.5,38.2,,78.0,7.7,1007.0
2021-03-06,31.8,24.8,38.6,,200.0,10.2,1009.4
2021-03-07,31.9,26.0,39.2,0.3,236.0,8.7,1009.8
2021-03-08,32.3,26.8,38.4,0.0,208.0,10.3,1008.1
2021-03-09,33.1,27.5,39.2,,232.0,8.8,1007.2
2021-03-10,31.6,26.3,38.5,,312.0,11.2,1008.1
2021-03-11,30.9,21.0,38.5,,8.0,9.7,1008.5
2021-03-12,28.9,25.0,35.4,,14.0,13.0,1009.2
2021-03-13,28.7,23.0,35.0,,32.0,12.9,1010.3
2021-03-14,30.0,24.0,37.0,,11.0,9.8,1010.5
2021-03-15,30.7,25.0,37.5,,350.0,7.8,1009.0
