time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,,,,0.0,,,
2021-01-02,,,,0.0,,,
2021-01-03,28.7,23.0,36.6,17.6,350.0,9.4,1005.6
2021-01-04,26.6,20.6,35.5,64.8,347.0,9.9,1005.8
2021-01-05,27.5,22.4,35.4,0.0,326.0,9.2,1007.7
2021-01-06,25.1,22.0,23.0,36.6,159.0,14.7,1010.5
2021-01-07,24.1,19.7,25.0,2.6,127.0,16.0,1012.2
2021-01-08,23.1,18.2,27.2,1.4,99.0,18.1,1014.8
2021-01-09,22.9,18.4,28.9,0.0,83.0,13.9,1015.5
2021-01-10,24.2,18.2,31.6,0.0,94.0,13.5,1014.9
2021-01-11,26.0,21.4,33.5,0.0,70.0,13.6,1013.4
2021-01-12,27.3,20.3,34.5,0.0,62.0,11.3,1012.4
2021-01-13,28.3,21.0,36.1,0.0,58.0,9.7,1012.3
2021-01-14,30.7,21.7,38.5,0.0,60.0,8.0,1010.0
2021-01-15,33.0,25.1,40.0,0.0,300.0,15.9,1005.4
2021-01-16,26.6,22.0,29.3,0.0,173.0,19.2,1010.2
2021-01-17,26.8,14.3,33.5,0.0,150.0,12.1,1012.4
2021-01-18,25.5,24.6,26.6,0.0,82.0,13.6,1013.1
2021-01-19,26.7,16.3,36.0,0.0,117.0,7.9,1013.1
2021-01-20,28.7,20.2,36.8,0.0,42.0,12.0,1013.5
2021-01-21,29.5,24.4,37.1,0.0,28.0,16.0,1012.1
2021-01-22,29.4,21.7,31.5,2.0,31.0,12.8,1010.1
2021-01-23,29.2,19.4,37.2,0.0,48.0,11.2,1010.9
2021-01-24,28.8,22.3,36.0,0.0,51.0,13.9,1010.6
2021-01-25,29.4,23.2,37.2,0.0,31.0,14.0,1007.1
2021-01-26,32.0,25.5,39.3,0.0,9.0,12.9,1003.5
2021-01-27,34.3,27.2,41.2,0.0,53.0,10.7,1004.6
2021-01-28,32.6,28.1,36.5,0.0,62.0,19.0,1007.5
2021-01-29,30.7,25.0,35.9,0.0,49.0,17.4,1008.1
2021-01-30,30.2,25.2,35.3,0.0,63.0,12.9,1008.1
2021-01-31,32.0,25.8,38.2,0.0,70.0,14.8,1008.7
2021-02-01,31.4,25.3,37.6,0.0,63.0,12.8,1008.2
2021-02-02,29.0,20.5,31.6,2.8,132.0,14.5,1006.5
2021-02-03,29.0,17.1,35.8,0.0,138.0,8.6,1006.9
2021-02-04,30.6,24.4,35.9,0.0,33.0,19.4,1006.5
2021-02-05,29.6,26.8,35.1,0.0,8.0,17.7,1005.9
2021-02-06,27.3,24.2,33.2,2.6,285.0,13.8,1004.7
2021-02-07,27.1,19.2,33.8,0.0,194.0,12.2,1006.1
2021-02-08,28.3,19.8,34.7,0.0,174.0,11.3,1007.1
2021-02-09,30.4,22.6,37.0,0.0,81.0,16.5,1007.3
2021-02-10,28.1,22.1,31.1,0.0,35.0,16.6,1008.9
2021-02-11,28.6,21.0,35.0,0.0,17.0,13.8,1008.7
2021-02-12,30.7,25.0,37.7,0.0,349.0,17.5,1007.3
2021-02-13,28.5,24.2,32.0,16.0,279.0,18.2,1006.8
2021-02-14,26.1,18.8,32.7,8.4,163.0,12.8,1008.5
2021-02-15,27.5,21.8,33.1,0.0,112.0,16.1,1011.0
2021-02-16,27.9,20.8,33.6,0.0,109.0,17.0,1012.8
2021-02-17,27.6,22.0,32.6,0.0,97.0,16.6,1014.9
2021-02-18,27.7,21.7,33.0,0.0,92.0,16.2,1014.6
2021-02-19,28.5,23.3,34.3,0.0,92.0,13.3,1012.9
2021-02-20,29.4,22.6,34.7,0.0,121.0,9.0,1009.9
2021-02-21,31.2,23.9,37.3,0.0,172.0,13.7,1006.7
2021-02-22,32.2,22.6,40.1,0.0,220.0,10.6,1006.0
2021-02-23,30.1,23.2,34.8,0.0,169.0,16.8,1007.7
2021-02-24,28.5,19.4,35.0,0.0,165.0,10.3,1008.5
2021-02-25,25.9,22.2,30.4,7.6,12.0,15.6,1009.1
2021-02-26,26.6,21.5,32.8,2.1,54.0,6.5,1008.8
2021-02-27,27.4,22.3,33.1,21.4,104.0,7.2,1009.1
2021-02-28,28.9,22.1,36.5,0.0,68.0,8.1,1008.6
