time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.7,20.6,32.4,,345.0,6.1,1011.1
2021-01-02,25.9,23.2,30.0,0.0,317.0,8.1,1011.8
2021-01-03,25.1,19.7,28.2,0.0,332.0,7.9,1010.4
2021-01-04,25.1,20.4,29.0,0.0,306.0,7.8,1010.3
2021-01-05,25.2,20.5,29.0,0.1,328.0,9.6,1011.5
2021-01-06,25.3,19.8,30.0,0.0,325.0,8.8,1010.6
2021-01-07,27.0,19.8,30.4,0.0,335.0,7.2,1008.5
2021-01-08,26.7,23.4,28.8,0.3,313.0,5.9,1008.4
2021-01-09,27.3,22.6,31.0,0.0,338.0,4.7,1009.0
2021-01-10,28.6,22.9,33.0,0.2,337.0,7.4,1009.7
2021-01-11,29.1,23.0,34.0,0.0,325.0,6.4,1010.8
2021-01-12,29.3,22.5,35.0,0.0,346.0,6.6,1011.3
2021-01-13,28.7,22.0,34.0,0.0,344.0,6.7,1011.0
2021-01-14,26.8,20.0,31.0,0.0,328.0,8.6,1010.4
2021-01-15,25.6,20.8,29.0,0.0,322.0,9.9,1010.1
2021-01-16,25.6,16.6,30.2,0.0,336.0,5.9,1009.2
2021-01-17,25.9,18.2,30.4,0.0,323.0,5.9,1009.5
2021-01-18,26.6,20.2,31.2,0.0,335.0,8.6,1011.1
2021-01-19,27.5,19.0,32.8,0.0,331.0,7.0,1011.3
2021-01-20,26.8,19.0,32.4,0.0,335.0,6.4,1012.4
2021-01-21,25.3,18.2,30.8,0.0,327.0,8.7,1012.2
2021-01-22,26.0,17.0,31.0,0.0,347.0,7.3,1011.4
2021-01-23,26.7,18.8,32.8,0.0,329.0,6.3,1011.3
2021-01-24,25.7,17.4,32.0,0.0,316.0,5.7,1012.5
2021-01-25,24.5,16.4,30.2,0.0,333.0,6.1,1013.1
2021-01-26,24.1,16.0,29.0,0.0,336.0,7.3,1012.6
2021-01-27,23.9,15.3,29.0,0.0,337.0,6.7,1012.2
2021-01-28,23.8,15.2,29.4,0.0,331.0,6.4,1012.6
2021-01-29,24.3,14.8,30.0,0.0,326.0,5.5,1013.1
2021-01-30,26.0,16.0,33.0,0.0,355.0,6.2,1012.6
2021-01-31,26.1,17.0,31.2,0.0,334.0,6.7,1012.9
2021-02-01,27.9,19.0,34.0,0.0,346.0,6.5,1014.3
2021-02-02,28.4,19.2,36.2,0.0,350.0,8.1,1014.4
2021-02-03,27.4,18.6,33.6,0.0,338.0,6.4,1013.7
2021-02-04,26.6,18.5,31.0,0.0,345.0,6.2,1013.3
