time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-1.5,-6.7,2.2,,350.0,9.5,1012.4
2021-01-02,1.6,-0.2,3.7,1.6,339.0,12.9,1016.8
2021-01-03,2.3,-0.1,4.3,0.0,24.0,18.7,1017.8
2021-01-04,2.8,0.7,4.6,0.0,26.0,28.8,1019.6
2021-01-05,2.2,0.4,3.6,0.1,20.0,25.3,1020.7
2021-01-06,1.5,-1.4,3.7,0.0,13.0,16.5,1020.1
2021-01-07,-1.8,-2.7,-1.0,0.0,344.0,7.1,1019.4
2021-01-08,-0.4,-2.3,1.1,0.0,19.0,5.2,1018.4
2021-01-09,-0.3,-1.3,1.5,0.0,28.0,10.4,1026.4
2021-01-10,0.8,-1.8,3.6,0.0,296.0,4.9,1026.6
2021-01-11,6.2,3.9,8.2,0.2,248.0,21.4,1019.1
2021-01-12,7.4,3.6,9.3,2.5,309.0,20.4,1014.9
2021-01-13,7.9,3.9,9.9,3.7,277.0,15.2,1019.1
2021-01-14,7.6,2.6,9.6,2.8,336.0,17.2,1017.1
2021-01-15,0.7,-1.5,2.4,0.0,62.0,10.3,1029.8
2021-01-16,5.9,1.8,9.6,10.5,237.0,23.1,1020.0
2021-01-17,4.7,2.7,7.3,0.0,286.0,16.3,1024.9
2021-01-18,5.0,1.6,9.3,2.4,213.0,16.3,1021.6
2021-01-19,9.8,9.0,10.8,6.5,224.0,33.1,1004.4
2021-01-20,9.2,4.5,10.3,16.4,201.0,41.0,986.3
2021-01-21,4.7,1.9,7.2,0.2,244.0,23.2,985.6
2021-01-22,2.6,-0.8,6.5,0.7,235.0,12.2,992.8
2021-01-23,0.0,-2.7,5.0,0.0,301.0,9.8,996.4
2021-01-24,-0.2,-4.0,2.6,5.0,281.0,10.4,996.9
2021-01-25,0.5,-3.6,4.8,0.0,296.0,15.0,1011.0
2021-01-26,3.1,-1.2,7.9,3.0,183.0,15.3,1015.3
2021-01-27,8.4,7.2,9.9,3.5,244.0,11.7,1011.3
2021-01-28,10.6,8.7,12.3,10.5,239.0,22.3,1002.2
2021-01-29,8.5,5.9,10.6,1.7,257.0,26.3,999.5
2021-01-30,4.8,2.9,6.2,9.3,81.0,25.7,995.6
2021-01-31,1.0,-0.9,3.1,3.2,66.0,15.1,997.3
2021-02-01,2.5,1.7,3.3,1.0,27.0,12.7,996.9
2021-02-02,9.2,4.2,11.6,7.3,205.0,24.4,994.0
2021-02-03,6.9,2.3,9.0,4.9,232.0,13.8,997.0
2021-02-04,6.1,1.3,9.4,4.4,158.0,13.3,1007.2
2021-02-05,6.0,2.6,9.7,2.6,204.0,11.0,1007.7
2021-02-06,1.9,-2.4,6.1,0.9,18.0,7.8,1007.1
2021-02-07,1.7,0.1,3.8,2.9,24.0,33.3,1005.4
2021-02-08,-1.0,-2.1,0.3,0.0,39.0,29.0,1004.0
2021-02-09,-1.1,-1.9,0.4,0.0,69.0,23.4,1005.8
2021-02-10,-1.3,-3.9,1.0,0.0,43.0,16.9,1015.3
2021-02-11,-2.0,-4.0,0.0,0.0,90.0,21.9,1024.0
2021-02-12,-1.4,-4.0,2.0,0.0,94.0,24.9,1027.1
2021-02-13,-1.3,-4.0,1.5,0.5,120.0,28.4,1029.5
2021-02-14,2.9,1.5,5.2,8.5,144.0,30.8,1023.3
2021-02-15,8.7,5.7,11.6,2.0,195.0,18.3,1017.2
2021-02-16,8.5,6.4,10.9,3.2,201.0,21.1,1009.6
2021-02-17,9.2,6.6,11.0,6.4,202.0,29.4,1008.7
2021-02-18,7.2,3.6,9.9,4.9,210.0,25.0,1003.3
2021-02-19,8.2,3.8,11.0,2.0,181.0,28.6,1006.0
2021-02-20,10.9,10.0,12.6,1.2,180.0,28.5,1001.1
2021-02-21,9.5,7.0,11.7,3.0,152.0,13.3,1007.2
2021-02-22,7.4,3.8,9.8,3.3,103.0,8.6,1014.8
