time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,7.2,-1.4,,0.0,,,
2021-01-02,7.3,4.6,10.0,0.0,264.0,14.3,1013.2
2021-01-03,6.6,-1.6,9.0,0.0,269.0,16.3,1015.8
2021-01-04,5.1,-1.5,9.5,0.0,217.0,8.0,1016.7
2021-01-05,3.4,-2.0,6.0,0.0,278.0,5.8,1014.4
2021-01-06,10.5,2.4,15.0,0.0,328.0,8.2,1012.5
2021-01-07,12.7,2.5,19.1,0.0,342.0,7.9,1009.8
2021-01-08,15.6,6.6,24.4,0.0,292.0,9.5,1007.2
2021-01-09,17.8,10.8,21.8,3.0,253.0,18.1,1004.9
2021-01-10,12.0,4.6,15.4,0.0,273.0,10.0,1010.5
2021-01-11,9.6,2.0,13.0,0.0,281.0,10.7,1016.6
2021-01-12,9.3,5.7,12.0,0.0,301.0,17.3,1025.8
2021-01-13,9.9,5.4,13.1,0.0,280.0,13.2,1028.5
2021-01-14,10.7,4.3,14.6,0.0,274.0,12.6,1025.0
2021-01-15,10.7,6.1,13.0,0.0,286.0,20.5,1023.0
2021-01-16,10.6,4.5,13.0,0.0,305.0,21.0,1023.6
2021-01-17,10.6,1.8,15.0,0.0,266.0,15.4,1028.3
2021-01-18,13.0,4.3,17.0,0.0,286.0,11.5,1026.3
2021-01-19,8.4,1.0,14.0,0.0,284.0,6.0,1028.1
2021-01-20,11.3,1.8,19.2,0.0,293.0,11.1,1023.6
2021-01-21,11.9,7.1,16.0,0.0,298.0,10.5,1021.6
2021-01-22,13.0,3.2,21.0,0.0,277.0,15.0,1018.3
2021-01-23,13.4,8.4,16.0,0.0,280.0,24.9,1017.6
2021-01-24,15.6,11.9,18.5,0.0,271.0,25.7,1015.4
2021-01-25,16.6,14.0,19.0,0.0,280.0,20.4,1016.4
2021-01-26,15.6,7.7,17.0,0.0,310.0,22.8,1020.7
2021-01-27,17.0,7.9,20.0,0.0,279.0,14.5,1024.4
2021-01-28,18.1,13.0,21.3,0.0,265.0,13.7,1024.7
2021-01-29,15.9,7.1,22.0,0.0,211.0,8.8,1022.9
2021-01-30,17.2,6.9,24.3,0.0,263.0,17.5,1015.6
2021-01-31,13.9,10.6,16.0,0.0,296.0,29.9,1011.4
2021-02-01,17.3,13.2,19.3,0.3,288.0,35.9,1012.5
2021-02-02,16.9,11.9,21.3,0.0,271.0,17.1,1018.4
2021-02-03,14.5,5.6,20.5,0.0,308.0,6.6,1019.7
2021-02-04,19.1,6.1,26.0,0.0,333.0,7.1,1017.4
2021-02-05,17.6,7.5,25.0,0.0,92.0,10.8,1015.3
2021-02-06,20.7,12.3,25.8,0.0,156.0,19.5,1007.5
2021-02-07,13.8,8.2,16.0,0.0,285.0,23.5,1007.8
2021-02-08,15.4,11.0,19.3,0.0,268.0,27.3,1011.9
2021-02-09,17.9,12.9,22.0,0.0,253.0,16.5,1014.6
2021-02-10,15.8,10.6,21.0,0.0,266.0,22.1,1015.1
2021-02-11,16.0,11.1,21.0,0.4,288.0,14.1,1020.7
2021-02-12,14.3,7.0,21.0,0.0,275.0,6.9,1020.5
2021-02-13,17.0,9.7,18.0,0.0,317.0,22.2,1022.5
2021-02-14,12.8,7.6,15.5,0.0,358.0,14.7,1028.7
2021-02-15,9.6,2.8,13.0,0.0,311.0,6.9,1034.0
2021-02-16,9.9,-0.4,16.0,0.0,265.0,6.7,1032.4
2021-02-17,11.7,1.9,17.0,0.0,295.0,6.8,1027.8
2021-02-18,12.7,0.8,20.0,0.0,316.0,5.8,1023.7
2021-02-19,8.2,2.6,18.0,0.0,306.0,5.8,1023.6
2021-02-20,12.1,5.0,20.0,0.0,16.0,6.6,1022.3
2021-02-21,17.6,7.4,23.0,0.0,43.0,16.7,1017.1
2021-02-22,13.6,10.2,16.0,0.0,297.0,18.4,1018.4
2021-02-23,15.1,10.0,20.0,3.0,19.0,9.3,1026.7
2021-02-24,14.7,8.0,19.0,0.0,216.0,7.6,1031.1
2021-02-25,13.8,5.0,19.0,0.0,250.0,4.9,1029.6
2021-02-26,14.1,5.1,20.0,0.0,345.0,6.0,1027.0
2021-02-27,14.5,5.0,20.0,0.0,294.0,6.0,1023.0
2021-02-28,13.6,4.0,19.0,0.0,148.0,9.9,1021.9
2021-03-01,13.4,5.6,16.0,0.0,78.0,14.9,1022.1
2021-03-02,15.7,12.0,18.0,0.0,86.0,10.3,1023.6
2021-03-03,12.1,7.8,14.9,0.0,22.0,5.9,1025.4
2021-03-04,15.1,8.5,18.0,0.0,240.0,5.8,1020.5
2021-03-05,14.7,8.0,18.0,1.0,345.0,6.9,1016.9
2021-03-06,15.3,6.5,20.3,0.0,251.0,6.4,1019.8
2021-03-07,16.6,10.0,20.6,0.0,323.0,6.8,1017.4
2021-03-08,16.7,9.3,19.4,0.0,282.0,11.5,1012.7
2021-03-09,14.6,10.7,17.0,0.0,298.0,13.3,1014.9
2021-03-10,14.3,6.4,18.9,0.0,357.0,13.5,1020.7
2021-03-11,13.3,4.5,17.0,0.0,290.0,7.2,1026.8
2021-03-12,14.7,3.3,20.0,0.0,313.0,6.9,1023.3
2021-03-13,18.0,7.6,22.1,0.0,324.0,9.4,1020.5
2021-03-14,17.2,10.4,20.4,0.0,304.0,16.1,1021.7
2021-03-15,13.0,6.5,19.0,0.0,327.0,10.8,1022.8
2021-03-16,12.5,4.7,19.8,0.0,339.0,11.8,1022.1
2021-03-17,11.9,6.0,17.2,0.0,288.0,10.0,1021.8
2021-03-18,12.9,5.1,19.3,0.0,41.0,8.1,1015.1
2021-03-19,10.3,8.0,13.1,11.5,358.0,6.6,1008.6
2021-03-20,9.2,5.7,14.3,0.0,303.0,19.1,1007.6
2021-03-21,8.2,5.3,12.3,0.0,331.0,22.0,1013.5
2021-03-22,8.7,5.0,14.0,0.3,311.0,23.9,1017.0
2021-03-23,10.3,4.5,16.0,0.0,335.0,11.5,1023.4
2021-03-24,11.4,2.3,21.0,0.0,315.0,8.2,1025.5
2021-03-25,13.7,3.9,21.0,0.0,209.0,7.2,1024.7
2021-03-26,15.9,7.2,25.0,0.0,265.0,7.6,1025.0
2021-03-27,18.3,9.9,25.0,0.0,141.0,9.8,1024.6
2021-03-28,17.7,8.8,25.0,0.0,146.0,7.1,1027.0
2021-03-29,17.8,8.8,26.0,0.0,228.0,8.1,1027.7
2021-03-30,15.7,10.4,21.0,0.0,310.0,6.0,1026.5
2021-03-31,19.1,12.1,25.7,0.0,127.0,8.4,1021.9
2021-04-01,20.4,11.6,28.0,0.0,349.0,6.6,1018.2
2021-04-02,20.3,13.5,27.8,0.0,339.0,11.3,1014.3
2021-04-03,18.3,10.0,25.0,0.0,305.0,13.7,1011.0
