time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,,27.6,,0.0,,,
2021-01-02,,27.5,,0.0,,,
2021-01-03,33.2,25.6,39.4,0.0,55.0,13.3,1003.3
2021-01-04,32.6,25.1,38.5,0.0,138.0,9.8,1003.3
2021-01-05,33.5,27.2,37.2,0.0,149.0,14.6,1005.6
2021-01-06,33.4,26.3,39.6,0.0,176.0,19.2,1007.2
2021-01-07,33.3,26.5,38.5,0.0,148.0,21.5,1007.9
2021-01-08,32.6,25.4,38.3,0.0,158.0,19.4,1008.2
2021-01-09,31.9,25.0,37.0,0.0,148.0,17.7,1008.1
2021-01-10,30.7,23.8,35.1,0.0,103.0,17.5,1008.6
2021-01-11,30.7,23.5,35.9,3.0,113.0,14.8,1008.2
2021-01-12,32.4,25.0,37.4,0.0,107.0,16.8,1007.7
2021-01-13,34.5,26.7,40.1,0.0,93.0,17.0,1008.1
2021-01-14,35.3,27.0,41.2,0.0,86.0,16.3,1007.9
2021-01-15,35.8,26.0,42.4,0.0,101.0,12.7,1005.5
2021-01-16,33.9,26.3,39.3,0.0,160.0,22.5,1007.5
2021-01-17,32.2,22.6,39.1,0.0,165.0,21.0,1009.0
2021-01-18,32.1,24.0,37.9,0.0,161.0,21.1,1009.0
2021-01-19,34.0,25.1,38.8,0.0,134.0,15.3,1009.2
2021-01-20,35.0,28.6,40.0,0.0,96.0,8.6,1009.1
2021-01-21,35.3,30.5,40.7,0.0,62.0,13.8,1007.4
2021-01-22,34.9,27.2,39.6,0.0,35.0,9.9,1006.8
2021-01-23,35.3,29.1,39.6,0.0,38.0,9.7,1006.2
2021-01-24,35.2,30.0,38.9,0.0,11.0,10.5,1005.2
2021-01-25,35.5,30.5,39.9,0.0,351.0,10.8,1002.9
2021-01-26,35.0,29.0,40.6,0.0,302.0,8.2,1001.4
2021-01-27,36.0,28.8,41.2,0.0,32.0,7.2,1001.6
2021-01-28,36.8,23.7,41.7,0.0,62.0,11.4,1002.2
2021-01-29,36.7,28.2,41.5,0.0,52.0,14.5,1002.2
2021-01-30,36.6,31.0,41.5,0.0,98.0,11.9,1003.7
2021-01-31,37.0,28.1,41.7,0.6,94.0,10.2,1004.2
2021-02-01,37.5,30.5,42.0,0.0,77.0,13.3,1004.0
2021-02-02,36.2,29.7,40.5,0.0,166.0,19.5,1003.3
2021-02-03,35.1,28.1,40.3,0.0,138.0,15.7,1002.6
2021-02-04,35.9,26.9,41.8,0.0,356.0,11.5,1000.4
2021-02-05,34.7,30.6,40.8,0.0,347.0,18.6,1001.3
2021-02-06,30.4,23.0,36.3,0.0,170.0,15.9,1004.4
2021-02-07,29.5,25.2,31.3,0.0,106.0,16.9,1004.6
2021-02-08,31.3,27.8,35.4,0.0,47.0,12.3,1004.8
2021-02-09,33.3,28.3,39.3,0.0,308.0,8.3,1004.9
2021-02-10,34.6,29.5,40.9,0.0,294.0,14.9,1004.6
2021-02-11,35.2,26.2,40.9,0.0,303.0,14.7,1003.8
2021-02-12,35.2,26.4,40.7,0.0,319.0,16.1,1004.8
2021-02-13,33.4,25.2,40.2,0.0,317.0,10.8,1006.8
2021-02-14,32.6,24.6,37.6,0.0,146.0,13.6,1007.0
2021-02-15,32.7,25.3,38.4,0.0,140.0,15.8,1006.5
