time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-11.3,-16.0,-6.5,0.0,259.0,10.3,1018.8
2021-01-02,-6.2,-15.8,3.4,0.0,264.0,13.3,1006.5
2021-01-03,-3.4,-9.3,2.6,0.0,239.0,19.8,1000.6
2021-01-04,-8.2,-17.6,1.3,0.0,279.0,19.3,1010.0
2021-01-05,-10.2,-18.6,-1.7,0.0,83.0,11.4,1018.1
2021-01-06,-4.4,-8.4,-0.4,0.0,246.0,13.0,1023.3
2021-01-07,-4.4,-9.2,0.5,0.0,234.0,8.4,1026.0
2021-01-08,-10.2,-17.5,-2.8,0.0,267.0,10.0,1032.9
2021-01-09,-12.7,-16.4,-8.9,0.0,272.0,16.4,1033.7
2021-01-10,-5.2,-8.7,-1.7,0.0,261.0,26.4,1022.3
2021-01-11,-7.0,-10.1,-3.8,0.0,282.0,17.0,1015.7
2021-01-12,-7.9,-13.4,-2.3,0.0,275.0,15.4,1011.6
2021-01-13,-4.0,-11.8,3.8,2.2,113.0,8.0,1000.5
2021-01-14,-0.9,-3.0,1.2,0.2,305.0,37.5,1001.8
2021-01-15,-7.8,-13.5,-2.1,0.0,333.0,20.2,1021.1
2021-01-16,-6.5,-10.1,-2.8,0.0,277.0,19.1,1014.2
2021-01-17,-7.2,-12.7,-1.6,0.2,39.0,14.4,1014.8
2021-01-18,-15.8,-18.8,-12.8,2.0,86.0,15.8,1021.1
2021-01-19,-14.6,-26.3,-2.9,1.0,244.0,14.5,1025.3
2021-01-20,-0.8,-3.5,2.0,0.0,270.0,41.8,996.0
2021-01-21,-9.1,-17.1,-1.1,0.0,323.0,22.8,1018.4
2021-01-22,-12.9,-16.6,-9.1,0.0,254.0,15.3,1021.3
2021-01-23,-15.0,-24.4,-5.5,1.2,262.0,22.8,1017.1
2021-01-24,-27.0,-31.7,-22.2,0.4,315.0,13.6,1028.2
2021-01-25,-27.7,-32.8,-22.5,0.4,70.0,21.3,1032.6
2021-01-26,-29.3,-35.1,-23.4,0.0,322.0,5.2,1036.5
2021-01-27,-27.1,-32.9,-21.2,0.0,76.0,12.0,1039.4
2021-01-28,-17.5,-23.2,-11.8,0.2,97.0,20.5,1033.1
2021-01-29,-9.7,-12.4,-7.0,0.2,110.0,17.5,1021.4
2021-01-30,-6.7,-7.4,-5.9,0.2,69.0,10.2,1019.0
2021-01-31,-7.4,-9.0,-5.7,0.4,298.0,9.9,1028.4
2021-02-01,-7.3,-8.1,-6.4,0.0,149.0,14.8,1027.5
2021-02-02,-6.8,-10.8,-2.8,0.0,141.0,14.8,1016.4
2021-02-03,-7.6,-12.1,-3.0,3.8,335.0,18.5,1007.4
2021-02-04,-15.3,-18.4,-12.2,0.0,305.0,32.2,1012.5
2021-02-05,-22.4,-27.9,-16.9,0.0,315.0,24.0,1017.1
