time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-17.8,-19.2,-16.4,,31.0,23.9,1010.2
2021-01-02,-19.8,-21.5,-18.2,0.7,23.0,9.8,1007.1
2021-01-03,-18.1,-20.3,-15.9,1.1,144.0,13.4,1007.4
2021-01-04,-19.2,-22.2,-16.1,0.0,353.0,11.5,1013.0
2021-01-05,-15.5,-21.0,-10.1,6.7,120.0,21.9,1020.1
2021-01-06,-14.0,-20.3,-7.8,0.1,281.0,26.5,1019.5
2021-01-07,-22.1,-24.1,-20.2,0.0,35.0,30.8,1037.9
2021-01-08,-19.6,-22.7,-16.6,0.0,83.0,9.9,1029.4
2021-01-09,-15.9,-18.3,-13.5,0.0,270.0,11.4,1010.0
2021-01-10,-14.2,-15.5,-12.8,0.6,17.0,6.8,1003.3
2021-01-11,-14.1,-15.4,-12.8,0.6,233.0,14.2,1005.6
2021-01-12,-14.9,-16.8,-13.0,0.1,139.0,18.9,1005.0
2021-01-13,-16.2,-17.1,-15.4,0.0,271.0,10.3,1005.1
2021-01-14,-18.1,-19.5,-16.8,0.0,36.0,15.1,1011.2
2021-01-15,-13.9,-18.1,-9.7,0.3,211.0,23.0,1010.3
2021-01-16,-14.5,-20.2,-8.8,4.6,211.0,33.7,999.1
2021-01-17,-19.5,-20.6,-18.4,0.0,299.0,19.2,1013.2
2021-01-18,-10.5,-19.3,-1.6,14.8,55.0,49.6,1010.1
2021-01-19,-5.8,-10.5,-1.2,17.2,143.0,41.8,995.9
2021-01-20,-7.7,-12.1,-3.3,3.1,139.0,22.2,1011.9
2021-01-21,-3.3,-4.7,-1.9,0.8,115.0,21.0,1017.2
2021-01-22,-2.9,-4.1,-1.7,1.5,135.0,28.7,1019.1
2021-01-23,-7.4,-10.7,-4.1,0.5,55.0,36.3,1026.3
2021-01-24,-10.5,-11.5,-9.5,0.0,64.0,47.8,1025.4
2021-01-25,-9.6,-12.0,-7.2,0.0,40.0,21.5,1024.7
2021-01-26,-12.7,-16.4,-9.1,0.0,27.0,5.6,1023.0
2021-01-27,-14.2,-16.7,-11.7,0.0,39.0,27.8,1017.2
2021-01-28,-16.2,-18.0,-14.5,0.0,50.0,51.1,1019.9
2021-01-29,-15.9,-19.4,-12.4,0.0,35.0,36.3,1020.1
2021-01-30,-17.4,-19.7,-15.2,0.0,20.0,17.8,1025.8
2021-01-31,-13.5,-17.1,-9.9,0.0,292.0,14.9,1020.3
2021-02-01,-20.6,-25.0,-16.1,0.0,340.0,22.0,1021.6
2021-02-02,-23.0,-24.3,-21.6,0.4,263.0,8.1,1029.0
2021-02-03,-21.6,-24.1,-19.2,0.3,9.0,10.8,1027.4
2021-02-04,-16.9,-22.5,-11.2,3.1,121.0,16.3,1020.9
2021-02-05,-10.1,-12.9,-7.4,0.2,219.0,23.7,1019.2
2021-02-06,-7.6,-10.2,-4.9,0.0,159.0,27.5,1023.3
2021-02-07,-6.7,-10.4,-3.0,1.2,68.0,33.6,1019.8
2021-02-08,-10.7,-13.2,-8.2,0.0,55.0,42.0,1024.5
2021-02-09,-13.9,-16.4,-11.4,0.0,57.0,22.5,1028.2
2021-02-10,-11.3,-13.0,-9.6,0.0,30.0,17.4,1024.1
2021-02-11,-13.1,-15.4,-10.8,0.0,47.0,15.5,1015.4
2021-02-12,-16.3,-21.1,-11.6,0.0,301.0,18.9,1011.2
2021-02-13,-20.5,-22.2,-18.9,0.0,300.0,24.8,1011.0
2021-02-14,-21.2,-22.4,-19.9,0.0,289.0,15.1,1008.3
2021-02-15,-20.3,-22.2,-18.4,0.2,327.0,16.7,1000.4
2021-02-16,-20.3,-22.0,-18.6,0.0,325.0,19.5,1004.8
2021-02-17,-16.7,-20.0,-13.4,0.0,281.0,15.1,1008.4
2021-02-18,-20.6,-25.2,-16.1,0.0,337.0,11.2,1008.4
2021-02-19,-24.3,-25.8,-22.9,0.0,21.0,9.4,1011.3
2021-02-20,-23.3,-25.2,-21.3,0.2,335.0,10.2,1010.3
2021-02-21,-19.0,-22.6,-15.4,0.0,282.0,9.5,1003.4
2021-02-22,-15.0,-20.0,-9.9,0.0,242.0,15.8,995.3
2021-02-23,-8.8,-10.3,-7.2,0.0,214.0,22.0,997.7
2021-02-24,-9.9,-11.7,-8.0,0.6,223.0,10.6,999.7
2021-02-25,-13.7,-17.4,-9.9,0.4,33.0,9.6,997.8
2021-02-26,-20.9,-24.6,-17.3,0.0,236.0,17.6,996.7
2021-02-27,-24.2,-27.7,-20.7,0.0,263.0,17.1,998.7
2021-02-28,-28.5,-30.6,-26.3,0.0,259.0,31.6,1012.7
2021-03-01,-16.3,-26.4,-6.3,4.4,163.0,31.0,1013.8
2021-03-02,-8.7,-11.7,-5.7,4.7,199.0,48.5,1001.0
2021-03-03,-14.7,-17.7,-11.7,3.6,41.0,57.5,1018.8
2021-03-04,-14.9,-15.4,-14.3,0.3,46.0,85.5,1020.7
2021-03-05,-16.6,-18.9,-14.4,0.6,55.0,73.4,1014.3
2021-03-06,-19.2,-19.8,-18.5,1.1,46.0,67.0,1014.2
2021-03-07,-16.7,-19.4,-14.0,0.0,36.0,48.9,1015.1
2021-03-08,-12.4,-15.4,-9.5,0.0,245.0,15.7,1010.1
2021-03-09,-11.9,-13.8,-9.9,0.5,267.0,16.8,1002.2
2021-03-10,-17.3,-22.0,-12.6,0.3,11.0,12.8,1001.9
2021-03-11,-21.1,-23.9,-18.4,0.0,353.0,8.2,1004.7
2021-03-12,-22.5,-24.3,-20.7,0.0,59.0,5.8,1007.8
2021-03-13,-22.8,-24.9,-20.7,0.0,44.0,11.0,1005.5
2021-03-14,-22.5,-25.4,-19.6,,,,
2021-03-15,-22.1,-25.2,-18.9,0.0,328.0,11.0,1005.9
2021-03-16,-21.6,-23.8,-19.4,0.0,177.0,8.8,1010.1
2021-03-17,-22.0,-24.5,-19.5,0.0,42.0,12.8,1006.6
2021-03-18,-20.3,-23.3,-17.3,0.0,116.0,11.0,1010.6
2021-03-19,-20.0,-23.0,-17.0,0.8,3.0,16.1,1011.6
2021-03-20,-18.2,-20.6,-15.9,0.0,338.0,21.0,1006.5
2021-03-21,-15.7,-19.1,-12.3,0.0,263.0,10.4,1006.3
2021-03-22,-20.1,-25.1,-15.1,0.6,40.0,19.0,1001.5
2021-03-23,-23.9,-26.2,-21.6,0.0,84.0,12.1,1007.9
2021-03-24,-25.4,-28.7,-22.1,0.0,301.0,10.8,1014.0
2021-03-25,-27.9,-30.7,-25.0,0.0,345.0,16.5,1023.2
2021-03-26,-22.8,-27.4,-18.2,0.0,344.0,26.7,1024.8
2021-03-27,-16.9,-20.3,-13.5,0.0,295.0,14.8,1023.4
2021-03-28,-14.5,-16.8,-12.1,0.0,221.0,25.8,1010.4
2021-03-29,-12.5,-14.1,-11.0,0.8,64.0,13.6,998.4
2021-03-30,-17.0,-20.5,-13.5,0.0,347.0,31.6,999.0
2021-03-31,-17.9,-20.5,-13.5,4.9,53.0,29.8,1011.3
2021-04-01,-16.9,-24.3,-9.4,1.8,10.0,14.1,1012.5
2021-04-02,-22.2,-25.0,-19.5,0.0,14.0,10.0,1040.5
2021-04-03,-20.7,-23.5,-17.8,0.1,45.0,48.1,1040.9
2021-04-04,-17.0,-19.3,-14.6,3.9,56.0,47.8,1030.1
2021-04-05,-14.2,-17.4,-10.9,0.0,175.0,16.2,1033.5
2021-04-06,-10.4,-12.5,-8.3,0.0,215.0,12.0,1037.0
2021-04-07,-6.3,-11.4,-1.2,5.9,167.0,31.1,1024.9
2021-04-08,-3.8,-6.0,-1.5,0.4,257.0,28.8,1011.6
2021-04-09,-7.3,-9.6,-5.0,0.0,41.0,16.0,1024.1
2021-04-10,-8.2,-9.5,-6.8,0.0,229.0,22.1,1032.8
2021-04-11,-4.9,-9.1,-0.7,0.0,214.0,25.3,1030.5
2021-04-12,-1.0,-3.2,1.3,0.0,232.0,33.3,1028.0
2021-04-13,-4.6,-9.6,0.3,1.7,51.0,27.0,1026.4
2021-04-14,-13.7,-18.0,-9.4,0.2,35.0,32.7,1027.7
2021-04-15,-15.2,-18.4,-12.1,0.0,341.0,12.5,1027.5
2021-04-16,-13.0,-16.4,-9.5,0.0,316.0,16.8,1018.5
2021-04-17,-12.2,-14.9,-9.6,0.0,254.0,7.3,1015.0
2021-04-18,-11.5,-13.5,-9.6,1.1,53.0,21.5,1014.1
2021-04-19,-10.5,-11.2,-9.9,5.1,38.0,45.1,1013.5
2021-04-20,-7.2,-10.8,-3.6,0.0,184.0,10.8,1017.7
2021-04-21,-4.9,-6.6,-3.1,0.0,167.0,21.9,1012.5
2021-04-22,-5.2,-7.1,-3.2,0.0,81.0,20.1,1013.4
2021-04-23,-4.4,-7.3,-1.6,4.1,69.0,15.0,1015.1
2021-04-24,-4.0,-6.0,-2.1,4.7,63.0,36.8,1014.2
2021-04-25,-2.4,-4.6,-0.1,6.3,49.0,31.7,1010.4
2021-04-26,-2.2,-5.2,0.8,5.5,82.0,21.6,1015.6
2021-04-27,-3.8,-6.0,-1.6,0.0,118.0,17.8,1031.3
2021-04-28,-5.7,-6.0,-1.6,3.9,55.0,23.4,1030.6
2021-04-29,-2.3,-4.0,-1.3,7.1,39.0,17.1,1023.6
2021-04-30,-1.7,-2.3,-1.3,1.1,74.0,25.1,1021.0
2021-05-01,-0.9,-1.2,0.0,4.3,91.0,38.4,1017.5
2021-05-02,-2.6,-4.5,-0.7,0.1,54.0,34.2,1018.3
2021-05-03,-3.5,-5.0,-2.0,0.0,39.0,27.1,1019.2
2021-05-04,-1.2,-5.1,2.6,0.0,180.0,10.8,1021.9
2021-05-05,1.1,-2.1,4.3,0.0,224.0,10.8,1025.0
2021-05-06,0.1,-1.8,1.9,0.0,210.0,17.2,1027.3
2021-05-07,-1.4,-4.2,1.4,0.0,207.0,19.6,1027.2
2021-05-08,-3.3,-4.9,-1.6,0.0,225.0,24.5,1026.9
2021-05-09,-3.1,-5.1,-1.0,0.0,228.0,23.3,1021.0
2021-05-10,-1.1,-2.9,0.6,0.0,31.0,6.3,1019.7
2021-05-11,-1.3,-3.7,1.1,0.4,228.0,11.4,1020.5
2021-05-12,-2.6,-5.0,-0.3,0.0,220.0,20.4,1019.2
2021-05-13,-3.1,-5.0,-1.1,0.0,220.0,28.3,1020.0
2021-05-14,-2.1,-5.2,0.9,0.8,214.0,24.2,1022.0
2021-05-15,-3.6,-5.9,-1.4,0.0,196.0,13.0,1025.0
2021-05-16,-3.2,-5.1,-1.4,5.2,56.0,17.1,1025.9
2021-05-17,-1.5,-3.5,0.6,0.0,174.0,25.6,1022.3
2021-05-18,-1.9,-4.9,1.1,2.2,193.0,33.5,1015.0
2021-05-19,-5.4,-8.9,-1.9,0.6,98.0,8.8,1022.7
2021-05-20,-7.7,-10.0,-5.3,11.3,62.0,37.9,1014.4
2021-05-21,-7.9,-10.4,-5.4,0.0,317.0,32.4,1016.2
2021-05-22,-9.4,-12.9,-5.8,0.4,298.0,26.0,1011.6
2021-05-23,-9.3,-12.8,-5.8,0.0,334.0,14.7,1009.0
2021-05-24,-8.7,-10.6,-6.9,0.6,147.0,12.3,1001.9
2021-05-25,-8.5,-10.9,-6.0,2.3,258.0,19.5,997.0
2021-05-26,-5.1,-7.4,-2.8,0.0,8.0,19.0,999.1
