time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-0.5,-3.9,3.1,0.6,308.0,11.9,1007.8
2021-01-02,-1.2,-3.0,2.1,0.2,330.0,13.6,1012.3
2021-01-03,-0.8,-3.8,2.7,0.0,228.0,11.8,1011.9
2021-01-04,-1.7,-5.3,1.7,0.0,236.0,11.2,1008.5
2021-01-05,-3.1,-6.4,2.6,0.0,161.0,8.0,1009.7
2021-01-06,-2.0,-6.3,4.7,0.0,76.0,5.6,1011.6
2021-01-07,-3.6,-8.1,1.5,0.0,53.0,12.1,1011.8
2021-01-08,-3.2,-5.9,-1.3,0.0,54.0,22.9,1010.6
2021-01-09,-3.4,-3.9,-2.5,1.2,56.0,23.2,1006.5
2021-01-10,-1.1,-3.0,-0.1,0.0,39.0,25.1,1013.3
2021-01-11,-0.8,-4.6,1.8,0.0,41.0,22.4,1022.4
2021-01-12,-2.1,-8.1,4.8,0.0,46.0,8.3,1028.3
2021-01-13,-1.9,-8.5,6.3,0.0,69.0,6.1,1030.0
2021-01-14,-1.5,-7.2,6.4,0.0,50.0,4.9,1028.5
2021-01-15,1.6,-3.4,7.1,0.0,30.0,8.4,1028.9
2021-01-16,-3.1,-5.8,-0.7,0.0,218.0,5.2,1029.5
2021-01-17,-1.1,-7.4,8.0,0.0,241.0,4.4,1029.5
2021-01-18,2.1,-2.6,4.8,0.0,213.0,5.6,1027.3
2021-01-19,2.0,-4.2,9.2,0.6,229.0,9.4,1021.0
2021-01-20,4.4,-0.2,8.8,1.2,188.0,30.8,1006.4
2021-01-21,7.2,6.1,8.5,4.8,215.0,30.1,1007.5
2021-01-22,5.2,2.9,8.2,0.2,239.0,31.4,1005.3
2021-01-23,5.1,3.0,9.5,5.4,223.0,32.5,1007.0
2021-01-24,5.7,3.7,8.5,7.6,239.0,25.4,1009.8
2021-01-25,5.2,-1.2,7.9,12.2,335.0,12.1,1011.3
2021-01-26,5.9,-1.0,10.1,0.4,188.0,9.5,1021.9
2021-01-27,10.6,9.0,14.2,0.0,219.0,12.4,1025.3
2021-01-28,10.2,8.8,12.4,0.0,207.0,19.3,1023.6
2021-01-29,9.9,9.0,11.9,5.0,212.0,19.0,1019.6
2021-01-30,6.7,3.3,9.1,0.0,236.0,30.9,1009.5
2021-01-31,6.8,3.0,12.2,0.0,225.0,22.7,1009.9
2021-02-01,8.5,5.6,13.4,0.0,235.0,29.3,1012.5
2021-02-02,9.1,7.8,10.4,0.2,216.0,24.0,1015.0
2021-02-03,8.1,6.9,9.8,8.2,203.0,24.3,1011.3
2021-02-04,7.0,4.9,8.6,3.2,185.0,11.6,1010.2
2021-02-05,7.1,3.7,11.8,5.8,38.0,15.7,1006.1
2021-02-06,4.8,1.0,7.4,3.6,23.0,16.6,1002.9
2021-02-07,1.7,-3.3,5.6,6.2,196.0,15.4,1005.9
2021-02-08,4.8,3.5,8.2,5.6,229.0,23.3,1000.1
2021-02-09,4.2,2.2,6.4,12.4,209.0,28.5,1000.1
2021-02-10,3.6,2.2,9.7,0.0,233.0,23.3,1007.5
2021-02-11,8.1,4.3,12.8,4.4,203.0,18.4,1017.2
2021-02-12,7.6,0.8,10.9,3.4,242.0,16.3,1018.6
2021-02-13,6.3,-0.7,10.7,0.0,183.0,8.5,1025.7
2021-02-14,6.6,0.4,13.8,0.0,165.0,8.6,1027.9
2021-02-15,5.8,0.2,17.0,0.0,76.0,11.1,1028.9
2021-02-16,7.6,0.6,13.4,0.4,197.0,20.0,1024.2
2021-02-17,8.6,6.2,12.4,0.0,207.0,17.4,1020.8
2021-02-18,9.1,6.1,12.9,0.6,212.0,25.9,1015.9
2021-02-19,8.4,7.1,15.8,0.0,204.0,23.6,1015.7
2021-02-20,10.9,5.8,14.9,0.0,178.0,30.3,1009.9
2021-02-21,5.9,2.4,11.6,25.4,122.0,19.4,1005.8
2021-02-22,2.3,-1.0,7.5,1.0,94.0,8.8,1017.1
2021-02-23,5.2,-0.5,12.9,0.0,175.0,12.6,1029.9
2021-02-24,9.0,3.2,16.6,0.0,175.0,21.4,1029.5
2021-02-25,5.9,1.9,9.3,0.0,60.0,15.8,1028.0
2021-02-26,7.4,5.5,11.1,0.0,53.0,20.8,1030.0
2021-02-27,6.6,1.3,11.6,0.0,52.0,26.6,1027.5
2021-02-28,4.8,1.5,8.6,0.0,69.0,23.1,1020.0
2021-03-01,7.4,2.4,12.5,0.0,134.0,20.9,1020.3
2021-03-02,9.0,4.2,14.9,0.6,142.0,16.7,1024.7
2021-03-03,6.9,1.4,15.3,0.2,36.0,8.1,1028.0
2021-03-04,6.7,1.5,14.7,0.0,57.0,11.8,1021.4
2021-03-05,6.8,3.6,12.1,0.0,50.0,22.1,1018.3
2021-03-06,5.1,0.3,9.9,0.0,49.0,18.8,1020.9
2021-03-07,4.6,1.4,10.2,1.6,47.0,15.1,1018.2
