time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.3,25.6,32.3,5.2,,,
2021-01-02,26.7,25.4,30.5,7.8,,,
2021-01-03,24.4,24.8,27.3,42.2,119.0,27.5,1000.8
2021-01-04,29.8,22.9,35.0,75.6,198.0,16.3,1001.9
2021-01-05,31.4,26.2,36.5,0.0,231.0,10.1,1003.6
2021-01-06,31.9,27.5,37.7,0.0,168.0,12.1,1004.7
2021-01-07,30.1,26.9,36.0,0.0,6.0,8.3,1005.3
2021-01-08,30.3,26.1,36.8,0.0,132.0,6.0,1006.2
2021-01-09,30.6,25.8,35.7,0.0,349.0,7.5,1005.7
2021-01-10,27.9,26.8,36.0,0.0,35.0,7.4,1006.1
2021-01-11,29.4,24.4,35.6,6.0,337.0,6.2,1006.4
2021-01-12,30.9,25.4,36.1,0.0,334.0,9.5,1006.0
2021-01-13,30.5,25.5,36.2,0.0,36.0,8.0,1006.6
2021-01-14,30.1,24.9,34.3,11.0,71.0,10.0,1006.3
2021-01-15,29.8,25.1,34.8,0.6,36.0,9.8,1005.1
2021-01-16,30.0,25.9,35.2,0.2,73.0,11.8,1004.4
2021-01-17,31.3,25.0,36.8,0.0,14.0,10.9,1005.5
2021-01-18,30.2,27.1,34.4,0.0,294.0,11.0,1006.1
2021-01-19,30.2,25.6,36.3,0.0,345.0,12.0,1007.6
2021-01-20,28.9,24.1,33.0,6.0,6.0,9.4,1009.0
2021-01-21,29.4,26.1,35.0,0.0,31.0,11.3,1008.4
2021-01-22,28.5,24.4,33.1,0.0,31.0,11.4,1008.0
2021-01-23,28.9,26.1,33.5,5.8,20.0,11.5,1007.4
2021-01-24,29.6,25.3,35.1,0.2,27.0,12.2,1006.5
2021-01-25,30.0,25.0,34.5,0.0,52.0,13.7,1004.2
2021-01-26,30.0,26.5,34.4,0.0,77.0,15.1,1001.6
2021-01-27,30.9,26.7,37.0,0.0,57.0,12.2,1002.1
2021-01-28,30.7,27.6,35.9,0.0,46.0,12.5,1002.7
2021-01-29,28.7,26.6,34.0,5.8,4.0,10.0,1003.3
2021-01-30,30.4,25.9,36.2,28.0,338.0,10.9,1003.6
2021-01-31,31.6,25.9,36.2,0.0,353.0,12.5,1004.5
2021-02-01,30.2,27.1,35.2,0.0,0.0,12.6,1005.4
2021-02-02,30.3,26.6,35.8,0.0,339.0,12.9,1005.1
2021-02-03,29.5,23.2,32.3,35.6,346.0,15.3,1003.8
2021-02-04,29.9,26.5,33.9,0.4,16.0,17.2,1003.6
2021-02-05,29.4,27.5,33.4,0.0,46.0,19.5,1002.7
2021-02-06,27.0,26.6,31.2,0.0,62.0,19.9,1001.8
2021-02-07,27.1,25.1,28.4,58.8,50.0,24.5,1000.9
2021-02-08,28.7,25.3,30.8,51.6,24.0,18.9,1003.6
2021-02-09,29.5,26.6,32.9,5.4,15.0,13.5,1005.4
2021-02-10,29.1,24.1,31.4,3.6,4.0,10.9,1006.4
2021-02-11,28.4,24.5,33.1,1.0,348.0,10.4,1006.5
2021-02-12,28.3,27.3,32.4,0.2,29.0,13.4,1007.1
2021-02-13,28.0,25.8,32.8,5.6,36.0,13.7,1007.5
2021-02-14,27.8,27.2,30.6,4.2,18.0,9.9,1007.1
2021-02-15,28.6,25.5,34.0,2.8,316.0,5.8,1006.0
2021-02-16,27.8,25.3,31.8,5.2,74.0,9.7,1005.1
2021-02-17,26.3,24.2,29.4,15.2,83.0,15.7,1005.8
2021-02-18,26.6,24.0,30.0,32.4,90.0,22.5,1006.4
2021-02-19,26.4,24.4,27.6,0.0,102.0,21.6,1006.6
2021-02-20,24.9,24.0,29.0,0.0,103.0,20.0,1006.7
2021-02-21,25.8,24.7,27.8,50.8,112.0,11.1,1007.2
2021-02-22,25.3,24.8,29.5,8.4,28.0,6.5,1008.0
2021-02-23,29.8,23.3,35.1,19.4,274.0,7.9,1007.6
2021-02-24,29.5,24.0,35.1,0.0,347.0,10.4,1005.7
2021-02-25,28.4,25.4,32.5,0.0,315.0,8.1,1005.5
2021-02-26,27.9,26.5,34.2,0.0,60.0,6.1,1004.8
2021-02-27,28.4,25.1,35.0,2.2,94.0,6.7,1005.2
2021-02-28,30.0,22.6,34.5,49.4,124.0,7.5,1005.5
2021-03-01,29.3,26.8,36.3,0.0,224.0,8.6,1004.9
2021-03-02,30.6,24.7,36.4,1.4,187.0,10.7,1005.2
2021-03-03,30.1,25.9,37.3,0.0,201.0,11.2,1005.2
2021-03-04,29.2,23.4,36.7,0.0,146.0,13.2,1004.9
2021-03-05,28.6,22.6,36.1,0.0,40.0,10.7,1005.4
2021-03-06,29.3,22.4,35.4,0.0,342.0,11.0,1006.0
2021-03-07,29.4,24.0,33.7,0.0,6.0,13.6,1007.2
2021-03-08,28.4,26.5,32.9,0.2,37.0,20.8,1009.3
2021-03-09,27.6,24.8,32.2,0.0,34.0,15.1,1011.2
2021-03-10,28.4,23.9,33.3,0.0,7.0,10.6,1012.0
2021-03-11,28.9,24.5,35.2,0.0,342.0,8.0,1012.5
2021-03-12,29.2,24.7,34.1,0.0,5.0,8.3,1011.8
2021-03-13,29.6,25.1,35.3,0.0,316.0,9.8,1010.7
2021-03-14,28.6,25.1,35.3,0.0,338.0,9.6,1009.6
2021-03-15,27.8,23.6,34.8,7.8,154.0,11.8,1010.8
2021-03-16,27.7,24.0,33.2,4.0,115.0,8.9,1010.5
2021-03-17,27.3,23.8,31.3,0.2,128.0,9.9,1009.6
2021-03-18,26.4,24.8,33.7,12.8,98.0,8.0,1009.0
2021-03-19,28.2,23.2,33.3,15.4,91.0,9.0,1008.2
2021-03-20,26.4,25.1,30.0,0.0,46.0,8.9,1008.0
2021-03-21,27.4,24.1,32.1,0.6,72.0,11.9,1008.2
2021-03-22,28.6,24.2,33.8,0.0,313.0,8.9,1008.6
2021-03-23,28.8,24.5,35.1,0.0,313.0,9.6,1008.0
2021-03-24,26.6,24.1,31.6,0.0,294.0,6.5,1007.3
2021-03-25,29.2,23.8,35.2,0.0,162.0,6.5,1007.9
2021-03-26,29.8,25.1,37.3,0.0,146.0,12.4,1008.1
2021-03-27,29.5,22.8,35.6,0.0,99.0,9.3,1009.1
2021-03-28,30.0,24.8,36.3,0.0,109.0,11.3,1009.6
2021-03-29,29.1,23.7,36.4,0.0,135.0,13.3,1009.4
2021-03-30,29.0,23.4,37.2,0.0,130.0,14.0,1008.6
2021-03-31,27.7,22.7,35.3,0.0,133.0,20.1,1009.2
2021-04-01,27.7,21.4,35.8,0.0,124.0,16.9,1009.5
2021-04-02,27.1,20.7,35.5,0.0,110.0,15.5,1010.1
2021-04-03,26.9,20.2,35.1,0.0,119.0,12.8,1009.1
2021-04-04,26.6,20.9,34.7,0.0,98.0,13.0,1008.7
2021-04-05,27.7,21.0,35.4,0.0,122.0,9.9,1009.1
2021-04-06,28.9,21.8,36.1,0.0,341.0,11.0,1009.1
2021-04-07,29.1,23.2,37.7,0.0,316.0,8.7,1007.9
2021-04-08,28.8,22.7,37.8,0.0,332.0,11.3,1006.3
2021-04-09,29.5,21.6,38.6,0.0,314.0,10.1,1007.4
2021-04-10,29.6,21.7,37.8,0.0,307.0,10.3,1008.4
2021-04-11,28.7,23.1,37.6,0.0,182.0,14.5,1010.0
2021-04-12,26.2,21.6,35.2,0.0,161.0,18.2,1011.4
2021-04-13,25.5,18.4,35.3,0.0,121.0,15.0,1011.4
2021-04-14,26.9,17.2,34.6,0.0,10.0,10.2,1011.7
2021-04-15,28.0,20.8,35.0,0.0,355.0,10.3,1011.4
2021-04-16,28.5,23.3,37.8,0.0,181.0,13.0,1011.6
2021-04-17,27.9,19.9,35.2,0.0,164.0,20.1,1012.2
2021-04-18,28.2,22.9,35.7,0.0,153.0,23.7,1011.1
2021-04-19,28.4,23.0,36.1,0.0,127.0,18.6,1010.0
2021-04-20,27.9,22.8,34.3,0.0,41.0,11.5,1010.6
2021-04-21,27.3,23.5,32.0,0.0,64.0,9.1,1011.4
2021-04-22,26.3,24.0,33.9,0.0,125.0,17.1,1011.2
2021-04-23,26.7,21.3,34.1,0.0,152.0,17.9,1012.1
2021-04-24,28.7,21.5,35.0,0.0,137.0,17.7,1012.1
2021-04-25,30.2,24.6,34.8,0.0,118.0,15.8,1012.4
2021-04-26,29.4,26.3,35.6,0.0,110.0,18.9,1013.2
2021-04-27,27.8,25.4,35.6,0.4,73.0,14.6,1014.4
2021-04-28,25.6,21.4,33.4,0.0,83.0,13.1,1014.1
2021-04-29,26.0,19.0,34.6,0.0,103.0,11.8,1013.5
2021-04-30,25.2,20.2,32.9,0.0,62.0,9.1,1014.3
2021-05-01,25.6,18.7,33.2,0.0,74.0,10.6,1015.1
2021-05-02,26.2,20.0,33.5,0.0,75.0,12.5,1014.4
2021-05-03,25.4,20.5,34.7,0.0,86.0,13.4,1013.3
2021-05-04,25.8,19.0,34.1,0.0,133.0,13.9,1012.4
2021-05-05,26.4,19.7,34.7,0.0,145.0,14.9,1011.9
2021-05-06,22.6,19.8,32.6,0.0,149.0,19.1,1012.3
2021-05-07,21.9,13.8,32.5,0.0,147.0,14.0,1011.9
2021-05-08,23.7,13.0,34.2,0.0,94.0,9.7,1011.4
2021-05-09,24.9,15.8,34.5,0.0,107.0,9.8,1012.0
2021-05-10,27.7,17.7,36.4,0.0,159.0,15.5,1012.2
2021-05-11,25.7,22.2,34.1,0.0,155.0,22.0,1013.3
2021-05-12,24.7,18.2,33.9,0.0,155.0,18.0,1012.8
2021-05-13,24.9,17.3,33.5,0.0,161.0,17.8,1012.1
2021-05-14,24.8,18.4,33.4,0.0,154.0,21.7,1012.4
2021-05-15,24.1,17.2,32.6,0.0,155.0,22.6,1013.1
2021-05-16,23.5,18.3,31.9,0.0,148.0,23.0,1014.1
2021-05-17,22.8,17.0,30.9,0.0,145.0,22.1,1015.3
2021-05-18,24.9,16.9,32.0,0.0,145.0,18.4,1015.2
2021-05-19,25.8,19.3,33.5,0.0,122.0,15.2,1014.7
2021-05-20,25.2,19.5,33.6,0.0,107.0,13.2,1014.8
2021-05-21,25.7,18.7,32.5,0.0,105.0,13.7,1014.5
2021-05-22,24.6,19.7,32.3,0.0,78.0,13.3,1013.1
2021-05-23,23.7,18.4,31.2,0.0,89.0,12.5,1014.0
2021-05-24,24.2,18.2,31.3,0.0,104.0,13.2,1015.6
2021-05-25,23.8,19.2,31.0,0.0,50.0,11.7,1016.5
2021-05-26,25.6,18.1,31.6,0.0,99.0,13.7,1016.4
2021-05-27,25.5,21.1,29.6,0.0,149.0,23.6,1018.1
2021-05-28,24.1,19.0,31.1,0.0,149.0,22.2,1017.4
2021-05-29,21.8,18.4,30.3,0.0,139.0,19.7,1016.1
2021-05-30,21.3,13.4,30.1,0.0,115.0,14.8,1014.8
2021-05-31,23.1,15.1,30.5,0.0,107.0,12.9,1013.9
2021-06-01,22.5,17.0,29.6,0.0,43.0,13.2,1015.0
2021-06-02,22.8,16.3,29.8,0.0,2.0,10.7,1014.5
2021-06-03,24.6,17.0,33.0,0.0,176.0,12.2,1014.4
2021-06-04,21.5,18.7,28.4,0.0,161.0,22.7,1016.6
2021-06-05,22.2,16.7,28.7,0.0,151.0,23.1,1016.7
2021-06-06,21.8,17.7,30.7,0.0,130.0,19.3,1016.2
2021-06-07,21.6,13.3,29.8,0.0,106.0,11.8,1015.5
2021-06-08,22.4,15.7,32.3,0.0,218.0,9.7,1014.3
2021-06-09,17.8,16.3,25.0,0.0,164.0,24.4,1015.9
2021-06-10,16.2,11.5,23.5,0.0,156.0,20.5,1016.2
2021-06-11,20.1,10.2,27.0,0.0,152.0,14.5,1015.5
2021-06-12,22.5,14.9,31.5,0.0,137.0,11.2,1015.4
2021-06-13,23.4,16.1,33.1,0.0,118.0,8.4,1014.0
2021-06-14,24.3,16.1,34.2,0.0,314.0,8.6,1012.1
2021-06-15,24.5,17.6,33.4,0.0,353.0,9.4,1012.3
2021-06-16,24.9,18.2,32.4,0.0,352.0,9.5,1014.0
2021-06-17,24.8,19.5,32.1,0.0,164.0,11.9,1015.0
2021-06-18,21.1,18.6,28.1,0.0,157.0,25.3,1017.4
2021-06-19,18.6,14.8,25.1,0.0,155.0,23.2,1018.5
2021-06-20,19.6,11.7,27.2,0.0,154.0,21.0,1017.4
2021-06-21,20.8,13.7,30.1,0.0,143.0,15.9,1016.8
2021-06-22,20.8,14.7,29.9,0.0,102.0,13.7,1016.2
2021-06-23,22.8,14.5,29.2,0.0,17.0,11.2,1016.0
2021-06-24,23.3,17.8,27.8,0.0,331.0,8.5,1015.0
2021-06-25,19.1,18.8,21.0,0.0,175.0,22.2,1016.9
2021-06-26,19.8,16.9,25.4,0.0,159.0,27.3,1018.7
2021-06-27,21.1,15.3,27.4,0.0,157.0,24.3,1018.8
2021-06-28,23.3,16.3,30.4,0.0,135.0,16.0,1016.6
2021-06-29,23.9,18.1,31.7,0.0,127.0,15.1,1015.5
2021-06-30,25.4,18.8,32.1,0.0,134.0,12.5,1015.5
2021-07-01,23.9,20.2,31.4,0.0,152.0,21.0,1015.7
2021-07-02,23.8,17.5,31.3,0.0,152.0,19.4,1014.7
2021-07-03,20.4,18.1,27.4,0.0,155.0,27.1,1015.6
2021-07-04,19.8,14.6,26.4,0.0,157.0,26.1,1016.8
2021-07-05,21.4,14.5,29.0,0.0,156.0,20.0,1015.2
2021-07-06,22.4,15.3,30.7,0.0,153.0,18.1,1013.9
2021-07-07,22.2,16.1,30.3,0.0,147.0,14.2,1014.0
2021-07-08,23.2,15.6,32.7,0.0,92.0,9.0,1013.5
2021-07-09,22.2,17.7,30.5,0.0,155.0,18.7,1014.7
2021-07-10,22.2,15.7,29.9,0.0,149.0,22.2,1016.0
2021-07-11,23.1,16.0,31.4,0.0,141.0,15.2,1015.5
2021-07-12,22.1,16.4,30.9,0.0,151.0,18.5,1014.9
2021-07-13,22.4,14.9,31.3,0.0,147.0,15.2,1013.3
2021-07-14,23.4,16.6,31.6,0.0,93.0,12.0,1012.0
2021-07-15,24.3,17.4,32.0,0.0,318.0,10.3,1011.8
2021-07-16,25.3,18.0,35.4,0.0,292.0,9.2,1012.1
2021-07-17,21.6,18.7,29.3,0.0,156.0,21.4,1013.7
2021-07-18,21.4,13.7,29.3,0.0,156.0,19.3,1014.9
2021-07-19,21.4,14.9,30.9,0.0,160.0,19.7,1015.7
2021-07-20,21.4,13.7,29.7,0.0,154.0,21.2,1016.3
2021-07-21,20.2,14.8,29.1,0.0,148.0,21.1,1016.3
2021-07-22,20.9,12.6,31.4,0.0,89.0,11.4,1013.6
2021-07-23,24.3,13.5,33.0,0.0,333.0,16.1,1011.6
2021-07-24,23.1,19.3,33.2,0.0,319.0,9.6,1012.7
2021-07-25,21.5,15.6,29.3,0.0,157.0,18.8,1015.9
2021-07-26,20.9,14.1,30.4,0.0,131.0,14.0,1015.8
2021-07-27,21.6,14.2,30.4,0.0,78.0,12.0,1014.8
2021-07-28,22.8,16.0,32.4,0.0,322.0,11.6,1014.0
2021-07-29,23.6,17.0,35.0,0.0,319.0,9.2,1013.3
2021-07-30,24.7,16.9,35.0,0.0,327.0,10.1,1013.3
2021-07-31,24.3,17.6,32.0,0.0,339.0,12.3,1014.1
2021-08-01,23.3,19.2,30.4,0.0,344.0,11.6,1013.9
2021-08-02,24.0,17.4,31.3,0.0,344.0,12.1,1013.8
2021-08-03,25.0,18.0,32.7,0.0,181.0,18.8,1015.5
2021-08-04,20.7,17.8,27.7,0.0,157.0,28.5,1019.3
2021-08-05,19.7,14.6,26.9,0.0,153.0,25.4,1020.1
2021-08-06,19.5,14.5,27.9,0.0,152.0,23.3,1020.1
2021-08-07,20.1,12.1,28.7,0.0,143.0,18.1,1020.0
2021-08-08,22.4,13.8,30.5,0.0,129.0,15.5,1018.9
2021-08-09,23.0,17.3,30.7,0.0,130.0,14.7,1017.2
2021-08-10,23.9,16.4,31.5,0.0,112.0,13.9,1016.6
2021-08-11,23.7,18.8,30.6,0.0,70.0,12.9,1017.9
2021-08-12,27.0,17.0,34.6,0.0,131.0,12.5,1017.5
2021-08-13,26.7,20.6,33.9,0.0,139.0,17.1,1016.3
2021-08-14,27.1,21.7,34.8,0.0,116.0,16.2,1015.8
2021-08-15,26.9,20.2,33.9,0.0,107.0,15.3,1016.9
2021-08-16,26.4,20.5,32.7,0.0,143.0,16.9,1016.9
2021-08-17,24.5,20.8,31.7,0.0,124.0,17.9,1015.2
2021-08-18,24.3,19.1,32.3,0.0,139.0,13.9,1013.9
2021-08-19,23.4,18.8,31.2,0.0,112.0,14.7,1014.8
2021-08-20,23.6,17.7,32.2,0.0,100.0,14.4,1015.3
2021-08-21,25.8,17.3,35.1,0.0,120.0,14.2,1014.1
2021-08-22,27.7,19.6,35.2,0.0,13.0,8.7,1013.4
2021-08-23,25.4,22.5,32.7,0.4,330.0,8.5,1013.2
2021-08-24,21.6,19.0,28.7,0.2,160.0,26.7,1015.3
2021-08-25,21.4,15.0,28.9,0.0,158.0,22.7,1015.7
2021-08-26,22.1,14.3,31.8,0.0,145.0,18.0,1014.5
2021-08-27,23.1,13.8,34.2,0.0,134.0,12.8,1013.7
2021-08-28,24.9,13.7,34.1,0.0,136.0,12.7,1013.5
2021-08-29,26.4,18.4,36.0,0.0,161.0,11.9,1012.3
2021-08-30,25.7,18.4,35.7,0.0,108.0,13.5,1011.9
2021-08-31,28.6,20.1,36.7,0.0,72.0,11.5,1013.2
2021-09-01,28.7,24.1,35.8,0.0,69.0,15.2,1014.6
2021-09-02,27.0,23.0,33.7,0.0,62.0,15.0,1014.5
2021-09-03,25.6,21.1,32.2,0.0,77.0,15.4,1013.5
2021-09-04,25.8,20.0,32.0,0.0,44.0,13.1,1013.1
2021-09-05,25.8,20.7,33.1,0.0,165.0,26.4,1015.1
2021-09-06,25.1,20.0,30.9,0.0,158.0,31.7,1017.5
2021-09-07,25.8,21.4,32.8,0.0,146.0,28.5,1017.6
2021-09-08,24.9,19.5,33.3,0.0,125.0,23.9,1018.3
2021-09-09,24.4,16.8,32.9,0.0,102.0,18.4,1018.6
2021-09-10,25.6,17.2,33.8,0.0,88.0,15.4,1016.6
2021-09-11,27.1,20.4,32.9,0.0,84.0,14.7,1013.0
2021-09-12,27.7,21.8,34.9,0.2,325.0,12.6,1012.4
2021-09-13,28.2,22.3,36.0,0.2,311.0,9.5,1012.6
2021-09-14,29.9,21.4,37.9,0.0,141.0,15.0,1013.2
2021-09-15,27.8,24.7,37.7,0.0,91.0,16.8,1013.7
2021-09-16,26.6,18.3,35.1,0.0,21.0,17.2,1013.5
