time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.3,,,,,,
2021-01-02,26.1,24.0,,31.0,,,
2021-01-03,26.4,22.1,27.9,36.1,279.0,14.3,1007.4
2021-01-04,27.9,24.0,30.1,18.0,303.0,7.3,1008.0
2021-01-05,27.4,21.1,29.9,0.5,346.0,7.7,1007.8
2021-01-06,28.1,24.6,31.0,6.1,45.0,7.2,1007.1
2021-01-07,28.6,15.2,31.6,4.1,47.0,9.2,1007.5
2021-01-08,28.2,24.4,31.5,4.1,43.0,7.8,1007.8
2021-01-09,26.8,15.2,28.0,20.1,11.0,4.3,1008.7
2021-01-10,28.2,24.4,32.0,5.1,350.0,5.5,1008.9
2021-01-11,27.7,23.0,31.6,11.9,354.0,7.8,1008.4
2021-01-12,27.8,24.5,30.0,33.0,344.0,6.1,1008.1
2021-01-13,27.8,24.4,31.1,21.1,323.0,7.4,1008.4
2021-01-14,26.9,24.8,31.0,19.1,355.0,7.0,1006.9
2021-01-15,27.3,24.0,27.6,40.9,343.0,7.6,1006.7
2021-01-16,29.8,25.0,30.4,1.0,335.0,10.7,1008.4
2021-01-17,29.0,23.3,31.5,0.3,319.0,8.9,1010.2
2021-01-18,29.3,24.6,32.0,0.0,336.0,4.8,1010.7
2021-01-19,29.9,24.4,32.6,5.9,7.0,6.1,1011.0
2021-01-20,28.2,24.5,32.0,2.0,320.0,5.8,1009.7
2021-01-21,26.9,24.0,29.6,4.1,180.0,6.3,1008.1
2021-01-22,26.9,24.0,27.2,38.1,60.0,7.6,1008.1
2021-01-23,26.3,22.0,29.0,62.0,59.0,9.8,1008.0
2021-01-24,25.8,23.7,32.0,86.1,79.0,7.3,1007.7
2021-01-25,27.1,23.0,29.2,103.1,52.0,7.8,1005.2
2021-01-26,27.8,25.0,30.0,2.0,120.0,15.4,1002.8
2021-01-27,28.1,24.4,31.5,0.5,110.0,16.2,1001.6
2021-01-28,27.4,24.0,31.0,0.5,85.0,11.1,1000.7
2021-01-29,27.6,22.0,32.2,0.0,95.0,11.3,1001.0
2021-01-30,26.9,22.2,31.0,1.0,116.0,10.7,1003.3
2021-01-31,26.5,21.4,29.5,0.0,125.0,9.6,1003.8
2021-02-01,27.2,22.4,31.0,6.1,95.0,8.1,1003.4
2021-02-02,27.3,23.9,29.2,0.5,71.0,14.1,1000.0
2021-02-03,29.0,21.2,31.8,39.9,321.0,22.7,999.2
2021-02-04,27.4,25.0,31.4,1.0,320.0,12.5,1004.1
2021-02-05,27.6,23.6,31.7,0.0,359.0,5.3,1005.6
2021-02-06,27.7,23.0,31.0,3.0,27.0,3.4,1005.7
2021-02-07,27.4,22.8,30.5,3.1,184.0,5.0,1004.9
2021-02-08,27.1,22.2,31.0,1.0,255.0,5.8,1004.8
2021-02-09,28.4,20.3,31.1,0.8,296.0,5.3,1004.5
2021-02-10,29.8,22.0,31.4,0.5,313.0,9.3,1004.4
2021-02-11,27.1,24.4,31.0,2.1,289.0,7.9,1005.8
2021-02-12,26.3,23.0,30.0,6.7,268.0,3.0,1007.6
2021-02-13,24.7,22.4,29.1,14.1,83.0,2.0,1007.9
2021-02-14,28.3,21.2,31.4,0.3,34.0,4.0,1008.1
2021-02-15,28.0,21.2,32.1,0.5,37.0,4.1,1007.6
2021-02-16,28.9,25.2,32.2,5.1,36.0,5.3,1007.4
2021-02-17,29.1,25.7,32.4,0.3,13.0,5.7,1008.1
2021-02-18,28.3,24.0,32.0,4.1,4.0,3.5,1009.6
2021-02-19,30.2,23.4,31.7,1.0,36.0,4.2,1010.4
2021-02-20,26.5,24.6,30.0,5.5,56.0,8.2,1010.1
2021-02-21,27.6,24.2,29.0,4.4,82.0,9.6,1009.2
2021-02-22,27.2,24.6,31.1,1.0,84.0,16.2,1008.2
2021-02-23,28.4,21.4,31.0,0.0,77.0,11.3,1007.5
2021-02-24,27.9,23.2,31.9,2.1,102.0,13.5,1007.0
2021-02-25,26.8,24.4,31.3,0.9,85.0,11.0,1006.8
2021-02-26,29.6,22.0,30.8,3.9,83.0,9.9,1006.6
2021-02-27,27.6,23.5,31.6,4.5,102.0,12.0,1006.9
2021-02-28,27.5,20.4,29.0,0.3,112.0,8.3,1007.5
2021-03-01,26.4,20.6,31.5,3.4,110.0,9.1,1007.0
2021-03-02,27.9,20.2,31.6,2.4,71.0,6.7,1007.1
2021-03-03,27.1,22.2,32.0,16.0,51.0,8.6,1006.8
2021-03-04,27.4,24.1,31.5,50.3,338.0,19.2,1003.4
2021-03-05,27.7,20.9,31.0,34.7,289.0,21.0,1003.5
2021-03-06,28.9,24.0,31.0,19.8,333.0,33.3,1003.9
2021-03-07,25.9,20.6,29.9,1.2,224.0,14.2,1009.9
2021-03-08,24.8,21.6,30.6,0.0,98.0,6.4,1013.2
2021-03-09,27.0,20.0,30.4,0.4,95.0,6.6,1013.4
2021-03-10,25.7,22.8,29.6,2.4,78.0,8.6,1014.0
2021-03-11,26.2,19.8,30.5,1.3,89.0,9.5,1014.2
2021-03-12,26.2,19.6,30.0,1.3,79.0,10.3,1013.6
2021-03-13,27.3,20.2,30.0,0.0,77.0,15.0,1012.4
2021-03-14,25.3,22.0,29.2,1.0,82.0,11.6,1011.9
2021-03-15,25.2,22.8,28.4,11.9,37.0,4.8,1011.3
2021-03-16,27.9,21.4,30.7,7.1,63.0,8.7,1010.9
2021-03-17,27.7,24.5,31.1,0.0,57.0,12.4,1010.8
2021-03-18,27.0,23.0,29.5,4.3,61.0,7.7,1011.7
2021-03-19,25.3,23.0,29.5,1.8,90.0,13.3,1012.1
2021-03-20,26.1,21.0,30.4,0.0,68.0,7.8,1011.8
2021-03-21,25.5,20.6,30.6,2.1,84.0,9.0,1011.8
2021-03-22,25.3,22.2,28.9,4.1,65.0,7.1,1011.9
2021-03-23,25.9,22.4,29.4,2.9,81.0,8.8,1010.8
2021-03-24,25.6,22.4,29.4,1.3,43.0,3.6,1010.0
2021-03-25,26.8,19.6,29.6,0.0,84.0,7.2,1011.0
2021-03-26,28.4,21.8,29.3,0.0,92.0,7.3,1012.1
2021-03-27,28.3,21.2,29.0,2.3,121.0,6.8,1011.9
2021-03-28,28.1,21.8,29.6,2.1,128.0,7.1,1011.6
2021-03-29,27.9,19.9,28.5,2.4,121.0,7.1,1010.5
2021-03-30,28.1,20.0,30.4,1.3,125.0,7.8,1009.0
2021-03-31,27.7,22.0,29.5,9.8,120.0,8.6,1008.8
2021-04-01,27.7,23.2,30.0,14.0,91.0,7.8,1009.3
2021-04-02,27.6,23.8,28.0,146.1,64.0,9.2,1010.0
2021-04-03,28.4,25.0,29.6,19.1,55.0,6.1,1011.1
2021-04-04,27.5,25.0,28.8,2.0,101.0,16.5,1012.0
2021-04-05,27.2,23.0,29.0,0.0,105.0,17.8,1013.0
2021-04-06,28.4,18.0,29.0,1.4,113.0,14.0,1012.9
2021-04-07,28.6,22.4,30.0,0.9,93.0,15.3,1011.8
2021-04-08,29.3,22.0,30.0,1.0,77.0,13.8,1010.4
2021-04-09,29.1,24.7,30.0,0.0,68.0,10.7,1009.4
2021-04-10,30.2,22.2,32.0,0.7,342.0,8.1,1009.2
2021-04-11,29.1,25.0,30.9,7.5,350.0,14.0,1009.9
2021-04-12,28.8,24.8,30.0,14.7,345.0,6.5,1011.3
2021-04-13,28.9,23.2,29.8,0.5,95.0,5.0,1011.2
2021-04-14,26.1,23.4,29.9,1.5,132.0,5.6,1011.0
2021-04-15,28.8,22.0,30.0,1.8,90.0,6.5,1011.6
2021-04-16,28.2,23.2,30.4,4.3,78.0,6.0,1012.1
2021-04-17,28.1,22.8,29.0,0.0,130.0,10.2,1011.8
2021-04-18,27.9,23.4,28.1,18.6,89.0,13.8,1011.5
2021-04-19,29.7,24.6,31.0,4.1,61.0,11.6,1011.7
2021-04-20,29.4,24.4,31.0,0.0,352.0,9.0,1013.4
2021-04-21,30.1,22.4,32.0,1.1,103.0,9.4,1013.5
2021-04-22,28.7,24.0,31.0,3.7,70.0,5.9,1012.9
2021-04-23,29.6,24.8,30.0,0.8,87.0,6.8,1013.6
2021-04-24,28.8,24.0,30.4,2.5,106.0,11.0,1014.3
2021-04-25,28.7,21.6,31.0,0.0,104.0,10.0,1013.7
2021-04-26,25.8,22.6,31.0,11.3,144.0,11.9,1011.1
2021-04-27,24.3,20.0,30.0,2.7,137.0,10.8,1009.9
2021-04-28,24.0,19.4,27.5,1.9,139.0,12.5,1011.3
2021-04-29,23.7,18.8,29.5,0.0,126.0,9.3,1013.9
2021-04-30,25.7,18.0,28.2,1.8,131.0,11.6,1015.6
2021-05-01,26.2,22.8,31.0,2.6,99.0,11.5,1015.0
2021-05-02,25.9,22.0,27.4,3.3,129.0,14.5,1013.4
2021-05-03,26.3,22.4,30.5,5.9,96.0,12.9,1011.6
2021-05-04,25.2,21.5,28.2,5.1,73.0,16.4,1009.0
2021-05-05,25.6,20.0,29.0,38.1,335.0,8.9,1008.9
2021-05-06,26.6,19.9,29.4,0.0,346.0,3.7,1012.3
2021-05-07,27.4,20.2,31.0,0.0,103.0,8.3,1013.7
2021-05-08,26.8,23.4,31.5,2.0,96.0,12.1,1014.7
2021-05-09,26.7,23.4,31.0,0.3,96.0,17.4,1014.3
2021-05-10,26.8,23.0,30.0,0.3,77.0,12.0,1013.2
2021-05-11,27.7,22.2,28.0,0.0,85.0,13.5,1014.1
2021-05-12,27.7,24.4,29.0,1.0,95.0,16.2,1014.5
2021-05-13,24.8,22.7,28.0,0.4,86.0,15.5,1013.2
2021-05-14,26.3,23.4,26.4,4.1,58.0,11.6,1010.1
2021-05-15,28.2,23.8,29.0,16.0,315.0,7.1,1009.3
2021-05-16,28.0,22.4,29.5,0.0,287.0,5.7,1011.9
2021-05-17,25.8,21.8,28.5,0.4,122.0,6.9,1014.5
2021-05-18,25.4,22.0,28.0,0.1,95.0,10.3,1015.3
2021-05-19,25.4,21.0,26.0,20.5,120.0,13.4,1014.9
2021-05-20,25.1,19.4,25.5,33.0,99.0,12.7,1012.6
2021-05-21,26.0,21.0,27.0,5.1,172.0,10.3,1009.8
2021-05-22,24.9,20.0,26.7,0.0,170.0,10.3,1009.9
2021-05-23,25.1,17.4,26.2,0.4,158.0,8.5,1011.5
2021-05-24,24.4,18.2,26.0,0.2,170.0,9.1,1013.5
2021-05-25,25.0,18.2,27.0,0.7,188.0,11.5,1013.2
2021-05-26,24.6,19.5,26.0,0.0,188.0,9.4,1012.9
2021-05-27,24.9,17.8,26.0,3.0,164.0,4.8,1013.7
2021-05-28,24.6,16.0,26.0,0.0,205.0,2.0,1013.3
2021-05-29,24.6,17.6,25.7,6.1,223.0,6.1,1012.8
2021-05-30,25.1,15.5,26.0,0.0,211.0,6.3,1012.6
2021-05-31,23.7,18.0,25.5,0.0,167.0,7.0,1013.2
2021-06-01,24.3,20.5,26.0,1.0,170.0,10.4,1015.5
2021-06-02,23.6,16.0,25.0,0.0,130.0,7.4,1016.9
2021-06-03,24.8,15.4,26.0,1.2,121.0,7.1,1016.2
2021-06-04,26.0,16.0,27.0,0.9,106.0,8.3,1014.1
2021-06-05,26.9,15.2,28.6,0.0,53.0,5.7,1013.3
2021-06-06,25.2,22.0,27.0,1.2,212.0,10.0,1013.0
2021-06-07,23.3,20.2,25.0,0.0,171.0,8.9,1014.5
2021-06-08,23.2,16.0,24.5,0.0,144.0,7.0,1015.6
2021-06-09,24.3,17.8,25.0,0.0,116.0,5.7,1015.5
2021-06-10,25.8,17.4,26.5,0.0,100.0,5.4,1017.1
2021-06-11,25.9,17.4,27.0,0.1,96.0,8.3,1018.8
2021-06-12,25.3,17.3,26.0,0.4,99.0,9.2,1019.2
2021-06-13,26.9,19.4,28.5,1.5,69.0,7.2,1016.7
2021-06-14,27.4,21.0,29.0,1.0,75.0,9.1,1015.1
2021-06-15,27.7,22.1,29.5,16.0,81.0,8.3,1015.3
2021-06-16,27.1,24.0,28.5,0.0,127.0,5.2,1015.9
2021-06-17,25.8,17.6,28.0,2.4,86.0,5.1,1015.0
2021-06-18,28.3,21.3,30.0,1.9,60.0,4.6,1013.8
2021-06-19,27.6,22.5,29.0,0.5,12.0,7.3,1013.1
2021-06-20,26.9,23.0,28.5,0.0,311.0,6.0,1014.1
2021-06-21,25.7,20.4,28.0,0.0,238.0,4.5,1015.7
2021-06-22,24.8,19.5,26.0,0.0,160.0,8.7,1016.9
2021-06-23,24.1,18.0,25.3,0.3,146.0,17.7,1017.5
2021-06-24,24.7,15.6,27.0,0.1,119.0,16.2,1018.7
2021-06-25,24.8,16.2,26.1,0.3,99.0,15.2,1019.5
2021-06-26,25.8,15.3,27.0,11.9,94.0,17.6,1019.5
2021-06-27,25.9,18.1,27.0,0.0,97.0,10.0,1018.0
2021-06-28,26.9,19.7,28.0,1.0,92.0,9.3,1016.3
2021-06-29,25.6,19.2,27.0,0.0,139.0,9.5,1015.4
2021-06-30,24.0,17.8,25.2,1.3,143.0,18.0,1016.3
2021-07-01,23.4,19.4,25.0,0.4,127.0,16.4,1017.2
2021-07-02,24.4,15.0,26.0,0.0,128.0,17.8,1016.5
2021-07-03,25.1,18.8,27.0,0.3,118.0,18.0,1017.4
2021-07-04,24.9,19.0,26.0,1.2,104.0,21.4,1017.7
2021-07-05,25.3,16.4,26.4,0.5,88.0,18.5,1016.6
2021-07-06,26.5,19.4,28.0,1.0,77.0,13.8,1014.2
2021-07-07,26.1,21.6,28.5,1.0,59.0,4.7,1013.7
2021-07-08,24.0,20.8,25.0,2.0,156.0,14.2,1015.7
2021-07-09,24.9,16.6,26.0,0.0,118.0,12.7,1016.7
2021-07-10,26.0,16.2,27.0,0.0,84.0,8.9,1016.3
2021-07-11,26.6,19.0,28.6,0.0,7.0,5.8,1014.7
2021-07-12,25.0,20.2,27.0,0.0,184.0,9.0,1014.6
2021-07-13,24.0,19.6,25.0,0.8,134.0,11.0,1015.8
2021-07-14,24.7,20.4,25.6,0.0,123.0,15.1,1016.8
2021-07-15,24.8,18.8,26.0,2.4,103.0,15.5,1016.5
2021-07-16,27.0,21.9,27.5,1.1,75.0,18.6,1014.6
2021-07-17,28.6,22.0,30.0,0.7,64.0,9.3,1013.1
2021-07-18,27.6,23.5,30.0,0.2,17.0,7.4,1012.9
2021-07-19,25.3,22.6,26.0,2.0,139.0,7.1,1014.1
2021-07-20,27.6,19.8,28.5,0.0,63.0,5.1,1013.4
2021-07-21,28.0,19.6,30.0,0.0,3.0,7.1,1012.9
2021-07-22,26.4,19.8,28.0,2.4,225.0,5.9,1014.4
2021-07-23,26.8,20.2,29.0,4.1,99.0,5.6,1015.0
2021-07-24,28.2,20.2,30.0,0.0,67.0,3.4,1014.7
2021-07-25,27.4,21.4,30.0,2.0,63.0,4.9,1014.1
2021-07-26,25.1,21.4,26.5,6.9,145.0,10.6,1015.3
2021-07-27,25.1,21.0,27.3,0.7,138.0,12.1,1017.4
2021-07-28,24.6,16.2,26.1,0.0,113.0,13.0,1017.4
2021-07-29,25.1,14.8,27.0,0.2,90.0,8.2,1015.9
2021-07-30,24.1,20.4,27.3,1.0,171.0,9.5,1013.6
2021-07-31,22.4,19.7,24.4,0.0,190.0,21.7,1013.2
2021-08-01,22.2,18.8,25.0,0.0,185.0,20.1,1013.4
2021-08-02,22.0,18.0,25.0,0.8,170.0,11.8,1014.5
2021-08-03,24.1,14.2,26.4,7.9,122.0,10.0,1016.4
2021-08-04,23.2,13.9,26.5,0.0,84.0,8.2,1016.3
2021-08-05,24.4,15.7,27.4,0.0,29.0,6.2,1014.1
2021-08-06,21.3,18.3,23.0,7.9,146.0,11.7,1015.9
2021-08-07,22.8,18.3,26.1,3.0,130.0,12.2,1018.8
2021-08-08,22.4,17.5,26.4,0.0,123.0,8.6,1018.2
2021-08-09,22.1,15.1,26.5,0.2,149.0,15.4,1018.4
2021-08-10,21.1,18.5,24.3,0.2,128.0,13.5,1020.4
2021-08-11,21.4,15.0,25.0,1.0,125.0,15.2,1022.7
2021-08-12,22.2,14.8,25.2,0.0,119.0,14.6,1022.0
2021-08-13,22.7,16.5,27.1,1.0,105.0,13.7,1019.3
2021-08-14,21.4,17.2,25.8,0.3,125.0,14.1,1018.6
2021-08-15,20.9,14.5,25.8,0.4,112.0,12.3,1019.5
2021-08-16,22.6,14.2,26.9,0.2,104.0,13.0,1018.4
2021-08-17,25.4,17.0,27.7,1.5,94.0,10.6,1015.6
2021-08-18,24.1,18.2,28.0,3.6,93.0,6.9,1013.9
2021-08-19,23.8,17.7,28.7,0.5,106.0,11.3,1015.7
2021-08-20,24.7,18.7,27.3,0.0,101.0,10.1,1017.5
2021-08-21,24.3,20.9,28.5,0.9,85.0,9.6,1016.7
2021-08-22,23.1,19.2,27.4,0.7,118.0,9.2,1016.4
2021-08-23,22.7,18.2,27.0,0.0,123.0,13.9,1016.2
2021-08-24,23.9,17.7,27.0,0.0,103.0,14.6,1015.6
2021-08-25,24.3,17.7,27.1,2.9,88.0,15.6,1015.9
2021-08-26,24.3,20.7,27.4,1.0,98.0,12.6,1016.9
2021-08-27,23.6,20.5,27.9,0.0,86.0,15.2,1016.6
2021-08-28,23.1,16.6,26.7,0.4,87.0,8.1,1016.0
2021-08-29,22.9,17.4,28.0,0.0,108.0,7.4,1015.9
2021-08-30,24.3,15.7,28.4,0.0,117.0,8.7,1018.0
2021-08-31,23.1,16.0,28.3,0.0,113.0,10.7,1018.9
2021-09-01,22.6,16.8,26.5,0.0,144.0,14.4,1018.5
2021-09-02,22.2,17.2,26.3,0.0,142.0,14.7,1016.1
2021-09-03,22.2,16.0,26.4,0.0,138.0,13.8,1014.0
2021-09-04,25.2,16.8,26.0,0.0,133.0,8.7,1013.8
2021-09-05,23.6,15.6,26.0,1.5,151.0,11.5,1014.0
2021-09-06,25.2,19.0,27.0,0.7,155.0,11.6,1013.2
2021-09-07,24.1,17.2,27.7,2.5,156.0,7.8,1013.3
2021-09-08,24.8,20.0,27.0,3.0,164.0,22.0,1017.5
2021-09-09,22.3,14.6,26.0,0.0,134.0,16.9,1020.9
2021-09-10,22.8,15.8,25.2,0.1,123.0,12.3,1019.7
2021-09-11,21.7,17.5,26.8,0.0,143.0,13.2,1016.9
2021-09-12,24.5,15.2,26.6,0.0,120.0,12.7,1016.1
2021-09-13,24.7,14.8,28.3,0.5,96.0,14.8,1016.2
2021-09-14,25.9,17.8,29.6,0.0,100.0,8.4,1015.9
2021-09-15,25.5,20.2,30.2,0.0,36.0,12.2,1013.0
2021-09-16,24.2,19.9,28.0,3.0,340.0,8.3,1013.1
2021-09-17,23.5,20.5,27.5,0.0,146.0,10.0,1015.4
2021-09-18,21.9,17.1,24.0,0.0,143.0,15.7,1018.3
2021-09-19,22.6,18.3,27.6,0.0,113.0,13.6,1018.1
2021-09-20,23.6,14.0,27.8,0.0,106.0,11.0,1016.7
2021-09-21,25.3,16.4,28.0,0.0,79.0,13.0,1013.7
