time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,18.4,12.0,25.0,,266.0,28.4,1025.0
2021-01-02,17.4,9.0,24.0,,,26.5,1025.3
2021-01-03,16.8,8.0,24.0,,,26.9,1024.3
2021-01-04,15.9,7.0,23.0,,,25.4,1023.5
2021-01-05,15.4,8.0,22.0,,,24.9,1023.9
2021-01-06,15.4,6.0,23.0,,233.0,26.2,1025.1
2021-01-07,15.5,7.0,23.0,,,25.2,1026.2
2021-01-08,15.8,6.0,24.0,,,23.6,1026.5
2021-01-09,16.3,6.0,25.0,,211.0,25.1,1025.3
2021-01-10,16.4,5.0,25.0,,228.0,25.6,1025.0
2021-01-11,16.9,7.0,26.0,,,26.5,1024.8
2021-01-12,16.5,6.0,25.0,,238.0,27.1,1024.9
2021-01-13,17.5,9.0,27.0,,,25.9,1024.8
2021-01-14,17.9,10.0,26.0,,205.0,28.0,1022.8
2021-01-15,16.0,7.0,24.0,,,25.0,1022.7
2021-01-16,14.8,5.0,23.0,,,24.9,1023.5
2021-01-17,16.0,9.0,23.0,,250.0,25.1,1023.7
2021-01-18,16.0,7.0,24.0,,,25.6,1023.6
2021-01-19,15.8,7.0,24.0,,,24.0,1025.0
2021-01-20,15.6,7.0,24.0,,,26.1,1024.1
2021-01-21,15.9,7.0,24.0,,,24.1,1024.4
2021-01-22,16.4,8.0,24.0,,199.0,25.2,1024.0
2021-01-23,17.1,10.0,24.0,,248.0,23.4,1024.4
2021-01-24,17.3,8.0,26.0,,,26.2,1023.6
2021-01-25,16.4,6.0,24.0,,,23.6,1023.1
2021-01-26,16.9,9.0,24.0,,,22.0,
2021-01-27,16.4,7.0,25.0,,,24.6,1024.0
2021-01-28,,,,,,,
2021-01-29,15.8,7.0,24.0,,,26.3,1023.8
2021-01-30,16.0,6.0,25.0,,,25.0,1024.8
2021-01-31,16.4,6.0,26.0,,,26.4,1024.0
2021-02-01,17.5,8.0,26.0,,230.0,25.8,1022.6
2021-02-02,17.0,6.0,25.0,,,26.7,1023.1
2021-02-03,,,,,,,
2021-02-04,18.5,10.0,26.0,,,28.8,1025.3
2021-02-05,17.6,9.0,25.0,,,27.1,1024.5
2021-02-06,17.0,8.0,25.0,,,29.0,1023.9
2021-02-07,17.0,9.0,24.0,,,28.2,1024.6
2021-02-08,17.0,10.0,24.0,,,24.7,1024.8
2021-02-09,16.9,9.0,25.0,,,22.3,1024.0
2021-02-10,16.3,8.0,24.0,,229.0,26.6,1023.6
2021-02-11,15.7,7.0,23.0,,,24.3,1023.9
2021-02-12,15.4,8.0,23.0,,,24.0,1024.4
2021-02-13,15.0,7.0,24.0,,188.0,21.7,1024.7
2021-02-14,15.8,8.0,24.0,,,26.2,1024.8
2021-02-15,15.3,6.0,23.0,,,27.1,1026.2
2021-02-16,14.8,7.0,22.0,,,25.3,1027.2
2021-02-17,13.9,6.0,22.0,,,25.0,1027.2
2021-02-18,14.5,6.0,23.0,,,23.4,1027.5
2021-02-19,15.6,7.0,24.0,,,23.9,1027.3
2021-02-20,16.0,6.0,25.0,,,24.7,1026.8
2021-02-21,16.9,8.0,27.0,,,26.7,1025.5
2021-02-22,15.6,4.0,24.0,,,27.3,1024.4
2021-02-23,17.2,8.0,25.0,,268.0,24.3,1023.7
2021-02-24,,,,,,,
2021-02-25,,,,,,,
2021-02-26,16.9,8.0,24.0,,,25.7,1023.1
2021-02-27,17.5,9.0,25.0,,,23.7,
2021-02-28,17.3,9.0,24.0,,241.0,26.1,1022.9
2021-03-01,16.5,7.0,23.0,,,26.4,1022.4
2021-03-02,15.8,6.0,23.0,,237.0,23.3,1023.7
2021-03-03,15.9,8.0,23.0,,271.0,23.6,1025.3
2021-03-04,16.7,10.0,24.0,,252.0,22.7,1024.3
2021-03-05,16.4,10.0,24.0,,253.0,21.1,1024.5
2021-03-06,16.5,9.0,25.0,,235.0,22.9,1024.7
2021-03-07,16.9,7.0,26.0,,,23.1,1025.0
2021-03-08,16.9,10.0,25.0,,153.0,26.2,1025.8
2021-03-09,16.9,8.0,24.0,,187.0,26.9,1025.5
2021-03-10,15.1,6.0,22.0,,,26.8,1026.3
2021-03-11,14.4,6.0,21.0,,247.0,24.6,1025.2
2021-03-12,15.0,7.0,21.0,,212.0,24.0,1025.4
2021-03-13,16.7,12.0,22.0,,,18.9,1025.5
2021-03-14,15.6,8.0,23.0,,,24.1,1025.3
2021-03-15,15.3,8.0,22.0,,232.0,23.2,
2021-03-16,15.4,7.0,23.0,,,25.1,1025.8
2021-03-17,15.5,6.0,23.0,,185.0,26.0,
2021-03-18,15.9,6.0,24.0,,,23.7,
2021-03-19,14.0,6.0,21.0,,,25.5,
2021-03-20,13.9,4.0,22.0,,,22.9,
2021-03-21,15.0,6.0,23.0,,214.0,24.6,
2021-03-22,15.3,6.0,23.0,,,22.4,
2021-03-23,14.9,5.0,23.0,,,24.4,
2021-03-24,14.6,5.0,23.0,,,25.0,
2021-03-25,16.0,7.0,25.0,,,25.6,
2021-03-26,15.3,4.0,25.0,,,24.9,
2021-03-27,15.3,4.0,24.0,,,25.3,
2021-03-28,14.5,4.0,24.0,,148.0,27.0,
2021-03-29,15.7,4.0,24.0,,143.0,25.9,
2021-03-30,16.1,7.0,25.0,,162.0,27.6,
2021-03-31,15.8,7.0,24.0,,,24.3,
2021-04-01,14.9,6.0,24.0,,,25.6,
2021-04-02,14.8,3.0,25.0,,,26.0,
2021-04-03,15.0,5.0,23.0,,203.0,25.8,
2021-04-04,14.3,5.0,22.0,,,22.6,
2021-04-05,16.7,8.0,24.0,,,24.8,
2021-04-06,,,,,,,
2021-04-07,,,,,,,
2021-04-08,14.4,5.0,22.0,,,23.3,1026.4
2021-04-09,14.8,6.0,23.0,,179.0,24.9,1025.0
2021-04-10,13.9,4.0,23.0,,,22.8,1025.0
2021-04-11,14.0,4.0,23.0,,,24.7,1024.4
2021-04-12,15.1,4.0,24.0,,133.0,25.9,1024.6
2021-04-13,16.3,7.0,25.0,,,26.7,1024.5
2021-04-14,15.5,4.0,24.0,,168.0,25.4,1024.6
2021-04-15,14.1,3.0,24.0,,,26.8,1024.1
2021-04-16,13.0,2.0,22.0,,,26.1,1024.5
2021-04-17,13.4,3.0,22.0,,,26.0,1025.4
2021-04-18,14.2,4.0,23.0,,153.0,29.1,1025.3
2021-04-19,13.3,5.0,22.0,,148.0,26.0,1027.3
2021-04-20,12.2,2.0,21.0,,,27.5,1026.6
2021-04-21,13.3,3.0,23.0,,,24.4,1025.6
2021-04-22,13.2,4.0,22.0,,,26.6,1023.9
2021-04-23,11.3,1.0,20.0,,,26.0,1023.9
2021-04-24,11.5,3.0,20.0,,213.0,20.1,1024.0
2021-04-25,11.9,1.0,21.0,,152.0,26.8,1024.7
2021-04-26,11.1,-2.0,22.0,,143.0,30.3,1025.2
2021-04-27,11.3,-1.0,21.0,,,25.7,1025.7
2021-04-28,12.8,5.0,22.0,,,25.4,1026.3
2021-04-29,11.7,4.0,21.0,,,24.3,1027.4
2021-04-30,10.8,0.0,20.0,,,27.2,1027.4
2021-05-01,10.7,2.0,21.0,,,25.5,1028.5
2021-05-02,11.6,3.0,21.0,,,28.0,1028.4
2021-05-03,12.9,5.0,22.0,,173.0,26.2,1028.2
2021-05-04,,,,,,,
2021-05-05,12.7,5.0,21.0,,,23.2,1028.0
2021-05-06,12.5,2.0,22.0,,,25.0,1027.2
2021-05-07,12.5,3.0,21.0,,121.0,24.0,1027.0
2021-05-08,14.6,5.0,24.0,,,22.9,1027.0
2021-05-09,13.9,4.0,24.0,,118.0,26.0,1026.5
2021-05-10,15.6,5.0,24.0,,133.0,23.6,1025.5
2021-05-11,16.8,12.0,24.0,,,19.5,1025.1
2021-05-12,16.7,11.0,24.0,,,26.3,1024.3
2021-05-13,14.9,8.0,22.0,,120.0,18.4,1027.3
2021-05-14,15.3,6.0,24.0,,131.0,23.1,1026.7
