time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.3,21.0,31.0,,298.0,10.9,1014.5
2021-01-02,26.7,20.2,32.9,0.0,187.0,9.2,1012.4
2021-01-03,27.0,21.9,32.9,0.3,22.0,14.7,1009.6
2021-01-04,24.1,19.5,29.0,4.8,355.0,14.0,1011.1
2021-01-05,23.1,19.0,28.0,3.0,347.0,14.7,1012.0
2021-01-06,23.9,20.0,29.0,8.8,322.0,12.7,1013.9
2021-01-07,22.7,20.0,27.0,2.1,346.0,14.4,1014.7
2021-01-08,23.8,21.0,30.0,0.3,10.0,9.3,1013.9
2021-01-09,26.7,21.0,32.0,0.0,33.0,10.4,1012.0
2021-01-10,25.9,22.0,30.3,1.2,356.0,15.5,1012.7
2021-01-11,26.8,22.0,32.0,0.3,341.0,10.5,1012.1
2021-01-12,25.4,20.7,30.2,4.9,348.0,12.9,1012.8
2021-01-13,22.6,21.0,27.0,19.2,135.0,9.0,1012.3
2021-01-14,23.7,21.0,28.0,18.7,91.0,11.3,1011.0
2021-01-15,23.4,21.0,27.6,5.5,2.0,13.8,1010.3
2021-01-16,22.8,21.0,27.0,5.0,344.0,18.0,1009.1
2021-01-17,22.7,21.0,26.5,10.3,350.0,20.1,1009.6
2021-01-18,22.2,21.3,24.0,10.5,343.0,12.3,1011.3
2021-01-19,22.8,20.0,27.0,16.0,348.0,9.4,1012.5
2021-01-20,22.8,20.0,26.0,6.1,73.0,8.4,1013.7
2021-01-21,23.6,21.0,29.5,9.7,53.0,10.7,1014.3
2021-01-22,22.8,20.0,27.0,9.7,123.0,7.8,1016.7
2021-01-23,23.9,19.0,30.0,4.2,26.0,11.3,1015.4
2021-01-24,24.8,20.0,30.0,5.5,59.0,14.3,1013.7
2021-01-25,24.2,21.0,29.0,4.8,17.0,13.0,1012.7
2021-01-26,25.2,21.0,31.1,1.6,53.0,12.9,1011.4
2021-01-27,23.5,20.7,29.0,3.7,337.0,16.5,1012.0
