time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-10.0,-14.5,-5.5,0.0,161.0,7.9,1009.5
2021-01-02,-2.0,-8.5,4.5,0.0,206.0,14.0,993.5
2021-01-03,0.0,-4.2,4.1,0.0,239.0,12.3,996.5
2021-01-04,-8.1,-12.8,-3.4,0.0,160.0,12.0,1006.3
2021-01-05,-3.1,-6.3,0.1,0.1,232.0,14.0,1010.0
2021-01-06,-0.2,-6.8,6.4,0.0,205.0,10.3,1009.7
2021-01-07,-7.5,-14.9,-0.1,0.0,227.0,3.7,1026.8
2021-01-08,-11.9,-17.8,-6.0,0.0,134.0,6.6,1028.9
2021-01-09,-10.0,-16.7,-3.4,0.0,243.0,4.2,1028.2
2021-01-10,-7.5,-15.1,0.2,0.0,221.0,5.0,1018.1
2021-01-11,-3.9,-11.1,3.2,0.0,228.0,7.3,1011.5
2021-01-12,-6.1,-12.0,-0.2,0.0,157.0,8.0,1004.8
2021-01-13,-5.5,-11.7,0.6,0.6,312.0,19.5,999.9
2021-01-14,-7.3,-13.2,-1.5,0.0,266.0,14.5,1027.7
2021-01-15,-4.4,-10.5,1.7,0.0,203.0,13.5,1018.9
2021-01-16,-1.4,-5.0,2.2,0.0,263.0,12.5,1019.5
2021-01-17,-1.3,-6.0,3.3,0.7,271.0,12.3,1014.0
2021-01-18,-1.3,-4.9,2.4,0.3,284.0,15.0,1023.9
2021-01-19,-1.6,-10.3,7.1,0.0,225.0,15.3,1011.6
2021-01-20,-1.4,-3.6,0.9,0.0,289.0,24.9,1009.5
2021-01-21,-8.0,-13.5,-2.5,0.0,279.0,8.7,1023.0
2021-01-22,-6.5,-8.3,-4.6,0.0,268.0,9.3,1018.6
2021-01-23,-15.9,-24.5,-7.3,0.1,68.0,12.3,1024.8
2021-01-24,-21.6,-23.9,-19.3,0.1,119.0,18.8,1021.4
2021-01-25,-20.9,-23.6,-18.3,0.0,112.0,19.9,1025.8
2021-01-26,-19.3,-21.9,-16.6,0.4,114.0,19.2,1022.2
2021-01-27,-18.1,-20.4,-15.8,0.8,76.0,11.7,1021.2
