time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.1,26.0,30.0,,128.0,19.3,1015.2
2021-01-02,26.5,25.0,29.0,,131.0,13.9,1017.1
2021-01-03,24.9,21.0,29.0,,125.0,6.9,1017.1
2021-01-04,23.8,22.0,27.0,,,5.2,
2021-01-05,23.1,19.0,26.0,,16.0,9.3,1016.9
2021-01-06,22.5,18.0,26.0,,66.0,8.4,1016.0
2021-01-07,23.7,21.0,27.0,,123.0,5.6,1015.4
2021-01-08,21.0,16.0,25.0,,308.0,14.1,1017.5
2021-01-09,18.8,14.0,24.0,,316.0,12.0,1019.2
2021-01-10,21.5,16.0,25.0,,68.0,14.4,1018.5
2021-01-11,22.7,22.0,25.0,,49.0,10.6,1018.8
2021-01-12,24.4,22.0,26.0,,66.0,13.5,1019.0
2021-01-13,24.4,21.0,28.0,,76.0,12.6,1017.2
2021-01-14,23.0,21.0,26.0,,305.0,14.4,1014.8
2021-01-15,22.9,21.0,26.0,,303.0,13.6,1014.2
2021-01-16,20.3,16.0,24.0,,318.0,13.1,1017.7
2021-01-17,17.8,14.0,23.0,,316.0,6.9,1017.6
2021-01-18,20.8,15.0,25.0,,359.0,9.2,1019.0
2021-01-19,24.8,23.0,27.0,,85.0,17.7,1020.2
2021-01-20,24.5,23.0,26.0,,61.0,16.0,1021.0
2021-01-21,23.2,19.0,27.0,,69.0,7.9,1018.3
2021-01-22,22.1,16.0,28.0,,113.0,5.5,1015.8
2021-01-23,24.1,18.0,29.0,,101.0,8.8,
2021-01-24,26.0,23.0,29.0,,97.0,16.0,1015.9
2021-01-25,26.4,25.0,29.0,,127.0,19.0,1013.6
2021-01-26,26.9,24.7,29.0,,135.0,19.9,1013.0
2021-01-27,26.7,25.0,29.4,,125.0,16.0,1015.6
2021-01-28,24.2,20.0,29.0,,39.0,9.5,
2021-01-29,22.9,21.0,25.0,,60.0,16.1,1020.3
2021-01-30,24.0,18.0,27.0,,105.0,16.7,1017.2
2021-01-31,24.2,18.0,28.0,,,11.0,
2021-02-01,21.4,15.0,26.0,,,11.9,
2021-02-02,18.5,15.0,24.0,,316.0,10.5,1019.2
2021-02-03,18.4,12.0,25.0,,333.0,7.6,1018.4
2021-02-04,20.9,14.0,26.0,,108.0,11.8,1016.3
2021-02-05,24.9,20.0,29.0,,138.0,15.1,1012.5
2021-02-06,26.8,25.0,30.0,,151.0,20.0,1010.9
2021-02-07,26.4,24.0,29.0,,146.0,11.0,1013.3
2021-02-08,26.2,23.0,30.0,,131.0,17.0,1015.8
2021-02-09,27.0,25.0,30.0,,107.0,19.8,1016.5
2021-02-10,26.2,24.0,29.0,,95.0,13.7,1015.9
2021-02-11,25.7,24.0,28.0,,114.0,15.3,1013.5
2021-02-12,26.5,24.0,29.0,,130.0,19.5,1011.2
