time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-6.7,-9.4,-4.0,0.0,240.0,32.6,1025.9
2021-01-02,-5.1,-6.9,-3.3,2.9,165.0,10.4,1017.9
2021-01-03,-5.2,-8.3,-2.1,0.3,200.0,8.1,1020.2
2021-01-04,-5.8,-9.5,-2.2,0.0,164.0,8.4,1020.1
2021-01-05,-3.5,-5.4,-1.7,0.1,102.0,14.4,1021.0
2021-01-06,-4.8,-9.1,-0.4,0.0,111.0,10.4,1015.8
2021-01-07,-2.6,-4.6,-0.5,0.1,3.0,35.3,1014.8
2021-01-08,-3.7,-5.5,-1.8,0.4,352.0,29.4,1009.0
2021-01-09,-1.7,-2.9,-0.5,0.0,1.0,18.8,1011.1
2021-01-10,-5.4,-8.1,-2.8,0.0,282.0,19.9,1018.6
2021-01-11,-5.6,-7.2,-3.9,0.1,234.0,13.9,1019.9
2021-01-12,-4.2,-5.2,-3.3,0.1,210.0,11.8,1015.3
2021-01-13,-2.8,-5.0,-0.6,0.0,200.0,10.2,1011.3
2021-01-14,-1.8,-2.5,-1.1,0.8,177.0,5.8,1011.2
2021-01-15,-3.7,-7.0,-0.4,0.0,217.0,12.7,1018.8
2021-01-16,-3.8,-7.9,0.2,0.0,120.0,15.9,1014.1
2021-01-17,0.3,-1.1,1.7,8.1,49.0,30.7,985.1
2021-01-18,-5.4,-9.8,-0.9,0.0,250.0,48.4,991.0
2021-01-19,-10.1,-12.2,-7.9,0.0,272.0,41.8,1007.4
2021-01-20,-11.1,-13.0,-9.3,0.0,275.0,21.9,1010.4
2021-01-21,-13.2,-17.1,-9.3,0.0,227.0,22.2,1006.7
2021-01-22,-11.3,-17.0,-5.5,0.2,169.0,10.8,1007.4
2021-01-23,-7.5,-11.4,-3.6,7.5,241.0,26.6,1001.5
2021-01-24,-1.6,-4.1,0.8,1.8,346.0,28.1,998.6
2021-01-25,-1.8,-3.5,-0.1,1.4,249.0,27.6,1009.0
2021-01-26,-4.1,-7.1,-1.1,0.2,237.0,11.0,1017.5
2021-01-27,-4.5,-6.4,-2.6,0.3,152.0,8.8,1018.4
2021-01-28,-6.2,-8.2,-4.2,0.1,331.0,10.2,1014.3
2021-01-29,-9.7,-11.6,-7.9,0.0,41.0,16.2,1014.4
2021-01-30,-12.0,-14.2,-9.7,0.0,216.0,17.4,1019.4
2021-01-31,-9.9,-13.3,-6.5,0.0,219.0,14.6,1025.8
2021-02-01,-8.5,-13.1,-3.9,0.0,196.0,10.5,1029.1
2021-02-02,-8.5,-15.1,-2.0,4.7,120.0,28.0,1022.4
2021-02-03,-1.7,-2.4,-0.9,9.2,44.0,43.4,999.0
2021-02-04,-2.1,-2.9,-1.3,0.2,348.0,11.3,1004.3
2021-02-05,-2.0,-3.1,-0.9,0.1,214.0,7.5,1006.6
2021-02-06,-2.3,-3.6,-1.0,3.5,224.0,30.7,1002.4
2021-02-07,-6.7,-10.1,-3.3,0.0,244.0,30.4,1015.2
2021-02-08,-7.0,-10.6,-3.5,2.5,256.0,30.7,1015.6
2021-02-09,-10.5,-13.2,-7.8,0.1,275.0,32.1,1023.8
2021-02-10,-13.2,-19.4,-6.9,0.6,265.0,28.8,1017.9
2021-02-11,-12.1,-13.9,-10.4,0.9,252.0,38.2,1012.3
2021-02-12,-7.4,-11.3,-3.6,0.3,257.0,21.0,1018.8
2021-02-13,-8.5,-11.2,-5.8,0.2,249.0,19.7,1023.2
2021-02-14,-9.1,-11.5,-6.7,0.3,214.0,14.3,1024.1
2021-02-15,-10.8,-14.2,-7.4,0.0,240.0,19.1,1024.7
2021-02-16,-9.9,-13.2,-6.6,5.3,107.0,19.8,1016.5
2021-02-17,-7.6,-10.0,-5.3,1.6,288.0,37.8,1012.4
2021-02-18,-11.3,-14.6,-8.0,0.0,247.0,30.9,1027.2
2021-02-19,-12.6,-17.3,-8.0,0.0,209.0,15.5,1025.2
2021-02-20,-9.9,-14.9,-4.8,0.3,186.0,13.8,1017.7
2021-02-21,-10.2,-16.8,-3.6,0.1,221.0,24.0,1022.4
2021-02-22,-6.7,-10.1,-3.3,0.0,199.0,13.5,1015.3
2021-02-23,-3.5,-5.5,-1.6,0.4,253.0,7.5,999.7
2021-02-24,-1.8,-4.1,0.6,0.5,229.0,20.4,1002.4
2021-02-25,-8.4,-13.1,-3.8,0.9,253.0,27.2,1005.0
2021-02-26,-11.8,-14.7,-8.9,0.0,248.0,28.3,1022.9
2021-02-27,-3.9,-11.5,3.7,3.5,201.0,14.8,1018.5
2021-02-28,-3.8,-7.1,-0.6,0.2,243.0,18.0,1019.1
2021-03-01,-3.9,-9.8,2.0,4.8,177.0,21.9,998.7
2021-03-02,-11.0,-13.0,-9.0,0.6,261.0,52.8,987.8
2021-03-03,-10.5,-15.0,-5.9,0.0,261.0,45.5,996.7
2021-03-04,-10.5,-13.0,-8.0,0.7,252.0,49.9,991.5
2021-03-05,-9.0,-11.5,-6.4,0.0,233.0,40.5,994.7
2021-03-06,-6.8,-8.9,-4.8,0.2,242.0,44.4,1001.5
2021-03-07,-6.7,-8.0,-5.4,0.0,231.0,29.9,1018.2
2021-03-08,-7.0,-10.0,-4.0,0.0,218.0,17.5,1024.4
2021-03-09,-7.2,-12.1,-2.4,0.1,218.0,18.3,1021.9
2021-03-10,0.3,-7.8,8.5,0.1,218.0,18.3,1025.6
2021-03-11,5.7,0.1,11.2,1.8,219.0,13.7,1010.4
2021-03-12,3.6,-3.3,10.5,2.8,252.0,41.8,996.9
2021-03-13,-5.0,-7.2,-2.7,0.2,292.0,40.4,1006.9
2021-03-14,-9.2,-11.4,-7.0,0.0,,,
2021-03-15,-12.7,-16.1,-9.4,0.0,324.0,34.2,1017.1
2021-03-16,-11.1,-14.4,-7.8,0.0,292.0,19.3,1021.1
2021-03-17,-3.8,-10.2,2.6,0.0,217.0,21.1,1014.2
2021-03-18,-2.6,-10.0,4.8,0.9,234.0,26.9,1009.2
2021-03-19,-7.2,-11.7,-2.7,0.0,293.0,30.6,1021.0
2021-03-20,-1.5,-5.6,2.6,0.0,240.0,20.8,1020.2
2021-03-21,2.1,-0.8,5.1,0.0,242.0,24.5,1023.3
2021-03-22,6.4,0.3,12.4,0.0,247.0,17.7,1021.0
2021-03-23,6.7,2.3,11.0,0.0,239.0,20.5,1019.9
2021-03-24,2.6,-1.4,6.6,0.0,198.0,9.5,1021.5
2021-03-25,5.3,0.1,10.5,4.3,256.0,9.5,1012.7
2021-03-26,3.9,-1.9,9.6,0.0,27.0,27.4,1010.2
2021-03-27,-3.8,-5.9,-1.8,0.0,64.0,26.6,1021.9
2021-03-28,-0.9,-2.9,1.1,6.5,148.0,15.5,1018.3
2021-03-29,-1.4,-4.8,2.0,5.9,291.0,29.4,993.8
2021-03-30,-2.0,-5.3,1.3,0.0,263.0,26.4,1021.9
2021-03-31,0.1,-4.5,4.8,0.0,286.0,5.8,1014.4
2021-04-01,-1.6,-4.6,1.5,36.8,326.0,14.9,1009.1
2021-04-02,-4.4,-6.1,-2.7,0.0,271.0,16.6,1014.3
2021-04-03,-4.9,-8.5,-1.3,0.0,213.0,17.3,1021.0
2021-04-04,-5.1,-9.7,-0.6,8.4,67.0,8.7,1020.5
2021-04-05,0.6,-0.7,2.0,10.8,65.0,5.6,1013.6
2021-04-06,2.7,0.8,4.5,0.6,72.0,7.0,1015.5
2021-04-07,4.7,2.4,6.9,0.0,57.0,8.8,1020.8
2021-04-08,4.2,1.9,6.4,0.0,265.0,6.3,1022.3
2021-04-09,4.6,-2.1,11.2,0.0,207.0,7.7,1020.8
2021-04-10,0.6,-3.2,4.5,0.0,120.0,13.4,1018.8
2021-04-11,1.5,-3.4,6.4,0.0,243.0,8.7,1014.2
2021-04-12,4.6,-1.3,10.5,0.0,70.0,17.4,1019.8
2021-04-13,2.2,-2.2,6.5,0.0,81.0,13.1,1022.0
2021-04-14,2.8,-2.6,8.2,0.0,230.0,7.7,1019.2
2021-04-15,3.0,-1.7,7.7,0.0,92.0,10.1,1014.5
2021-04-16,1.2,-2.5,4.8,0.0,109.0,19.1,1015.8
2021-04-17,0.6,-3.8,4.9,0.0,127.0,14.6,1014.1
2021-04-18,1.9,-0.4,4.2,0.0,52.0,10.2,1009.5
2021-04-19,3.6,-0.9,8.0,0.0,236.0,15.6,1006.7
2021-04-20,4.9,1.5,8.2,4.3,72.0,14.7,1007.4
2021-04-21,3.1,0.2,6.1,8.2,227.0,19.0,1007.1
2021-04-22,1.9,0.3,3.5,24.3,340.0,19.0,987.2
2021-04-23,2.0,0.4,3.7,16.7,262.0,34.9,987.1
2021-04-24,5.1,2.1,8.2,0.0,253.0,30.5,1001.4
2021-04-25,4.4,0.5,8.3,1.4,116.0,13.4,1009.6
2021-04-26,3.8,3.0,4.7,27.0,23.0,25.8,1004.3
2021-04-27,4.7,3.5,5.9,12.8,327.0,19.0,1005.4
2021-04-28,6.6,2.4,10.8,0.0,252.0,13.9,1009.9
2021-04-29,5.8,0.9,10.7,0.0,229.0,10.3,1008.9
2021-04-30,3.8,-0.5,8.2,0.0,91.0,13.4,997.0
2021-05-01,4.0,-1.2,9.3,0.0,263.0,23.5,995.4
2021-05-02,5.5,-0.1,11.0,0.6,231.0,33.5,996.5
2021-05-03,6.0,2.8,9.1,0.0,257.0,43.8,1006.4
2021-05-04,5.8,1.2,10.4,0.0,287.0,10.0,1012.7
2021-05-05,6.8,3.4,10.2,2.7,115.0,9.1,1012.8
2021-05-06,3.2,1.6,4.7,12.2,68.0,17.2,1008.8
2021-05-07,4.4,1.7,7.1,0.8,2.0,6.5,1015.3
2021-05-08,3.9,1.3,6.5,3.1,55.0,13.0,1016.6
2021-05-09,5.1,2.4,7.7,2.6,345.0,12.9,1007.5
2021-05-10,5.6,0.5,10.6,0.0,123.0,11.4,1010.9
2021-05-11,4.5,-0.2,9.1,0.0,86.0,12.4,1012.7
2021-05-12,5.5,1.9,9.1,0.9,348.0,13.5,1015.2
2021-05-13,6.6,1.2,12.1,0.0,227.0,15.5,1015.3
2021-05-14,8.0,3.1,13.0,0.0,241.0,8.1,1018.2
2021-05-15,6.4,1.8,11.1,0.0,113.0,13.2,1022.3
2021-05-16,8.1,2.8,13.3,0.0,53.0,9.9,1024.3
2021-05-17,8.4,3.5,13.4,4.8,218.0,10.6,1024.4
2021-05-18,5.9,1.8,10.0,2.4,236.0,9.5,1019.8
2021-05-19,6.2,1.4,10.9,0.0,93.0,9.5,1027.2
2021-05-20,12.4,3.2,21.5,0.0,91.0,7.6,1027.4
2021-05-21,15.2,9.4,21.0,1.8,245.0,19.5,1022.9
2021-05-22,14.9,11.0,18.8,15.1,254.0,20.6,1010.1
2021-05-23,7.0,1.2,12.8,12.8,348.0,18.3,1010.9
2021-05-24,6.3,0.2,12.4,0.0,271.0,18.9,1020.6
2021-05-25,14.1,9.0,19.3,2.5,232.0,21.2,1008.2
2021-05-26,14.1,7.9,20.3,11.1,5.0,9.0,1001.7
2021-05-27,9.7,4.8,14.6,0.2,265.0,43.8,1007.7
2021-05-28,5.8,3.6,8.1,0.0,276.0,42.4,1015.2
2021-05-29,5.5,1.2,9.9,0.0,270.0,12.0,1024.0
2021-05-30,7.5,1.8,13.3,0.0,90.0,12.2,1029.8
2021-05-31,8.1,6.7,9.6,7.9,28.0,7.7,1024.3
2021-06-01,11.8,6.4,17.2,2.7,260.0,22.2,1013.6
2021-06-02,14.0,10.0,18.1,0.0,244.0,29.0,1014.9
2021-06-03,16.1,12.3,19.9,4.4,220.0,11.3,1012.0
2021-06-04,15.8,11.5,20.1,0.0,252.0,23.8,1003.5
2021-06-05,18.1,11.8,24.3,2.8,247.0,17.4,1001.5
2021-06-06,12.3,8.0,16.6,0.0,24.0,6.9,1012.5
2021-06-07,20.4,11.2,29.5,0.5,249.0,18.8,1005.3
2021-06-08,15.9,10.4,21.5,1.4,241.0,24.7,1007.1
2021-06-09,13.5,8.3,18.7,0.0,255.0,15.5,1012.9
2021-06-10,10.3,5.7,14.9,0.0,344.0,20.5,1019.0
2021-06-11,11.2,6.0,16.3,0.0,237.0,15.8,1014.9
2021-06-12,12.2,8.6,15.8,0.0,233.0,20.3,1008.0
2021-06-13,9.9,3.6,16.2,0.3,7.0,10.7,1012.7
2021-06-14,9.9,4.0,15.9,5.7,112.0,11.2,1012.5
2021-06-15,12.3,9.7,14.9,11.7,4.0,7.4,1006.5
2021-06-16,12.4,10.0,14.9,0.4,249.0,23.1,1001.4
2021-06-17,12.6,9.0,16.2,0.0,232.0,23.1,1003.6
2021-06-18,16.7,11.8,21.6,3.3,244.0,10.6,1006.6
2021-06-19,15.7,11.1,20.2,21.8,85.0,8.9,1001.0
2021-06-20,13.8,10.7,16.9,7.2,254.0,14.0,1002.3
2021-06-21,20.3,14.7,25.8,0.0,182.0,14.9,1002.4
2021-06-22,17.9,11.3,24.4,9.1,226.0,22.5,1000.9
2021-06-23,13.7,10.4,16.9,1.9,231.0,27.8,1011.8
2021-06-24,18.1,10.2,26.0,0.0,207.0,16.8,1022.1
2021-06-25,18.7,13.8,23.6,0.0,219.0,10.5,1021.7
2021-06-26,17.1,13.5,20.8,0.4,49.0,7.3,1017.8
2021-06-27,15.6,13.3,17.9,45.1,288.0,7.3,1009.5
2021-06-28,16.4,13.5,19.3,0.0,247.0,12.3,1015.0
2021-06-29,18.4,14.5,22.3,0.0,246.0,14.9,1014.3
2021-06-30,14.0,11.4,16.6,32.8,305.0,10.3,1010.6
2021-07-01,9.4,6.7,12.2,5.6,70.0,21.4,1013.0
2021-07-02,10.0,5.7,14.3,0.0,96.0,9.3,1017.8
2021-07-03,11.4,6.5,16.3,0.0,6.0,9.9,1015.9
2021-07-04,12.0,4.9,19.2,0.0,255.0,8.3,1015.3
2021-07-05,14.2,10.6,17.7,0.0,237.0,23.9,1011.1
2021-07-06,16.9,12.8,21.0,3.6,243.0,20.7,1003.4
2021-07-07,14.8,12.4,17.2,0.0,255.0,38.9,1007.3
2021-07-08,12.2,7.4,17.0,0.0,22.0,10.8,1020.8
2021-07-09,12.4,10.0,14.7,16.6,54.0,11.4,1013.6
2021-07-10,13.5,9.2,17.9,0.0,236.0,18.6,1013.3
2021-07-11,15.8,11.2,20.3,1.4,225.0,13.4,1015.6
2021-07-12,15.0,10.2,21.3,0.0,232.0,10.9,1023.1
2021-07-13,17.0,10.5,22.1,0.0,198.0,11.4,1024.9
2021-07-14,19.9,16.2,23.5,12.3,189.0,13.0,1017.9
2021-07-15,19.0,15.2,22.9,1.7,242.0,17.0,1014.1
2021-07-16,19.7,13.8,25.6,0.0,219.0,23.9,1008.0
2021-07-17,17.8,15.2,20.4,0.0,227.0,22.5,1014.7
2021-07-18,17.4,14.6,20.1,0.0,235.0,17.4,1016.7
2021-07-19,19.6,15.6,23.6,0.0,229.0,13.7,1011.4
2021-07-20,16.1,12.1,20.0,3.6,296.0,9.0,1010.2
2021-07-21,14.3,11.6,17.0,0.2,128.0,8.2,1014.4
2021-07-22,15.4,12.6,18.2,0.0,231.0,11.0,1014.5
2021-07-23,16.0,12.7,19.4,0.0,229.0,16.1,1016.4
2021-07-24,16.6,13.3,19.9,0.0,228.0,9.3,1016.1
2021-07-25,19.2,12.1,26.3,0.0,181.0,10.4,1009.4
2021-07-26,18.3,15.5,21.1,0.1,244.0,12.5,1006.8
2021-07-27,16.9,15.1,18.7,0.0,242.0,27.6,1008.6
2021-07-28,15.0,11.5,18.5,0.0,260.0,22.4,1012.5
2021-07-29,14.6,10.0,19.1,0.0,221.0,16.1,1009.3
2021-07-30,15.2,13.0,17.3,15.6,235.0,13.5,1001.9
2021-07-31,14.7,12.7,16.6,24.9,244.0,32.2,1001.4
2021-08-01,15.6,11.9,19.2,0.0,226.0,21.5,1007.8
2021-08-02,14.6,11.3,18.5,0.0,233.0,19.3,1009.0
2021-08-03,16.1,11.5,20.6,0.0,233.0,25.5,1009.5
2021-08-04,14.0,9.3,18.7,0.0,227.0,17.9,1019.8
2021-08-05,17.9,13.1,22.7,0.0,179.0,9.6,1019.0
2021-08-06,18.6,14.9,22.3,0.0,253.0,14.8,1013.7
2021-08-07,17.8,12.1,23.4,0.3,231.0,21.8,1010.8
2021-08-08,13.9,9.3,18.6,0.0,118.0,8.8,1021.3
2021-08-09,13.4,7.6,19.1,5.4,105.0,10.5,1022.8
2021-08-10,17.7,14.3,21.2,0.0,245.0,9.3,1017.7
2021-08-11,18.0,14.9,21.1,0.0,42.0,6.8,1014.1
2021-08-12,19.9,15.5,24.2,0.0,27.0,7.1,1009.5
2021-08-13,19.7,15.5,23.8,0.0,250.0,18.3,1010.9
2021-08-14,19.8,15.4,24.1,10.2,176.0,10.9,1012.3
2021-08-15,15.7,11.8,19.7,0.0,243.0,27.7,1016.5
2021-08-16,15.5,10.8,20.1,0.4,234.0,21.0,1018.7
2021-08-17,18.7,15.8,21.7,0.0,243.0,21.8,1016.2
2021-08-18,19.6,16.7,22.6,0.0,252.0,19.4,1017.0
2021-08-19,20.2,17.4,22.9,0.1,238.0,21.8,1012.7
2021-08-20,18.2,12.9,23.6,0.0,76.0,8.8,1011.4
2021-08-21,16.2,11.3,21.0,0.0,141.0,11.0,1017.2
2021-08-22,19.1,14.3,23.9,0.0,138.0,10.1,1016.7
2021-08-23,21.8,17.4,26.2,0.0,232.0,8.0,1014.0
2021-08-24,21.2,18.5,23.9,0.1,263.0,14.2,1007.6
2021-08-25,19.7,16.3,23.1,1.6,225.0,10.5,1014.7
2021-08-26,19.8,17.4,22.5,2.1,183.0,9.5,1012.4
2021-08-27,14.2,8.7,19.7,0.3,261.0,25.6,1017.6
2021-08-28,13.4,7.5,19.3,0.0,223.0,14.5,1026.7
2021-08-29,15.9,11.0,20.8,0.0,156.0,12.8,1020.7
2021-08-30,17.3,13.4,21.3,4.8,170.0,9.2,1004.9
2021-08-31,18.6,15.1,22.2,0.0,216.0,16.5,1000.2
2021-09-01,15.8,14.5,17.5,0.0,239.0,18.2,1005.5
2021-09-02,14.0,11.6,16.3,8.3,90.0,18.2,1011.8
2021-09-03,10.2,8.6,11.7,37.0,12.0,35.9,1010.8
2021-09-04,10.5,7.4,13.7,5.3,35.0,16.5,1011.3
2021-09-05,10.2,7.0,13.5,0.7,99.0,7.3,1012.4
2021-09-06,13.6,11.2,15.9,1.5,49.0,5.5,1004.8
2021-09-07,13.8,10.9,16.6,5.4,251.0,27.8,1003.6
2021-09-08,17.7,12.7,22.7,0.0,154.0,11.5,1009.4
2021-09-09,17.0,14.3,19.7,1.4,24.0,3.5,1007.4
2021-09-10,14.2,12.0,16.4,9.8,237.0,14.2,1004.0
2021-09-11,13.8,11.5,16.1,0.0,238.0,35.4,1008.5
2021-09-12,16.4,11.9,20.9,8.7,204.0,24.2,1006.0
2021-09-13,13.7,10.9,16.5,0.0,240.0,36.4,1008.0
2021-09-14,8.5,4.9,12.1,0.0,0.0,16.8,1018.3
2021-09-15,12.4,7.2,17.5,7.1,196.0,18.1,1011.1
2021-09-16,13.8,10.1,17.5,0.0,232.0,22.9,1021.2
2021-09-17,14.9,9.3,20.4,0.0,216.0,14.2,1022.5
2021-09-18,16.2,9.4,22.9,4.4,223.0,27.3,1014.0
2021-09-19,10.9,6.5,15.3,0.0,220.0,10.5,1021.6
2021-09-20,10.8,5.7,15.9,0.0,235.0,11.0,1025.6
2021-09-21,15.5,12.0,19.0,0.0,230.0,10.5,1023.3
2021-09-22,16.9,15.0,20.9,0.0,223.0,9.2,1018.9
2021-09-23,12.1,10.8,13.4,6.9,48.0,16.8,1021.2
2021-09-24,15.4,9.4,21.5,0.0,116.0,6.6,1022.3
2021-09-25,13.5,10.5,16.6,3.0,241.0,5.3,1015.8
2021-09-26,12.9,11.0,14.7,27.3,268.0,10.1,1006.1
2021-09-27,12.5,10.2,14.8,0.4,234.0,28.1,1002.3
2021-09-28,9.4,6.3,12.5,0.0,228.0,23.4,1007.3
2021-09-29,8.9,4.1,13.6,0.0,172.0,10.1,1014.5
2021-09-30,8.3,6.6,10.0,5.8,54.0,20.7,1016.7
2021-10-01,8.0,6.7,9.3,12.9,310.0,17.9,1014.8
2021-10-02,7.8,5.5,10.1,6.3,72.0,13.7,1016.6
2021-10-03,8.1,5.7,10.5,5.1,294.0,10.8,1017.9
2021-10-04,7.9,4.2,11.6,0.0,219.0,13.0,1021.0
2021-10-05,7.7,3.3,12.0,0.0,220.0,20.1,1023.6
2021-10-06,9.5,5.7,13.3,0.0,227.0,22.5,1023.8
2021-10-07,12.1,9.3,14.8,0.1,229.0,21.8,1020.1
