time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,-18.4,-20.0,-16.7,0.0,24.0,11.3,1007.7
2021-01-03,-20.5,-22.0,-18.9,0.0,344.0,7.9,1004.7
2021-01-04,-24.4,-28.1,-20.7,0.0,199.0,16.2,1007.7
2021-01-05,-21.9,-26.8,-16.9,0.3,114.0,31.4,999.9
2021-01-06,-21.6,-24.6,-18.6,0.0,212.0,10.2,993.7
2021-01-07,-22.6,-25.3,-20.0,0.0,158.0,17.4,1003.4
2021-01-08,-16.8,-20.0,-13.6,0.0,149.0,16.3,1007.0
2021-01-09,-18.9,-20.9,-17.0,0.5,85.0,40.5,1005.2
2021-01-10,-17.2,-19.4,-15.0,0.0,91.0,35.1,1001.1
2021-01-11,-18.7,-19.4,-18.0,0.0,75.0,57.5,994.1
2021-01-12,-19.6,-20.9,-18.4,0.7,58.0,38.8,995.3
2021-01-13,-22.9,-25.2,-20.6,0.0,40.0,16.7,1005.6
2021-01-14,-23.6,-26.3,-21.0,0.0,275.0,17.2,1023.1
2021-01-15,-24.1,-26.3,-21.9,0.0,99.0,17.0,1020.7
2021-01-16,-23.9,-25.1,-22.6,0.0,88.0,38.5,1018.9
2021-01-17,-23.4,-24.5,-22.3,0.0,84.0,48.1,1016.0
2021-01-18,-21.8,-24.1,-19.4,1.2,89.0,49.4,1018.0
2021-01-19,-19.3,-20.3,-18.3,1.8,76.0,69.7,999.2
2021-01-20,-21.9,-24.1,-19.8,0.0,5.0,17.3,1018.9
2021-01-21,-22.0,-23.6,-20.4,0.0,271.0,12.9,1029.1
2021-01-22,-23.1,-24.9,-21.4,0.0,240.0,13.1,1030.6
2021-01-23,-21.1,-23.7,-18.4,0.0,341.0,5.0,1026.3
2021-01-24,-18.3,-20.6,-16.1,1.4,40.0,14.4,1020.9
2021-01-25,-22.6,-25.3,-20.0,0.4,143.0,23.5,1022.5
2021-01-26,-24.1,-27.1,-21.2,0.0,197.0,21.6,1027.4
2021-01-27,-27.9,-29.9,-26.0,0.0,251.0,10.6,1029.0
2021-01-28,-29.3,-32.7,-26.0,0.0,236.0,9.1,1019.7
2021-01-29,-31.9,-33.8,-30.1,0.0,240.0,17.4,1014.7
2021-01-30,-31.7,-32.7,-30.7,0.0,252.0,13.8,1023.3
2021-01-31,-30.2,-32.5,-27.8,0.0,273.0,10.7,1033.5
2021-02-01,-28.5,-31.6,-25.3,0.0,280.0,14.9,1038.5
2021-02-02,-29.3,-33.4,-25.2,0.0,314.0,12.9,1037.4
2021-02-03,-35.0,-37.6,-32.3,0.0,272.0,25.0,1032.1
2021-02-04,-35.4,-37.8,-33.1,0.0,260.0,13.8,1030.4
2021-02-05,-36.3,-39.6,-33.1,0.0,248.0,16.5,1035.9
2021-02-06,-34.0,-39.9,-28.1,1.0,179.0,22.0,1025.7
2021-02-07,-31.9,-35.0,-28.8,0.0,126.0,14.5,1036.9
2021-02-08,-34.5,-36.1,-32.8,0.0,297.0,21.4,1051.2
2021-02-09,-35.5,-36.2,-34.7,0.0,269.0,30.1,1052.7
2021-02-10,-32.4,-35.8,-28.9,0.0,266.0,14.7,1052.9
2021-02-11,-27.4,-32.2,-22.6,0.0,109.0,32.2,1043.2
2021-02-12,-19.7,-24.2,-15.2,0.0,137.0,29.3,1030.0
2021-02-13,-20.2,-24.4,-15.9,0.0,199.0,19.8,1022.2
2021-02-14,-24.0,-29.7,-18.2,0.4,275.0,16.1,1014.8
2021-02-15,-31.3,-32.9,-29.7,0.0,263.0,24.8,1014.5
2021-02-16,-29.7,-32.1,-27.3,0.0,261.0,23.4,1016.4
2021-02-17,-31.7,-33.8,-29.7,0.0,255.0,23.8,1017.1
2021-02-18,-31.4,-33.9,-28.9,0.0,266.0,17.3,1008.9
2021-02-19,-32.1,-36.1,-28.0,0.7,343.0,9.5,1002.4
2021-02-20,-32.0,-36.6,-27.3,0.0,235.0,21.1,1000.2
2021-02-21,-27.5,-28.7,-26.3,1.2,243.0,35.1,991.1
2021-02-22,-30.8,-36.6,-25.0,0.7,289.0,17.9,998.0
2021-02-23,-33.8,-37.0,-30.7,0.5,264.0,34.5,1009.1
2021-02-24,-36.1,-40.2,-31.9,0.0,291.0,24.9,1016.4
2021-02-25,-38.2,-40.7,-35.7,0.0,268.0,32.3,1017.5
2021-02-26,-33.8,-35.9,-31.7,0.7,288.0,29.4,1016.0
2021-02-27,-34.5,-36.9,-32.2,0.0,227.0,14.3,1021.8
2021-02-28,-32.4,-35.7,-29.0,0.0,297.0,7.5,1022.0
2021-03-01,-29.9,-33.2,-26.5,0.0,355.0,12.4,1016.9
2021-03-02,-28.2,-30.7,-25.6,0.0,75.0,40.0,1008.6
2021-03-03,-31.8,-33.1,-30.6,0.0,90.0,37.2,1019.6
2021-03-04,-29.4,-33.3,-25.6,0.0,94.0,35.3,1029.4
2021-03-05,-23.3,-25.7,-20.9,0.7,85.0,40.2,1009.4
2021-03-06,-20.9,-21.4,-20.3,0.4,81.0,19.8,1001.1
2021-03-07,-23.2,-25.5,-20.9,0.0,283.0,24.0,1008.6
2021-03-08,-28.6,-32.5,-24.7,0.0,289.0,27.0,1021.0
2021-03-09,-27.9,-31.7,-24.2,0.0,191.0,11.0,1021.9
2021-03-10,-22.8,-26.0,-19.5,0.0,164.0,12.8,1016.1
2021-03-11,-21.3,-23.7,-18.9,0.0,72.0,35.0,1010.0
2021-03-12,-23.1,-24.3,-21.8,0.0,57.0,17.1,1024.1
2021-03-13,-25.2,-27.7,-22.6,0.0,303.0,9.1,1036.3
2021-03-14,-26.0,-28.5,-23.5,,,,
2021-03-15,-21.6,-25.2,-18.1,1.9,76.0,58.8,1012.1
2021-03-16,-22.7,-25.5,-20.0,0.0,211.0,17.7,1013.7
2021-03-17,-24.5,-27.3,-21.8,0.0,248.0,19.8,1011.3
2021-03-18,-25.1,-27.6,-22.6,0.0,255.0,14.7,1007.2
2021-03-19,-26.4,-28.3,-24.5,0.0,259.0,24.8,1015.1
2021-03-20,-26.2,-29.4,-23.1,0.0,266.0,20.8,1013.7
2021-03-21,-25.3,-28.7,-21.9,0.0,65.0,22.1,1026.2
2021-03-22,-27.8,-30.1,-25.4,0.0,106.0,19.4,1032.6
2021-03-23,-24.9,-29.5,-20.4,0.0,130.0,33.4,1028.1
2021-03-24,-21.2,-23.8,-18.6,0.0,175.0,28.4,1012.0
2021-03-25,-17.0,-20.2,-13.9,0.0,232.0,10.7,1006.9
2021-03-26,-21.8,-26.1,-17.5,0.1,332.0,8.1,1012.0
2021-03-27,-25.6,-27.6,-23.5,0.0,283.0,14.9,1019.1
2021-03-28,-27.7,-30.1,-25.4,0.0,273.0,29.1,1024.4
2021-03-29,-27.1,-30.0,-24.2,0.0,256.0,17.5,1024.0
2021-03-30,-28.1,-29.7,-26.5,0.0,71.0,30.4,1018.7
2021-03-31,-27.3,-30.4,-23.6,0.0,73.0,33.6,1018.1
2021-04-01,-26.6,-28.8,-24.4,0.0,69.0,34.7,1018.4
2021-04-02,-26.1,-29.7,-22.4,0.0,101.0,26.2,1021.1
2021-04-03,-21.7,-26.2,-17.2,0.3,109.0,19.4,1017.7
2021-04-04,-20.4,-22.2,-18.6,0.0,126.0,17.3,1011.9
2021-04-05,-21.5,-24.2,-18.9,2.2,31.0,38.4,1005.7
2021-04-06,-25.5,-28.0,-22.9,0.3,268.0,32.8,1020.6
2021-04-07,-24.0,-27.1,-20.9,0.0,210.0,9.0,1025.7
2021-04-08,-22.1,-24.8,-19.4,0.0,91.0,6.9,1020.5
2021-04-09,-23.3,-25.8,-20.9,0.0,315.0,10.2,1026.6
2021-04-10,-26.1,-28.9,-23.2,0.0,274.0,7.3,1034.0
2021-04-11,-24.0,-26.5,-21.6,0.0,153.0,9.8,1030.9
2021-04-12,-20.6,-24.4,-16.7,0.0,125.0,24.0,1023.2
2021-04-13,-16.8,-22.5,-10.9,0.0,95.0,31.1,1021.9
2021-04-14,-9.9,-12.5,-7.1,0.0,123.0,18.3,1024.4
2021-04-15,-9.4,-10.5,-8.4,3.4,68.0,22.3,1023.2
2021-04-16,-9.2,-12.1,-6.4,0.3,241.0,8.6,1032.3
2021-04-17,-6.9,-8.9,-4.3,0.0,252.0,9.5,1034.7
2021-04-18,-6.3,-8.8,-2.8,0.0,255.0,15.2,1036.4
2021-04-19,-3.1,-5.4,-1.4,0.0,238.0,20.0,1024.2
2021-04-20,-7.0,-10.1,-5.8,0.3,296.0,32.8,1018.7
2021-04-21,-11.5,-12.1,-10.4,2.4,295.0,48.1,1020.0
2021-04-22,-12.4,-13.2,-11.6,0.3,315.0,31.6,1025.0
2021-04-23,-13.0,-14.2,-12.2,0.0,320.0,12.4,1026.7
2021-04-24,-13.3,-15.3,-11.5,0.0,125.0,8.3,1019.9
2021-04-25,-11.8,-13.1,-10.6,0.0,49.0,18.8,1015.7
2021-04-26,-13.6,-16.5,-10.7,0.0,68.0,19.9,1029.2
2021-04-27,-11.5,-16.4,-6.5,1.1,324.0,16.3,1023.1
2021-04-28,-12.1,-15.1,-9.1,0.0,97.0,20.3,1021.9
2021-04-29,-11.6,-14.9,-8.3,0.0,101.0,31.6,1014.7
2021-04-30,-10.9,-13.2,-8.6,0.0,84.0,45.5,1007.8
2021-05-01,-11.0,-12.4,-9.5,0.0,80.0,25.3,1015.4
2021-05-02,-10.8,-12.8,-8.9,0.0,95.0,14.2,1024.6
2021-05-03,-9.2,-10.9,-7.4,2.6,84.0,30.9,1023.2
2021-05-04,-7.5,-9.2,-5.8,3.0,108.0,15.3,1020.7
2021-05-05,-6.0,-7.6,-4.4,0.0,144.0,6.5,1026.5
2021-05-06,-4.6,-6.3,-2.9,0.0,151.0,8.5,1024.1
2021-05-07,-6.4,-7.1,-5.7,1.4,73.0,45.8,1023.2
2021-05-08,-5.3,-6.2,-4.4,0.8,64.0,41.4,1018.7
2021-05-09,-5.7,-7.9,-3.5,2.8,16.0,17.8,1020.8
2021-05-10,-5.7,-8.2,-3.1,0.0,354.0,6.0,1026.5
2021-05-11,-6.1,-8.6,-3.6,0.0,101.0,17.9,1024.4
2021-05-12,-11.5,-14.5,-8.5,0.0,65.0,24.8,1028.4
2021-05-13,-12.6,-16.1,-9.2,0.0,87.0,31.4,1035.3
2021-05-14,-9.5,-12.6,-6.4,0.0,92.0,34.7,1028.5
2021-05-15,-7.3,-10.7,-4.0,0.0,95.0,35.2,1021.5
2021-05-16,-7.1,-10.5,-3.7,0.0,91.0,35.2,1019.5
2021-05-17,-6.0,-8.8,-3.1,0.0,84.0,32.7,1021.1
2021-05-18,-7.2,-10.3,-4.2,0.0,95.0,35.5,1023.9
2021-05-19,-5.4,-8.9,-1.8,0.0,66.0,18.0,1026.6
2021-05-20,-3.7,-7.0,-0.4,0.0,52.0,9.8,1024.1
2021-05-21,-3.9,-7.1,-0.6,0.0,86.0,35.1,1020.8
2021-05-22,-2.7,-4.8,-0.6,0.0,77.0,51.4,1011.5
2021-05-23,-4.5,-6.7,-2.3,0.0,74.0,38.7,1019.5
2021-05-24,-4.6,-7.8,-1.4,0.0,88.0,15.4,1029.9
2021-05-25,-4.1,-7.2,-1.0,0.0,324.0,8.9,1026.0
2021-05-26,-2.5,-4.3,-0.7,0.5,48.0,11.4,1016.1
2021-05-27,-3.7,-5.5,-1.9,0.0,316.0,7.8,1010.2
2021-05-28,-4.0,-6.5,-1.6,1.3,13.0,13.3,1013.2
2021-05-29,-2.1,-3.7,-0.4,0.7,345.0,12.7,1014.8
2021-05-30,-0.7,-3.9,2.4,0.2,220.0,19.3,1013.2
2021-05-31,-0.7,-3.5,2.1,0.0,255.0,27.4,1007.1
2021-06-01,-2.7,-5.1,-0.4,0.0,325.0,9.7,1009.7
2021-06-02,-1.8,-4.0,0.3,0.0,52.0,15.2,1010.3
2021-06-03,-0.2,-1.3,0.9,0.2,85.0,39.8,1004.8
2021-06-04,-0.9,-1.2,-0.5,0.5,82.0,53.4,1002.4
2021-06-05,-1.8,-2.7,-1.0,0.0,68.0,35.7,1008.3
2021-06-06,-2.0,-2.7,-1.3,0.0,72.0,30.3,1017.7
2021-06-07,-1.3,-2.7,0.1,0.0,80.0,33.6,1021.7
2021-06-08,0.3,-1.9,2.4,0.0,97.0,34.4,1018.4
2021-06-09,2.9,-0.1,5.8,0.0,101.0,34.3,1012.8
2021-06-10,6.3,2.4,10.3,0.0,103.0,23.4,1009.7
2021-06-11,9.1,1.2,17.1,0.0,23.0,12.0,1012.1
2021-06-12,1.8,0.5,3.0,0.4,58.0,29.3,1011.8
2021-06-13,1.4,0.3,2.5,2.7,67.0,32.9,1007.6
2021-06-14,0.4,-0.6,1.4,2.7,324.0,12.8,1012.4
2021-06-15,1.0,-1.1,3.2,0.0,107.0,19.0,1019.0
2021-06-16,10.5,2.2,18.9,0.0,150.0,15.5,1015.2
2021-06-17,1.3,-1.5,4.1,0.0,301.0,22.5,1017.8
2021-06-18,-0.2,-1.7,1.4,0.0,353.0,12.0,1020.8
2021-06-19,2.8,0.4,5.2,0.0,93.0,22.0,1021.4
2021-06-20,4.8,2.7,6.8,0.0,99.0,25.0,1014.3
2021-06-21,6.0,-0.3,12.2,1.1,276.0,21.8,1005.7
2021-06-22,0.6,-0.6,1.7,0.4,304.0,25.9,1004.0
2021-06-23,0.6,-1.5,2.7,0.0,238.0,13.2,1005.9
2021-06-24,3.7,2.0,5.5,0.0,92.0,30.8,999.9
2021-06-25,9.1,0.7,17.5,0.1,129.0,35.0,998.3
2021-06-26,1.1,-0.8,3.0,0.1,305.0,24.5,1016.9
2021-06-27,6.1,0.1,12.0,2.0,186.0,16.8,1013.7
2021-06-28,12.7,7.5,18.0,0.0,200.0,16.0,1010.7
2021-06-29,8.5,5.7,11.4,0.0,51.0,10.3,1005.9
2021-06-30,4.8,2.5,7.0,0.4,277.0,15.4,1011.9
2021-07-01,1.1,-0.3,2.5,2.6,3.0,9.1,1018.7
2021-07-02,-0.8,-1.9,0.4,0.6,356.0,8.5,1022.7
2021-07-03,1.8,-2.3,5.8,0.0,73.0,28.3,1022.3
2021-07-04,4.6,1.9,7.3,1.1,82.0,32.9,1018.7
2021-07-05,4.8,2.2,7.4,0.6,265.0,11.2,1017.3
2021-07-06,3.8,0.6,7.0,0.1,86.0,18.1,1010.2
2021-07-07,9.3,4.5,14.1,0.4,78.0,19.0,999.7
2021-07-08,6.1,1.8,10.5,0.3,301.0,19.4,1002.0
2021-07-09,9.0,4.6,13.4,4.0,101.0,16.4,1004.3
2021-07-10,6.6,2.6,10.6,0.0,271.0,10.8,1006.4
2021-07-11,7.9,1.2,14.7,0.0,229.0,25.4,1006.5
2021-07-12,5.5,1.4,9.6,0.0,244.0,19.1,1011.3
2021-07-13,5.5,1.4,9.6,1.2,278.0,29.3,1002.7
2021-07-14,0.9,0.2,1.6,0.6,296.0,38.9,1004.7
2021-07-15,0.5,-0.3,1.2,0.9,297.0,35.6,1012.5
2021-07-16,2.9,-1.3,7.1,0.0,284.0,20.1,1015.3
2021-07-17,10.7,4.3,17.1,0.0,192.0,17.7,1013.8
2021-07-18,10.0,3.0,16.9,0.6,248.0,26.2,1013.1
2021-07-19,8.9,3.9,13.9,0.2,243.0,18.8,1019.2
2021-07-20,15.3,9.3,21.4,0.0,169.0,16.2,1013.0
2021-07-21,16.5,10.1,22.9,0.0,140.0,17.9,1002.8
2021-07-22,8.1,5.2,11.0,0.1,72.0,42.1,1001.8
2021-07-23,5.1,4.3,6.0,0.0,57.0,21.3,1013.7
2021-07-24,5.6,3.8,7.3,0.0,72.0,12.5,1015.0
2021-07-25,5.8,3.9,7.8,0.3,64.0,16.8,1009.4
2021-07-26,4.7,3.3,6.2,0.4,322.0,12.0,1009.3
2021-07-27,2.6,1.0,4.1,0.0,7.0,8.7,1009.8
2021-07-28,5.2,3.6,6.8,0.0,45.0,8.8,1009.5
2021-07-29,5.4,4.2,6.7,5.3,96.0,22.7,1010.4
2021-07-30,9.7,4.8,14.6,0.5,120.0,14.6,1010.9
2021-07-31,9.9,6.7,13.1,0.3,59.0,12.6,1011.5
2021-08-01,13.6,6.7,20.6,0.0,153.0,27.0,1010.4
2021-08-02,3.9,0.6,7.3,1.1,294.0,31.6,1013.9
2021-08-03,1.8,-0.9,4.4,0.0,299.0,30.2,1022.3
2021-08-04,1.4,0.2,2.5,0.1,304.0,13.1,1020.8
2021-08-05,5.4,1.9,8.8,1.1,104.0,13.0,1008.3
2021-08-06,1.7,0.3,3.2,0.0,296.0,32.5,1006.1
2021-08-07,0.2,-0.2,0.6,1.1,298.0,27.7,1010.3
2021-08-08,2.0,-0.6,4.6,0.2,259.0,17.0,1006.1
2021-08-09,2.5,0.2,4.8,0.7,305.0,13.3,998.2
2021-08-10,1.7,-0.4,3.8,0.0,51.0,11.6,1001.7
