time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,,18.4,21.0,2.4,,,
2021-01-02,,16.7,22.5,5.8,,,
2021-01-03,21.1,18.7,27.8,0.0,78.0,8.1,1008.8
2021-01-04,22.2,16.8,29.3,0.0,313.0,6.4,1006.8
2021-01-05,23.2,15.6,30.7,25.4,279.0,9.0,1007.6
2021-01-06,20.2,19.1,25.2,0.0,164.0,12.4,1013.6
2021-01-07,19.2,18.6,24.6,0.2,160.0,15.2,1019.3
2021-01-08,18.0,14.8,24.5,0.4,160.0,14.4,1021.8
2021-01-09,18.6,16.4,25.4,4.6,141.0,10.5,1021.1
2021-01-10,20.1,13.3,27.6,1.6,128.0,8.7,1019.7
2021-01-11,20.8,13.3,28.8,0.0,110.0,8.7,1017.4
2021-01-12,22.4,13.9,32.1,0.0,105.0,6.9,1014.4
2021-01-13,22.2,15.8,30.0,0.0,114.0,10.2,1015.6
2021-01-14,24.4,16.4,35.6,0.0,321.0,8.1,1010.2
2021-01-15,25.2,20.8,33.4,0.0,273.0,9.9,1005.1
2021-01-16,20.6,11.3,29.2,0.0,244.0,11.8,1008.5
2021-01-17,19.6,9.4,28.4,0.0,191.0,8.2,1013.4
2021-01-18,22.6,16.4,31.8,0.0,151.0,6.4,1012.4
2021-01-19,19.6,13.4,27.4,0.0,179.0,13.5,1015.6
2021-01-20,18.8,17.1,21.7,0.0,135.0,10.5,1021.1
2021-01-21,20.2,9.8,27.8,0.2,106.0,7.1,1017.1
2021-01-22,23.4,12.4,34.5,0.0,307.0,9.6,1011.3
2021-01-23,26.6,16.0,36.0,0.0,347.0,8.7,1011.6
2021-01-24,27.3,16.0,36.9,0.0,59.0,6.9,1011.6
2021-01-25,25.9,14.0,37.1,0.0,70.0,7.8,1007.4
2021-01-26,28.1,16.3,38.1,0.0,343.0,12.0,1003.2
2021-01-27,23.8,24.3,26.1,0.0,181.0,15.7,1010.1
2021-01-28,19.8,19.9,22.5,0.4,151.0,19.4,1017.5
2021-01-29,20.0,18.3,23.5,5.6,107.0,14.2,1015.5
2021-01-30,22.1,19.8,29.0,4.8,67.0,7.0,1011.7
2021-01-31,22.2,17.5,28.6,7.4,172.0,11.0,1013.9
2021-02-01,23.1,19.7,29.6,0.0,102.0,10.3,1012.9
2021-02-02,20.5,17.8,25.8,14.6,167.0,9.7,1009.6
2021-02-03,19.3,14.1,25.1,0.0,141.0,9.6,1012.9
2021-02-04,22.2,14.9,31.1,0.0,95.0,8.5,1011.5
2021-02-05,23.7,17.9,32.2,0.0,86.0,10.7,1009.2
2021-02-06,21.6,18.9,25.4,0.0,44.0,7.7,1005.0
2021-02-07,22.6,20.2,30.4,3.2,223.0,8.9,1006.1
2021-02-08,20.2,17.3,26.2,0.0,147.0,12.0,1012.8
2021-02-09,19.8,14.2,26.5,0.0,142.0,10.6,1015.6
2021-02-10,18.7,13.1,24.7,0.8,146.0,9.7,1015.7
2021-02-11,20.4,11.1,28.2,0.6,86.0,7.3,1013.2
2021-02-12,23.2,12.8,33.4,0.0,350.0,9.7,1008.3
2021-02-13,20.8,19.0,24.9,5.0,256.0,10.9,1008.3
2021-02-14,19.5,14.2,25.6,21.8,170.0,13.9,1014.5
2021-02-15,18.6,14.0,24.4,0.0,188.0,15.8,1017.5
2021-02-16,20.1,18.0,26.2,15.4,142.0,14.1,1020.1
2021-02-17,19.5,16.9,25.0,3.2,137.0,14.1,1022.4
2021-02-18,20.0,17.4,25.4,0.0,132.0,14.1,1022.6
2021-02-19,20.9,18.8,26.9,14.6,133.0,10.4,1019.1
2021-02-20,21.6,18.5,26.9,1.0,139.0,8.0,1014.8
2021-02-21,22.1,17.5,28.3,1.6,176.0,11.4,1009.5
2021-02-22,22.8,16.8,31.5,0.2,203.0,8.5,1006.3
2021-02-23,18.7,19.7,22.0,0.0,171.0,13.3,1012.4
2021-02-24,18.0,16.2,22.0,0.0,153.0,11.1,1016.3
2021-02-25,20.5,13.8,24.1,2.8,35.0,7.6,1011.4
2021-02-26,22.8,13.7,30.9,0.0,279.0,10.6,1010.0
2021-02-27,21.1,19.6,24.1,0.6,113.0,10.2,1012.8
2021-02-28,22.9,20.2,29.5,0.0,166.0,6.0,1010.9
2021-03-01,24.1,18.7,32.5,0.0,311.0,6.8,1009.1
2021-03-02,20.3,17.1,28.0,0.0,179.0,10.4,1010.8
2021-03-03,17.7,18.2,23.3,0.0,160.0,10.9,1014.6
2021-03-04,19.3,14.0,27.8,0.0,208.0,6.7,1012.4
2021-03-05,18.6,10.7,26.4,0.2,202.0,10.4,1007.9
2021-03-06,18.6,14.6,24.5,0.0,147.0,9.0,1012.0
2021-03-07,19.9,10.5,27.4,0.0,108.0,7.7,1013.6
2021-03-08,20.8,14.5,31.7,0.0,302.0,10.5,1011.7
2021-03-09,22.4,15.0,31.5,1.2,296.0,13.2,1012.7
2021-03-10,20.9,20.6,26.7,0.0,118.0,12.1,1019.4
2021-03-11,21.9,19.9,27.7,0.0,86.0,11.2,1020.0
2021-03-12,20.8,19.2,26.8,0.0,71.0,5.8,1017.6
2021-03-13,23.2,16.6,32.7,9.4,344.0,7.5,1013.3
2021-03-14,19.3,19.5,21.7,2.4,209.0,10.8,1013.5
2021-03-15,16.8,14.8,23.9,38.4,176.0,11.5,1021.1
2021-03-16,17.7,11.6,21.2,0.2,161.0,11.4,1023.6
2021-03-17,18.0,16.7,22.7,8.2,129.0,14.8,1023.5
2021-03-18,18.2,17.2,20.5,15.6,123.0,13.7,1022.6
2021-03-19,18.7,18.2,21.3,26.6,131.0,15.0,1023.0
2021-03-20,19.4,18.7,23.6,86.8,120.0,22.0,1019.2
2021-03-21,18.5,19.4,19.9,8.4,106.0,18.8,1021.7
2021-03-22,18.1,17.1,19.9,35.2,94.0,14.6,1019.9
2021-03-23,18.3,17.5,22.6,31.8,71.0,12.6,1006.4
2021-03-24,21.0,18.0,27.9,4.6,296.0,16.7,1000.7
2021-03-25,20.1,15.0,27.4,0.2,278.0,14.1,1005.0
2021-03-26,17.9,12.2,26.1,6.8,277.0,6.4,1012.7
2021-03-27,19.4,14.8,27.2,0.0,274.0,7.7,1012.9
2021-03-28,18.2,10.4,26.8,0.0,225.0,7.2,1016.1
2021-03-29,17.9,14.5,25.5,0.0,155.0,6.8,1019.7
2021-03-30,17.1,13.9,23.2,3.8,187.0,10.0,1022.5
2021-03-31,16.5,11.8,23.0,0.0,188.0,10.1,1023.2
2021-04-01,17.6,13.0,23.5,0.6,171.0,8.6,1024.0
2021-04-02,18.3,11.0,25.2,0.2,143.0,7.5,1025.6
2021-04-03,19.1,11.6,25.5,0.0,127.0,8.4,1023.6
2021-04-04,18.9,11.3,26.0,0.0,78.0,5.9,1019.0
2021-04-05,19.8,13.1,26.6,0.2,156.0,7.6,1018.1
2021-04-06,19.8,15.0,25.5,0.0,147.0,9.9,1020.1
2021-04-07,18.9,16.9,24.0,10.2,149.0,8.9,1017.2
2021-04-08,18.7,14.1,24.7,10.2,160.0,5.6,1011.9
2021-04-09,19.6,12.5,28.1,0.0,285.0,10.4,1005.9
2021-04-10,17.4,13.4,25.4,0.6,260.0,10.5,1006.7
2021-04-11,13.2,10.5,19.3,0.0,276.0,16.2,1011.3
2021-04-12,12.4,7.2,20.1,0.0,248.0,7.4,1018.8
2021-04-13,13.6,3.6,22.4,0.0,5.0,5.6,1020.2
2021-04-14,16.9,4.9,27.3,0.0,305.0,12.3,1015.6
2021-04-15,17.3,8.3,26.9,0.0,273.0,9.2,1014.7
2021-04-16,15.5,9.5,22.2,0.0,185.0,10.4,1019.7
2021-04-17,14.2,13.4,15.0,3.8,161.0,4.7,1022.7
2021-04-18,13.7,7.6,21.1,5.8,209.0,5.8,1020.7
2021-04-19,14.8,7.1,23.1,0.2,294.0,6.8,1017.3
2021-04-20,14.2,4.1,23.0,0.0,294.0,10.5,1014.3
2021-04-21,13.9,8.2,20.7,0.0,243.0,9.6,1013.1
2021-04-22,12.2,2.5,20.9,0.0,278.0,10.5,1013.9
2021-04-23,12.3,3.0,21.6,0.0,296.0,8.5,1017.8
2021-04-24,13.2,4.2,21.8,0.0,307.0,6.6,1021.1
2021-04-25,14.0,4.8,22.5,0.0,201.0,5.8,1022.9
2021-04-26,14.6,6.1,22.5,0.0,153.0,6.1,1024.3
2021-04-27,15.1,7.0,22.6,0.0,150.0,6.3,1025.6
2021-04-28,15.5,7.7,22.2,0.0,143.0,7.3,1024.8
2021-04-29,15.7,6.1,22.8,0.0,132.0,5.7,1024.0
2021-04-30,15.9,7.4,23.5,0.2,139.0,7.4,1027.3
2021-05-01,16.4,9.2,23.8,0.0,119.0,8.5,1028.5
2021-05-02,16.4,8.5,23.3,0.0,98.0,7.1,1026.2
2021-05-03,16.5,9.0,25.2,0.2,24.0,5.0,1020.6
2021-05-04,15.0,10.4,18.9,0.0,246.0,5.9,1016.3
2021-05-05,14.2,10.3,20.1,1.0,204.0,9.6,1014.2
2021-05-06,16.8,9.8,21.8,0.4,183.0,15.3,1010.2
2021-05-07,17.7,16.0,23.6,2.4,217.0,10.7,1010.5
2021-05-08,17.6,11.3,24.8,5.6,294.0,7.8,1013.6
