time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-6.1,-12.7,0.6,,295.0,5.4,
2021-01-02,-3.2,-12.1,5.6,0.0,185.0,9.4,1014.6
2021-01-03,-2.5,-8.2,5.6,0.0,254.0,6.1,1010.2
2021-01-04,1.6,-3.2,6.1,0.1,274.0,13.3,1016.0
2021-01-05,0.1,-4.9,3.3,0.6,134.0,13.0,1013.3
2021-01-06,-0.2,-2.1,0.6,1.5,337.0,12.2,1022.2
2021-01-07,0.1,0.0,0.6,0.0,123.0,11.2,1027.2
2021-01-08,0.3,0.0,1.7,0.0,97.0,6.8,1028.6
2021-01-09,-0.1,-0.5,0.6,0.0,2.0,3.2,1031.1
2021-01-10,-0.3,-3.8,1.7,0.0,241.0,10.8,1029.0
2021-01-11,0.4,-3.8,6.7,0.0,270.0,14.0,1020.1
2021-01-12,1.4,-3.2,10.0,0.0,257.0,10.8,1016.6
2021-01-13,4.3,-2.7,11.1,0.8,295.0,9.7,1005.9
2021-01-14,2.8,-0.5,6.1,0.3,316.0,51.8,1009.6
2021-01-15,-2.7,-7.7,-0.5,0.3,332.0,38.2,1017.7
2021-01-16,-2.9,-7.7,2.8,0.0,299.0,14.4,1017.0
2021-01-17,-0.4,-4.9,4.4,0.0,317.0,15.1,1015.2
2021-01-18,-1.4,-3.8,1.1,1.3,347.0,11.5,1017.0
2021-01-19,-3.0,-8.2,0.6,0.0,297.0,21.6,1027.0
2021-01-20,2.2,-5.5,9.4,0.0,267.0,23.0,1012.7
2021-01-21,-1.5,-5.5,3.9,0.0,313.0,18.4,1017.7
2021-01-22,-4.3,-7.7,0.0,0.0,107.0,5.4,1024.6
2021-01-23,-4.0,-6.0,-3.2,0.5,160.0,10.4,1018.3
2021-01-24,-6.8,-17.1,-2.7,0.0,81.0,12.2,1020.5
2021-01-25,-7.4,-9.3,-4.3,1.9,81.0,13.3,1018.3
2021-01-26,-11.2,-16.0,-7.1,0.2,44.0,5.8,1024.9
2021-01-27,-10.1,-12.7,-7.1,0.0,129.0,14.8,1030.6
2021-01-28,-7.7,-12.7,-1.0,0.0,145.0,13.7,1025.7
2021-01-29,-5.0,-9.3,-1.6,0.0,124.0,17.3,1014.9
2021-01-30,-2.2,-3.2,-1.0,0.2,355.0,15.5,1012.4
2021-01-31,-2.9,-6.0,0.0,0.0,328.0,11.9,1028.6
2021-02-01,-2.6,-3.8,-1.0,0.0,127.0,14.0,1027.1
2021-02-02,-2.4,-3.2,-1.0,0.0,141.0,12.6,1019.2
2021-02-03,-0.2,-3.8,7.8,0.8,118.0,18.4,1006.8
2021-02-04,-6.5,-10.5,-1.6,0.0,323.0,30.6,1013.5
2021-02-05,-9.3,-13.8,-4.9,0.0,314.0,19.4,1014.9
2021-02-06,-15.9,-19.9,-13.8,0.5,346.0,15.5,1026.3
2021-02-07,-18.3,-21.0,-16.6,1.2,88.0,12.2,1027.5
2021-02-08,-18.8,-22.7,-13.8,0.0,89.0,6.1,1029.4
2021-02-09,-15.9,-19.9,-13.2,0.0,291.0,9.4,1031.7
2021-02-10,-15.0,-18.2,-12.7,0.0,337.0,8.6,1034.6
2021-02-11,-17.2,-20.5,-14.9,1.4,41.0,9.7,1038.2
2021-02-12,-20.7,-23.8,-18.2,0.3,283.0,13.0,1039.5
2021-02-13,-19.8,-24.3,-17.1,0.4,322.0,13.0,1037.9
2021-02-14,-25.3,-28.8,-20.5,0.0,356.0,6.1,1044.5
2021-02-15,-24.8,-30.5,-17.7,0.0,123.0,11.2,1035.5
2021-02-16,-21.0,-27.1,-14.9,0.0,133.0,21.2,1024.3
2021-02-17,-13.3,-18.8,-8.8,0.0,338.0,8.3,1024.8
2021-02-18,-11.3,-17.1,-5.5,0.0,310.0,8.6,1030.7
2021-02-19,-11.0,-18.8,-2.7,0.0,181.0,9.7,1025.7
2021-02-20,-6.6,-14.3,0.6,0.3,114.0,10.8,1017.7
2021-02-21,-0.5,-6.6,7.2,0.1,322.0,12.2,1014.8
2021-02-22,6.3,-0.5,16.1,0.0,276.0,24.1,1008.1
2021-02-23,5.1,-0.5,12.2,0.0,283.0,21.2,1007.1
2021-02-24,0.8,-2.7,5.6,0.5,306.0,16.9,1023.3
2021-02-25,0.0,-7.7,8.3,0.0,227.0,18.7,1025.0
2021-02-26,4.3,-1.6,10.6,0.0,254.0,18.4,1006.7
2021-02-27,1.3,-4.9,8.9,0.9,44.0,9.4,1010.9
2021-02-28,-4.7,-8.2,-1.0,4.3,303.0,16.6,1020.4
2021-03-01,-3.3,-8.2,1.7,0.0,128.0,13.3,1026.1
2021-03-02,6.1,0.0,14.4,0.0,246.0,15.5,1013.2
2021-03-03,5.7,-3.2,16.7,0.0,332.0,3.2,1015.5
2021-03-04,5.7,-4.3,17.2,0.0,67.0,7.6,1019.2
2021-03-05,5.0,-3.2,16.1,0.0,91.0,7.2,1024.7
2021-03-06,7.2,-1.6,19.4,0.0,124.0,20.5,1018.4
2021-03-07,12.4,3.9,19.4,0.0,305.0,20.2,1014.6
2021-03-08,9.7,0.0,19.4,0.0,115.0,20.2,1016.8
2021-03-09,12.4,5.6,21.7,0.0,253.0,18.4,1007.4
2021-03-10,1.1,-1.0,6.1,0.5,349.0,26.3,1010.5
2021-03-11,1.0,-3.2,7.2,0.1,294.0,13.0,1022.4
2021-03-12,3.5,-4.9,13.9,0.0,117.0,7.9,1029.5
2021-03-13,5.0,-2.7,12.8,0.0,102.0,9.4,1027.3
2021-03-14,,0.0,6.1,8.4,,24.8,
2021-03-15,-0.2,-1.6,1.1,1.0,103.0,13.3,1015.5
2021-03-16,0.2,-0.5,1.1,0.3,14.0,3.2,1015.5
2021-03-17,1.0,-0.5,3.3,0.0,350.0,9.4,1021.7
