time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-14.7,-23.8,-5.5,,,,1027.5
2021-01-02,-8.5,-11.2,-5.7,2.0,309.0,4.6,1015.8
2021-01-03,-6.0,-8.0,-3.9,0.0,196.0,6.2,1015.7
2021-01-04,-7.0,-8.2,-5.8,0.0,137.0,5.2,1016.1
2021-01-05,-7.6,-8.6,-6.6,0.0,59.0,4.9,1019.5
2021-01-06,-7.5,-8.7,-6.2,0.0,349.0,8.9,1022.9
2021-01-07,-9.5,-13.1,-5.8,0.0,346.0,10.4,1025.2
2021-01-08,-14.4,-18.0,-10.7,0.0,334.0,10.0,1023.3
2021-01-09,-11.5,-17.5,-7.6,0.0,334.0,8.5,1020.9
2021-01-10,-10.8,-15.4,-6.2,0.0,274.0,6.9,1021.7
2021-01-11,-9.1,-10.5,-7.7,0.2,234.0,6.0,1018.9
2021-01-12,-6.2,-8.9,-2.1,0.5,221.0,5.8,1013.2
2021-01-13,-3.3,-5.0,-1.5,2.1,197.0,8.6,1006.6
2021-01-14,-3.3,-5.2,-1.4,0.6,287.0,3.0,1008.8
2021-01-15,-3.9,-5.5,-2.2,0.0,60.0,4.8,1016.8
2021-01-16,-4.5,-6.2,-2.8,6.1,73.0,9.5,1005.7
2021-01-17,-6.9,-11.9,-1.9,2.2,350.0,9.2,990.7
2021-01-18,-16.9,-21.8,-11.9,0.3,318.0,12.3,1002.6
2021-01-19,-20.2,-25.3,-15.0,0.0,336.0,5.5,1015.3
2021-01-20,-18.5,-24.0,-12.9,0.5,343.0,4.5,1014.4
2021-01-21,-21.2,-28.0,-14.3,1.0,104.0,10.1,1004.5
2021-01-22,-15.4,-21.5,-9.3,2.0,32.0,6.4,1004.0
2021-01-23,-19.0,-25.3,-12.7,0.0,327.0,11.0,1015.4
2021-01-24,-14.9,-17.6,-12.2,0.3,322.0,14.2,1017.7
2021-01-25,-14.5,-17.4,-10.8,0.0,319.0,7.0,1019.1
2021-01-26,-11.0,-16.3,-5.7,0.0,343.0,5.1,1019.2
2021-01-27,-6.6,-9.2,-3.4,0.4,336.0,4.9,1018.5
2021-01-28,-14.8,-20.4,-9.1,1.5,316.0,12.8,1020.3
2021-01-29,-17.5,-20.4,-14.6,0.0,322.0,8.3,1021.7
2021-01-30,-18.7,-20.6,-15.9,0.0,325.0,7.8,1027.0
2021-01-31,-18.4,-24.4,-12.3,0.0,341.0,5.3,1030.3
2021-02-01,-14.3,-24.1,-4.5,0.0,44.0,4.5,1028.6
2021-02-02,-9.0,-16.5,-1.4,0.0,37.0,7.2,1021.5
2021-02-03,-6.0,-10.6,-1.4,0.0,358.0,10.8,1007.6
2021-02-04,-8.0,-16.2,0.2,0.0,351.0,7.2,1009.3
2021-02-05,-12.9,-21.9,-3.9,1.0,88.0,9.1,1001.8
2021-02-06,-11.9,-18.8,-4.9,2.6,260.0,8.8,1002.1
2021-02-07,-16.1,-24.4,-7.7,2.1,142.0,7.1,1013.0
2021-02-08,-21.0,-30.2,-11.8,0.0,283.0,8.8,1023.8
2021-02-09,-20.3,-31.3,-9.3,0.6,102.0,5.8,1026.0
2021-02-10,-19.9,-28.7,-11.0,0.2,315.0,6.8,1024.2
2021-02-11,-24.4,-31.7,-17.1,1.7,300.0,17.7,1025.3
2021-02-12,-16.5,-20.0,-12.9,1.4,306.0,12.7,1027.7
2021-02-13,-17.2,-20.9,-13.4,0.0,324.0,7.1,1030.0
2021-02-14,-14.3,-20.2,-8.4,1.1,327.0,3.8,1025.6
2021-02-15,-14.3,-21.0,-7.6,0.0,293.0,6.1,1025.3
2021-02-16,-14.7,-18.9,-10.4,5.0,31.0,10.9,1013.6
2021-02-17,-19.5,-25.8,-13.2,0.4,279.0,13.1,1021.3
2021-02-18,-20.0,-30.1,-9.9,0.0,283.0,5.9,1032.2
2021-02-19,-19.8,-32.5,-7.1,0.0,97.0,5.3,1027.2
2021-02-20,-14.9,-24.4,-5.3,0.0,347.0,8.4,1020.8
2021-02-21,-16.8,-30.1,-3.4,0.0,257.0,9.2,1027.1
2021-02-22,-12.7,-24.2,-1.1,0.9,157.0,9.0,1010.1
2021-02-23,-4.7,-8.3,-1.0,2.4,172.0,7.7,995.5
2021-02-24,-7.8,-14.9,-0.6,0.2,315.0,9.5,1006.5
2021-02-25,-20.1,-27.1,-13.0,0.0,320.0,10.9,1016.6
2021-02-26,-17.0,-32.0,-3.9,0.0,265.0,7.6,1023.7
2021-02-27,-4.6,-8.1,-1.1,3.1,242.0,8.3,1013.5
2021-02-28,-9.2,-16.8,-1.5,0.8,325.0,7.7,1018.8
2021-03-01,-11.9,-24.6,0.8,10.9,317.0,15.9,999.0
2021-03-02,-24.0,-30.4,-17.6,0.0,320.0,13.8,1013.3
2021-03-03,-21.9,-34.3,-10.9,0.0,326.0,10.6,1012.8
2021-03-04,-18.1,-23.3,-12.9,1.3,315.0,19.4,1009.6
2021-03-05,-16.7,-20.2,-13.1,1.4,317.0,12.8,1006.8
2021-03-06,-14.1,-16.3,-11.8,0.4,312.0,13.6,1011.9
2021-03-07,-17.1,-24.2,-10.0,0.0,317.0,7.8,1026.3
2021-03-08,-15.2,-29.0,-1.4,1.3,244.0,4.9,1025.8
2021-03-09,-6.1,-13.1,-1.1,2.8,299.0,7.4,1023.2
2021-03-10,-4.9,-16.5,6.8,2.3,204.0,11.8,1020.8
2021-03-11,5.3,0.9,9.7,3.8,227.0,10.2,1003.2
2021-03-12,-4.9,-13.4,3.7,1.8,304.0,18.2,1006.0
2021-03-13,-13.5,-19.3,-7.7,1.1,297.0,10.8,1018.0
2021-03-14,-16.6,-23.0,-10.1,,,,
2021-03-15,-19.5,-26.1,-12.8,0.0,309.0,15.9,1028.6
2021-03-16,-9.0,-21.2,3.3,0.0,207.0,8.3,1018.1
2021-03-17,-1.4,-10.6,7.8,0.5,250.0,8.8,1013.2
2021-03-18,-9.2,-20.2,1.8,2.5,304.0,18.6,1017.6
2021-03-19,-13.1,-25.5,-0.7,0.0,281.0,11.1,1026.4
2021-03-20,-0.6,-11.8,10.7,0.0,259.0,13.4,1021.6
2021-03-21,4.0,-5.4,13.4,0.0,240.0,15.6,1023.8
2021-03-22,4.9,-5.1,14.9,0.0,233.0,15.3,1019.0
2021-03-23,6.2,0.4,11.9,0.0,285.0,7.9,1019.9
2021-03-24,6.9,-1.0,14.8,0.0,86.0,10.0,1017.4
2021-03-25,4.7,-1.2,10.5,4.8,210.0,15.3,1007.3
2021-03-26,-0.9,-5.0,3.3,0.0,10.0,11.8,1011.6
2021-03-27,-0.6,-6.6,5.4,0.0,92.0,9.0,1017.9
2021-03-28,-1.5,-2.5,-0.5,23.1,84.0,10.4,1005.4
2021-03-29,-9.2,-16.6,-1.7,6.6,333.0,14.6,1005.7
2021-03-30,-3.7,-17.9,10.6,0.1,165.0,9.0,1014.4
2021-03-31,-1.3,-8.1,5.6,8.2,278.0,7.6,1007.7
2021-04-01,-9.6,-11.7,-7.5,0.1,346.0,12.0,1020.8
2021-04-02,-9.0,-13.8,-4.2,0.9,345.0,12.4,1021.6
2021-04-03,-6.9,-17.3,3.9,0.0,302.0,6.7,1020.2
2021-04-04,0.1,-7.2,6.9,0.0,34.0,6.7,1020.1
2021-04-05,1.2,-4.8,7.2,0.0,351.0,10.5,1020.0
2021-04-06,3.3,-4.0,13.4,0.3,36.0,6.3,1017.7
2021-04-07,4.6,-3.0,14.6,0.0,116.0,7.8,1019.9
2021-04-08,7.3,-1.5,16.1,0.0,121.0,7.7,1019.9
2021-04-09,8.3,0.0,16.5,0.0,72.0,7.0,1018.3
2021-04-10,7.9,-1.7,17.4,0.5,77.0,8.9,1012.8
2021-04-11,8.0,0.9,15.1,1.9,80.0,11.1,1010.8
2021-04-12,9.5,2.7,16.3,0.0,74.0,9.5,1016.1
2021-04-13,7.7,-1.8,17.1,0.0,98.0,6.9,1019.6
2021-04-14,5.9,-2.8,16.9,0.0,112.0,8.7,1015.8
2021-04-15,6.5,-3.5,17.4,0.0,104.0,11.8,1009.1
2021-04-16,6.1,-1.4,13.5,0.0,101.0,13.8,1010.2
2021-04-17,4.6,-2.6,11.8,0.0,101.0,9.0,1010.5
2021-04-18,4.9,-0.8,10.5,0.0,22.0,6.6,1007.5
2021-04-19,6.2,-2.6,15.0,0.0,340.0,4.4,1006.8
2021-04-20,0.5,-6.6,7.5,4.9,198.0,12.9,1003.7
2021-04-21,-5.8,-8.2,-3.3,0.0,305.0,10.9,1010.2
2021-04-22,-2.9,-6.0,0.3,0.0,338.0,15.3,1001.9
2021-04-23,2.3,-4.2,10.6,0.0,312.0,18.1,999.6
2021-04-24,4.2,-4.4,12.8,0.0,311.0,12.4,1006.2
2021-04-25,5.9,-3.3,15.1,9.3,66.0,9.7,1005.5
2021-04-26,-2.1,-4.5,0.4,0.0,324.0,15.9,1013.3
2021-04-27,6.5,-1.6,14.6,0.0,338.0,9.4,1013.6
2021-04-28,7.8,-1.4,17.0,0.0,347.0,8.2,1012.4
2021-04-29,8.3,-2.7,19.2,0.0,48.0,5.2,1007.6
2021-04-30,8.0,-0.2,18.4,0.3,28.0,10.1,995.2
2021-05-01,2.6,-4.5,9.7,0.2,304.0,15.8,1004.1
2021-05-02,-1.6,-5.0,1.9,1.2,298.0,17.3,1002.5
2021-05-03,3.1,-3.5,9.6,0.0,329.0,9.5,1012.9
2021-05-04,4.4,-3.9,12.7,0.1,65.0,5.5,1012.1
2021-05-05,5.3,2.8,7.7,8.6,66.0,9.2,1005.5
2021-05-06,1.1,-3.8,6.0,0.6,325.0,12.3,1010.9
2021-05-07,4.1,-5.0,13.1,0.6,96.0,3.8,1014.3
2021-05-08,7.0,-2.9,15.7,0.0,71.0,7.1,1013.5
2021-05-09,7.1,-2.1,16.2,1.0,320.0,8.8,1010.6
2021-05-10,7.8,0.3,15.3,3.5,337.0,5.4,1010.0
2021-05-11,8.5,2.0,15.0,0.0,17.0,7.6,1011.0
2021-05-12,7.5,-1.0,15.9,0.0,347.0,8.3,1017.0
2021-05-13,7.5,-1.7,16.6,1.9,322.0,8.9,1018.6
2021-05-14,8.8,-2.1,19.7,0.0,25.0,4.5,1018.9
2021-05-15,10.3,-0.2,20.8,0.0,328.0,5.5,1018.2
2021-05-16,10.5,-0.6,20.5,0.5,328.0,3.6,1021.8
2021-05-17,15.2,4.9,25.4,2.4,243.0,11.0,1018.8
2021-05-18,11.1,5.3,17.0,0.7,333.0,8.2,1022.5
2021-05-19,16.8,4.6,29.0,0.0,200.0,6.5,1022.8
2021-05-20,17.9,11.5,24.2,2.7,271.0,8.7,1023.4
2021-05-21,18.3,14.4,22.2,6.5,274.0,8.6,1021.7
2021-05-22,14.4,9.5,19.2,4.1,311.0,10.6,1013.8
2021-05-23,5.4,-2.4,13.2,4.6,345.0,12.2,1017.8
2021-05-24,7.6,-2.6,17.7,0.0,304.0,6.3,1021.3
2021-05-25,10.3,2.9,17.7,2.0,270.0,10.7,1006.6
2021-05-26,13.5,2.1,24.8,9.4,283.0,14.5,999.3
2021-05-27,2.5,-0.2,5.4,0.2,319.0,17.0,1016.2
2021-05-28,4.4,-3.1,11.8,0.0,322.0,14.2,1020.4
2021-05-29,5.7,-4.4,15.7,0.0,10.0,4.1,1024.4
2021-05-30,8.8,-2.3,19.9,0.0,80.0,6.0,1026.1
2021-05-31,14.1,3.2,22.2,0.0,180.0,7.0,1019.3
2021-06-01,13.5,5.4,21.5,5.5,268.0,9.7,1014.2
2021-06-02,14.4,6.9,21.9,0.5,296.0,5.9,1016.0
2021-06-03,16.7,7.0,26.3,0.6,245.0,9.3,1007.1
2021-06-04,16.3,10.0,22.6,1.1,304.0,7.5,1004.2
2021-06-05,15.0,10.3,20.6,5.5,319.0,11.1,1001.7
2021-06-06,16.2,3.9,26.9,0.0,227.0,6.9,1009.5
2021-06-07,24.2,15.5,32.8,0.4,260.0,15.3,1003.3
2021-06-08,14.7,6.4,23.0,0.2,325.0,9.1,1011.9
2021-06-09,10.2,1.6,18.8,0.0,334.0,10.1,1018.5
2021-06-10,9.4,-0.4,19.1,0.0,350.0,6.5,1021.1
2021-06-11,12.2,3.2,21.2,0.0,1.0,5.5,1014.8
2021-06-12,11.8,0.8,22.8,0.0,338.0,8.0,1010.7
2021-06-13,13.1,0.5,25.6,0.0,30.0,3.8,1009.3
2021-06-14,14.7,6.5,23.5,2.9,112.0,4.2,1006.0
2021-06-15,13.3,7.7,18.9,0.0,332.0,13.3,1007.3
2021-06-16,8.5,6.1,10.9,8.3,326.0,11.8,1007.1
2021-06-17,14.8,7.7,23.2,0.7,303.0,9.9,1005.6
2021-06-18,17.3,10.8,24.8,2.9,219.0,12.8,1001.6
2021-06-19,15.7,14.2,18.6,12.9,263.0,8.5,997.7
2021-06-20,18.1,10.1,26.0,0.0,286.0,8.2,1002.6
2021-06-21,15.6,5.3,25.8,7.0,153.0,9.3,995.7
2021-06-22,8.2,4.3,12.6,0.0,314.0,10.2,1006.0
2021-06-23,10.7,5.0,17.4,0.1,267.0,8.7,1014.1
2021-06-24,17.9,9.7,26.1,0.0,215.0,18.0,1014.4
2021-06-25,17.6,16.2,21.0,21.6,217.0,12.8,1015.6
2021-06-26,17.5,15.9,19.0,5.6,205.0,9.5,1012.1
2021-06-27,17.5,14.4,20.6,14.6,317.0,3.7,1008.5
2021-06-28,19.2,12.0,26.3,0.0,343.0,4.5,1016.1
2021-06-29,19.8,12.5,27.0,1.0,291.0,9.0,1014.8
