time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-8.8,-12.7,-4.8,0.0,260.0,16.8,1026.2
2021-01-02,-7.5,-11.2,-3.8,5.7,226.0,7.9,1018.2
2021-01-03,-6.9,-9.4,-4.4,0.0,136.0,7.2,1021.1
2021-01-04,-6.3,-8.6,-4.1,0.0,115.0,5.3,1020.6
2021-01-05,-5.7,-9.9,-1.5,0.0,50.0,12.0,1020.0
2021-01-06,-5.7,-12.4,1.0,0.0,244.0,10.9,1012.6
2021-01-07,-2.4,-5.0,0.1,0.0,284.0,20.9,1011.1
2021-01-08,-4.3,-6.0,-2.7,0.5,283.0,21.6,1006.7
2021-01-09,-1.9,-4.6,0.7,0.0,276.0,13.8,1008.8
2021-01-10,-6.7,-9.6,-3.8,0.0,273.0,17.6,1017.0
2021-01-11,-8.2,-13.5,-3.0,0.2,255.0,11.2,1020.4
2021-01-12,-7.9,-13.0,-2.7,0.0,254.0,8.7,1016.0
2021-01-13,-4.9,-7.7,-2.2,0.0,239.0,3.8,1012.6
2021-01-14,-2.9,-4.7,-1.1,0.0,59.0,2.8,1011.8
2021-01-15,-2.9,-7.4,1.6,0.0,236.0,6.0,1018.4
2021-01-16,-5.3,-9.6,-1.0,1.7,103.0,19.4,1015.7
2021-01-17,-0.4,-1.0,0.3,8.8,78.0,26.3,985.2
2021-01-18,-5.3,-10.4,-0.3,0.0,260.0,18.4,991.8
2021-01-19,-12.0,-14.4,-9.6,0.0,274.0,28.5,1006.5
2021-01-20,-14.0,-17.6,-10.4,0.2,251.0,14.3,1009.8
2021-01-21,-13.6,-17.9,-9.3,0.0,236.0,11.7,1007.0
2021-01-22,-13.3,-20.7,-5.8,1.4,146.0,8.6,1007.2
2021-01-23,-8.8,-12.5,-5.1,0.0,258.0,14.5,1001.5
2021-01-24,-2.1,-6.8,2.7,0.2,274.0,19.6,996.7
2021-01-25,-1.5,-3.8,0.7,0.0,261.0,17.5,1006.9
2021-01-26,-1.2,-4.7,2.2,1.0,211.0,7.8,1015.7
2021-01-27,-1.2,-2.7,0.3,0.5,341.0,3.9,1017.2
2021-01-28,-4.7,-7.3,-2.0,0.0,275.0,10.5,1013.2
2021-01-29,-10.0,-13.4,-6.6,0.2,309.0,15.0,1012.4
2021-01-30,-12.1,-15.6,-8.7,0.0,257.0,15.9,1017.8
2021-01-31,-9.0,-15.0,-2.9,0.0,232.0,13.0,1024.2
2021-02-01,-11.2,-16.5,-5.8,0.0,225.0,6.6,1028.7
2021-02-02,-3.9,-7.8,0.0,14.3,70.0,24.0,1020.9
2021-02-03,-0.9,-2.2,0.4,9.6,355.0,14.9,995.5
2021-02-04,-1.1,-3.1,0.9,0.0,260.0,6.3,1002.7
2021-02-05,-1.8,-4.2,0.5,0.0,243.0,7.5,1006.7
2021-02-06,-4.1,-7.6,-0.6,5.6,249.0,17.0,1003.7
2021-02-07,-6.0,-9.3,-2.8,0.0,232.0,11.9,1016.2
2021-02-08,-7.7,-12.4,-3.1,3.7,262.0,20.3,1014.5
2021-02-09,-12.0,-16.3,-7.7,0.0,268.0,22.0,1023.1
2021-02-10,-12.5,-17.9,-7.0,0.2,250.0,14.2,1018.4
2021-02-11,-12.6,-14.7,-10.5,0.0,266.0,23.6,1013.1
2021-02-12,-8.3,-13.6,-3.1,0.0,258.0,17.4,1018.0
2021-02-13,-11.6,-15.8,-7.3,0.0,259.0,15.5,1022.8
2021-02-14,-11.2,-16.4,-6.0,0.0,254.0,8.9,1024.5
2021-02-15,-9.5,-13.6,-5.3,0.2,242.0,11.5,1024.6
2021-02-16,-10.3,-13.7,-6.9,7.7,84.0,17.5,1016.2
2021-02-17,-8.9,-12.2,-5.5,0.2,267.0,19.6,1011.4
2021-02-18,-11.5,-16.1,-6.9,0.0,262.0,18.3,1027.2
2021-02-19,-10.4,-17.3,-3.5,0.0,232.0,10.4,1024.8
2021-02-20,-10.3,-17.0,-3.6,0.0,250.0,7.1,1016.7
2021-02-21,-8.8,-16.4,-1.2,0.0,253.0,14.9,1021.9
2021-02-22,-6.7,-11.7,-1.8,0.7,242.0,10.6,1017.5
2021-02-23,-2.0,-4.5,0.4,5.5,305.0,10.4,999.2
2021-02-24,-0.5,-5.5,4.4,0.0,258.0,9.9,1002.6
2021-02-25,-7.9,-13.1,-2.7,0.4,285.0,26.4,1003.6
2021-02-26,-14.3,-20.9,-7.7,0.2,275.0,26.6,1022.1
2021-02-27,-10.9,-20.6,-1.2,6.4,109.0,8.8,1022.5
2021-02-28,-3.6,-8.0,0.8,0.2,287.0,16.0,1018.0
2021-03-01,-6.1,-10.8,-1.4,10.9,85.0,21.6,1003.7
2021-03-02,-13.6,-16.3,-10.8,6.0,271.0,37.7,987.0
2021-03-03,-9.3,-14.5,-4.2,0.4,274.0,34.4,995.0
2021-03-04,-10.6,-12.6,-8.6,0.0,273.0,35.1,991.3
2021-03-05,-9.6,-13.5,-5.7,0.0,261.0,20.4,995.3
2021-03-06,-8.9,-14.0,-3.8,0.0,254.0,20.7,1003.2
2021-03-07,-8.2,-12.5,-4.0,0.0,261.0,16.3,1018.3
2021-03-08,-5.8,-13.4,1.8,0.0,240.0,10.8,1024.2
2021-03-09,-8.5,-15.1,-1.9,0.0,248.0,9.3,1021.7
2021-03-10,-1.7,-8.3,4.8,0.0,221.0,9.4,1027.9
2021-03-11,1.3,-2.4,5.0,0.7,132.0,5.2,1014.7
2021-03-12,2.7,-2.9,8.2,1.1,267.0,22.7,998.9
2021-03-13,-6.0,-9.3,-2.8,0.0,284.0,33.6,1005.5
2021-03-14,-9.3,-12.2,-6.4,0.0,,,
2021-03-15,-14.0,-16.1,-11.9,0.0,288.0,28.5,1015.0
2021-03-16,-11.4,-16.5,-6.4,0.2,270.0,17.6,1020.0
2021-03-17,-4.4,-17.7,8.9,0.2,240.0,9.0,1015.5
2021-03-18,-1.6,-10.2,7.0,0.0,41.0,16.1,1010.7
2021-03-19,-9.8,-13.7,-6.0,0.0,285.0,29.0,1019.0
2021-03-20,-1.1,-11.3,9.0,0.0,270.0,13.8,1020.8
2021-03-21,4.0,-7.3,15.2,0.0,256.0,11.8,1025.5
2021-03-22,8.5,0.0,16.9,0.0,256.0,12.8,1023.2
2021-03-23,9.1,0.1,18.0,0.2,269.0,9.9,1021.0
2021-03-24,5.8,-2.2,13.9,0.2,179.0,5.2,1021.5
2021-03-25,4.3,0.5,8.2,3.6,29.0,4.4,1015.9
2021-03-26,4.6,-2.2,11.4,16.9,278.0,13.3,1008.1
2021-03-27,-3.8,-7.9,0.3,2.2,52.0,14.9,1018.6
2021-03-28,-4.5,-7.8,-1.2,8.1,94.0,19.8,1022.1
2021-03-29,-1.5,-5.6,2.6,4.9,318.0,30.0,993.1
2021-03-30,-1.8,-6.8,3.2,0.0,273.0,18.7,1022.4
2021-03-31,0.4,-5.3,6.1,0.0,89.0,6.1,1017.5
2021-04-01,1.2,-2.6,5.0,29.3,267.0,8.0,1005.2
2021-04-02,-4.4,-7.9,-0.8,0.2,270.0,19.5,1012.5
2021-04-03,-4.7,-9.5,0.1,0.2,271.0,12.2,1021.0
2021-04-04,-2.2,-7.1,2.7,16.2,271.0,11.5,1017.5
2021-04-05,4.9,1.8,8.0,10.4,214.0,5.3,1009.6
2021-04-06,6.4,2.9,9.8,5.8,193.0,4.5,1012.5
2021-04-07,7.1,3.0,11.2,0.0,56.0,6.8,1017.7
2021-04-08,6.6,1.5,11.6,0.0,78.0,8.5,1021.4
2021-04-09,8.5,-0.1,17.1,0.0,276.0,6.6,1019.7
2021-04-10,1.9,-3.4,7.2,0.0,96.0,12.0,1016.9
2021-04-11,3.6,-3.5,10.8,0.2,231.0,7.9,1011.8
2021-04-12,6.2,2.7,9.8,0.0,106.0,11.8,1017.3
2021-04-13,4.4,-2.3,11.2,0.0,86.0,13.4,1020.3
2021-04-14,4.4,-3.7,12.5,0.0,139.0,11.8,1018.7
2021-04-15,4.5,-3.1,12.0,0.0,132.0,14.5,1015.4
2021-04-16,2.2,-0.2,4.7,0.0,99.0,27.7,1016.6
2021-04-17,2.9,-0.2,5.9,0.5,94.0,22.5,1013.6
2021-04-18,5.0,0.3,9.7,1.4,60.0,5.8,1007.3
2021-04-19,9.3,1.2,17.3,0.0,274.0,13.2,1004.9
2021-04-20,6.4,2.2,10.6,9.0,106.0,15.7,1008.1
2021-04-21,4.0,0.1,7.8,15.3,207.0,8.9,1007.8
2021-04-22,3.7,-0.3,7.6,15.9,215.0,15.4,986.3
2021-04-23,2.5,-0.6,5.7,1.0,252.0,22.9,987.8
2021-04-24,6.5,1.5,11.6,0.0,259.0,18.3,1001.6
2021-04-25,6.0,-1.2,13.2,0.7,83.0,14.4,1009.7
2021-04-26,4.8,3.4,6.2,18.1,302.0,14.1,1001.9
2021-04-27,7.1,4.1,10.1,1.0,282.0,13.8,1002.5
2021-04-28,8.1,0.6,15.6,0.0,277.0,15.5,1008.5
2021-04-29,8.4,-0.8,17.6,0.2,271.0,10.5,1008.1
2021-04-30,4.9,1.9,8.0,3.4,92.0,12.7,996.8
2021-05-01,7.7,3.1,12.2,0.0,280.0,23.6,993.8
2021-05-02,6.1,0.7,11.4,0.3,252.0,19.2,997.3
2021-05-03,8.3,2.1,14.4,0.0,277.0,28.7,1005.6
2021-05-04,9.3,0.7,17.9,0.0,269.0,12.3,1011.5
2021-05-05,6.1,4.0,8.1,2.9,91.0,18.8,1013.4
2021-05-06,2.2,0.3,4.2,26.4,71.0,11.7,1008.0
2021-05-07,6.5,2.1,11.0,0.0,288.0,10.0,1013.8
2021-05-08,6.4,3.4,9.3,0.0,61.0,11.8,1014.5
2021-05-09,6.8,2.0,11.6,0.6,304.0,19.8,1005.2
2021-05-10,8.6,-0.1,17.3,0.0,286.0,11.6,1009.4
2021-05-11,7.5,-1.2,16.1,0.0,102.0,12.9,1011.1
2021-05-12,8.8,3.6,14.0,1.1,348.0,11.0,1013.1
2021-05-13,9.5,1.2,17.8,0.0,301.0,11.4,1014.6
2021-05-14,8.2,-0.2,16.6,0.0,292.0,10.9,1016.4
2021-05-15,8.9,-0.3,18.2,0.4,92.0,13.7,1021.5
2021-05-16,7.6,1.6,13.7,0.3,87.0,19.4,1024.9
2021-05-17,9.4,3.4,15.4,0.6,83.0,16.6,1025.3
2021-05-18,10.9,4.3,17.5,2.3,22.0,11.9,1019.3
2021-05-19,10.0,2.3,17.6,0.0,81.0,15.5,1025.7
2021-05-20,11.5,5.6,17.3,0.0,93.0,7.8,1029.6
2021-05-21,20.1,11.7,28.6,3.2,291.0,9.4,1024.1
2021-05-22,23.0,18.8,27.1,5.3,255.0,15.4,1011.4
2021-05-23,9.9,0.9,18.9,7.4,304.0,19.7,1008.1
2021-05-24,8.2,-0.2,16.6,0.0,272.0,12.2,1020.6
2021-05-25,14.6,3.9,25.4,0.5,244.0,14.2,1009.9
2021-05-26,19.4,11.0,27.8,6.5,354.0,8.4,1003.1
2021-05-27,10.6,2.4,18.9,1.7,282.0,27.9,1006.4
2021-05-28,5.0,0.2,9.8,0.0,273.0,23.3,1015.3
2021-05-29,6.9,-1.0,14.8,0.0,147.0,11.3,1022.8
2021-05-30,7.7,0.6,14.9,0.0,92.0,14.0,1030.3
2021-05-31,8.2,6.3,10.1,20.9,60.0,9.5,1024.3
2021-06-01,15.5,8.3,22.7,14.6,242.0,11.7,1013.7
2021-06-02,17.7,10.8,24.6,0.4,257.0,16.1,1015.2
2021-06-03,15.6,9.4,21.8,1.1,60.0,5.9,1014.4
2021-06-04,19.2,13.3,25.0,0.9,254.0,8.8,1004.5
2021-06-05,18.8,11.1,26.5,2.1,252.0,9.3,1002.6
2021-06-06,16.0,10.6,21.5,0.0,343.0,11.0,1011.5
2021-06-07,22.4,10.3,34.5,0.2,111.0,10.9,1008.2
2021-06-08,23.7,15.8,31.5,0.0,260.0,19.0,1006.2
2021-06-09,15.8,8.6,23.1,0.0,290.0,13.6,1011.3
2021-06-10,9.8,3.3,16.4,0.0,316.0,17.9,1016.7
2021-06-11,11.0,2.7,19.4,0.0,258.0,8.9,1015.1
2021-06-12,14.0,4.7,23.2,0.0,269.0,13.6,1008.0
2021-06-13,12.5,4.3,20.7,0.0,270.0,10.5,1010.8
2021-06-14,9.8,4.3,15.3,3.2,100.0,16.5,1014.0
2021-06-15,13.1,11.2,15.0,10.7,76.0,9.3,1008.0
2021-06-16,15.0,8.5,21.5,0.9,255.0,11.7,1001.0
2021-06-17,13.4,7.1,19.7,0.2,247.0,12.2,1004.3
2021-06-18,17.4,8.8,25.9,0.0,321.0,8.1,1008.5
2021-06-19,14.5,11.8,17.2,8.1,75.0,7.8,1002.6
2021-06-20,18.2,11.3,25.2,0.3,248.0,9.3,1001.4
2021-06-21,17.8,12.0,23.7,1.1,49.0,6.8,1004.4
2021-06-22,18.1,11.1,25.1,17.3,239.0,8.0,1001.1
2021-06-23,14.1,8.3,19.8,7.6,258.0,14.4,1011.3
2021-06-24,16.4,6.8,25.9,0.0,244.0,9.6,1024.7
2021-06-25,17.1,11.6,22.6,0.0,40.0,7.9,1024.4
2021-06-26,19.3,16.1,22.5,1.1,348.0,4.9,1019.8
2021-06-27,22.2,16.7,27.7,21.2,335.0,6.8,1010.2
2021-06-28,22.9,16.5,29.3,1.1,268.0,9.5,1013.8
2021-06-29,23.0,16.1,29.9,0.0,226.0,6.4,1014.9
2021-06-30,18.0,14.6,21.3,8.4,50.0,7.7,1010.2
2021-07-01,11.7,8.8,14.7,17.8,86.0,17.3,1011.0
2021-07-02,11.4,6.6,16.2,0.0,90.0,10.8,1017.5
2021-07-03,11.0,5.7,16.4,0.0,108.0,13.4,1016.4
2021-07-04,14.5,7.5,21.5,0.0,93.0,7.1,1014.3
2021-07-05,19.3,10.3,28.4,0.0,256.0,10.7,1010.9
2021-07-06,20.3,11.6,29.1,0.3,12.0,6.7,1005.5
2021-07-07,15.9,10.5,21.2,0.3,270.0,21.0,1007.0
2021-07-08,14.4,7.9,20.9,0.0,71.0,12.9,1020.0
2021-07-09,15.9,12.9,18.9,27.2,80.0,13.9,1013.7
2021-07-10,18.7,11.5,25.8,7.2,263.0,12.6,1012.2
2021-07-11,19.3,11.2,27.4,0.2,281.0,7.3,1015.3
2021-07-12,17.6,9.4,25.8,0.0,274.0,9.7,1021.7
2021-07-13,15.1,7.5,22.8,0.0,45.0,9.0,1026.2
2021-07-14,16.5,13.1,19.8,0.6,92.0,7.4,1021.0
2021-07-15,24.0,18.0,30.1,0.3,275.0,7.3,1015.1
2021-07-16,21.0,14.2,27.7,3.3,303.0,10.1,1009.5
2021-07-17,21.2,14.1,28.4,0.0,251.0,11.6,1014.9
2021-07-18,20.3,12.3,28.2,0.0,229.0,5.5,1017.1
2021-07-19,20.5,15.9,25.1,0.0,55.0,7.8,1012.3
2021-07-20,19.7,15.9,25.1,0.3,283.0,8.9,1008.4
2021-07-21,15.8,13.1,18.5,7.7,6.0,6.1,1013.8
2021-07-22,17.3,12.5,22.0,2.8,289.0,7.7,1013.4
2021-07-23,17.9,12.2,23.5,7.5,237.0,7.7,1015.8
2021-07-24,17.9,13.4,22.5,0.0,54.0,8.9,1016.2
2021-07-25,20.4,14.9,25.8,3.8,106.0,9.3,1011.6
2021-07-26,20.2,15.2,25.2,16.0,30.0,6.7,1007.4
2021-07-27,17.3,12.1,22.5,0.0,263.0,12.5,1008.6
2021-07-28,15.6,10.0,21.2,0.0,260.0,16.2,1012.0
2021-07-29,17.2,9.4,25.1,0.0,232.0,10.7,1010.2
2021-07-30,15.4,13.0,17.8,10.6,68.0,5.7,1002.7
2021-07-31,16.4,12.9,19.9,2.2,256.0,16.7,1001.6
2021-08-01,17.8,11.6,24.0,0.0,244.0,12.7,1008.1
2021-08-02,14.2,11.5,16.8,2.6,280.0,4.5,1009.6
2021-08-03,16.8,9.2,24.5,1.7,241.0,9.9,1011.0
2021-08-04,17.6,10.1,25.0,0.0,258.0,8.4,1019.3
2021-08-05,16.9,12.4,21.3,0.3,62.0,5.8,1020.7
2021-08-06,21.0,16.3,25.7,0.2,358.0,5.0,1015.2
2021-08-07,21.3,16.7,26.0,0.0,265.0,11.0,1011.7
2021-08-08,17.8,11.0,24.7,0.0,303.0,11.3,1019.5
2021-08-09,14.4,8.6,20.1,0.0,77.0,8.5,1024.2
2021-08-10,21.2,15.3,27.2,0.0,48.0,5.5,1018.7
2021-08-11,21.6,17.2,26.1,0.0,326.0,7.0,1014.9
2021-08-12,23.1,19.6,26.5,0.0,80.0,7.6,1011.1
2021-08-13,26.3,19.7,32.9,0.0,263.0,8.4,1011.2
2021-08-14,23.2,18.4,28.1,14.6,313.0,6.5,1012.4
2021-08-15,17.3,11.4,23.1,0.0,255.0,16.3,1015.8
2021-08-16,18.5,10.3,26.6,0.0,241.0,10.4,1019.4
2021-08-17,23.0,14.0,32.1,0.0,261.0,11.2,1017.0
2021-08-18,25.3,19.3,31.2,0.0,263.0,9.8,1017.5
2021-08-19,25.9,20.1,31.7,0.0,253.0,10.8,1012.9
2021-08-20,22.1,14.2,30.0,0.0,275.0,10.8,1009.7
2021-08-21,18.0,12.2,23.8,0.0,97.0,8.8,1016.8
2021-08-22,19.8,15.7,23.9,0.0,86.0,7.7,1018.0
2021-08-23,20.1,15.0,25.2,0.0,57.0,7.7,1015.4
2021-08-24,24.6,19.9,29.4,17.3,274.0,5.6,1007.9
2021-08-25,23.5,17.3,29.6,0.0,239.0,9.5,1014.0
2021-08-26,21.6,17.4,25.8,0.0,69.0,8.8,1013.4
2021-08-27,14.2,8.7,19.6,0.0,271.0,17.7,1016.4
2021-08-28,14.8,7.6,22.1,0.0,243.0,9.8,1025.9
2021-08-29,15.6,9.5,21.8,0.0,242.0,7.6,1021.7
2021-08-30,15.1,11.8,18.4,0.0,120.0,8.0,1007.8
2021-08-31,20.7,15.0,26.3,0.0,278.0,5.5,1000.6
2021-09-01,17.0,13.9,20.1,0.0,251.0,11.0,1005.5
2021-09-02,13.7,11.2,16.2,14.7,27.0,9.6,1010.4
2021-09-03,10.8,9.3,12.4,32.6,288.0,18.1,1007.6
2021-09-04,11.8,6.4,17.2,0.0,295.0,20.2,1008.3
2021-09-05,10.2,5.8,14.6,0.3,137.0,10.7,1013.3
2021-09-06,15.0,11.8,18.1,16.3,83.0,15.8,1006.1
2021-09-07,16.9,12.9,21.0,7.6,252.0,13.6,1003.3
2021-09-08,15.2,10.4,20.0,0.0,70.0,10.6,1010.9
2021-09-09,17.3,13.6,21.0,13.5,50.0,3.9,1009.1
2021-09-10,15.3,12.2,18.4,15.8,260.0,7.8,1004.2
2021-09-11,14.3,8.5,20.1,0.0,256.0,15.9,1009.1
2021-09-12,14.6,8.0,21.2,11.7,211.0,9.4,1008.9
2021-09-13,13.9,9.4,18.4,0.0,253.0,12.9,1008.9
2021-09-14,11.1,6.4,15.7,0.0,273.0,11.4,1016.7
2021-09-15,11.3,8.5,14.1,11.4,70.0,10.3,1014.5
2021-09-16,14.2,7.8,20.6,0.0,252.0,11.3,1020.9
2021-09-17,13.2,5.4,21.0,0.0,144.0,6.0,1025.2
2021-09-18,16.0,8.4,23.7,2.6,257.0,9.5,1015.6
2021-09-19,12.6,6.0,19.2,0.0,257.0,10.0,1020.1
2021-09-20,11.4,4.9,17.8,0.0,278.0,7.4,1026.4
2021-09-21,13.4,6.7,20.0,0.0,204.0,5.7,1026.0
2021-09-22,15.9,9.2,22.5,0.0,23.0,4.9,1020.8
2021-09-23,19.1,12.8,25.4,0.0,102.0,7.0,1020.1
2021-09-24,14.1,13.1,15.1,0.8,92.0,20.8,1023.7
2021-09-25,17.0,14.6,19.5,17.4,130.0,10.4,1016.7
2021-09-26,14.5,11.1,18.0,8.8,82.0,16.7,1006.7
2021-09-27,13.0,8.5,17.4,7.1,243.0,11.0,1003.3
2021-09-28,10.5,4.8,16.3,0.0,249.0,10.1,1007.4
2021-09-29,8.6,2.7,14.5,0.3,207.0,6.8,1013.7
2021-09-30,10.0,7.0,13.1,2.1,301.0,10.8,1014.4
2021-10-01,8.0,6.3,9.6,5.9,248.0,9.1,1015.0
2021-10-02,10.1,6.3,13.9,0.3,261.0,8.5,1015.3
2021-10-03,8.4,4.6,12.2,1.8,262.0,8.0,1016.8
2021-10-04,10.2,3.6,16.9,0.0,244.0,10.3,1020.0
2021-10-05,11.4,2.9,19.9,0.0,240.0,10.2,1023.5
2021-10-06,12.1,5.4,18.9,0.0,250.0,11.8,1023.9
2021-10-07,16.6,10.6,22.5,0.0,239.0,10.6,1020.7
2021-10-08,7.8,0.4,15.2,0.0,91.0,10.5,1024.2
2021-10-09,6.6,-0.5,13.6,0.2,209.0,7.9,1029.0
2021-10-10,8.7,1.0,16.3,0.0,268.0,8.1,1024.9
2021-10-11,15.6,8.9,22.4,0.0,258.0,8.5,1018.6
2021-10-12,15.0,11.7,18.3,2.0,279.0,4.6,1016.5
2021-10-13,13.4,12.6,14.3,53.4,62.0,7.0,1014.6
2021-10-14,13.4,10.7,16.1,0.2,28.0,4.0,1013.4
2021-10-15,12.4,8.6,16.2,0.0,267.0,5.2,1013.5
2021-10-16,11.9,11.1,12.8,22.2,92.0,21.3,1011.7
2021-10-17,12.9,10.3,15.5,13.9,93.0,17.2,999.5
2021-10-18,9.8,7.4,12.2,0.0,258.0,13.1,998.2
2021-10-19,8.3,6.7,9.9,0.5,248.0,12.6,998.3
2021-10-20,9.6,6.6,12.7,0.7,236.0,6.7,1007.5
2021-10-21,9.9,6.8,13.0,0.8,257.0,6.8,1013.2
2021-10-22,11.6,10.0,13.3,1.1,89.0,14.8,1008.8
2021-10-23,8.2,3.9,12.5,0.0,259.0,10.8,1011.1
2021-10-24,5.9,4.0,7.9,0.0,258.0,16.0,1008.6
2021-10-25,8.3,3.5,13.1,0.0,254.0,12.1,1017.1
2021-10-26,5.4,0.2,10.6,0.0,138.0,8.1,1018.9
2021-10-27,4.1,0.7,7.6,0.0,64.0,17.5,1019.1
2021-10-28,6.2,-0.6,13.0,0.0,46.0,11.0,1019.2
2021-10-29,4.9,-2.0,11.8,0.0,175.0,7.9,1018.5
2021-10-30,3.5,-3.0,10.0,0.0,154.0,9.5,1018.2
2021-10-31,10.0,7.3,12.6,8.7,90.0,23.2,1008.1
2021-11-01,8.7,3.8,13.5,0.7,225.0,15.8,1000.4
2021-11-02,4.9,-0.3,10.0,0.0,229.0,15.0,1013.8
2021-11-03,3.1,-1.9,8.0,0.0,259.0,8.7,1018.5
2021-11-04,0.7,-3.9,5.3,0.0,247.0,12.5,1023.3
2021-11-05,0.0,-5.0,4.9,0.5,239.0,9.5,1024.3
2021-11-06,3.8,-2.5,10.1,0.0,253.0,10.5,1020.8
2021-11-07,6.5,0.8,12.1,0.0,250.0,10.7,1017.9
2021-11-08,6.4,0.4,12.5,0.0,259.0,9.5,1016.9
2021-11-09,6.9,-0.4,14.2,0.0,262.0,12.8,1012.6
2021-11-10,2.8,-1.3,6.8,0.0,249.0,10.3,1015.0
2021-11-11,1.3,-4.6,7.3,0.0,257.0,12.4,1023.9
2021-11-12,-0.9,-5.1,3.3,9.8,135.0,13.6,1028.9
2021-11-13,2.9,-0.8,6.7,1.5,232.0,10.7,1008.3
2021-11-14,2.1,-1.2,5.4,2.4,250.0,7.1,1003.0
2021-11-15,2.3,0.0,4.6,22.8,22.0,9.8,1003.1
2021-11-16,1.0,-0.7,2.7,0.0,269.0,26.9,1000.3
2021-11-17,-1.0,-2.6,0.7,0.0,288.0,20.3,1019.9
2021-11-18,-0.7,-2.9,1.6,16.2,102.0,13.2,1016.6
2021-11-19,2.5,0.1,5.0,0.5,251.0,10.8,1008.3
2021-11-20,-1.4,-5.2,2.4,0.0,264.0,16.3,1025.2
2021-11-21,-0.4,-4.0,3.1,0.0,205.0,4.8,1025.3
2021-11-22,3.6,-0.4,7.6,7.9,108.0,10.5,1009.7
2021-11-23,-1.3,-4.0,1.4,0.0,282.0,19.2,1007.5
2021-11-24,0.6,-1.7,2.9,0.0,281.0,23.1,1013.8
2021-11-25,1.5,-2.1,5.0,0.0,245.0,12.8,1011.1
2021-11-26,1.8,0.3,3.4,11.7,235.0,11.8,997.7
2021-11-27,-0.8,-3.1,1.6,4.1,243.0,14.8,986.8
