time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,24.8,18.2,,,,,
2021-01-02,23.9,18.8,27.4,0.6,180.0,20.4,1013.0
2021-01-03,23.7,19.0,26.5,0.3,177.0,18.9,1012.4
2021-01-04,23.9,18.1,27.0,0.0,182.0,14.1,1012.0
2021-01-05,24.7,19.2,27.0,0.0,177.0,14.4,1011.8
2021-01-06,23.9,19.6,27.9,0.0,180.0,15.1,1012.4
2021-01-07,23.1,19.0,27.0,0.0,175.0,17.4,1013.1
2021-01-08,23.8,19.3,27.2,0.0,181.0,18.1,1013.3
2021-01-09,23.8,19.6,27.0,0.3,177.0,17.9,1012.8
2021-01-10,24.2,19.2,27.0,0.8,183.0,18.9,1012.2
2021-01-11,24.7,19.1,28.0,0.0,181.0,20.3,1012.1
2021-01-12,24.9,19.0,28.0,0.0,177.0,21.3,1012.1
2021-01-13,24.7,19.0,27.2,0.5,178.0,22.7,1011.3
2021-01-14,25.6,19.1,30.0,0.9,177.0,20.8,1011.1
2021-01-15,23.7,19.7,25.4,3.0,184.0,16.9,1011.4
2021-01-16,22.8,18.4,25.0,4.1,177.0,11.7,1012.2
2021-01-17,24.2,19.3,27.2,0.0,179.0,17.4,1011.0
2021-01-18,23.2,19.3,27.7,3.9,181.0,15.1,1011.2
2021-01-19,25.4,19.0,29.0,0.0,179.0,15.7,1011.0
2021-01-20,23.5,19.9,26.0,0.4,180.0,20.4,1010.7
2021-01-21,24.4,19.5,27.0,0.0,179.0,20.8,1011.0
2021-01-22,24.1,19.6,28.0,0.0,178.0,18.8,1011.0
2021-01-23,25.7,20.8,29.2,0.1,188.0,14.5,1010.8
2021-01-24,25.1,19.6,29.3,1.3,183.0,14.8,1010.6
2021-01-25,26.1,20.5,29.1,0.0,178.0,14.5,1010.0
2021-01-26,25.3,20.9,29.0,0.1,180.0,19.5,1010.1
2021-01-27,24.6,19.8,28.0,0.0,180.0,19.8,1010.2
2021-01-28,24.7,19.9,27.5,0.5,185.0,16.0,1010.5
2021-01-29,25.3,20.6,28.4,0.0,181.0,16.7,1010.5
2021-01-30,25.8,20.9,28.8,0.0,178.0,16.6,1009.9
2021-01-31,25.6,20.2,29.0,0.0,180.0,20.7,1008.9
2021-02-01,24.4,19.1,27.0,0.0,177.0,22.4,1010.1
2021-02-02,24.3,19.2,28.0,0.0,177.0,19.8,1010.3
2021-02-03,24.9,19.9,28.0,0.0,184.0,17.5,1010.6
2021-02-04,24.4,20.0,29.0,0.0,176.0,16.5,1011.7
2021-02-05,24.1,20.4,28.0,0.0,180.0,16.0,1012.0
2021-02-06,24.3,21.0,27.0,0.0,183.0,15.4,1011.0
2021-02-07,26.9,20.9,31.5,0.0,186.0,15.4,1010.8
2021-02-08,26.2,19.2,30.1,0.0,176.0,19.5,1011.0
2021-02-09,25.6,19.4,29.7,0.0,184.0,14.9,1011.0
2021-02-10,25.3,21.8,31.0,0.0,180.0,11.2,1011.0
2021-02-11,25.5,21.4,30.0,0.0,180.0,13.4,1010.0
2021-02-12,25.7,22.6,31.0,0.0,189.0,13.8,1010.4
2021-02-13,27.3,22.0,30.0,0.0,179.0,19.1,1009.8
2021-02-14,25.5,21.0,28.5,0.0,180.0,18.7,1011.9
2021-02-15,25.6,19.6,29.0,0.0,179.0,17.2,1013.2
2021-02-16,27.1,21.3,30.1,0.0,173.0,19.7,1013.3
2021-02-17,27.2,20.7,31.0,0.0,179.0,16.5,1012.6
2021-02-18,24.7,20.0,27.0,0.0,187.0,15.7,1012.8
2021-02-19,23.1,20.0,27.0,0.0,174.0,18.6,1012.9
2021-02-20,23.1,19.3,27.0,0.0,182.0,18.4,1013.1
2021-02-21,25.1,20.1,28.0,0.0,177.0,20.6,1012.8
2021-02-22,25.8,20.0,30.0,0.0,178.0,18.2,1011.5
2021-02-23,24.4,19.8,30.5,0.0,182.0,18.6,1011.2
2021-02-24,26.1,19.0,31.0,0.0,188.0,15.0,1009.9
2021-02-25,25.6,19.6,29.0,0.0,181.0,16.1,1010.1
2021-02-26,26.9,20.6,30.0,0.0,175.0,17.1,1009.7
2021-02-27,26.1,19.9,29.0,0.0,182.0,15.0,1009.2
2021-02-28,27.3,21.8,30.1,1.2,183.0,12.6,1009.3
2021-03-01,26.3,22.5,30.9,0.3,183.0,11.6,1008.8
2021-03-02,28.3,22.5,33.0,0.1,188.0,10.1,1009.7
2021-03-03,28.4,22.8,33.0,0.0,194.0,12.1,1011.1
2021-03-04,26.8,22.0,29.0,0.5,206.0,12.1,1011.5
2021-03-05,27.1,21.7,29.0,2.6,187.0,11.5,1010.5
2021-03-06,28.0,22.7,31.0,0.0,193.0,13.0,1009.6
2021-03-07,26.3,22.1,29.0,0.2,181.0,16.5,1010.9
2021-03-08,26.8,21.4,31.0,3.8,182.0,12.2,1012.1
2021-03-09,26.1,22.1,29.1,11.5,286.0,8.3,1013.0
2021-03-10,26.9,23.5,29.1,0.0,170.0,11.0,1012.7
2021-03-11,27.4,22.6,30.0,0.0,169.0,13.1,1011.8
2021-03-12,28.1,20.5,32.0,0.0,183.0,12.5,1011.8
2021-03-13,26.4,20.9,29.0,0.0,180.0,16.6,1012.4
2021-03-14,26.8,21.2,30.0,0.0,184.0,14.3,1011.7
2021-03-15,26.2,21.0,30.0,0.4,176.0,12.6,1011.8
2021-03-16,26.9,22.5,29.7,0.0,199.0,11.7,1011.9
2021-03-17,24.6,22.0,29.0,0.0,182.0,15.0,1010.6
2021-03-18,24.5,21.2,30.0,0.0,176.0,15.0,1011.2
2021-03-19,26.7,21.2,30.4,0.0,176.0,15.7,1011.8
2021-03-20,24.8,21.1,29.0,0.0,178.0,17.2,1010.9
2021-03-21,24.0,21.0,28.0,0.0,181.0,16.2,1011.2
2021-03-22,24.2,21.0,28.0,0.0,183.0,17.1,1011.8
2021-03-23,23.4,20.2,28.0,0.0,182.0,19.6,1011.4
2021-03-24,23.1,20.7,28.0,0.2,180.0,15.9,1011.5
2021-03-25,23.2,20.2,28.0,0.2,175.0,19.6,1011.5
2021-03-26,23.0,20.2,27.0,0.0,177.0,22.5,1011.3
2021-03-27,23.7,20.9,29.0,0.7,183.0,14.9,1010.8
2021-03-28,24.8,19.9,29.5,0.0,184.0,15.7,1009.8
