time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,19.9,18.6,22.8,31.9,352.0,5.5,1014.2
2021-01-03,20.5,18.0,24.9,31.0,69.0,6.0,1014.1
2021-01-04,21.2,16.6,26.0,7.0,89.0,7.9,1012.3
2021-01-05,21.3,18.2,24.0,5.8,33.0,7.3,1012.5
2021-01-06,21.7,18.1,25.2,6.2,25.0,6.0,1012.0
2021-01-07,23.1,18.7,27.6,2.1,58.0,6.0,1010.6
2021-01-08,22.2,19.6,26.6,27.1,136.0,7.9,1010.2
2021-01-09,21.3,18.7,24.6,12.9,25.0,6.0,1010.4
2021-01-10,21.7,18.6,25.7,4.9,341.0,5.7,1009.9
2021-01-11,21.0,17.7,25.1,8.3,87.0,4.7,1010.6
2021-01-12,21.2,18.6,24.6,11.9,309.0,4.1,1011.4
2021-01-13,21.3,19.2,24.3,13.3,18.0,6.7,1011.4
2021-01-14,21.7,19.1,25.3,4.6,2.0,9.2,1011.3
2021-01-15,21.7,19.2,25.4,6.0,9.0,8.7,1011.2
2021-01-16,22.4,19.0,26.3,0.4,9.0,9.2,1010.2
2021-01-17,22.6,19.6,25.8,5.2,23.0,7.7,1009.9
2021-01-18,22.3,19.3,25.5,9.7,14.0,6.9,1010.3
2021-01-19,21.9,19.1,25.0,9.8,34.0,7.3,1011.3
2021-01-20,21.6,19.6,24.5,6.9,354.0,5.8,1012.8
2021-01-21,21.6,17.7,25.0,43.2,31.0,5.8,1012.3
2021-01-22,20.7,18.7,23.6,6.7,353.0,6.4,1011.6
2021-01-23,21.0,19.3,24.0,15.3,4.0,12.2,1011.1
2021-01-24,21.7,18.9,25.4,6.7,17.0,11.7,1012.3
2021-01-25,21.2,19.6,23.0,4.5,37.0,10.4,1014.1
2021-01-26,21.2,18.6,25.5,2.4,64.0,4.8,1014.6
2021-01-27,21.7,17.7,25.5,1.1,74.0,5.0,1012.6
2021-01-28,22.5,19.0,26.9,3.2,73.0,7.2,1012.0
2021-01-29,21.4,19.0,24.3,5.5,177.0,5.1,1013.6
2021-01-30,21.3,18.4,25.3,12.7,175.0,5.4,1012.7
2021-01-31,21.8,18.6,25.8,5.5,39.0,5.4,1011.0
2021-02-01,21.3,18.6,24.3,7.8,24.0,8.2,1013.2
2021-02-02,21.6,19.1,25.5,7.4,31.0,9.1,1015.0
