time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-32.2,-36.8,-26.6,0.0,,,
2021-01-02,-38.9,-41.3,-34.5,0.0,,,
2021-01-03,-34.1,-43.0,-38.6,0.3,352.0,12.7,1026.1
2021-01-04,-38.3,-40.2,-30.8,0.3,289.0,13.4,1027.3
2021-01-05,-26.9,-37.7,-28.7,1.0,249.0,21.8,1022.7
2021-01-06,-23.3,-29.4,-19.8,1.5,259.0,22.4,1015.2
2021-01-07,-30.1,-31.7,-27.3,0.5,227.0,21.4,1004.1
2021-01-08,-28.1,-30.8,-27.8,1.0,225.0,16.4,1003.2
2021-01-09,-34.4,-40.6,-25.3,0.3,247.0,11.9,1009.0
2021-01-10,-39.6,-40.9,-32.1,0.0,264.0,9.4,1016.2
2021-01-11,-38.2,-41.3,-36.6,0.0,213.0,16.9,1018.8
2021-01-12,-38.8,-40.9,-37.6,0.0,207.0,9.4,1019.7
2021-01-13,-39.9,-41.9,-38.3,0.0,99.0,3.8,1023.0
2021-01-14,-33.9,-43.2,-30.2,0.5,14.0,11.4,1026.2
2021-01-15,-25.2,-31.0,-21.6,1.0,41.0,20.5,1020.5
2021-01-16,-22.1,-25.3,-19.1,1.6,70.0,25.8,1024.1
2021-01-17,-26.5,-28.5,-24.1,0.8,74.0,26.4,1030.6
2021-01-18,-33.5,-38.2,-28.2,0.3,71.0,13.7,1032.1
2021-01-19,-41.0,-42.5,-37.6,0.0,263.0,7.3,1027.6
2021-01-20,-42.5,-44.5,-39.8,0.0,244.0,6.2,1023.0
2021-01-21,-39.8,-44.3,-38.3,0.0,223.0,18.3,1018.8
2021-01-22,-42.6,-43.9,-41.7,0.0,206.0,10.7,1021.9
2021-01-23,-40.7,-44.4,-44.5,0.0,322.0,8.3,1027.9
2021-01-24,-41.1,-43.6,-38.5,0.3,292.0,12.8,1030.2
2021-01-25,-38.7,-40.1,-37.3,0.0,268.0,21.0,1035.8
2021-01-26,-40.2,-41.6,-38.1,0.0,227.0,11.6,1046.3
2021-01-27,-33.6,-43.2,-35.4,0.8,63.0,13.6,1044.1
2021-01-28,-28.8,-35.1,-27.0,1.3,65.0,22.6,1030.6
2021-01-29,-33.1,-36.1,-30.4,0.5,61.0,17.1,1033.1
2021-01-30,-36.4,-38.7,-31.0,0.0,49.0,15.5,1039.7
