time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,16.6,13.0,20.0,2.0,67.0,16.9,1013.8
2021-01-02,16.0,15.0,17.0,1.8,78.0,13.2,1010.1
2021-01-03,18.1,14.0,23.0,0.3,18.0,10.9,1010.4
2021-01-04,16.6,10.0,22.0,0.0,57.0,15.1,1016.7
2021-01-05,16.5,15.0,19.0,0.5,85.0,15.5,1017.5
2021-01-06,16.9,14.0,20.0,0.5,64.0,16.9,1013.7
2021-01-07,20.3,16.0,29.0,5.1,149.0,15.6,1003.2
2021-01-08,14.7,12.0,17.0,0.0,211.0,21.8,1007.8
2021-01-09,15.5,11.0,20.0,1.5,43.0,12.3,1010.6
2021-01-10,16.3,13.0,20.0,0.0,75.0,16.5,1009.0
2021-01-11,15.1,12.0,17.0,0.0,100.0,19.4,1015.3
2021-01-12,17.0,14.0,21.0,0.0,57.0,22.0,1019.9
2021-01-13,19.3,16.0,25.0,0.0,79.0,10.5,1018.8
2021-01-14,18.1,15.0,25.0,0.0,160.0,11.7,1015.4
2021-01-15,18.3,16.0,22.0,0.0,68.0,13.8,1012.8
2021-01-16,18.1,17.0,21.0,6.6,66.0,28.1,1007.0
2021-01-17,19.6,15.0,26.0,1.3,6.0,23.2,992.8
2021-01-18,15.9,12.0,22.0,0.0,330.0,17.3,993.2
2021-01-19,17.6,11.0,27.0,0.3,339.0,24.9,987.7
2021-01-20,14.5,9.0,20.0,0.0,321.0,22.0,985.0
2021-01-21,14.5,12.0,17.0,6.6,278.0,12.6,991.3
2021-01-22,15.0,8.0,20.0,0.0,58.0,15.6,1004.8
2021-01-23,18.2,11.0,27.0,0.0,335.0,20.8,1002.2
2021-01-24,17.1,7.0,26.0,0.0,5.0,12.9,1002.3
2021-01-25,19.2,10.0,29.0,0.0,339.0,18.0,1004.6
2021-01-26,22.8,13.0,36.0,0.0,34.0,18.3,1006.2
2021-01-27,25.8,15.0,35.0,0.0,328.0,15.7,1005.5
2021-01-28,15.4,11.0,23.0,14.7,269.0,18.2,1005.0
2021-01-29,12.2,7.0,17.0,0.0,220.0,21.5,1015.3
2021-01-30,13.5,10.0,19.0,0.3,204.0,13.9,1022.3
2021-01-31,14.9,9.0,20.0,0.0,63.0,25.5,1021.8
2021-02-01,17.1,13.0,24.0,0.0,88.0,15.2,1021.8
2021-02-02,16.9,14.0,20.0,0.0,66.0,27.4,1019.2
2021-02-03,18.0,15.0,22.0,0.0,74.0,17.9,1018.5
2021-02-04,13.8,9.0,17.0,0.0,208.0,19.7,1026.6
2021-02-05,12.2,5.0,19.0,0.0,152.0,10.2,1025.3
2021-02-06,14.0,8.0,19.0,0.0,53.0,21.1,1022.5
2021-02-07,16.7,14.0,20.0,0.0,62.0,26.9,1016.2
2021-02-08,20.3,15.0,29.0,0.0,68.0,13.6,1007.4
2021-02-09,19.7,15.0,25.0,19.8,43.0,14.4,997.5
2021-02-10,16.4,12.0,23.0,0.0,268.0,17.9,995.4
2021-02-11,17.6,8.0,25.0,,345.0,12.3,999.5
2021-02-12,15.0,13.0,19.0,,79.0,7.6,1013.5
2021-02-13,15.8,10.0,20.0,0.0,66.0,12.2,1015.3
2021-02-14,16.6,11.0,22.0,0.0,209.0,16.7,1016.0
2021-02-15,16.5,13.0,21.0,3.3,222.0,14.5,1014.3
2021-02-16,13.0,9.0,16.0,0.0,203.0,21.8,1022.9
2021-02-17,11.7,4.0,19.0,0.0,338.0,7.9,1029.0
2021-02-18,13.2,4.0,22.0,0.0,26.0,7.6,1031.7
2021-02-19,15.7,6.0,25.0,0.0,45.0,8.5,1026.3
2021-02-20,17.3,10.0,25.0,,34.0,6.6,1020.6
2021-02-21,18.3,15.0,24.0,0.0,154.0,6.2,1019.8
2021-02-22,17.4,14.0,21.0,0.5,64.0,12.9,1019.4
2021-02-23,21.5,12.0,31.0,0.0,4.0,12.8,1014.0
2021-02-24,24.9,19.0,32.0,0.0,5.0,26.5,1009.3
2021-02-25,16.5,14.0,24.0,0.3,200.0,18.9,1021.3
2021-02-26,15.2,14.0,17.0,1.0,59.0,11.5,1021.3
2021-02-27,16.8,15.0,19.0,0.0,61.0,8.7,1017.1
2021-02-28,18.5,17.0,24.0,0.0,85.0,11.0,1014.3
2021-03-01,17.7,17.0,19.0,0.8,74.0,18.9,1010.0
2021-03-02,20.3,16.0,26.0,0.0,70.0,18.1,1002.3
2021-03-03,21.2,15.0,26.0,0.0,353.0,19.5,995.8
2021-03-04,16.8,13.0,20.0,1.0,65.0,14.4,996.4
2021-03-05,15.3,4.0,24.0,0.0,19.0,11.5,991.8
2021-03-06,19.2,15.0,24.0,0.0,339.0,15.5,989.1
2021-03-07,14.2,7.0,20.0,1.5,198.0,13.4,992.3
2021-03-08,13.4,10.0,18.0,0.0,219.0,13.4,1007.1
2021-03-09,14.4,7.0,21.0,0.3,56.0,18.6,1012.2
2021-03-10,16.2,13.0,21.0,0.5,114.0,13.1,1006.3
2021-03-11,14.2,11.0,18.0,0.0,166.0,14.3,1021.0
2021-03-12,15.3,11.0,19.0,0.0,52.0,9.7,1027.1
2021-03-13,13.1,5.0,21.0,0.0,39.0,20.0,1028.0
2021-03-14,16.6,12.0,22.0,0.0,71.0,21.1,1018.5
2021-03-15,16.6,8.0,24.0,0.0,38.0,9.2,1009.5
2021-03-16,14.7,11.0,19.0,1.5,213.0,14.2,1008.8
2021-03-17,13.8,8.0,22.0,0.0,190.0,11.2,1022.3
2021-03-18,13.6,10.0,18.0,0.0,19.0,11.7,1033.7
2021-03-19,11.4,3.0,19.0,0.0,20.0,7.4,1034.6
2021-03-20,13.2,7.0,17.0,,248.0,7.2,1032.1
2021-03-21,15.1,12.0,21.0,0.0,325.0,7.7,1029.7
2021-03-22,15.2,11.0,20.0,0.0,125.0,7.2,1028.9
2021-03-23,13.5,7.0,21.0,0.5,45.0,11.8,1022.7
2021-03-24,14.1,13.0,15.0,,82.0,7.7,1019.8
2021-03-25,15.3,11.0,20.0,0.0,67.0,20.3,1020.7
2021-03-26,15.9,11.0,22.0,,63.0,18.2,1020.5
2021-03-27,15.4,5.0,26.0,0.0,19.0,10.1,1016.7
2021-03-28,21.6,16.0,28.0,2.0,19.0,11.8,1012.3
2021-03-29,19.5,13.0,28.0,0.0,323.0,8.9,1012.4
2021-03-30,15.3,13.0,20.0,0.0,198.0,10.4,1012.7
2021-03-31,14.8,14.0,17.0,0.8,226.0,9.5,1009.2
2021-04-01,13.5,11.0,18.0,0.0,201.0,15.5,1014.7
2021-04-02,10.9,7.0,15.0,,307.0,12.0,1012.5
2021-04-03,11.9,5.0,17.0,,40.0,13.1,1020.4
2021-04-04,17.7,6.0,28.0,0.3,333.0,22.3,1012.3
2021-04-05,21.6,13.0,29.0,0.0,322.0,20.6,1009.8
2021-04-06,14.2,9.0,19.0,0.0,55.0,14.6,1017.9
2021-04-07,13.6,10.0,18.0,0.0,38.0,16.5,1019.9
2021-04-08,13.6,8.0,20.0,0.3,43.0,10.3,1016.4
2021-04-09,14.8,11.0,20.0,0.0,41.0,10.0,1010.3
2021-04-10,16.2,14.0,18.0,3.6,55.0,21.1,998.1
2021-04-11,19.4,14.0,26.0,0.3,19.0,9.4,1000.5
2021-04-12,15.6,10.0,23.0,0.0,115.0,14.2,1004.4
2021-04-13,15.5,8.0,20.0,0.0,294.0,11.0,999.6
2021-04-14,12.9,10.0,19.0,0.0,234.0,12.5,1003.4
2021-04-15,12.3,8.0,18.0,0.0,39.0,9.2,1000.7
2021-04-16,13.3,5.0,23.0,0.5,322.0,15.2,998.9
2021-04-17,9.4,5.0,13.0,,226.0,10.9,1010.0
2021-04-18,9.8,2.0,19.0,,35.0,6.8,1009.6
2021-04-19,12.8,4.0,24.0,0.0,33.0,6.6,1010.5
2021-04-20,11.5,4.0,18.0,0.0,48.0,6.8,1009.8
2021-04-21,12.5,7.0,18.0,0.3,230.0,12.3,1003.2
2021-04-22,10.1,2.0,18.0,,25.0,6.8,1005.4
2021-04-23,14.1,7.0,22.0,0.3,10.0,6.8,1002.6
2021-04-24,12.3,6.0,19.0,0.0,219.0,9.7,1006.1
2021-04-25,10.3,4.0,18.0,5.1,355.0,10.4,1005.3
2021-04-26,10.0,3.0,18.0,0.3,356.0,11.7,1002.8
2021-04-27,8.7,6.0,13.0,0.5,232.0,13.7,1010.2
2021-04-28,6.5,-2.0,14.0,,346.0,5.8,1016.0
2021-04-29,8.8,0.0,20.0,0.0,354.0,5.8,1017.9
2021-04-30,9.9,3.0,21.0,0.0,258.0,10.7,1023.1
2021-05-01,9.8,2.0,15.0,0.5,248.0,8.2,1031.8
2021-05-02,7.2,-2.0,19.0,0.3,313.0,5.1,1029.8
2021-05-03,8.9,0.0,18.0,0.0,43.0,9.1,1024.7
2021-05-04,10.9,-1.0,22.0,0.3,357.0,6.3,1016.3
2021-05-05,14.1,7.0,20.0,0.0,33.0,9.0,1019.9
2021-05-06,10.9,5.0,17.0,0.0,323.0,10.4,1029.7
2021-05-07,10.5,5.0,16.0,0.0,55.0,18.5,1033.0
2021-05-08,13.5,9.0,17.0,,44.0,10.8,1023.5
2021-05-09,19.3,14.0,24.0,0.3,353.0,16.4,1012.9
2021-05-10,13.3,12.0,15.0,,46.0,10.5,1016.4
