time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,,,,0.0,254.0,6.4,
2021-01-02,-10.7,-12.9,-8.6,3.5,65.0,4.1,1017.8
2021-01-03,-9.1,-11.3,-6.2,0.0,117.0,3.0,1018.4
2021-01-04,-9.7,-11.1,-7.5,0.0,159.0,5.8,1018.6
2021-01-05,-8.1,-10.9,-6.1,0.0,99.0,8.8,1021.9
2021-01-06,-8.6,-10.2,-6.4,0.1,334.0,8.6,1022.1
2021-01-07,-9.2,-12.2,-7.7,0.1,341.0,7.3,1023.7
2021-01-08,-12.5,-14.7,-9.8,1.2,318.0,20.5,1019.8
2021-01-09,-10.9,-13.6,-8.0,0.2,323.0,11.3,1019.1
2021-01-10,-10.5,-12.8,-8.2,0.0,245.0,4.1,1022.0
2021-01-11,-9.3,-10.4,-7.7,0.0,234.0,5.2,1020.3
2021-01-12,-8.6,-11.7,-6.0,0.1,100.0,2.0,1015.2
2021-01-13,-5.1,-6.9,-3.6,3.3,138.0,2.4,1008.5
2021-01-14,-4.0,-5.0,-2.6,0.7,311.0,3.2,1010.2
2021-01-15,-4.5,-8.3,-2.0,0.0,13.0,2.0,1018.5
2021-01-16,-6.4,-9.2,-4.1,10.3,94.0,10.0,1010.9
2021-01-17,-4.0,-4.8,-3.0,1.3,351.0,11.5,990.1
2021-01-18,-11.7,-18.2,-5.2,0.3,295.0,21.3,997.7
2021-01-19,-20.7,-22.9,-17.6,0.0,284.0,9.6,1014.5
2021-01-20,-22.9,-24.9,-19.7,0.0,325.0,5.1,1015.7
2021-01-21,-22.6,-25.7,-19.7,0.0,0.0,5.5,1008.2
2021-01-22,-17.1,-21.9,-13.5,0.5,66.0,8.3,1007.6
2021-01-23,-15.1,-17.3,-12.1,0.6,292.0,14.1,1011.1
2021-01-24,-11.0,-15.5,-7.9,1.0,302.0,18.9,1011.3
2021-01-25,-9.5,-11.9,-6.3,0.0,191.0,4.3,1015.4
2021-01-26,-7.1,-9.4,-4.7,0.5,89.0,2.0,1018.7
2021-01-27,-5.4,-6.2,-3.4,0.1,215.0,5.2,1019.0
2021-01-28,-10.3,-15.7,-6.1,0.2,315.0,6.5,1017.2
