time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,2.2,-0.5,11.7,30.2,97.0,21.6,1014.7
2021-01-02,5.1,2.2,7.2,0.0,281.0,12.2,1016.0
2021-01-03,3.0,1.1,3.3,0.0,262.0,10.4,1015.7
2021-01-04,2.3,0.0,6.7,0.0,341.0,3.6,1016.7
2021-01-05,1.7,0.0,3.9,0.8,316.0,13.0,1017.6
2021-01-06,1.8,1.1,3.3,0.0,1.0,9.7,1026.0
2021-01-07,2.3,1.1,3.9,0.0,58.0,18.0,1024.0
2021-01-08,0.4,-1.0,1.1,0.0,8.0,20.2,1020.1
2021-01-09,-0.8,-5.5,1.7,0.0,341.0,10.1,1024.1
2021-01-10,-2.9,-7.7,2.8,0.0,321.0,4.7,1027.7
2021-01-11,-1.6,-4.9,-1.0,0.0,283.0,9.4,1026.2
2021-01-12,-3.2,-4.9,1.1,0.0,222.0,14.0,1023.9
2021-01-13,0.8,-2.7,8.3,0.0,203.0,15.5,1016.1
2021-01-14,3.7,-1.6,10.0,0.0,178.0,16.9,1006.3
2021-01-15,5.1,0.6,8.3,2.3,207.0,14.8,1001.7
2021-01-16,0.3,-2.1,2.2,0.8,238.0,13.3,1004.8
2021-01-17,1.0,-1.0,2.2,2.3,237.0,13.3,1008.4
2021-01-18,-0.6,-1.6,1.1,0.0,233.0,13.3,1014.3
2021-01-19,2.2,-1.0,7.2,0.0,255.0,12.6,1021.9
2021-01-20,1.4,-2.7,3.3,0.0,246.0,18.4,1021.7
2021-01-21,3.4,0.6,10.6,0.0,239.0,18.0,1011.4
2021-01-22,1.7,-4.9,3.3,0.0,291.0,18.4,1016.6
2021-01-23,-4.4,-10.5,1.1,0.0,32.0,10.4,1027.8
2021-01-24,-1.8,-2.7,0.6,1.0,117.0,9.7,1020.9
2021-01-25,0.1,-0.5,1.7,13.0,48.0,17.3,1013.2
2021-01-26,3.8,1.1,7.2,0.8,260.0,18.7,1008.9
2021-01-27,0.7,-4.3,1.1,3.3,6.0,17.3,1022.5
2021-01-28,-4.1,-8.8,-1.0,0.0,323.0,12.2,1033.6
2021-01-29,-4.6,-8.8,1.7,0.0,357.0,4.7,1030.9
2021-01-30,-2.0,-5.5,2.8,8.6,116.0,17.6,1022.4
2021-01-31,1.9,0.0,4.4,18.0,131.0,16.2,1007.5
2021-02-01,-1.3,-2.1,0.0,5.1,329.0,23.4,1015.4
2021-02-02,-2.9,-8.2,0.6,0.0,322.0,21.6,1019.4
2021-02-03,-2.2,-6.6,2.2,0.0,311.0,11.2,1019.7
2021-02-04,-1.4,-5.5,3.9,3.6,158.0,18.7,1010.2
2021-02-05,0.4,-3.2,3.3,0.0,247.0,24.8,1008.3
2021-02-06,-1.0,-6.6,3.3,0.0,324.0,10.8,1017.3
2021-02-07,-5.4,-10.5,-2.1,0.0,331.0,15.8,1021.5
2021-02-08,-5.5,-9.3,2.8,8.1,68.0,10.4,1024.7
2021-02-09,-2.4,-4.9,-1.0,5.6,5.0,11.9,1024.3
2021-02-10,-5.3,-6.6,-4.9,7.4,36.0,19.4,1024.9
2021-02-11,-5.8,-7.1,-3.2,0.0,30.0,23.0,1024.9
