time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-0.1,-5.6,6.1,,211.0,16.2,1019.9
2021-01-02,1.0,-6.1,3.9,,269.0,26.2,1014.1
2021-01-03,4.1,-3.9,7.8,,245.0,28.0,1011.3
2021-01-04,4.5,1.1,6.1,,,18.8,1015.0
2021-01-05,3.4,0.6,7.2,,269.0,16.9,1015.9
2021-01-06,-1.2,-6.1,5.0,,355.0,7.9,1023.6
2021-01-07,-0.5,-5.0,4.4,,13.0,9.7,1023.6
2021-01-08,-1.1,-5.0,3.3,,71.0,4.5,1027.6
2021-01-09,-2.6,-7.8,1.7,,176.0,6.5,1029.1
2021-01-10,-4.8,-10.0,2.8,,6.0,8.4,1027.3
2021-01-11,-2.8,-10.0,7.2,,4.0,7.8,1025.8
2021-01-12,5.9,-2.2,12.2,,242.0,23.8,1018.2
2021-01-13,7.2,0.6,13.3,,274.0,29.4,1011.5
2021-01-14,-2.2,-8.3,1.7,,313.0,14.1,1028.6
2021-01-15,-3.1,-12.2,5.6,,16.0,9.4,1027.5
2021-01-16,0.4,-3.9,5.6,,15.0,8.3,1023.4
2021-01-17,4.1,-3.3,8.9,,281.0,18.6,1017.0
2021-01-18,-0.4,-4.4,2.8,,339.0,11.3,1023.5
2021-01-19,-2.4,-9.4,4.4,,223.0,17.3,1029.0
2021-01-20,3.5,0.6,6.7,,270.0,24.7,1015.6
2021-01-21,-2.4,-6.1,0.6,,29.0,11.3,1018.4
2021-01-22,-5.0,-7.8,-0.6,,56.0,6.0,1017.5
2021-01-23,-5.1,-7.8,-3.3,,46.0,10.4,1015.0
2021-01-24,-5.6,-13.3,2.2,,154.0,9.8,1011.1
2021-01-25,-7.7,-12.2,-1.1,,26.0,8.6,1011.6
2021-01-26,-8.7,-13.3,-1.1,,35.0,6.0,1013.7
2021-01-27,-3.9,-13.9,3.3,,172.0,13.6,1017.1
2021-01-28,-0.6,-10.0,8.3,,112.0,11.2,1016.3
2021-01-29,1.6,-5.6,8.3,,32.0,5.7,1007.0
2021-01-30,-0.2,-4.0,3.9,,13.0,10.1,1015.9
2021-01-31,0.8,-7.8,8.3,,212.0,17.1,1027.1
2021-02-01,3.9,-5.6,12.8,,173.0,11.1,1021.8
