time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-20.5,-25.8,-15.2,0.0,126.0,2.5,1014.1
2021-01-02,-18.0,-19.0,-16.9,5.1,86.0,9.8,1004.5
2021-01-03,-18.2,-18.7,-17.8,2.4,102.0,10.7,997.5
2021-01-04,-16.7,-19.9,-13.4,0.1,145.0,3.8,1007.1
2021-01-05,-17.5,-21.6,-13.5,0.9,74.0,6.6,1017.7
2021-01-06,-12.9,-17.9,-8.0,0.5,147.0,13.0,1014.7
2021-01-07,-8.2,-14.7,-1.6,0.0,249.0,8.8,1013.3
2021-01-08,-14.3,-21.9,-6.8,0.0,262.0,5.9,1024.3
2021-01-09,-16.2,-23.6,-8.9,0.0,251.0,3.8,1021.4
2021-01-10,-9.1,-11.4,-6.7,0.0,262.0,7.7,1009.9
2021-01-11,-9.7,-14.0,-5.5,0.0,244.0,4.9,1003.9
2021-01-12,-6.8,-14.1,0.5,2.2,265.0,10.3,996.3
2021-01-13,-6.1,-8.8,-3.3,0.0,244.0,6.4,995.0
2021-01-14,-12.8,-21.5,-4.0,0.0,317.0,15.0,1014.2
2021-01-15,-17.2,-22.6,-11.8,0.2,207.0,6.3,1019.0
2021-01-16,-20.9,-30.6,-11.2,0.6,48.0,7.2,1013.6
2021-01-17,-27.0,-33.4,-20.6,0.0,96.0,4.1,1021.9
2021-01-18,-24.7,-29.6,-19.8,0.9,38.0,3.5,1023.8
2021-01-19,-20.9,-29.8,-11.9,3.6,167.0,7.3,1008.6
2021-01-20,-18.9,-25.1,-12.7,1.7,47.0,7.1,998.9
2021-01-21,-20.1,-22.3,-17.8,0.2,302.0,12.1,1018.6
2021-01-22,-28.1,-34.3,-21.9,0.0,327.0,7.1,1021.1
2021-01-23,-33.9,-40.4,-27.3,0.0,272.0,5.2,1028.1
2021-01-24,-37.8,-44.7,-31.0,0.0,295.0,2.8,1034.9
2021-01-25,-34.5,-42.6,-26.4,0.0,280.0,3.8,1038.8
2021-01-26,-28.4,-33.5,-23.4,0.0,263.0,3.6,1034.1
2021-01-27,-30.9,-38.9,-22.9,0.0,173.0,4.8,1035.9
2021-01-28,-20.0,-23.7,-16.3,0.9,147.0,11.8,1028.4
2021-01-29,-20.9,-27.3,-14.6,0.0,145.0,5.8,1020.8
2021-01-30,-25.5,-31.6,-19.4,0.0,345.0,1.8,1025.3
2021-01-31,-21.7,-29.7,-13.7,0.0,252.0,3.6,1028.5
2021-02-01,-16.1,-23.3,-9.0,1.7,99.0,6.0,1024.4
2021-02-02,-12.2,-15.6,-8.9,0.2,317.0,6.8,1015.5
2021-02-03,-22.8,-30.1,-15.6,0.0,40.0,6.9,1020.3
2021-02-04,-25.5,-30.3,-20.8,0.0,293.0,7.8,1019.9
2021-02-05,-33.7,-39.0,-28.4,0.0,312.0,17.0,1026.8
2021-02-06,-39.4,-43.4,-35.3,0.0,294.0,11.8,1033.6
2021-02-07,-39.2,-43.4,-35.0,0.1,296.0,16.4,1030.5
2021-02-08,-30.5,-35.4,-25.6,0.6,309.0,27.3,1018.3
2021-02-09,-29.6,-33.2,-26.1,0.1,344.0,12.4,1022.9
2021-02-10,-35.4,-40.9,-29.9,0.0,6.0,6.8,1040.1
2021-02-11,-25.7,-30.7,-20.7,0.1,325.0,15.3,1034.3
2021-02-12,-25.3,-29.2,-21.3,0.0,337.0,3.9,1037.6
2021-02-13,-27.3,-32.3,-22.3,0.0,288.0,8.5,1040.3
2021-02-14,-24.4,-33.1,-15.7,0.0,256.0,6.0,1036.4
2021-02-15,-24.1,-32.6,-15.6,0.0,270.0,3.3,1027.1
2021-02-16,-22.0,-31.3,-12.8,0.0,254.0,4.0,1018.5
2021-02-17,-24.7,-31.6,-17.8,0.0,270.0,8.0,1023.1
2021-02-18,-23.3,-34.0,-12.6,0.0,232.0,7.3,1024.9
2021-02-19,-10.9,-16.6,-5.1,0.0,198.0,10.2,1005.6
2021-02-20,-7.6,-14.9,-0.3,0.0,248.0,6.2,995.2
2021-02-21,-7.8,-15.0,-0.7,0.7,224.0,6.0,990.1
2021-02-22,-14.6,-24.1,-5.1,0.4,334.0,9.7,994.1
2021-02-23,-22.2,-28.1,-16.4,0.0,13.0,4.3,1014.0
2021-02-24,-22.7,-29.2,-16.2,0.0,255.0,5.7,1021.7
2021-02-25,-24.7,-33.0,-16.4,0.0,2.0,10.1,1007.9
2021-02-26,-34.3,-42.5,-26.0,0.0,294.0,8.3,1019.1
2021-02-27,-27.4,-34.7,-20.1,0.0,275.0,9.8,1018.8
2021-02-28,-31.4,-39.7,-23.2,0.0,288.0,10.5,1026.5
2021-03-01,-26.6,-35.1,-18.2,1.6,96.0,5.8,1015.0
2021-03-02,-24.9,-34.7,-15.0,1.1,138.0,8.0,1011.2
2021-03-03,-9.9,-18.1,-1.8,0.1,173.0,6.4,1010.7
2021-03-04,-14.3,-20.7,-7.8,0.0,53.0,8.2,1030.2
2021-03-05,-9.6,-12.6,-6.7,0.0,116.0,15.7,1029.4
2021-03-06,-2.8,-7.8,2.2,0.0,171.0,13.1,1005.7
2021-03-07,-1.8,-8.1,4.5,0.0,267.0,10.1,1004.7
2021-03-08,-11.4,-18.5,-4.2,0.0,291.0,17.9,1018.4
2021-03-09,-13.9,-20.8,-7.1,0.0,300.0,6.5,1018.5
2021-03-10,-20.1,-25.5,-14.7,1.8,335.0,12.2,1018.7
2021-03-11,-20.0,-28.4,-11.6,0.0,257.0,7.2,1021.7
2021-03-12,-6.5,-15.2,2.1,0.0,248.0,12.3,1012.5
2021-03-13,-13.7,-18.8,-8.6,0.0,339.0,9.7,1032.4
2021-03-14,-6.0,-14.5,2.5,0.0,149.0,16.9,1020.2
2021-03-15,-7.8,-17.8,2.3,0.0,257.0,16.9,1007.8
2021-03-16,-9.0,-19.6,1.6,0.0,267.0,10.9,1012.2
2021-03-17,-7.1,-18.4,4.3,0.0,160.0,7.4,1018.7
2021-03-18,4.2,-3.1,11.5,0.0,238.0,9.4,1010.5
2021-03-19,4.1,-3.0,11.2,0.0,197.0,7.8,1002.8
2021-03-20,1.6,-4.4,7.7,0.0,280.0,9.0,999.9
2021-03-21,-9.9,-18.9,-1.0,0.9,317.0,19.7,1007.3
2021-03-22,-21.2,-24.2,-18.1,0.0,309.0,15.2,1021.3
2021-03-23,-22.9,-29.1,-16.7,0.0,63.0,7.7,1035.8
2021-03-24,-19.4,-24.7,-14.1,7.5,112.0,15.8,1022.1
2021-03-25,-18.8,-25.1,-12.4,6.5,120.0,12.6,1016.9
2021-03-26,-17.7,-26.4,-9.0,0.0,284.0,6.0,1014.6
2021-03-27,-13.4,-21.9,-4.8,0.0,265.0,10.4,1018.1
2021-03-28,-16.3,-24.2,-8.3,7.8,95.0,14.3,1009.2
2021-03-29,-13.9,-17.9,-9.8,3.8,71.0,14.8,1010.8
2021-03-30,-15.5,-22.2,-8.8,0.0,114.0,6.2,1019.9
2021-03-31,-13.1,-25.7,-0.5,0.0,224.0,5.5,1016.7
2021-04-01,0.3,-7.0,7.7,0.2,191.0,8.7,1002.3
2021-04-02,-3.3,-11.4,4.8,0.0,275.0,21.5,1003.2
2021-04-03,-12.0,-20.5,-3.5,0.0,289.0,12.8,1020.0
2021-04-04,-7.0,-21.4,7.4,1.9,171.0,7.9,1016.9
2021-04-05,-6.4,-13.1,0.4,1.5,5.0,8.6,1008.9
2021-04-06,-10.0,-16.8,-3.2,0.3,58.0,4.1,1015.0
2021-04-07,-3.6,-8.9,1.8,1.0,75.0,10.0,1016.4
2021-04-08,1.3,-6.2,8.8,0.2,196.0,19.0,1004.9
2021-04-09,-7.1,-12.3,-2.0,0.0,329.0,10.4,1014.0
2021-04-10,-7.9,-15.4,-0.5,0.0,72.0,7.3,1013.8
2021-04-11,-12.0,-17.9,-6.1,0.0,80.0,6.8,1029.3
2021-04-12,-12.0,-22.8,-1.3,0.0,337.0,5.8,1039.1
2021-04-13,-10.5,-21.6,0.6,0.0,192.0,8.0,1042.1
2021-04-14,-2.0,-9.1,5.2,0.0,178.0,10.0,1032.2
2021-04-15,-0.5,-6.4,5.4,0.0,327.0,7.0,1027.2
2021-04-16,-0.1,-10.0,9.7,0.0,281.0,6.5,1026.1
2021-04-17,-4.1,-9.9,1.6,0.0,353.0,13.2,1025.4
2021-04-18,-9.0,-15.4,-2.7,0.3,326.0,11.4,1032.2
2021-04-19,-7.2,-11.5,-2.9,0.0,346.0,10.3,1030.1
2021-04-20,-3.0,-12.2,6.2,0.0,269.0,12.0,1022.0
2021-04-21,4.8,-5.0,14.6,0.0,280.0,10.0,1005.7
2021-04-22,-9.1,-13.3,-5.0,0.2,323.0,18.5,1015.6
2021-04-23,-13.4,-17.9,-8.8,0.0,301.0,15.2,1019.9
2021-04-24,-8.9,-13.6,-4.3,0.0,275.0,11.2,1015.7
2021-04-25,-12.8,-19.4,-6.3,0.2,261.0,12.0,1007.9
2021-04-26,-11.7,-19.5,-4.0,4.2,46.0,8.7,1002.8
2021-04-27,-13.9,-18.0,-9.8,0.0,301.0,17.7,1016.5
2021-04-28,-11.3,-19.1,-3.5,0.1,269.0,18.7,1017.0
2021-04-29,-4.2,-8.6,0.3,0.0,294.0,20.7,1017.9
2021-04-30,-6.0,-11.1,-0.9,19.6,115.0,12.6,1009.1
2021-05-01,-6.5,-9.2,-3.8,1.0,77.0,10.3,1008.8
2021-05-02,-9.4,-15.1,-3.6,0.0,347.0,12.5,1020.9
2021-05-03,-6.5,-12.0,-1.1,0.0,319.0,10.9,1024.5
