time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,22.6,,28.0,,,,
2021-01-02,17.9,12.5,24.4,0.1,167.0,6.9,1017.6
2021-01-03,17.2,11.6,24.1,0.0,157.0,6.5,1018.2
2021-01-04,22.1,11.2,26.4,0.0,155.0,6.6,1018.1
2021-01-05,17.3,8.2,26.4,0.0,58.0,6.2,1018.0
2021-01-06,17.6,8.0,26.0,0.0,156.0,6.2,1019.0
2021-01-07,20.9,7.4,25.0,0.0,181.0,6.7,1017.7
2021-01-08,18.8,7.0,24.6,0.0,175.0,6.7,1016.6
2021-01-09,14.9,10.0,21.3,0.0,178.0,6.6,1016.9
2021-01-10,15.7,12.1,21.2,0.0,150.0,6.0,1016.7
2021-01-11,15.0,11.2,20.3,1.2,160.0,5.5,1017.7
2021-01-12,14.6,10.7,19.5,0.1,161.0,6.2,1019.3
2021-01-13,15.0,9.7,21.4,0.0,179.0,6.1,1019.6
2021-01-14,16.1,9.6,23.2,0.0,204.0,6.0,1017.4
2021-01-15,17.4,10.9,25.0,0.0,127.0,6.3,1016.1
2021-01-16,17.4,11.0,24.8,0.0,174.0,6.2,1016.2
2021-01-17,17.4,11.0,25.3,0.0,30.0,6.2,1016.2
2021-01-18,16.6,9.7,24.4,0.0,27.0,6.8,1017.7
2021-01-19,17.0,10.9,24.0,0.0,169.0,6.6,1018.6
2021-01-20,16.5,9.6,23.6,0.0,132.0,7.0,1019.4
2021-01-21,17.1,10.6,23.7,0.0,157.0,6.5,1019.7
2021-01-22,16.7,11.2,22.7,0.0,165.0,7.0,1019.0
2021-01-23,17.1,12.5,23.5,0.0,181.0,6.3,1018.3
2021-01-24,17.6,12.8,23.9,0.0,180.0,6.9,1017.8
2021-01-25,17.6,12.1,24.1,0.0,180.0,7.9,1018.9
2021-01-26,16.9,10.7,23.8,0.0,151.0,6.8,1018.6
2021-01-27,17.2,10.6,24.8,0.0,175.0,6.7,1018.3
2021-01-28,17.6,9.9,25.3,0.0,193.0,6.3,1018.0
2021-01-29,18.5,11.6,25.3,0.0,187.0,7.1,1018.1
2021-01-30,18.1,11.2,24.7,0.0,110.0,6.6,1018.2
2021-01-31,18.0,11.9,24.4,0.0,183.0,7.1,1018.0
2021-02-01,17.3,10.6,24.4,0.0,181.0,7.8,1019.5
2021-02-02,17.6,12.8,24.5,0.0,174.0,8.1,1020.9
2021-02-03,17.6,13.4,24.5,0.0,170.0,7.3,1020.0
2021-02-04,17.4,12.5,24.1,0.0,177.0,9.1,1018.6
2021-02-05,19.3,11.7,26.5,0.0,153.0,7.0,1015.6
2021-02-06,16.2,13.3,20.9,2.8,85.0,6.2,1017.7
2021-02-07,14.6,12.7,17.4,2.8,147.0,7.7,1018.2
2021-02-08,13.5,11.5,16.4,4.1,124.0,6.7,1019.0
2021-02-09,12.6,11.0,14.9,7.3,158.0,5.9,1022.0
2021-02-10,14.1,10.6,19.2,0.8,157.0,5.9,1020.1
2021-02-11,15.3,9.5,21.8,0.0,203.0,6.3,1017.7
2021-02-12,17.2,11.0,23.4,0.0,201.0,6.6,1016.4
2021-02-13,18.2,11.9,24.4,0.0,188.0,6.2,1016.2
2021-02-14,18.0,12.4,23.6,0.0,185.0,6.0,1017.6
2021-02-15,18.0,12.6,24.3,0.0,193.0,7.0,1017.1
2021-02-16,19.3,12.3,26.1,0.0,187.0,7.5,1014.5
2021-02-17,20.0,13.5,27.0,0.0,167.0,7.5,1014.0
2021-02-18,17.6,12.8,22.3,2.9,68.0,7.2,1018.0
2021-02-19,16.1,14.3,19.2,5.1,138.0,6.7,1019.4
2021-02-20,16.7,14.1,21.9,4.7,137.0,4.8,1019.2
2021-02-21,17.1,14.3,21.5,4.2,139.0,6.4,1018.5
2021-02-22,17.2,14.3,22.3,2.2,138.0,6.7,1019.0
2021-02-23,17.8,11.5,24.5,0.2,251.0,6.0,1018.3
2021-02-24,17.6,10.7,24.4,0.0,138.0,6.7,1017.6
2021-02-25,17.5,11.1,24.2,0.0,148.0,6.7,1017.6
2021-02-26,18.2,13.0,24.6,1.0,156.0,7.0,1016.9
2021-02-27,17.8,15.0,22.7,12.5,178.0,4.7,1017.0
2021-02-28,17.6,15.1,21.5,2.9,214.0,5.5,1017.3
2021-03-01,18.2,14.5,22.1,1.8,64.0,5.6,1017.6
2021-03-02,18.0,14.3,21.8,3.2,130.0,6.1,1018.7
2021-03-03,18.1,11.9,24.6,0.0,124.0,6.2,1017.9
2021-03-04,17.8,10.3,24.9,0.0,94.0,6.4,1017.2
2021-03-05,18.2,11.3,25.4,0.0,32.0,6.7,1018.2
2021-03-06,18.0,10.7,25.3,0.0,121.0,6.7,1018.4
2021-03-07,17.2,10.8,24.6,0.0,162.0,8.7,1018.0
2021-03-08,18.1,9.9,26.7,0.0,171.0,7.8,1016.2
2021-03-09,20.0,13.0,27.0,0.0,177.0,7.5,1016.2
2021-03-10,20.5,13.1,27.7,0.0,179.0,7.5,1015.9
2021-03-11,20.5,13.4,27.3,0.0,162.0,7.5,1015.2
2021-03-12,20.4,13.0,28.5,0.0,161.0,7.5,1015.0
2021-03-13,20.3,13.1,27.6,0.0,141.0,7.0,1015.4
2021-03-14,20.5,13.0,28.3,0.0,166.0,7.3,1014.7
2021-03-15,20.3,13.4,27.6,0.0,155.0,7.6,1014.3
2021-03-16,20.3,13.6,27.6,0.1,151.0,7.4,1014.7
2021-03-17,19.6,12.0,27.3,0.0,149.0,7.9,1014.9
2021-03-18,20.3,12.8,28.0,0.0,90.0,7.2,1015.0
2021-03-19,20.2,12.8,27.6,0.0,43.0,8.1,1015.6
2021-03-20,19.8,12.1,26.7,0.0,45.0,7.2,1015.9
2021-03-21,19.0,11.4,26.8,0.0,124.0,8.4,1015.5
2021-03-22,19.0,11.6,26.5,0.0,147.0,9.2,1017.4
2021-03-23,19.2,9.6,27.3,0.0,125.0,7.6,1017.9
2021-03-24,20.3,11.8,28.3,0.0,172.0,7.8,1016.5
2021-03-25,20.2,11.2,28.8,0.0,164.0,7.2,1014.7
2021-03-26,19.5,10.9,27.6,0.0,19.0,7.5,1016.2
2021-03-27,19.2,11.3,26.5,0.0,41.0,7.6,1016.8
2021-03-28,19.7,12.2,27.1,0.0,72.0,7.3,1017.0
2021-03-29,20.2,12.4,27.0,0.0,137.0,7.7,1016.6
2021-03-30,20.7,13.1,28.4,0.0,140.0,7.9,1015.2
2021-03-31,20.5,14.5,26.8,0.0,111.0,7.4,1015.9
2021-04-01,21.1,13.6,28.4,0.0,135.0,7.6,1016.2
2021-04-02,22.3,9.2,30.2,0.0,28.0,7.7,1017.0
2021-04-03,21.6,10.2,29.2,0.0,66.0,7.7,1016.7
2021-04-04,22.6,12.4,28.5,0.0,99.0,8.4,1017.0
2021-04-05,21.1,14.8,27.6,0.0,89.0,6.8,1016.8
2021-04-06,22.9,12.2,29.0,0.0,106.0,8.7,1017.6
2021-04-07,20.7,11.0,30.6,0.0,86.0,8.3,1018.6
2021-04-08,21.7,8.2,30.0,0.0,34.0,6.6,1016.8
2021-04-09,22.9,6.6,31.9,0.0,87.0,7.0,1013.3
2021-04-10,24.3,13.4,31.0,0.1,49.0,6.5,1013.2
2021-04-11,25.7,14.4,29.6,0.0,39.0,7.5,1015.5
2021-04-12,22.3,14.6,28.0,1.6,105.0,6.4,1017.0
2021-04-13,22.9,15.9,28.2,0.4,25.0,6.4,1017.3
2021-04-14,20.4,13.0,26.0,0.0,53.0,6.6,1016.3
2021-04-15,20.9,14.0,27.3,0.0,184.0,7.3,1015.3
2021-04-16,21.7,15.0,28.6,0.0,103.0,7.8,1014.5
2021-04-17,21.5,13.5,27.8,0.0,79.0,8.2,1015.5
2021-04-18,20.8,14.5,26.9,0.0,51.0,8.8,1017.4
2021-04-19,20.6,14.1,27.1,0.0,74.0,8.8,1017.4
2021-04-20,23.2,13.0,29.6,0.1,88.0,7.9,1017.0
2021-04-21,21.4,13.9,27.7,0.1,82.0,7.9,1015.8
2021-04-22,24.8,14.9,28.6,0.8,68.0,6.8,1016.9
2021-04-23,24.2,16.2,28.8,1.2,0.0,7.2,1015.9
2021-04-24,24.6,16.5,30.3,0.4,51.0,7.9,1014.6
2021-04-25,25.1,16.1,28.8,4.3,28.0,6.4,1015.4
2021-04-26,18.9,16.9,21.8,11.1,173.0,3.5,1016.3
2021-04-27,19.2,16.6,26.2,17.9,31.0,3.6,1015.6
2021-04-28,18.4,16.0,23.8,19.1,9.0,4.1,1016.5
2021-04-29,18.8,15.3,26.2,17.9,261.0,4.7,1016.3
2021-04-30,18.5,15.5,25.0,8.0,207.0,4.4,1016.3
2021-05-01,18.7,15.0,26.0,11.0,112.0,4.6,1015.7
2021-05-02,17.8,15.4,22.0,8.9,130.0,3.9,1016.0
2021-05-03,17.6,15.0,21.4,6.3,312.0,4.6,1015.5
2021-05-04,17.3,14.3,21.6,9.0,334.0,3.6,1015.3
2021-05-05,18.0,15.2,21.6,18.8,355.0,4.4,1015.9
2021-05-06,18.6,14.9,26.6,2.9,339.0,4.3,1016.8
2021-05-07,20.1,14.8,25.5,0.0,341.0,6.9,1017.9
2021-05-08,18.2,13.4,22.7,2.3,351.0,6.0,1017.5
2021-05-09,18.6,13.9,23.4,0.3,251.0,6.2,1016.3
2021-05-10,18.7,12.2,27.6,6.8,341.0,6.8,1016.9
2021-05-11,20.4,14.0,30.0,0.4,357.0,6.3,1017.0
2021-05-12,23.6,14.8,29.0,0.0,348.0,7.4,1016.1
2021-05-13,25.1,13.2,29.2,0.0,349.0,6.6,1015.6
2021-05-14,23.9,15.4,29.5,0.1,348.0,7.0,1015.2
2021-05-15,22.4,17.2,28.8,7.0,328.0,7.0,1015.2
2021-05-16,20.9,17.2,27.0,11.9,319.0,7.1,1015.4
2021-05-17,24.7,16.2,28.1,9.9,340.0,8.3,1015.6
2021-05-18,21.5,12.5,28.0,0.0,352.0,6.5,1014.9
2021-05-19,21.3,12.9,29.2,0.0,350.0,7.8,1014.6
2021-05-20,26.1,14.8,30.2,0.0,333.0,8.6,1014.8
2021-05-21,23.6,12.2,29.9,0.0,345.0,8.7,1015.2
2021-05-22,22.0,12.7,29.5,0.0,349.0,7.9,1014.1
2021-05-23,22.4,14.4,29.5,0.0,204.0,6.4,1013.7
2021-05-24,22.3,13.8,30.3,0.0,358.0,7.4,1014.8
2021-05-25,22.4,14.6,29.5,0.0,0.0,7.1,1015.5
2021-05-26,23.6,13.2,30.0,0.0,349.0,8.7,1014.6
2021-05-27,24.1,14.0,30.3,0.0,333.0,9.7,1015.1
2021-05-28,22.0,15.0,28.9,0.0,3.0,8.8,1016.0
2021-05-29,23.3,13.0,29.5,0.0,10.0,11.4,1016.3
2021-05-30,23.5,13.3,31.5,0.0,14.0,9.7,1016.1
2021-05-31,24.9,15.6,30.3,0.0,351.0,8.4,1014.2
2021-06-01,23.1,15.0,30.2,0.0,346.0,8.5,1012.2
2021-06-02,23.3,14.2,29.2,0.0,6.0,8.1,1013.6
