time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.7,-1.2,3.7,2.5,317.0,14.9,1010.6
2021-01-02,1.1,0.2,2.5,0.4,320.0,14.7,1015.8
2021-01-03,3.1,1.1,5.0,1.0,6.0,14.5,1019.5
2021-01-04,3.9,2.7,5.2,0.0,43.0,20.9,1023.2
2021-01-05,3.2,2.0,5.1,0.0,23.0,16.4,1023.0
2021-01-06,2.9,0.7,5.6,0.3,357.0,12.9,1021.1
2021-01-07,-0.2,-2.4,2.1,0.0,301.0,11.8,1017.4
2021-01-08,-0.4,-1.7,0.9,0.1,306.0,5.6,1018.6
2021-01-09,0.1,-2.7,3.2,0.0,280.0,8.7,1025.7
2021-01-10,1.3,-2.5,5.0,0.0,251.0,13.2,1023.2
2021-01-11,6.0,2.2,8.2,0.7,247.0,26.0,1012.9
2021-01-12,4.2,0.6,8.2,2.7,311.0,15.4,1012.9
2021-01-13,1.0,-1.2,2.7,5.7,281.0,6.3,1017.9
2021-01-14,1.5,0.5,2.2,21.4,83.0,14.6,1019.1
2021-01-15,0.5,-0.5,1.2,0.0,283.0,8.1,1029.6
2021-01-16,3.2,0.1,6.7,9.3,208.0,19.6,1017.6
2021-01-17,4.6,2.2,7.0,0.2,272.0,16.4,1020.9
2021-01-18,4.1,-0.2,7.5,3.2,224.0,17.9,1017.5
2021-01-19,9.3,7.1,11.5,6.2,220.0,23.7,998.8
2021-01-20,10.3,9.2,11.0,7.6,192.0,34.0,982.8
2021-01-21,4.0,1.2,8.8,4.0,238.0,32.0,979.1
2021-01-22,3.0,1.0,6.5,0.4,241.0,16.7,989.4
2021-01-23,0.8,-1.7,3.1,0.7,265.0,10.6,994.1
2021-01-24,-1.1,-4.5,0.9,0.0,24.0,8.6,997.9
2021-01-25,0.6,-3.2,5.7,0.0,276.0,17.3,1007.2
2021-01-26,1.1,-1.4,3.0,3.8,198.0,11.8,1013.8
2021-01-27,5.2,2.5,8.7,0.1,259.0,10.6,1009.7
2021-01-28,6.2,4.7,8.7,17.2,125.0,13.4,1000.0
2021-01-29,8.4,4.7,10.7,2.9,271.0,20.7,995.5
2021-01-30,3.3,2.1,5.0,0.0,82.0,26.4,1002.1
2021-01-31,1.9,-1.0,4.2,0.2,86.0,14.5,1000.6
2021-02-01,3.1,-0.5,6.5,0.1,46.0,9.2,997.6
2021-02-02,4.7,0.5,9.2,12.4,120.0,17.6,993.7
2021-02-03,6.6,4.1,8.6,0.5,248.0,12.8,994.3
2021-02-04,4.8,0.5,8.6,8.0,127.0,9.2,1007.8
2021-02-05,7.0,5.6,9.0,3.0,140.0,9.2,1007.6
2021-02-06,4.9,2.6,6.1,8.8,85.0,20.6,1008.7
2021-02-07,2.2,1.1,3.5,0.4,55.0,32.9,1009.2
2021-02-08,0.2,-0.5,1.1,4.5,58.0,27.5,1007.2
2021-02-09,0.0,-1.2,1.0,1.5,74.0,17.6,1009.7
2021-02-10,-0.6,-2.4,2.0,0.6,40.0,14.3,1017.9
2021-02-11,-1.1,-4.0,2.0,0.0,101.0,12.6,1028.3
2021-02-12,-1.4,-4.0,1.0,0.0,110.0,22.3,1032.7
2021-02-13,-0.9,-3.0,1.2,0.0,138.0,23.3,1033.2
2021-02-14,1.1,0.1,2.1,2.8,161.0,24.8,1023.8
2021-02-15,5.8,2.5,11.7,0.5,184.0,12.6,1016.2
2021-02-16,8.7,6.2,11.2,1.2,195.0,20.3,1006.8
2021-02-17,8.6,4.1,12.7,1.9,193.0,20.8,1006.5
2021-02-18,8.0,4.7,9.7,1.6,203.0,26.1,1000.5
2021-02-19,7.3,2.7,10.0,0.0,181.0,27.0,1004.5
2021-02-20,11.6,10.0,14.0,0.0,170.0,25.1,1000.6
2021-02-21,10.4,8.1,12.5,0.7,167.0,11.7,1007.3
2021-02-22,6.6,2.6,9.2,1.2,160.0,6.9,1014.1
2021-02-23,8.6,1.6,13.5,0.0,182.0,27.0,1019.4
2021-02-24,13.7,11.5,17.7,0.0,200.0,33.7,1018.1
2021-02-25,9.5,2.7,12.7,0.2,261.0,16.9,1025.1
2021-02-26,5.5,0.7,11.2,0.0,292.0,8.8,1036.2
2021-02-27,5.2,-0.2,11.0,0.0,328.0,7.4,1041.0
2021-02-28,3.3,-2.2,10.0,0.0,55.0,6.3,1038.4
2021-03-01,3.3,1.5,4.7,0.0,83.0,13.7,1034.0
2021-03-02,4.2,3.1,5.2,0.0,66.0,9.0,1031.2
2021-03-03,3.2,2.5,4.5,0.1,9.0,5.2,1028.5
2021-03-04,4.8,3.6,7.2,0.1,12.0,13.4,1026.3
2021-03-05,4.6,3.5,6.2,0.2,39.0,11.7,1033.1
