time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.1,15.5,30.5,,25.0,20.4,1012.8
2021-01-02,24.6,17.5,31.7,0.0,39.0,15.5,1011.6
2021-01-03,20.6,17.5,32.1,17.0,359.0,8.5,1012.0
2021-01-04,23.3,17.2,29.5,7.9,21.0,7.9,1008.3
2021-01-05,20.6,16.3,30.5,9.9,190.0,17.5,1011.8
2021-01-06,20.7,15.8,25.7,0.0,185.0,11.2,1013.8
2021-01-07,21.4,11.4,30.7,0.0,3.0,8.3,1011.6
2021-01-08,22.9,15.9,31.5,0.1,179.0,14.9,1011.5
2021-01-09,21.1,15.9,30.9,14.0,85.0,8.8,1010.4
2021-01-10,24.4,18.6,30.7,0.0,18.0,17.7,1005.4
2021-01-11,22.0,16.8,31.8,0.0,131.0,14.0,1006.8
2021-01-12,20.4,16.4,25.0,5.1,191.0,8.7,1017.4
2021-01-13,21.6,17.5,26.0,2.0,21.0,7.7,1016.8
2021-01-14,23.2,18.8,28.0,0.0,17.0,12.7,1012.8
2021-01-15,22.4,19.0,27.5,0.0,70.0,10.1,1006.1
2021-01-16,20.3,14.3,26.8,13.0,170.0,15.2,1007.8
2021-01-17,18.5,9.5,26.5,9.9,238.0,11.3,1015.4
2021-01-18,20.8,11.8,29.2,0.0,2.0,13.9,1015.2
2021-01-19,21.4,12.7,29.8,0.0,16.0,14.1,1015.2
2021-01-20,22.0,14.9,30.3,0.0,16.0,11.5,1016.2
2021-01-21,22.7,14.7,31.0,0.0,7.0,10.0,1016.8
2021-01-22,23.8,16.0,31.6,0.2,7.0,10.3,1016.1
2021-01-23,25.6,18.7,32.1,1.6,15.0,12.0,1011.9
2021-01-24,25.4,19.8,33.0,1.3,352.0,11.5,1008.9
2021-01-25,23.3,18.6,34.4,0.0,351.0,10.0,1004.8
2021-01-26,23.3,19.0,33.7,18.0,246.0,9.5,1004.0
2021-01-27,24.7,19.8,30.4,0.0,302.0,9.2,1006.3
2021-01-28,24.3,18.9,31.9,2.0,326.0,12.1,1003.9
