time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,3.0,1.7,4.6,,336.0,24.5,1018.1
2021-01-02,2.2,-0.4,5.1,,323.0,18.0,1023.0
2021-01-03,0.2,-1.5,2.5,,339.0,21.3,1024.2
2021-01-04,1.2,-0.5,3.0,,5.0,21.8,1026.0
2021-01-05,1.9,0.7,3.7,,10.0,20.0,1027.3
2021-01-06,0.2,-1.7,2.2,,337.0,19.1,1025.0
2021-01-07,0.8,-1.4,3.7,,319.0,14.0,1021.7
2021-01-08,0.6,-1.5,2.3,0.0,342.0,20.4,1024.0
2021-01-09,-0.1,-2.6,3.5,,311.0,11.1,1028.1
2021-01-10,3.5,-1.0,6.0,,263.0,11.3,1027.4
2021-01-11,6.5,1.5,9.2,,240.0,20.7,1019.1
2021-01-12,9.6,8.5,11.0,,253.0,18.2,1017.2
2021-01-13,9.4,8.5,10.0,,234.0,22.2,1018.4
2021-01-14,7.2,5.0,9.5,,305.0,20.1,1023.7
2021-01-15,6.5,2.6,9.7,,181.0,18.2,1024.0
2021-01-16,7.3,4.7,10.5,,278.0,22.2,1019.8
2021-01-17,4.6,2.1,7.2,,254.0,12.2,1027.8
2021-01-18,7.1,1.1,10.5,,203.0,14.9,1016.9
2021-01-19,9.7,8.7,10.5,9.9,220.0,30.9,997.2
2021-01-20,5.2,2.2,9.6,,299.0,20.3,982.8
2021-01-21,3.2,0.3,6.6,0.0,270.0,16.4,986.5
2021-01-22,2.3,0.5,5.6,,286.0,14.1,994.0
2021-01-23,1.2,-0.9,4.5,,258.0,11.4,997.8
2021-01-24,1.3,-0.7,3.8,,296.0,20.4,999.8
2021-01-25,1.9,-1.3,5.2,0.0,231.0,9.3,1012.0
2021-01-26,7.7,3.0,9.5,,218.0,15.0,1009.3
2021-01-27,9.5,8.2,10.5,,205.0,14.6,1008.3
2021-01-28,9.9,8.2,10.7,,228.0,26.7,998.3
2021-01-29,8.0,6.7,10.2,,228.0,25.4,998.4
2021-01-30,6.0,4.0,7.2,,63.0,27.6,991.8
2021-01-31,6.8,3.9,8.5,,116.0,20.1,991.3
2021-02-01,7.1,5.9,9.7,,125.0,18.6,992.0
2021-02-02,8.7,6.0,9.9,,222.0,27.3,985.6
2021-02-03,5.9,1.5,9.0,,225.0,22.7,993.1
2021-02-04,7.3,5.7,9.5,,233.0,19.5,1001.5
2021-02-05,5.0,3.5,6.5,,293.0,17.9,1006.8
2021-02-06,5.1,3.0,6.5,,350.0,17.0,1009.2
2021-02-07,3.0,1.6,4.2,1.0,78.0,26.4,1006.8
2021-02-08,1.6,0.5,2.1,,83.0,29.4,1005.7
2021-02-09,1.2,0.3,2.0,,74.0,36.6,1004.1
2021-02-10,0.4,-0.6,2.2,,72.0,26.0,1015.8
2021-02-11,1.8,0.7,2.7,,120.0,40.4,1015.7
2021-02-12,3.6,3.0,4.2,,121.0,36.0,1018.3
2021-02-13,8.6,4.2,9.0,,145.0,42.0,1013.6
2021-02-14,9.6,8.0,10.7,,191.0,34.5,1005.6
2021-02-15,9.3,7.8,10.6,,192.0,30.2,1007.1
2021-02-16,8.2,6.6,9.6,,214.0,26.9,1001.2
2021-02-17,7.1,4.1,8.7,,202.0,26.0,996.9
2021-02-18,4.7,1.5,7.7,,226.0,26.1,996.1
2021-02-19,8.7,4.7,10.0,,190.0,34.1,989.0
2021-02-20,7.3,6.0,10.1,,184.0,30.4,986.9
2021-02-21,6.4,3.2,9.6,,198.0,18.1,1002.4
2021-02-22,6.3,2.5,9.5,,177.0,23.1,1010.1
2021-02-23,10.1,7.7,11.0,,188.0,40.2,1003.7
2021-02-24,7.9,3.0,9.5,,208.0,21.0,1012.8
2021-02-25,5.1,1.7,9.2,,242.0,12.6,1028.0
2021-02-26,6.1,2.2,10.1,,199.0,14.7,1035.8
2021-02-27,7.1,4.5,9.2,,182.0,8.6,1040.3
2021-02-28,5.1,0.2,9.2,,62.0,14.3,1036.4
2021-03-01,5.3,3.9,7.1,,92.0,18.8,1029.5
2021-03-02,5.6,4.0,6.8,,81.0,16.4,1027.8
2021-03-03,5.1,3.6,7.0,,26.0,11.9,1027.5
2021-03-04,3.2,2.2,4.0,,28.0,11.1,1027.7
2021-03-05,4.7,2.5,7.2,,95.0,16.7,1031.5
2021-03-06,4.4,1.2,6.2,,158.0,12.2,1032.9
2021-03-07,3.7,0.5,7.1,,218.0,7.7,1028.8
2021-03-08,5.3,0.6,9.5,,220.0,14.1,1024.5
2021-03-09,7.9,5.7,9.0,2.0,201.0,28.2,1014.3
2021-03-10,9.3,7.6,11.7,,218.0,35.7,994.6
2021-03-11,5.9,3.5,8.1,,255.0,32.6,996.3
2021-03-12,5.3,3.0,9.1,,244.0,30.2,997.9
2021-03-13,3.8,0.5,7.0,,274.0,29.4,1001.7
2021-03-14,7.2,3.7,10.7,,272.0,23.7,1019.8
2021-03-15,10.4,7.1,14.0,,275.0,14.7,1026.2
2021-03-16,10.8,7.8,14.6,,314.0,17.1,1033.6
2021-03-17,8.8,5.0,12.9,,328.0,18.8,1037.9
2021-03-18,9.1,7.2,11.6,,340.0,25.2,1035.3
2021-03-19,9.8,8.0,14.0,,31.0,18.6,1032.4
2021-03-20,9.6,7.5,12.6,,315.0,13.1,1034.8
2021-03-21,8.7,6.7,10.8,,311.0,10.1,1032.5
2021-03-22,7.4,6.2,8.7,,208.0,12.6,1026.5
2021-03-23,7.9,3.7,10.5,,206.0,23.4,1018.3
2021-03-24,6.7,2.0,11.0,,221.0,20.9,1018.2
2021-03-25,7.7,4.2,11.1,,215.0,25.2,1012.0
2021-03-26,4.5,1.6,8.2,7.1,251.0,26.9,1007.2
2021-03-27,6.2,1.5,9.2,,217.0,30.8,1015.9
2021-03-28,,,,,,,
2021-03-29,10.5,9.1,12.1,,208.0,34.2,1020.2
2021-03-30,8.7,7.0,12.5,,147.0,10.7,1024.6
2021-03-31,9.4,5.5,15.5,,67.0,8.3,1019.3
2021-04-01,9.8,6.7,13.6,,74.0,18.3,1022.4
2021-04-02,8.1,5.3,12.2,,68.0,14.1,1030.9
2021-04-03,6.9,3.2,10.7,,67.0,12.8,1034.5
2021-04-04,7.8,3.7,13.6,,318.0,17.0,1029.3
2021-04-05,5.8,1.6,7.7,,342.0,24.3,1026.6
2021-04-06,3.7,-0.4,7.7,,330.0,19.5,1029.0
2021-04-07,6.1,2.1,9.7,,295.0,16.0,1027.2
2021-04-08,6.2,3.0,9.2,,247.0,17.6,1021.2
2021-04-09,5.5,3.6,8.8,,345.0,12.2,1014.7
2021-04-10,3.6,-0.2,8.1,,353.0,18.8,1018.2
2021-04-11,4.0,-0.2,8.7,,328.0,19.2,1024.6
2021-04-12,6.5,3.2,10.9,,287.0,12.6,1030.3
2021-04-13,6.8,2.7,11.2,,93.0,12.5,1032.6
2021-04-14,6.8,3.7,11.0,,106.0,10.8,1033.1
2021-04-15,7.6,4.0,12.0,,119.0,12.9,1032.2
2021-04-16,6.3,3.2,8.6,,165.0,17.0,1029.7
2021-04-17,8.1,6.7,10.0,,177.0,19.4,1027.5
2021-04-18,7.8,6.5,9.0,,184.0,14.4,1023.5
2021-04-19,7.9,7.0,9.5,,159.0,15.6,1019.2
2021-04-20,8.7,8.0,9.7,,111.0,7.7,1018.6
2021-04-21,9.4,5.5,13.2,,62.0,18.3,1019.9
2021-04-22,9.0,6.6,12.1,,95.0,23.4,1023.6
2021-04-23,9.6,6.5,13.1,,89.0,27.6,1022.8
2021-04-24,10.6,8.1,13.5,,85.0,26.3,1023.8
2021-04-25,9.8,7.2,12.2,,82.0,21.9,1026.5
