time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,26.4,24.1,30.1,2.9,84.0,20.7,1013.6
2021-01-03,26.4,23.4,30.9,0.3,84.0,17.9,1013.2
2021-01-04,25.5,19.9,31.3,0.0,85.0,13.9,1011.7
2021-01-05,26.0,21.2,31.5,0.0,81.0,14.2,1011.2
2021-01-06,26.6,21.2,32.4,0.0,86.0,13.9,1011.6
2021-01-07,27.2,23.9,32.5,0.6,80.0,14.4,1012.1
2021-01-08,27.0,24.0,31.1,0.3,79.0,15.6,1012.4
2021-01-09,27.6,24.7,32.3,0.0,85.0,16.7,1011.9
2021-01-10,27.5,23.7,32.3,0.0,87.0,16.8,1012.6
2021-01-11,27.4,24.9,32.1,0.9,85.0,20.9,1013.4
2021-01-12,26.5,24.0,29.7,0.5,84.0,18.6,1013.3
2021-01-13,27.5,23.7,33.4,0.0,92.0,19.0,1011.7
2021-01-14,27.5,23.6,33.8,0.0,85.0,18.1,1010.8
2021-01-15,27.2,24.1,32.0,0.0,81.0,16.7,1011.0
2021-01-16,27.0,22.3,32.7,0.0,79.0,16.2,1011.4
2021-01-17,26.6,22.0,31.5,0.0,83.0,16.4,1011.8
2021-01-18,26.9,22.6,31.5,0.1,83.0,16.3,1012.5
2021-01-19,26.8,23.9,30.6,1.2,82.0,17.8,1012.9
2021-01-20,26.7,24.3,30.7,0.4,84.0,17.7,1011.9
2021-01-21,26.9,23.0,32.2,0.1,80.0,16.7,1011.4
2021-01-22,27.3,23.5,33.3,0.0,84.0,17.0,1011.6
2021-01-23,27.7,23.9,33.0,0.4,84.0,18.0,1011.8
2021-01-24,27.7,24.7,33.0,0.0,83.0,20.0,1011.5
2021-01-25,27.1,23.6,33.0,0.0,82.0,18.7,1011.8
2021-01-26,27.1,23.8,31.7,0.0,85.0,20.3,1012.1
2021-01-27,26.8,24.1,30.9,0.5,91.0,20.7,1012.3
2021-01-28,26.7,23.9,30.7,0.6,84.0,19.0,1012.3
2021-01-29,26.2,21.8,31.9,0.1,86.0,15.7,1011.8
2021-01-30,27.0,23.6,32.3,0.0,83.0,19.9,1012.1
2021-01-31,27.3,23.8,31.8,0.6,85.0,20.5,1012.0
2021-02-01,27.7,24.6,32.7,0.1,91.0,21.5,1011.0
