time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-8.1,-18.8,2.6,0.0,174.0,6.4,1018.1
2021-01-02,0.8,-4.6,6.1,0.0,201.0,17.4,1004.8
2021-01-03,1.4,-3.3,6.0,0.0,217.0,18.8,1001.4
2021-01-04,-2.7,-8.6,3.2,0.0,240.0,15.8,1012.5
2021-01-05,-2.3,-7.4,2.8,0.2,201.0,15.3,1012.1
2021-01-06,-4.5,-11.6,2.6,0.0,143.0,9.5,1021.0
2021-01-07,-2.6,-9.3,4.2,0.0,305.0,7.9,1024.1
2021-01-08,-7.2,-13.7,-0.7,0.0,310.0,5.1,1033.1
2021-01-09,-11.4,-17.8,-5.0,0.2,212.0,5.8,1034.4
2021-01-10,-3.4,-5.2,-1.6,0.0,226.0,10.0,1022.2
2021-01-11,-3.6,-10.2,3.1,0.0,276.0,10.4,1017.2
2021-01-12,-0.3,-5.7,5.1,0.0,209.0,12.6,1010.9
2021-01-13,4.7,-1.1,10.4,0.4,239.0,34.6,998.3
2021-01-14,-2.7,-4.0,-0.8,0.2,307.0,49.3,1018.1
2021-01-15,-6.6,-12.2,-1.1,0.0,238.0,14.5,1024.4
2021-01-16,-3.8,-11.0,3.3,0.0,300.0,22.1,1018.2
2021-01-17,-3.4,-9.6,2.7,0.0,281.0,6.6,1015.5
2021-01-18,-4.2,-8.7,0.2,1.5,301.0,27.0,1018.4
2021-01-19,-3.1,-8.8,2.6,0.2,247.0,20.2,1020.8
2021-01-20,-0.4,-4.3,3.6,0.0,277.0,37.0,1006.0
2021-01-21,-8.0,-13.2,-2.7,0.0,312.0,20.3,1021.3
2021-01-22,-7.6,-12.3,-2.9,0.2,262.0,11.8,1020.3
2021-01-23,-11.2,-16.3,-6.1,0.4,322.0,13.4,1019.2
2021-01-24,-17.7,-20.0,-15.4,2.1,74.0,13.8,1022.1
2021-01-25,-19.6,-25.4,-13.7,0.0,61.0,11.0,1026.8
2021-01-26,-21.4,-27.9,-14.9,0.2,106.0,9.9,1029.5
2021-01-27,-14.8,-19.3,-10.2,0.0,124.0,18.1,1026.7
2021-01-28,-9.7,-16.8,-2.8,0.0,128.0,12.8,1021.9
