time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,26.3,24.0,29.0,1.3,115.0,13.0,1017.1
2021-01-03,25.7,21.0,29.0,0.4,112.0,7.4,1016.9
2021-01-04,24.9,22.0,28.0,1.3,46.0,6.4,1016.1
2021-01-05,24.6,23.2,26.0,1.0,19.0,19.6,1016.4
2021-01-06,23.9,20.0,26.0,2.3,54.0,13.0,1015.8
2021-01-07,24.0,22.0,27.0,7.8,121.0,6.8,1015.7
2021-01-08,22.9,20.9,25.0,0.2,323.0,16.7,1017.5
2021-01-09,22.4,20.7,25.0,0.0,339.0,19.5,1019.3
2021-01-10,22.8,20.0,25.0,0.0,62.0,14.3,1018.8
2021-01-11,23.2,22.0,24.1,63.9,49.0,12.3,1018.4
2021-01-12,24.0,22.0,27.0,51.2,66.0,15.0,1018.7
2021-01-13,24.6,22.0,28.0,13.9,73.0,13.0,1016.8
2021-01-14,24.0,22.4,27.0,1.6,343.0,18.0,1014.5
2021-01-15,24.6,22.2,27.0,3.7,337.0,13.5,1014.2
2021-01-16,22.2,20.3,24.0,0.0,346.0,18.5,1017.6
2021-01-17,20.2,18.0,22.0,8.8,0.0,12.0,1017.4
2021-01-18,22.4,19.3,25.0,0.0,20.0,13.3,1018.9
2021-01-19,25.0,22.0,27.0,0.6,69.0,18.3,1019.4
2021-01-20,24.9,24.0,27.0,1.2,59.0,19.1,1020.4
2021-01-21,24.3,20.0,27.0,0.8,64.0,10.9,1018.1
2021-01-22,23.7,17.0,28.0,0.0,102.0,6.2,1015.6
2021-01-23,25.0,20.0,29.0,0.4,92.0,9.3,1016.1
2021-01-24,25.3,21.0,29.0,0.0,91.0,13.0,1015.9
2021-01-25,26.0,23.0,28.0,1.3,110.0,15.0,1013.8
2021-01-26,26.4,24.9,29.0,0.1,125.0,17.8,1013.3
2021-01-27,25.8,24.0,29.0,1.3,117.0,15.3,1015.9
2021-01-28,25.3,21.0,29.0,3.8,47.0,13.5,1019.9
2021-01-29,23.6,21.9,26.0,0.3,44.0,18.3,1019.8
2021-01-30,24.3,20.0,28.0,0.3,90.0,14.1,1017.3
2021-01-31,24.3,20.0,27.0,3.1,94.0,9.5,1016.0
2021-02-01,23.5,20.6,27.0,2.5,334.0,19.3,1017.5
2021-02-02,21.7,19.9,25.0,0.0,336.0,18.6,1019.4
2021-02-03,21.5,18.0,25.0,0.0,351.0,10.3,1018.4
2021-02-04,22.6,18.0,26.0,0.0,101.0,11.5,1016.5
2021-02-05,25.2,17.0,29.0,0.7,133.0,11.9,1012.5
2021-02-06,26.9,24.9,30.0,0.2,127.0,16.5,1011.1
2021-02-07,26.6,23.0,30.0,2.0,131.0,12.1,1013.1
2021-02-08,26.0,22.0,30.0,0.1,110.0,12.7,1015.6
2021-02-09,26.1,23.0,29.0,2.0,95.0,15.3,1016.4
2021-02-10,25.3,21.0,29.0,1.1,96.0,11.9,1015.8
2021-02-11,24.5,21.0,27.0,2.4,112.0,10.2,1013.6
2021-02-12,26.1,23.7,29.0,2.9,118.0,16.9,1011.3
2021-02-13,26.4,25.0,29.0,0.3,140.0,13.3,1010.8
2021-02-14,25.9,22.0,29.0,1.1,152.0,7.8,1012.3
2021-02-15,26.7,24.6,30.0,0.3,141.0,11.9,1013.4
2021-02-16,24.2,22.6,27.0,6.6,350.0,15.6,1015.8
2021-02-17,26.3,23.3,29.0,1.5,122.0,15.9,1013.9
2021-02-18,27.1,25.6,30.0,1.0,124.0,20.2,1014.4
2021-02-19,24.7,22.0,29.0,1.2,292.0,16.6,1018.2
2021-02-20,22.5,21.7,24.0,5.0,0.0,21.0,1020.8
2021-02-21,23.6,20.0,26.0,0.0,48.0,16.0,1019.7
2021-02-22,25.0,18.0,28.0,0.6,61.0,11.8,1017.9
2021-02-23,25.5,22.9,29.0,1.5,48.0,12.6,1017.8
2021-02-24,25.5,21.0,29.0,0.5,75.0,12.4,1017.9
2021-02-25,25.6,22.0,29.0,0.4,63.0,15.9,1018.2
2021-02-26,25.9,21.0,29.0,0.7,86.0,16.8,1016.1
2021-02-27,26.1,22.0,30.0,1.2,103.0,17.8,1015.9
2021-02-28,26.7,25.0,29.0,1.3,103.0,19.7,1015.7
2021-03-01,26.7,23.0,30.0,0.7,111.0,15.2,1015.0
2021-03-02,26.2,22.0,30.0,1.1,106.0,12.7,1015.9
2021-03-03,25.1,20.0,30.0,0.1,138.0,6.9,1016.3
2021-03-04,25.3,21.0,29.0,1.3,337.0,6.3,1016.6
2021-03-05,25.0,21.0,28.0,2.6,65.0,11.1,1013.9
2021-03-06,24.8,21.0,30.0,4.5,102.0,10.3,1013.9
2021-03-07,24.7,22.2,27.0,0.0,5.0,20.5,1018.2
2021-03-08,24.4,22.3,27.0,0.3,40.0,19.8,1022.3
2021-03-09,24.5,21.6,28.0,3.7,55.0,21.1,1022.4
2021-03-10,25.3,23.8,27.0,0.1,71.0,18.8,1020.3
2021-03-11,25.6,23.7,28.0,1.0,72.0,20.5,1019.9
2021-03-12,25.5,22.0,28.0,0.2,68.0,17.8,1020.2
2021-03-13,25.5,23.0,28.0,0.6,73.0,17.0,1019.2
2021-03-14,25.6,23.0,29.0,1.0,96.0,19.3,1016.5
2021-03-15,26.2,22.0,30.0,0.7,107.0,15.5,1015.4
2021-03-16,27.0,24.7,30.0,1.4,115.0,17.5,1014.4
2021-03-17,26.8,25.2,29.0,0.5,124.0,24.1,1012.9
2021-03-18,26.7,23.0,31.0,1.7,118.0,15.1,1014.9
2021-03-19,24.2,22.0,28.0,22.0,355.0,10.8,1016.8
2021-03-20,24.6,22.1,28.0,1.3,348.0,17.1,1018.0
2021-03-21,24.9,21.0,28.0,0.0,35.0,13.4,1017.5
2021-03-22,24.4,20.0,28.0,0.2,76.0,14.0,1015.5
2021-03-23,26.0,23.8,29.0,1.4,126.0,18.0,1012.4
2021-03-24,27.0,25.4,30.0,0.0,125.0,20.6,1011.6
2021-03-25,27.0,25.5,30.0,0.1,129.0,22.6,1013.0
2021-03-26,27.5,25.5,30.0,0.0,111.0,18.6,1015.5
2021-03-27,26.5,24.9,29.0,0.2,110.0,17.5,1016.3
2021-03-28,26.7,24.0,31.0,0.3,114.0,15.6,1015.6
2021-03-29,26.2,24.6,30.0,0.9,90.0,13.1,1016.3
2021-03-30,25.9,22.0,28.2,1.5,96.0,12.9,1016.3
2021-03-31,26.7,24.9,31.0,0.0,99.0,12.6,1016.0
2021-04-01,26.1,24.5,28.0,0.6,29.0,16.3,1016.4
2021-04-02,23.6,21.4,26.0,5.3,16.0,27.1,1018.3
2021-04-03,24.2,22.2,28.0,0.5,53.0,21.8,1019.5
2021-04-04,24.3,22.8,26.0,0.4,58.0,19.6,1018.8
2021-04-05,24.5,19.0,27.0,0.8,74.0,15.9,1016.9
2021-04-06,25.2,23.5,28.0,0.6,85.0,16.2,1015.8
2021-04-07,25.9,23.8,29.0,2.6,102.0,13.7,1014.4
2021-04-08,27.0,22.0,31.0,0.6,115.0,14.9,1012.7
2021-04-09,27.2,25.1,30.0,0.9,118.0,16.4,1012.2
2021-04-10,27.7,25.8,30.0,0.1,126.0,19.6,1009.7
2021-04-11,27.8,26.0,30.0,0.2,132.0,20.2,1007.8
2021-04-12,27.9,26.0,31.0,1.8,120.0,15.3,1009.5
2021-04-13,27.5,23.0,31.0,0.4,104.0,16.8,1013.2
2021-04-14,27.3,23.0,31.0,0.0,98.0,17.5,1014.8
2021-04-15,27.6,24.8,31.0,0.0,112.0,14.9,1012.7
2021-04-16,27.6,24.0,31.0,0.0,133.0,14.9,1010.2
2021-04-17,27.9,26.0,30.0,0.0,132.0,17.3,1010.2
