time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,12.2,7.8,16.7,9.9,169.0,15.5,1013.3
2021-01-02,10.2,5.0,13.9,0.5,244.0,9.0,1015.0
2021-01-03,3.6,-3.2,5.0,0.0,285.0,10.4,1017.2
2021-01-04,1.4,-4.3,10.6,0.0,260.0,5.4,1017.5
2021-01-05,4.7,-3.2,6.1,0.0,309.0,10.8,1017.9
2021-01-06,-0.3,-3.8,6.1,0.0,49.0,9.0,1023.9
2021-01-07,-0.4,-3.2,3.3,2.5,77.0,12.2,1018.8
2021-01-08,-0.6,-2.1,0.0,1.5,2.0,13.0,1016.7
2021-01-09,-2.6,-3.8,-2.1,0.0,350.0,11.2,1023.1
2021-01-10,-2.1,-4.9,4.4,0.0,32.0,4.3,1026.4
2021-01-11,-0.7,-2.1,1.7,2.5,14.0,3.2,1025.1
2021-01-12,0.3,-6.0,5.6,0.0,303.0,6.1,1024.6
2021-01-13,-1.6,-8.2,7.8,0.0,291.0,3.6,1019.4
2021-01-14,0.9,-4.3,8.3,0.0,190.0,9.7,1010.6
2021-01-15,4.2,-1.0,6.7,0.3,239.0,10.8,1004.9
2021-01-16,-0.8,-2.1,0.0,1.0,256.0,16.6,1008.8
2021-01-17,1.1,0.0,5.0,0.0,243.0,11.5,1011.5
2021-01-18,1.7,-1.0,6.1,0.0,268.0,12.6,1017.6
2021-01-19,4.9,1.7,10.6,0.0,232.0,10.1,1023.7
2021-01-20,3.2,-3.2,6.7,0.0,278.0,10.8,1024.0
2021-01-21,2.9,0.6,4.4,7.6,273.0,6.8,1015.2
2021-01-22,3.1,-1.6,8.3,0.0,319.0,7.9,1017.2
2021-01-23,0.5,-4.9,6.7,0.0,58.0,11.2,1023.9
2021-01-24,5.0,1.7,8.3,0.0,172.0,10.8,1019.9
2021-01-25,8.9,6.7,16.1,26.9,176.0,13.7,1010.5
2021-01-26,13.8,6.7,16.1,0.0,273.0,15.1,1010.8
2021-01-27,6.1,-1.0,13.3,0.0,351.0,14.4,1018.3
2021-01-28,-1.5,-6.6,0.6,0.0,356.0,14.4,1031.6
2021-01-29,-2.7,-7.7,5.6,0.0,45.0,5.8,1028.8
2021-01-30,0.8,-3.2,5.0,5.8,143.0,11.9,1020.7
2021-01-31,5.4,-0.5,9.4,0.0,227.0,17.3,1010.2
2021-02-01,-0.9,-3.2,-0.5,0.0,314.0,21.6,1015.3
2021-02-02,-2.8,-4.9,1.1,0.0,321.0,19.8,1019.1
2021-02-03,-1.1,-4.9,5.0,0.0,348.0,8.3,1019.5
2021-02-04,-0.6,-6.0,6.1,6.4,175.0,11.5,1012.5
2021-02-05,2.9,-2.7,6.7,0.5,286.0,13.7,1012.5
2021-02-06,1.2,-2.7,6.1,5.3,110.0,6.8,1016.7
2021-02-07,-0.3,-3.8,0.0,5.8,13.0,7.9,1018.7
2021-02-08,-0.2,-4.9,8.9,0.0,223.0,7.2,1022.7
2021-02-09,7.9,4.4,10.6,0.0,260.0,8.6,1020.7
2021-02-10,9.2,2.8,17.8,0.0,172.0,8.6,1019.5
2021-02-11,5.4,0.0,7.8,13.5,32.0,9.4,1017.2
2021-02-12,-0.4,-2.1,0.6,0.0,12.0,10.4,1019.6
2021-02-13,-1.4,-2.7,1.1,0.0,7.0,9.4,1018.6
2021-02-14,-2.3,-2.7,-1.6,0.0,30.0,12.6,1020.2
2021-02-15,-1.4,-5.5,6.7,18.8,62.0,13.3,1012.5
2021-02-16,-7.0,-11.6,-5.5,0.0,294.0,15.5,1018.8
2021-02-17,-6.2,-11.6,4.4,10.2,67.0,9.4,1023.2
2021-02-18,0.4,-3.2,2.8,3.6,11.0,9.4,1019.9
2021-02-19,-2.8,-6.6,1.1,0.0,347.0,11.2,1025.8
2021-02-20,-3.4,-9.3,5.6,0.0,343.0,4.0,1029.4
2021-02-21,2.0,-4.9,10.6,0.0,175.0,10.8,1026.5
2021-02-22,7.1,1.1,8.9,3.0,241.0,17.3,1016.8
2021-02-23,7.2,1.7,16.1,0.0,264.0,11.9,1016.8
2021-02-24,11.7,3.9,19.4,0.0,233.0,10.4,1017.1
2021-02-25,11.3,5.0,16.1,0.0,8.0,10.8,1022.2
2021-02-26,6.8,3.9,11.1,15.2,129.0,10.8,1019.3
2021-02-27,12.7,11.1,15.6,9.4,198.0,10.4,1018.2
2021-02-28,16.6,11.1,20.6,14.2,203.0,15.5,1014.8
2021-03-01,9.8,1.1,11.1,17.5,337.0,8.6,1019.3
2021-03-02,3.1,-1.0,9.4,0.0,37.0,6.8,1023.0
2021-03-03,6.3,-1.6,14.4,0.0,322.0,5.8,1018.8
2021-03-04,7.9,0.0,16.7,0.0,336.0,11.9,1019.8
2021-03-05,4.8,-1.6,8.9,0.0,32.0,15.5,1021.9
2021-03-06,3.9,-2.1,9.4,0.0,20.0,12.6,1024.4
2021-03-07,3.4,-5.5,11.7,0.0,358.0,7.6,1029.5
2021-03-08,5.7,-4.3,17.2,0.0,326.0,4.3,1032.9
2021-03-09,9.2,-0.5,17.8,0.0,219.0,6.8,1030.8
2021-03-10,13.1,6.7,20.0,0.0,186.0,10.8,1027.3
2021-03-11,14.8,11.7,18.9,0.0,200.0,11.2,1026.0
2021-03-12,14.9,12.2,20.0,11.9,286.0,8.3,1026.2
2021-03-13,12.1,9.4,12.8,0.8,47.0,7.6,1025.7
2021-03-14,12.4,8.9,17.8,0.0,,10.1,
2021-03-15,12.8,9.4,17.2,1.5,146.0,15.8,1017.2
2021-03-16,12.6,10.6,16.1,0.0,175.0,9.7,1015.0
2021-03-17,11.7,10.0,15.0,43.9,146.0,11.9,1013.9
2021-03-18,14.0,3.9,16.7,2.8,236.0,20.2,1005.4
2021-03-19,4.7,2.8,7.8,0.0,14.0,15.5,1019.5
2021-03-20,7.2,-2.1,16.1,0.0,62.0,7.6,1028.4
2021-03-21,8.6,-1.0,17.2,0.0,68.0,5.0,1026.5
2021-03-22,11.2,3.9,18.3,0.0,49.0,4.7,1021.4
2021-03-23,13.3,11.1,18.3,0.0,158.0,12.2,1015.6
2021-03-24,15.9,10.6,21.7,0.0,195.0,10.1,1013.3
2021-03-25,14.7,12.2,18.3,35.8,163.0,14.4,1011.1
2021-03-26,15.6,6.7,20.6,0.0,272.0,10.4,1016.7
2021-03-27,12.3,6.1,16.7,56.4,109.0,9.4,1017.8
2021-03-28,13.5,2.2,17.8,30.7,272.0,16.9,1014.6
2021-03-29,6.8,-1.0,15.6,0.0,44.0,5.4,1023.4
2021-03-30,13.3,7.2,20.6,0.0,179.0,15.5,1020.0
2021-03-31,12.1,0.0,16.7,43.2,314.0,10.8,1019.1
2021-04-01,2.1,-1.6,5.0,0.0,334.0,19.1,1026.9
2021-04-02,1.1,-4.3,8.3,0.0,28.0,10.8,1031.3
2021-04-03,5.4,-3.2,15.6,0.0,306.0,4.3,1029.5
2021-04-04,10.2,0.6,19.4,0.0,306.0,6.5,1025.2
2021-04-05,13.2,3.3,22.2,0.0,313.0,4.7,1020.4
2021-04-06,15.1,6.7,23.3,0.0,327.0,3.6,1018.2
2021-04-07,16.7,8.9,23.3,0.0,205.0,6.1,1015.4
2021-04-08,16.9,12.2,21.7,17.3,185.0,12.6,1009.1
2021-04-09,17.3,8.3,24.4,0.0,183.0,9.4,1012.1
2021-04-10,16.1,13.3,18.9,7.6,181.0,13.0,1005.2
2021-04-11,14.1,7.8,19.4,0.0,248.0,16.6,1003.3
2021-04-12,15.2,9.4,22.2,0.0,281.0,13.3,1010.4
2021-04-13,15.4,7.8,22.8,0.0,32.0,3.2,1017.9
2021-04-14,13.9,7.2,20.6,1.3,338.0,5.0,1016.9
2021-04-15,10.2,3.9,13.9,0.0,335.0,10.4,1014.8
2021-04-16,9.0,1.7,16.7,0.0,18.0,5.4,1013.5
2021-04-17,11.1,5.6,15.0,0.0,334.0,6.1,1012.0
2021-04-18,10.3,2.8,17.2,0.0,352.0,6.1,1013.4
2021-04-19,11.2,5.0,17.2,0.0,320.0,6.5,1014.4
2021-04-20,11.7,2.8,20.0,0.0,289.0,9.4,1014.3
2021-04-21,5.3,-2.7,6.1,0.0,325.0,13.0,1019.1
2021-04-22,3.8,-3.2,12.2,0.0,309.0,9.0,1022.3
2021-04-23,7.2,1.7,12.2,0.0,72.0,4.7,1021.0
2021-04-24,9.8,6.7,13.9,13.5,138.0,11.9,1009.5
2021-04-25,11.7,6.7,17.2,0.0,353.0,9.4,1015.5
2021-04-26,13.5,3.9,23.3,0.0,145.0,7.2,1018.8
2021-04-27,19.8,15.0,25.6,0.0,194.0,11.5,1017.9
2021-04-28,19.9,17.8,23.9,2.3,256.0,6.5,1017.1
2021-04-29,18.3,15.0,21.1,5.6,240.0,15.1,1013.5
2021-04-30,16.3,9.4,21.1,0.0,321.0,13.3,1018.4
2021-05-01,14.9,5.0,23.3,0.0,18.0,6.5,1018.7
2021-05-02,15.2,8.3,21.1,0.5,158.0,7.9,1013.1
2021-05-03,19.2,16.1,23.9,20.8,223.0,12.6,1007.8
2021-05-04,18.4,14.4,20.6,30.2,186.0,11.5,1010.1
2021-05-05,15.1,6.7,16.1,0.0,295.0,11.5,1015.3
2021-05-06,11.2,4.4,18.3,0.0,334.0,8.6,1018.8
2021-05-07,10.8,6.7,16.1,0.0,294.0,15.1,1018.0
2021-05-08,11.8,7.2,16.7,0.0,262.0,7.2,1018.3
2021-05-09,16.0,12.2,22.2,15.7,208.0,13.0,1012.8
2021-05-10,13.0,6.1,15.0,0.5,342.0,8.6,1016.4
2021-05-11,10.8,5.0,19.4,0.0,26.0,11.2,1020.5
2021-05-12,12.7,7.2,17.8,0.0,40.0,14.0,1022.7
2021-05-13,11.6,4.4,18.9,0.0,27.0,7.2,1024.7
2021-05-14,12.9,5.0,20.6,0.0,17.0,3.6,1024.5
2021-05-15,14.4,5.0,22.2,0.0,343.0,3.6,1023.7
2021-05-16,16.3,12.2,21.7,0.0,315.0,3.2,1022.8
2021-05-17,17.2,10.6,22.2,0.0,134.0,6.5,1022.0
2021-05-18,17.9,13.9,21.7,0.0,134.0,9.7,1023.5
2021-05-19,19.7,15.6,23.9,0.5,132.0,8.3,1024.8
2021-05-20,20.0,13.9,25.6,0.0,133.0,7.9,1026.6
2021-05-21,20.9,14.4,26.7,0.0,110.0,6.1,1029.3
2021-05-22,20.3,12.8,27.2,0.0,356.0,4.3,1028.6
2021-05-23,21.3,13.3,28.9,0.0,0.0,5.0,1024.2
2021-05-24,21.1,12.8,28.9,0.0,4.0,2.9,1022.4
2021-05-25,21.6,13.9,28.9,0.0,323.0,2.5,1021.6
2021-05-26,22.3,16.7,27.8,0.0,316.0,8.3,1020.6
2021-05-27,21.4,14.4,27.8,0.0,0.0,3.6,1017.8
2021-05-28,20.7,15.0,24.4,14.0,244.0,10.8,1011.3
2021-05-29,13.4,8.3,15.0,0.3,328.0,13.0,1014.6
2021-05-30,10.9,7.2,17.2,0.0,30.0,11.5,1022.3
2021-05-31,14.5,5.6,24.4,0.0,52.0,4.7,1024.7
2021-06-01,18.2,13.3,23.3,0.0,139.0,6.8,1022.6
2021-06-02,18.2,16.1,20.0,4.3,168.0,9.4,1017.8
