time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,23.2,20.3,28.9,4.9,64.0,9.4,1013.9
2021-01-03,23.0,19.7,27.4,1.0,89.0,4.0,1013.9
2021-01-04,23.1,20.7,26.2,1.9,82.0,3.9,1012.2
2021-01-05,23.7,19.7,27.5,2.5,43.0,6.0,1012.0
2021-01-06,24.5,20.7,28.8,2.5,23.0,6.3,1010.9
2021-01-07,25.7,21.5,30.5,1.2,78.0,5.5,1009.9
2021-01-08,25.4,21.7,29.3,12.0,97.0,3.6,1008.8
2021-01-09,24.7,21.3,29.5,13.3,356.0,5.1,1008.6
2021-01-10,24.4,21.0,29.0,19.4,283.0,4.1,1008.4
2021-01-11,23.6,20.7,27.9,14.9,19.0,5.0,1009.6
2021-01-12,23.5,21.0,27.7,14.0,55.0,4.9,1010.4
2021-01-13,23.6,21.0,28.0,8.8,34.0,7.0,1010.9
2021-01-14,24.0,21.1,28.3,6.3,7.0,6.7,1010.8
2021-01-15,24.4,20.6,29.4,18.5,7.0,6.3,1010.1
2021-01-16,24.2,20.1,28.9,0.4,3.0,5.6,1009.4
2021-01-17,25.2,20.4,29.9,3.6,13.0,6.1,1008.7
2021-01-18,25.2,21.7,30.2,8.0,28.0,6.0,1009.0
2021-01-19,24.7,20.7,30.0,6.0,28.0,5.7,1009.9
2021-01-20,24.7,21.2,30.2,4.0,246.0,5.0,1011.0
2021-01-21,24.3,20.5,29.2,5.5,200.0,8.6,1010.2
2021-01-22,22.8,21.5,25.8,11.1,303.0,9.6,1009.4
2021-01-23,23.0,21.5,25.3,8.0,25.0,11.4,1010.6
2021-01-24,23.7,21.3,26.5,1.1,28.0,7.2,1012.1
2021-01-25,23.6,20.8,27.2,4.7,70.0,7.6,1013.8
2021-01-26,23.3,19.5,27.9,2.8,204.0,5.0,1013.5
2021-01-27,24.4,20.3,28.3,3.3,285.0,3.5,1011.6
2021-01-28,24.5,21.1,28.2,1.2,26.0,6.5,1011.4
